[00:00:20.370 --> 00:00:26.575]  Send in the clowns.
[02:09:10.745 --> 02:09:13.025]  They would have to likely bring that case in Florida.
[02:09:13.025 --> 02:09:14.486]  They don't want to do that.
[02:09:14.486 --> 02:09:19.387]  They could try to bring it in the District of Columbia, but that has its own political problems.
[02:09:19.387 --> 02:09:23.688]  The January 6th cases have gone nowhere against Trump.
[02:09:23.688 --> 02:09:29.610]  And so they never could get anybody to flip and come up with some bogus fake story about Trump somehow orchestrating it.
[02:09:30.408 --> 02:09:41.767]  And then, in fact, we now know the Capitol Police and the FBI and their infiltrators and informants who are actually organizing it and orchestrating it, as has come out in the recent Proud Boys trial in D.C.
[02:09:42.612 --> 02:09:44.853]  And so then they got Georgia.
[02:09:44.853 --> 02:09:46.154]  Two problems with Georgia.
[02:09:46.154 --> 02:09:56.339]  One, they got a complete nutjob, an actual living witch, who was the head of the grand jury, who was so loony that even Anderson Cooper said she's embarrassing.
[02:09:56.339 --> 02:10:00.681]  And the other problem they have in Georgia is, of course, you know, the governor is a Republican.
[02:10:00.681 --> 02:10:05.264]  So there's ways in which that case could be set aside, pardons issued, so on and so forth.
[02:10:05.264 --> 02:10:08.045]  So that's why they went back to New York.
[02:10:08.045 --> 02:10:09.746]  When Mar-a-Lago case blew up,
[02:10:10.293 --> 02:10:11.455]  They went back to New York.
[02:10:11.455 --> 02:10:18.466]  There's been a quid pro quo to DeSantis that they would get DeSantis to run and challenge Trump.
[02:10:18.466 --> 02:10:24.595]  But the only way he would do so is if he was convinced that Trump was going to be taken out politically by a criminal indictment.
[02:10:25.129 --> 02:10:28.192]  So they had to bring forth the indictment to get DeSantis to run.
[02:10:28.192 --> 02:10:31.276]  Now DeSantis has been deceived into running, but that ship has sailed.
[02:10:31.276 --> 02:10:40.025]  It's not a coincidence on the day of the announcement of the indictment, DeSantis puts in proposals to the Florida legislature to allow him to run for president.
[02:10:40.025 --> 02:10:42.027]  So it literally happened right after.
[02:10:42.907 --> 02:10:50.433]  So you can tell with the timing, leaks from Politico and New York Times and elsewhere about this being a public discussion amongst New York donors.
[02:10:50.433 --> 02:10:53.675]  So this was the Deep State's effort to get DeSantis to run.
[02:10:53.675 --> 02:10:57.598]  This is the Deep State's effort, in their view, to take Trump out.
[02:10:57.598 --> 02:11:02.221]  If you like Drudge, as we know, Matt Drudge showed Drudge Report several years ago.
[02:11:02.221 --> 02:11:05.083]  The people who run Drudge now are the political establishment.
[02:11:05.083 --> 02:11:08.466]  They last, yesterday, were bragging on the front page of their Drudge Report
[02:11:08.826 --> 02:11:14.209]  That they, on a fake poll, that said nobody would trust Trump anymore or vote for him if he got indicted.
[02:11:14.209 --> 02:11:15.690]  That's completely nonsense.
[02:11:15.690 --> 02:11:17.071]  We'll see otherwise.
[02:11:17.071 --> 02:11:18.432]  But this is what they believe.
[02:11:18.432 --> 02:11:25.636]  They believe they can get DeSantis to run by indicting Trump, and they believe they can get Trump defeated in either the primary or the general election by indicting him.
[02:11:26.016 --> 02:11:27.216]  That's what they really believe.
[02:11:27.216 --> 02:11:31.397]  Now, it looks like, even worse, they're going to weaponize the process.
[02:11:31.397 --> 02:11:38.499]  I mean, here, as we'll discuss a little bit later, this is a case where Trump is legally innocent, factually innocent, and constitutionally innocent.
[02:11:38.499 --> 02:11:40.380]  Yet they're prosecuting him anyway.
[02:11:40.380 --> 02:11:45.361]  Watch for them to try to misuse and abuse all the other powers of the criminal justice process.
[02:11:45.361 --> 02:11:48.702]  About how they do the entire criminal processing of Trump.
[02:11:48.702 --> 02:11:49.762]  How they arrest him.
[02:11:49.762 --> 02:11:50.942]  Do they put him in the jail?
[02:11:50.942 --> 02:11:52.083]  Do they do a mug shot?
[02:11:52.083 --> 02:11:53.583]  Do they try to perp walk him?
[02:11:54.284 --> 02:11:56.767]  Secondly, do they abuse the bail authority?
[02:11:56.767 --> 02:11:59.691]  Do they use the bail authority to say he can't raise funds?
[02:11:59.691 --> 02:12:02.454]  Do they say he can't speak out on his own behalf?
[02:12:02.454 --> 02:12:03.736]  Do they issue a gag order?
[02:12:03.736 --> 02:12:05.818]  Do they issue a financial restraint order?
[02:12:05.818 --> 02:12:08.302]  Do they issue a travel restraint order?
[02:12:08.302 --> 02:12:11.566]  Try to prohibit him from being able to travel in support of his...
[02:12:14.476 --> 02:12:16.157]  Do they ban his international travel?
[02:12:16.157 --> 02:12:18.499]  Do they try to limit his domestic travel?
[02:12:18.499 --> 02:12:20.081]  So watch for these things.
[02:12:20.081 --> 02:12:22.182]  Do they try to fast-track the trial?
[02:12:22.182 --> 02:12:25.305]  Do they try to hide exculpatory evidence?
[02:12:25.305 --> 02:12:27.867]  Do they try to put on perjured testimony?
[02:12:27.867 --> 02:12:34.433]  If they have a judge that is their hand-picked judge, which according to President Trump it appears that is precisely what happened,
[02:12:34.913 --> 02:12:37.814]  Then what you have is a completely rigged case.
[02:12:37.814 --> 02:12:43.076]  A case with a rigged prosecutor, a case of a rigged witnesses, a case of a rigged grand jury.
[02:12:43.076 --> 02:12:47.398]  And then if you rig the judge, then you can rig the jury trial itself.
[02:12:47.398 --> 02:12:52.380]  So look for them to weaponize everything they can because they're that terrified of Trump.
[02:12:53.385 --> 02:13:06.521]  They're that terrified that if Trump gets re-elected, the American people will finally have an effort, a man committed to dismantling the deep state, who realizes his only mistake in the first term was not dismantling the deep state.
[02:13:06.521 --> 02:13:11.788]  He's learned the lesson that Huey Long learned years ago, where he said, I tried to negotiate with him and now I learned that you gotta crush him.
[02:13:12.728 --> 02:13:20.713]  Trump has said so publicly, said this next election, either the deep state wins and America dies, or America wins and the deep state dies.
[02:13:20.713 --> 02:13:29.198]  This is the deep state's last gasp empire strikes back effort to remove President Trump from meaningful office in 2025.
[02:13:31.266 --> 02:13:38.851]  And just in case anybody out there was confused, the Georgia grand jury four person was literally a witch.
[02:13:38.851 --> 02:13:40.732]  It was this crazy dingbat woman.
[02:13:40.732 --> 02:13:53.561]  They put her on CNN, MSNBC, and she was acting out of her mind, deranged, and then people went out and found her social media and she literally sends out witchcraft and spells and stuff like that.
[02:13:53.561 --> 02:14:00.025]  So people, in case you were wondering, what does he talk about a witch and a four woman on a jury literally out of Georgia?
[02:14:00.025 --> 02:14:00.766]  That's what was going on.
[02:14:02.067 --> 02:14:05.612]  It's what happens when Trump calls it a witch hunt.
[02:14:05.612 --> 02:14:08.676]  It's what happens when witches are actually leading the hunt.
[02:14:08.676 --> 02:14:09.877]  I mean they say that!
[02:14:09.877 --> 02:14:11.920]  This is Politico's headline!
[02:14:11.920 --> 02:14:14.484]  Trump seems to be the victim of a witch hunt, so what?
[02:14:16.075 --> 02:14:16.936]  So what?
[02:14:16.936 --> 02:14:17.576]  Again, I go back.
[02:14:17.576 --> 02:14:20.139]  The left's Get Trump obsession now threatens the future of the country.
[02:14:20.139 --> 02:14:21.600]  They say, so what?
[02:14:21.600 --> 02:14:23.502]  Hey, you guys are threatening the future of the country.
[02:14:23.502 --> 02:14:24.823]  So what?
[02:14:24.823 --> 02:14:25.804]  Hey, you guys are committing crimes.
[02:14:25.804 --> 02:14:26.465]  So what?
[02:14:26.465 --> 02:14:28.046]  Hey, you guys are abusing children.
[02:14:28.046 --> 02:14:29.047]  So what?
[02:14:29.047 --> 02:14:30.148]  Hey, the vaccines are killing people.
[02:14:30.148 --> 02:14:31.149]  So what?
[02:14:31.149 --> 02:14:32.310]  Hey, the masks don't work.
[02:14:32.310 --> 02:14:33.271]  So what?
[02:14:33.271 --> 02:14:34.192]  Hey, the border's open.
[02:14:34.192 --> 02:14:35.113]  So what?
[02:14:35.113 --> 02:14:36.234]  Hey, record fentanyl deaths.
[02:14:36.234 --> 02:14:36.774]  So what?
[02:14:36.774 --> 02:14:37.915]  I mean, I think you get the point.
[02:14:37.915 --> 02:14:38.656]  I could go on forever.
[02:14:40.361 --> 02:14:41.241]  Yeah, no doubt about it.
[02:14:41.241 --> 02:14:45.302]  But what does it mean that Bragg wanted him arrested today?
[02:14:45.302 --> 02:14:46.082]  What was he expecting?
[02:14:46.082 --> 02:14:51.823]  Trump to fly up there on a jet and walk up to the courtroom to be arraigned?
[02:14:51.823 --> 02:14:56.604]  Yeah, I mean, my guess is what he wants to do is likely he wants to perp walk him.
[02:14:56.604 --> 02:15:02.826]  He wants to do the whole media show, which is not supposed to happen in a high profile case like this.
[02:15:02.826 --> 02:15:05.806]  Does Bragg know that Donald Trump used to be the president?
[02:15:05.806 --> 02:15:06.707]  Is he aware of that?
[02:15:06.707 --> 02:15:08.087]  Has anybody told Bragg that?
[02:15:08.087 --> 02:15:08.807]  He might not know that.
[02:15:10.798 --> 02:15:18.445]  I mean, Bragg is again someone who just a year ago said he wasn't going to pursue the case because there wasn't good legal grounds to bring it.
[02:15:18.445 --> 02:15:21.568]  So clue that Deep State used all of their pressure points.
[02:15:21.568 --> 02:15:28.475]  This is a guy who took a lot of money from George Soros, a key Democratic congressman that was orchestrating Trump's impeachment.
[02:15:28.715 --> 02:15:30.636]  Alright, so let's talk about what this might look like.
[02:15:30.636 --> 02:15:31.497]  Are they going to arrest him?
[02:15:31.497 --> 02:15:32.557]  Are they going to cuff him?
[02:15:32.557 --> 02:15:33.678]  Is he going to sit in a jail cell?
[02:15:33.678 --> 02:15:35.879]  What is Secret Service going to have to say about this?
[02:15:35.879 --> 02:15:37.080]  It's all kinds of messy.
[02:15:37.080 --> 02:15:37.601]  We'll be right back.
[02:15:58.211 --> 02:16:00.292]  I'm a huge believer in information.
[02:16:00.292 --> 02:16:03.593]  I watch InfoWars every day and follow Alex Jones closely.
[02:16:03.593 --> 02:16:04.174]  You know why?
[02:16:04.174 --> 02:16:05.634]  He can put you ahead of the curve.
[02:16:05.634 --> 02:16:09.256]  And he's been demonized as a conspiracy theorist.
[02:16:09.256 --> 02:16:12.797]  Think about how frustrated we are if you've been awake for a year or two.
[02:16:12.797 --> 02:16:16.179]  Imagine being like an Alex Jones or those guys who've been awake for like decades.
[02:16:18.257 --> 02:16:21.239]  Alex has been right on for over a decade.
[02:16:21.239 --> 02:16:22.580]  This is reality.
[02:16:22.580 --> 02:16:24.281]  It's just pancakes.
[02:16:24.281 --> 02:16:26.823]  Truth is stranger than fiction.
[02:16:26.823 --> 02:16:28.965]  The revolution of peaceful information is coming.
[02:16:28.965 --> 02:16:31.767]  And when it comes time, you people are going to be brought to punishment.
[02:16:31.767 --> 02:16:32.987]  You're lying to the public.
[02:16:32.987 --> 02:16:34.028]  It's disgusting.
[02:16:34.028 --> 02:16:36.130]  The media continues to misrepresent.
[02:16:36.670 --> 02:16:37.411]  What I've said.
[02:16:37.411 --> 02:16:40.354]  He may be America's best known conspiracy theorist.
[02:16:40.354 --> 02:16:44.318]  Alex Jones has the largest audience in the country.
[02:16:44.318 --> 02:16:46.300]  Bigger than any of the networks.
[02:16:46.300 --> 02:16:48.422]  The biggest megaphone in the country.
[02:16:48.422 --> 02:16:51.565]  We're gonna get fired up about the real things!
[02:16:51.565 --> 02:16:56.330]  The things that matter!
[02:16:56.330 --> 02:16:57.351]  Burn in hell, New World Order.
[02:16:59.369 --> 02:17:02.510]  I talk a lot about the great successes InfoWars has had.
[02:17:02.510 --> 02:17:04.810]  I don't think anybody can deny it.
[02:17:04.810 --> 02:17:08.731]  And it is because of listeners and viewers supporting us.
[02:17:08.731 --> 02:17:17.674]  When we talk about the crew at InfoWars, people behind the scenes, the researchers, the writers, they really have been the MVPs in this fight.
[02:17:17.674 --> 02:17:25.456]  And when you look at Harrison Smith and Owen Schroyer and the hard work they engage in every day, five, six, seven days a week, it's really just incredible.
[02:17:26.474 --> 02:17:29.355]  So for myself and the whole InfoWars crew, I thank you for your past support.
[02:17:29.355 --> 02:17:35.916]  I want to encourage you now to realize that InfoWars cannot stay on air if you do not support us.
[02:17:35.916 --> 02:17:38.937]  I know you spread the word, I know you pray for us, and that's wonderful, keep doing it.
[02:17:38.937 --> 02:17:47.159]  But most viewers and listeners, never go to InfoWarsStore.com, and you never buy great products that enrich and empower your life, while at the same time keeping us on air.
[02:17:47.859 --> 02:17:52.182]  I know that less than 1% of our listeners actually go buy products at InfoWarsaw.com.
[02:17:52.182 --> 02:17:57.125]  If just 1% more of you took action and went to InfoWarsaw.com, our funding problems will be over.
[02:17:57.125 --> 02:17:57.906]  Please take action now.
[02:18:00.299 --> 02:18:06.703]  It's hard to believe that we're already going into March 2023, and the world is an insane place.
[02:18:06.703 --> 02:18:08.444]  World War III has already started.
[02:18:08.444 --> 02:18:10.766]  Biden is a puppet who's dissolving our borders.
[02:18:10.766 --> 02:18:11.926]  There's mass censorship.
[02:18:11.926 --> 02:18:14.128]  James O'Keefe's been removed from Project Veritas.
[02:18:14.128 --> 02:18:16.389]  The list goes on and on of the bad things that are happening.
[02:18:16.389 --> 02:18:20.772]  But the good things that are happening is humanity is really accelerating its awakening.
[02:18:21.052 --> 02:18:24.994]  But those of us on the forefront are under more attack by the establishment than ever.
[02:18:24.994 --> 02:18:33.398]  That's why I'm counting on you to spread the word about the broadcast, to pray for the broadcast, and to keep the broadcast on the air by getting great products at Infowarshore.com.
[02:18:33.398 --> 02:18:42.062]  And whether it's a final signed copy, they're almost all sold out, or the great reset in the world for the world, or Ultimate Bone Broth finally back in stock after over two years, it's all available at Infowarshore.com.
[02:18:42.062 --> 02:18:43.663]  These are truly amazing products.
[02:18:43.843 --> 02:18:50.033]  So, get your InfoWars products at InfoWarsStore.com and enrich your life while keeping the broadcast on the air.
[02:18:50.033 --> 02:18:54.621]  It is your decision on whether or not we stay on air, so please take action now at InfoWarsStore.
[02:18:58.942 --> 02:19:10.888]  Right now, I'm not talking to the viewers and listeners that have gone to InfoWarshaw.com and gotten the great products that enrich your life, that empower your immune system and your body, and keep us on air.
[02:19:10.888 --> 02:19:15.131]  I am humbly, hand in hand, talking to the viewers and listeners that have tuned in
[02:19:15.811 --> 02:19:19.255]  Many of you for years and never gone to Infowars.com.
[02:19:19.255 --> 02:19:28.067]  We know the vast, vast, vast, vast majority of you never actually go to Infowars.com and never experienced these great products and never found the operation.
[02:19:28.067 --> 02:19:31.110]  Sure, you share a link, you share an article, you tell folks about the show.
[02:19:31.110 --> 02:19:32.052]  That's great and I thank you.
[02:19:32.472 --> 02:19:33.993]  But we need funds to operate.
[02:19:33.993 --> 02:19:42.357]  Plus, we've got really great products that do amazing things for people, like our CBD oil, and our fizzy magnesium, and our sleep aid, and our nitric oxide, and our real red pill.
[02:19:42.357 --> 02:19:44.419]  Plus, all of these are really great products.
[02:19:44.419 --> 02:19:45.319]  They keep us on air.
[02:19:45.319 --> 02:19:47.100]  Plus, you're missing out on having these products.
[02:19:47.100 --> 02:19:48.401]  So get off the bench.
[02:19:48.401 --> 02:19:49.241]  Get in the game.
[02:19:49.241 --> 02:19:55.985]  Step to the plate, and go to InfoWarsTore.com right now, and get these great InfoWars products at InfoWarsTore.com.
[02:19:58.775 --> 02:20:04.696]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[02:20:15.464 --> 02:20:17.025]  Paul Ferry is reporting.
[02:20:17.025 --> 02:20:34.033]  House sources say Democratic Representative Daniel Goldman of Manhattan, who prosecuted the first Trump impeachment and has been bragging to reporters about sabotaging GOP investigations of the Bidens, has privately consulted with Manhattan DA Alvin Bragg about indicting Trump.
[02:20:34.033 --> 02:20:40.977]  I mean, this Democrat Party is just a hive of scum and villainy.
[02:20:40.977 --> 02:20:43.258]  I mean, it's just unbelievable at this point.
[02:20:45.097 --> 02:20:45.240]  And...
[02:20:46.877 --> 02:20:55.063]  It just goes on and on, and I want to get into the situation, what Robert Barnes thinks is going to happen.
[02:20:55.063 --> 02:20:56.104]  Are they going to arrest him?
[02:20:56.104 --> 02:20:56.945]  Are they going to cuff him?
[02:20:56.945 --> 02:20:59.146]  Is he going to spend some time in jail?
[02:20:59.146 --> 02:21:02.409]  Because Secret Service is not going to allow that.
[02:21:02.409 --> 02:21:05.211]  So I mean, how do you see, this is like a standoff.
[02:21:05.211 --> 02:21:15.178]  I mean, how does Secret Service let Donald Trump go out of, I mean, this isn't the right word, but for lack of a better term, how does Secret Service let Donald Trump out of their custody
[02:21:15.999 --> 02:21:24.070]  Or protection, rather, and put him into a jail cell in a corrupt district where, I mean, who knows?
[02:21:24.070 --> 02:21:25.732]  He could get Epstein'd in that cell.
[02:21:25.732 --> 02:21:26.653]  I'll say it.
[02:21:26.653 --> 02:21:27.054]  I'll say it.
[02:21:27.054 --> 02:21:30.098]  They'll put Trump in a jail cell and they'll send someone in there to kill him.
[02:21:30.098 --> 02:21:30.558]  I'll say it.
[02:21:30.558 --> 02:21:32.281]  You don't think Secret Service is thinking about that?
[02:21:32.281 --> 02:21:33.062]  What do you think, Barnes?
[02:21:34.403 --> 02:21:43.087]  Well, just as a practical matter, that risk exists when you put anybody inside a jail period, no less New York jails.
[02:21:43.087 --> 02:21:47.068]  After all, it was a New York jail where Epstein did end up dead.
[02:21:47.068 --> 02:21:49.689]  As I like to say, one of the eternal truths, Epstein himself,
[02:21:51.454 --> 02:21:54.255]  But the, uh, so I think that they have great concerns.
[02:21:54.255 --> 02:21:59.738]  And again, this is something that the Secret Service has no training for because it's never happened before.
[02:21:59.738 --> 02:22:05.521]  They, this has never, no president has ever been arrested, period, ever, at any time.
[02:22:05.521 --> 02:22:12.804]  So the idea that this could even come about, least of all, a leading presidential contender for the next presidency.
[02:22:13.545 --> 02:22:15.947]  I mean, that's what's incredibly unique here.
[02:22:15.947 --> 02:22:25.435]  It's not only locking up the former president, it's locking up the opposition to the leading opposition, to the incumbent president.
[02:22:26.379 --> 02:22:27.940]  I mean, it's extraordinary.
[02:22:27.940 --> 02:22:30.962]  So, the Secret Service has certain protocols.
[02:22:30.962 --> 02:22:32.823]  They're going to have to negotiate.
[02:22:32.823 --> 02:22:35.445]  The New York Prosecutor's Office is going to have to negotiate.
[02:22:35.445 --> 02:22:44.570]  Because Trump no longer lives in New York, they couldn't just raid his house, raid his home, raid his business, and drag him out.
[02:22:44.570 --> 02:22:47.632]  They couldn't do that because he's not inside the state of New York.
[02:22:47.632 --> 02:22:50.013]  New York's jurisdiction ends at its borders.
[02:22:50.786 --> 02:23:09.283]  And while DeSantis could have said a lot more a lot earlier, he confirmed yesterday at least that the state of Florida will not help at all in any extradition proceedings with New York given the constitutional questions surrounding this selective prosecution and legally dubious charges being brought against the president.
[02:23:09.841 --> 02:23:24.442]  So because of the Secret Service role, because Trump is not inside New York, because Florida won't even help in the process, that effectively puts New York in a position where they are at the whim of President Trump in terms of the terms and conditions of his surrender.
[02:23:25.063 --> 02:23:32.884]  So hopefully that they will negotiate that in such a way that we do not get some crazy perp walk, we don't get him put in jail.
[02:23:32.884 --> 02:23:40.486]  But we're going to find out because it appears that they're rigging the judicial system in which judge gets assigned to the case.
[02:23:40.486 --> 02:23:49.328]  I mean, the random chance the same judge who did the Trump Organization case in a biased way gets this case is about 100 to 1 against.
[02:23:49.328 --> 02:23:51.628]  So that tells me that this was rigged.
[02:23:52.368 --> 02:23:55.749]  And so the question is, does the judge abuse his bail power?
[02:23:55.749 --> 02:24:15.554]  Does the prosecutor abuse his arrest power in such a way to try to put Trump in danger, or just politically and publicly embarrass Trump, or potentially restrict and restrain his ability and his rights in that process, in terms of rights to bail, rights to campaign, right?
[02:24:15.554 --> 02:24:18.655]  Now some people have asked, can they take Trump off the ballot?
[02:24:18.655 --> 02:24:19.515]  The answer is no.
[02:24:20.488 --> 02:24:22.689]  No indictment can take Trump off the ballot.
[02:24:22.689 --> 02:24:26.289]  No conviction can take Trump off the ballot.
[02:24:26.289 --> 02:24:34.891]  The presidential candidate Eugene V. Debs ran for office for the president while in federal prison.
[02:24:34.891 --> 02:24:47.414]  Now bogus charges, the misuse and abuse of the Sedition Act that we're now seeing again in the January 6th cases, first tried against Eugene V. Debs just for opposing the draft for World War I.
[02:24:48.460 --> 02:24:49.621]  That's why he was in jail.
[02:24:49.621 --> 02:24:53.484]  But again, they cannot prevent him from being on the ballot.
[02:24:53.484 --> 02:24:55.806]  Cannot prevent people from voting for him.
[02:24:55.806 --> 02:24:58.968]  Cannot keep him out of the White House, quite frankly.
[02:24:58.968 --> 02:25:11.537]  So these efforts to manipulate charges in such a way to try to politically damage Trump, and their ultimate objective is to try to get some sort of sentence that they try to enforce to prevent him from going into the White House.
[02:25:12.017 --> 02:25:23.282]  But in the interim, they will likely try to misuse their power to limit his ability to campaign, limit his ability to speak out, limit his ability to raise funds, limit his ability to travel.
[02:25:23.282 --> 02:25:28.144]  And so we're going to see constitutional questions come up right away at the very beginning of this case.
[02:25:28.724 --> 02:25:56.293]  If they make the mistake of abusing their arrest power or abusing their bail power in the same way they've already abused their prosecutorial power, then I think you'll see even more public backlash against this in the court of public opinion, but you're more likely to see a higher court, including the Supreme Court of the United States, intervene in the case and clarify constitutionally when can local prosecutors derail the entire United States government
[02:25:56.773 --> 02:26:03.398]  For a political purpose, by taking out a political candidate, a political opponent, or a President of the United States.
[02:26:03.398 --> 02:26:07.160]  We just constitutionally cannot allow this to happen, frankly.
[02:26:07.160 --> 02:26:13.124]  And so I think that they may have to intervene, if in fact this case continues to go AWOL.
[02:26:13.124 --> 02:26:16.166]  Because again, the President is factually innocent.
[02:26:16.166 --> 02:26:17.887]  He didn't commit any crime.
[02:26:17.887 --> 02:26:19.168]  Cohen is lying.
[02:26:19.168 --> 02:26:21.689]  Stormy Daniels has admitted nothing illicit happened.
[02:26:21.689 --> 02:26:23.311]  She was part of an extortion ring.
[02:26:23.311 --> 02:26:25.312]  She was the extortionist, not the victim.
[02:26:26.072 --> 02:26:29.415]  Uh, the, and so just factually he's innocent.
[02:26:29.415 --> 02:26:40.142]  Uh, the, there's confirmation there's no Trump texts, no Trump messages, no Trump emails, uh, that confirm anything in the indictment according to recent released reports, uh, and information.
[02:26:40.142 --> 02:26:45.446]  He's legally innocent because even if what they said was factually true about him, it's not a crime in New York.
[02:26:46.404 --> 02:27:03.679]  He's constitutionally innocent because this violates his fair notice requirements under the Due Process Clause, violates selective prosecution principles, violates the right to an impartial grand jury by how the grand jury was convened and what evidence was presented, including subordinate evidence and exculpatory evidence excluded.
[02:27:04.339 --> 02:27:15.745]  And it's selective prosecution in violation of the First Amendment, targeting someone that they have never prosecuted for these kind of claims before, for openly, overtly, admittedly, confessedly political charges.
[02:27:15.745 --> 02:27:18.466]  So based on that, the charges should be dismissed.
[02:27:18.466 --> 02:27:26.771]  But we have seen what rogue courts do, because it's the InfoWars audience that's witnessed it happen to Alex Jones, and we've been warning.
[02:27:26.771 --> 02:27:28.732]  Alex Jones is the canary in the coal mine.
[02:27:28.732 --> 02:27:32.914]  When it came to social media censorship, when it came to the weaponization of the legal system, the same.
[02:27:33.454 --> 02:27:49.222]  Just as they violated his rights to bring motions to dismiss, his rights to bring anti-slap motions, his right to discovery, his right to trial by jury on the substantive merits, all of which was violated by both courts in Connecticut and Texas, we're now seeing the same political weaponization used here.
[02:27:49.222 --> 02:27:56.085]  And the only reason why it hasn't worked is because the audience has continued to support Infowars despite the war on the audience.
[02:27:56.485 --> 02:27:58.846]  The war on Trump is a war on you.
[02:27:58.846 --> 02:28:02.148]  The war on Trump is a war on our constitutional liberties.
[02:28:02.148 --> 02:28:06.611]  In the same way the war on Alex Jones was a war on the populist audience.
[02:28:06.611 --> 02:28:17.917]  That's why if you continue to support InfoWars by going to InfoWarsStore.com you can find products you like and you can give a nice big fat middle finger to the establishment in the deep state
[02:28:18.337 --> 02:28:29.240]  By continuing to make yourself healthier, wealthier, and wiser by finding products you like at affordable, accessible prices that keep InfoWars on the air despite the legal war against them.
[02:28:29.240 --> 02:28:39.942]  In the end, the best defense for Alex Jones and InfoWars and populism is the audience continuing to support the means by which this message gets out there.
[02:28:40.382 --> 02:28:41.563]  Same is true of Trump.
[02:28:41.563 --> 02:28:44.325]  It's you, the American people, that are still the front line.
[02:28:44.325 --> 02:28:46.026]  This is the Revere Ride.
[02:28:46.026 --> 02:28:49.929]  Time to rally to the constitutional cause and the court of public opinion.
[02:28:49.929 --> 02:28:51.490]  Defend President Trump.
[02:28:51.490 --> 02:28:54.031]  Defend our liberty.
[02:28:54.031 --> 02:28:54.772]  That's Bob Barnes.
[02:28:54.772 --> 02:28:58.935]  We'll be right back on the Alex Jones Show.
[02:28:58.935 --> 02:29:05.159]  If Alex Jones runs for president in the Republican Party, he has a chance of winning.
[02:29:08.581 --> 02:29:14.503]  If you just tuned in, you may be noticing I'm wearing an Alex Jones for President 2024 shirt.
[02:29:14.503 --> 02:29:16.903]  I am not seriously planning to run for president.
[02:29:16.903 --> 02:29:18.244]  This is an idea the crew had.
[02:29:18.244 --> 02:29:20.904]  To have a triggering shirt, kind of next level.
[02:29:20.904 --> 02:29:22.145]  Alex Jones was right.
[02:29:22.145 --> 02:29:26.506]  There's Infowars.com on the back, Alex Jones for President 2024 on the front.
[02:29:26.506 --> 02:29:27.546]  It's a fundraiser shirt.
[02:29:27.546 --> 02:29:28.807]  It's made out of really nice fabric.
[02:29:28.807 --> 02:29:30.167]  It's high quality.
[02:29:30.167 --> 02:29:33.568]  And it is a exclusive shirt to Infowarsstore.com.
[02:29:33.568 --> 02:29:35.408]  And when the shirts are gone, they're gone.
[02:29:35.408 --> 02:29:36.509]  We're doing one run.
[02:29:37.409 --> 02:29:37.729]  No way.
[02:29:37.729 --> 02:29:37.929]  No way.
[02:29:37.929 --> 02:29:39.170]  That's a bridge too far.
[02:29:39.170 --> 02:29:41.091]  No, it can't be.
[02:29:41.091 --> 02:29:43.692]  And I said on national television that he was going to win.
[02:29:58.148 --> 02:30:00.150]  I've got some good news.
[02:30:00.150 --> 02:30:07.037]  Our high quality supplements really work and we have about an 80% reorder rate with customers.
[02:30:07.037 --> 02:30:07.858]  That's the good news.
[02:30:07.858 --> 02:30:09.000]  They're amazing.
[02:30:09.000 --> 02:30:16.487]  The bad news is around 1% or a little less of our actual viewers and listeners ever go to InfoWarstore.com and ever actually buy the products.
[02:30:17.168 --> 02:30:20.612]  So you're missing out on these products, plus it funds the Infowar.
[02:30:20.612 --> 02:30:25.538]  Think of what we've done with just 1% of our massive audience actually buying products.
[02:30:25.538 --> 02:30:32.585]  Think what would happen if those of you on the fence actually went to InfowarStore.com and got some of these amazing products.
[02:30:33.206 --> 02:30:40.832]  I would recommend Turmeric 95 for your joints, your bones, inflammation, to get one of the biggest effects, so you reorder it and see how great it is.
[02:30:40.832 --> 02:30:49.799]  Also, we've got the super high-quality, full-spectrum CBD oil that's so good for your neurological systems, your brain, your joints, your bones as well.
[02:30:49.799 --> 02:30:51.180]  Or Real Red Pill Plus.
[02:30:51.180 --> 02:30:55.603]  Just go try the product, fund the InfoWar, and help us defeat the New World Order together.
[02:30:55.603 --> 02:30:56.864]  InfoWarStore.com.
[02:30:58.085 --> 02:31:00.286]  I'm a huge believer in information.
[02:31:00.286 --> 02:31:03.468]  I watch InfoWars every day and follow Alex Jones closely.
[02:31:03.468 --> 02:31:04.048]  You know why?
[02:31:04.048 --> 02:31:05.529]  He can put you ahead of the curve.
[02:31:05.529 --> 02:31:09.151]  And he's been demonized as a conspiracy theorist.
[02:31:09.151 --> 02:31:12.672]  Think about how frustrated we are if you've been awake for a year or two.
[02:31:12.672 --> 02:31:16.074]  Imagine being like an Alex Jones or those guys who've been awake for like decades.
[02:31:18.137 --> 02:31:21.118]  Alex has been right on for over a decade.
[02:31:21.118 --> 02:31:22.458]  This is reality.
[02:31:22.458 --> 02:31:24.159]  It's just pancakes.
[02:31:24.159 --> 02:31:26.599]  Truth is stranger than fiction.
[02:31:26.599 --> 02:31:28.840]  The revolution of peaceful information is coming.
[02:31:28.840 --> 02:31:31.641]  And when it comes time, you people are going to be brought to punish.
[02:31:31.641 --> 02:31:32.721]  You're lying to the public.
