[00:00:09.386 --> 00:00:13.140]  You're gonna pay somewhere between 20% and 40% less than those other countries.
[00:54:46.886 --> 00:55:15.179]  Virus actually leaked from the Wuhan labs there are bits and pieces of evidence that seem to imply that is the case one of them I believe is that there was an RFP a request for proposal for new ventilation systems That was put out by the CCP in September of 2019 specifically for the Wuhan lab I believe that this RFP was later removed from their site But it does imply that there might have been some sort of leak or contamination issue at the lab at that time and Bill Gates being
[00:55:16.209 --> 00:55:26.397]  Bill Gates, the billionaire known worldwide who is intimately involved in vaccinations worldwide, would be among those first to know if such an event were to take place.
[00:55:26.397 --> 00:55:36.986]  So in September 2019, just months before the pandemic was announced, but when the pandemic actually started, Bill Gates is buying shares in BioNTech.
[00:55:36.986 --> 00:55:37.807]  He purchased 1,038,674 shares.
[00:55:43.649 --> 00:55:43.949]  I don't know.
[00:55:58.949 --> 00:56:01.330]  $300 per share on average.
[00:56:01.330 --> 00:56:19.936]  So I'm not in a position to do the math right now on that, but he made millions upon millions upon millions of dollars investing in this mRNA technology and lying about the vaccine for years in order to ensure that his share prices went up.
[00:56:19.936 --> 00:56:25.698]  And frankly, I think that this is one of the main reasons that the J&J vaccine was taken off the market so quickly.
[00:56:26.468 --> 00:56:52.374]  Because when you have the likes of Bill Gates investing in this technology at prices of $18 a share, later to be sold for an average of $300 a share, and then you have a competitor come out with a vaccine that is not an mRNA-based technology, but rather a traditional vaccine, which is just, you know, a piece of the dead or weakened virus injected into the body for the immune system to respond to, that really does harm
[00:56:53.234 --> 00:56:56.057]  The potential gains of these investments.
[00:56:56.057 --> 00:57:08.229]  So my thinking is that the J&J vaccine was not taken off of the market because it was perceived as increasingly dangerous or less effective than the mRNA vaccines, because we know that the mRNA vaccines were dangerous and ineffective.
[00:57:09.005 --> 00:57:17.251]  But it was taken off the market because billionaire Bill Gates and the political class were invested in the mRNA tech.
[00:57:17.251 --> 00:57:27.658]  They did insider trading, buying shares, $18 a share, later to sell them for $300 a share, and they wanted to make sure that everybody got their vaccine so they could make millions upon millions of dollars.
[00:57:27.658 --> 00:57:34.784]  Even though there was probably a safer alternative on the market, they had to take that one off because eight people got blood clots in their legs after they got vaccinated.
[00:57:34.784 --> 00:57:35.324]  Stick with us, folks.
[00:57:35.324 --> 00:57:36.705]  We'll be back after this break.
[00:57:36.705 --> 00:57:37.906]  Make sure you visit InfoWars.
[00:57:38.227 --> 00:57:42.642]  Store.com and support keeping Infowars on the air.
[00:57:50.208 --> 00:57:58.372]  Omega-3 fatty acids are needed for optimal strength, and they can only be obtained through diet.
[00:57:58.372 --> 00:58:03.854]  They can be found in grass-fed beef, which is why the ruling class is trying to ban it.
[00:58:03.854 --> 00:58:08.796]  And they can be found in fish, which are arguably the best source of omega-3s.
[00:58:10.177 --> 00:58:15.022]  But the problem today is finding fish without a high mercury content.
[00:58:15.022 --> 00:58:20.668]  Your best option is our Ultimate Fish Oil and Ultimate Krill Oil at InfowarsStore.com.
[00:58:22.563 --> 00:58:31.425]  Omega-3 fatty acids are essential for both our neurological and cardiovascular systems, our brain and our heart.
[00:58:31.425 --> 00:58:36.206]  They improve mood, mental clarity, and immune function.
[00:58:36.206 --> 00:58:41.347]  Get your essential Omega-3 fatty acids from the best sources available.
[00:58:41.347 --> 00:58:44.387]  Ultimate Fish Oil and Ultimate Krill Oil.
[00:58:44.387 --> 00:58:46.588]  Get some today at InfoWareStore.com.
[00:58:49.246 --> 00:58:54.928]  For everything the globalists hit us with, God, through Mother Nature, has given us the answer.
[00:58:54.928 --> 00:59:05.531]  I don't have to sell you on CBD oil, full spectrum CBD oil, the incredible things it does for your nerves, your brain, your entire physiological system, for your nervous system particularly.
[00:59:05.531 --> 00:59:07.571]  Everybody knows it's incredible, it works.
[00:59:07.571 --> 00:59:12.673]  We have the strongest, best CBD oil you're gonna find anywhere at the lowest price.
[00:59:12.673 --> 00:59:15.574]  Yes, you can find this same CBD oil for 30% more
[00:59:17.441 --> 00:59:19.202]  Because that's who we're getting it from.
[00:59:19.202 --> 00:59:21.904]  Made right here in Central Texas.
[00:59:21.904 --> 00:59:25.547]  Our private label name is Rebel Zen.
[00:59:25.547 --> 00:59:31.132]  Rebel Zen is a private label of one of the top three or four CBD makers in the country.
[00:59:31.132 --> 00:59:33.954]  It's based right here in Texas and we're giving it to you at 30% off.
[00:59:33.954 --> 00:59:35.055]  And here's what's even crazier.
[00:59:35.775 --> 00:59:37.715]  30% off of what they're selling it for.
[00:59:37.715 --> 00:59:40.976]  They're selling theirs for 30% off what their competitors are.
[00:59:40.976 --> 00:59:45.337]  So this is the highest rated, already at the lowest price, now even a lower price.
[00:59:45.337 --> 00:59:46.117]  Rebels In.
[00:59:46.117 --> 00:59:53.059]  Get yours at InfoWareStore.com now.
[00:59:53.059 --> 00:59:56.700]  If you are receiving this transmission, you are the resistance.
[01:00:13.780 --> 01:00:18.123]  The last beacon of truth in a world of deception, it's Alex Jones.
[01:00:21.661 --> 01:00:23.242]  Welcome back to the Alex Jones Show.
[01:00:23.242 --> 01:00:26.083]  I'm your host today, Chase Geyser, filling in for the great Alex Jones.
[01:00:26.083 --> 01:00:38.427]  I know Alex said when we first played that liner, I didn't write that, I'm not the last beacon of hope, but I wrote that liner and I think he's the last beacon of hope against a world of deception, against the New World Order.
[01:00:38.427 --> 01:00:39.707]  But there are many that are in the fight.
[01:00:39.707 --> 01:00:44.509]  But it's so important to support InfoWars because we truly are
[01:00:45.874 --> 01:00:52.737]  A very special network in this fight for freedom against the establishment of the globalist elite and the New World Order.
[01:00:52.737 --> 01:00:54.497]  Make sure you visit infowarrestore.com and support us.
[01:00:54.497 --> 01:01:03.481]  And make sure you call in 877-789-2539 because I do want to take your calls for the duration of this hour, specifically starting in the next segment.
[01:01:03.481 --> 01:01:05.342]  We might take a call this segment too.
[01:01:05.342 --> 01:01:13.645]  But before we go into calls, I do want to talk a little bit about James O'Keefe, who is filing a lawsuit against Hawaii governor over criminalization of journalism.
[01:01:14.685 --> 01:01:25.733]  James O'Keefe is teaming up with attorney Mike Yoder to sue the governor of Hawaii after a new provision prohibits journalists from investigating in the wake of the Maui wildfires.
[01:01:25.733 --> 01:01:29.276]  Let's go ahead and play clip 06 and then we'll dive in after that.
[01:01:31.365 --> 01:01:37.070]  So I'm with attorney Mike Yoder who has decided to file a lawsuit in light of some of these revelations.
[01:01:37.070 --> 01:01:39.111]  Mike, what do you intend to do?
[01:01:39.111 --> 01:01:53.403]  The first and most important thing is just so people in Hawaii and behind us understand that what we're trying to do is ensure that the land that they are so sincere about and that they care so much about isn't taken from them a second time.
[01:01:53.403 --> 01:01:57.086]  A lot of the animosity and hostility is understandable based on the history and the culture that
[01:01:57.646 --> 01:01:59.727]  is very deeply rooted in Hawaii.
[01:01:59.727 --> 01:02:12.453]  But if we don't have the freedom of the press, we don't have the freedom of speech, and people are kept in the dark as to what the government's doing and what is going on, then there's no way to ever have a people-led or people-controlled society.
[01:02:12.453 --> 01:02:18.996]  So the first step we're going to take down is the suppression of electronic media, make sure people are able to speak freely.
[01:02:18.996 --> 01:02:23.738]  Second step is to take out the criminal provisions of people exercising the rights that are guaranteed under both the U.S.
[01:02:23.738 --> 01:02:25.699]  Constitution and the Hawaiian Constitution.
[01:02:25.879 --> 01:02:29.261]  And this is the statute, the revised statute that we've been hearing about?
[01:02:59.941 --> 01:03:08.787]  So we can see there that James O'Keefe is fighting for truth against corruption as always, which is probably why he is no longer with Project Veritas.
[01:03:08.787 --> 01:03:13.449]  I tell you what, man, as soon as you get a board of directors, that's how you know that a company is about ready to go under.
[01:03:13.449 --> 01:03:23.035]  I mean, not necessarily under financially, but all of its integrity, all of its mission statements, all of its values are about to be compromised as soon as a board of directors comes in place instead of a CEO.
[01:03:23.035 --> 01:03:24.296]  We saw this happen with Google.
[01:03:24.856 --> 01:03:25.856]  It goes public.
[01:03:25.856 --> 01:03:29.597]  Within a number of years, they removed Don't Be Evil from their mission statement.
[01:03:29.597 --> 01:03:30.878]  We saw this happen with Facebook.
[01:03:30.878 --> 01:03:32.678]  Used to be the best social media platform in the world.
[01:03:32.678 --> 01:03:33.278]  It went public.
[01:03:33.278 --> 01:03:36.379]  Now it's totally woke and it totally sucks to be on.
[01:03:36.379 --> 01:03:37.499]  We saw this happen with Apple.
[01:03:37.499 --> 01:03:38.079]  It went public.
[01:03:38.079 --> 01:03:38.999]  They fired Steve Jobs.
[01:03:38.999 --> 01:03:40.200]  The company almost went over.
[01:03:40.200 --> 01:03:44.501]  Then they had to bring Steve back and basically give him executive authority over everything in order to save the company.
[01:03:44.501 --> 01:03:45.701]  We saw it happen with Twitter.
[01:03:45.701 --> 01:03:46.321]  They went public.
[01:03:46.321 --> 01:03:46.961]  They got a board.
[01:03:46.961 --> 01:03:47.522]  They went woke.
[01:03:47.522 --> 01:03:48.682]  They started censoring everyone.
[01:03:48.682 --> 01:03:53.123]  And now it's finally good again because it's reprivatized and there's actually a CEO at the helm.
[01:03:54.301 --> 01:03:57.903]  Make sure that you call 877-789-2539.
[01:03:57.903 --> 01:04:01.865]  Again, that is 877-789-2539.
[01:04:01.865 --> 01:04:06.008]  After this break, coming up in a minute, we are going to be taking your calls.
[01:04:06.008 --> 01:04:12.832]  I want to hear what you think about everything that's going on as far as Bill Gates is concerned, as far as Russell Brand is concerned, as far as these Maui wildfires are concerned.
[01:04:12.832 --> 01:04:16.354]  I'm going to dive in a little bit more on that in the next segment, too, right as we take calls.
[01:04:16.354 --> 01:04:19.696]  In the meantime, make sure you visit InfoWarsStore.com.
[01:04:20.356 --> 01:04:29.408]  Because sometimes you need an added boost and that's why the Real Red Pill Plus is the perfect pregnenolone-fueled formula for you at 25% off.
[01:04:29.408 --> 01:04:35.676]  Add this whole body support with a boost of zinc and pregnenolone to your daily routine and see the difference.
[01:04:36.417 --> 01:04:42.421]  Remember, folks, the real Red Pill Plus is back at 25% off at InfoWarsStore.com.
[01:04:42.421 --> 01:04:52.508]  Everything you buy at InfoWarsStore.com is not only in exchange for a great product, but it is in support of the greatest network fighting the greatest evil this world has ever seen.
[01:04:52.508 --> 01:04:57.351]  That is the New World Order and the globalist conglomeration of all power and subjugation of humanity.
[01:04:59.656 --> 01:05:03.960]  The wicked plot against the righteous, and gnash their teeth at them.
[01:05:03.960 --> 01:05:08.143]  But the Lord laughs at the wicked, for he knows their day is coming.
[01:05:08.143 --> 01:05:15.149]  The wicked draw the sword and bend the bow, to bring down the poor and needy, to slay those whose ways are upright.
[01:05:15.149 --> 01:05:19.612]  But their swords will pierce their own hearts, and their bows will be broken.
[01:05:19.612 --> 01:05:23.776]  Better the little that have righteousness, than the wealth of any wicked.
[01:05:23.776 --> 01:05:27.439]  For the power of the wicked will be broken, but the Lord upholds the righteous.
[01:05:28.891 --> 01:05:34.034]  The blameless spend their days under the Lord's care, and their inheritance will endure forever.
[01:05:34.034 --> 01:05:37.396]  In times of disaster, they will not wither.
[01:05:37.396 --> 01:05:40.318]  In days of famine, they will not plunder.
[01:05:40.318 --> 01:05:42.559]  But the wicked will perish.
[01:05:42.559 --> 01:05:48.263]  Though the Lord's enemies are like the flowers in the field, they will be consumed, and they will go up in smoke.
[01:06:04.685 --> 01:06:08.690]  The answer to 1984 is 1776.
[01:06:08.690 --> 01:06:16.580]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:06:19.488 --> 01:06:22.110]  Welcome back to the Alex Jones Show, folks.
[01:06:22.110 --> 01:06:24.071]  I'm Chase Geyser, filling in for the great Alex Jones.
[01:06:24.071 --> 01:06:36.818]  And what you're hearing there is a beautiful song, I believe, called The Ecstasy of Gold, which was famously featured at the end of The Good, the Bad, and the Ugly with Clint Eastwood.
[01:06:36.818 --> 01:06:37.559]  Sort of a prescient
[01:06:39.588 --> 01:06:41.209]  We're good to go.
[01:07:00.487 --> 01:07:05.469]  In order to trick the others out of their share of the gold and take it all for themselves.
[01:07:05.469 --> 01:07:06.869]  That's what's happening today.
[01:07:06.869 --> 01:07:08.029]  That's what's going on today.
[01:07:08.029 --> 01:07:18.233]  We have the bad and the ugly in power trying to do everything they can to trick good people, honest people, out of their share of the earnings from the work that they do.
[01:07:19.153 --> 01:07:31.397]  We see this in that we're hypertaxed, and that our taxes aren't spent on any goods or infrastructure for these people, or to empower America, but are given to the morally compromised and corrupt in Ukraine.
[01:07:31.397 --> 01:07:44.081]  We see that these resources are used to help all of our enemies all over the world, whether in the Middle East, whether in Europe, whether in Taiwan, even in China.
[01:07:45.276 --> 01:07:54.344]  All these resources go away from us, towards our enemies, so that our political class can get the kick back.
[01:07:54.344 --> 01:07:56.306]  It's exactly what we're experiencing in the world today.
[01:07:57.421 --> 01:08:08.868]  I don't know if you noticed this week, but millions of dollars were diverted from Egypt, from the United States, to Taiwan to bolster their defense in the face of the warships that are now surrounding the island.
[01:08:08.868 --> 01:08:18.513]  It looks like China is in a position to invade Taiwan, given all of the resources and distractions the United States is committed to in Ukraine.
[01:08:18.513 --> 01:08:21.275]  This would be an ideal time for China to act.
[01:08:21.275 --> 01:08:24.557]  We are at the weakest that we have ever been as a nation since the Civil War.
[01:08:26.010 --> 01:08:32.208]  So if China is ever going to take Taiwan, now would be the time to do it because we in the United States aren't in a position.
[01:08:33.857 --> 01:08:34.918]  To mitigate that.
[01:08:34.918 --> 01:08:35.458]  To counteract that.
[01:08:35.458 --> 01:08:37.580]  And I'm not suggesting that we ever go to war with China over Taiwan.
[01:08:37.580 --> 01:08:43.144]  I don't think that we should go to war with superpowers on behalf of other nations at all.
[01:08:43.144 --> 01:08:44.505]  I am a populist.
[01:08:44.505 --> 01:08:46.907]  I believe in America first, 100%.
[01:08:46.907 --> 01:08:57.975]  But I also do believe in protecting the interests of the United States of America, in protecting the national security of the United States of America, in such a way that through trade and negotiation and international relations,
[01:08:58.215 --> 01:09:06.341]  We don't ever arrive at a problem where we have to actually make a decision whether to go to war or not with a superpower on behalf of our interests.
[01:09:06.341 --> 01:09:12.165]  But when you have weak leaders, this is what we're faced with.
[01:09:12.165 --> 01:09:18.309]  Jordan Peterson famously said, if you're concerned about what a strong man in power will do, someone like Donald Trump,
[01:09:19.332 --> 01:09:23.256]  Just wait until you see what a weak man in power will do.
[01:09:23.256 --> 01:09:24.998]  And that's what we've seen here in the United States.
[01:09:24.998 --> 01:09:29.382]  We have seen what America looks like when a weak man is in leadership.
[01:09:29.382 --> 01:09:32.566]  And it is hell to pay!
[01:09:32.566 --> 01:09:35.729]  Make sure you call in 877-789-2539.
[01:09:35.729 --> 01:09:38.612]  First up, I want to take a call from John in Tallahassee.
[01:09:38.612 --> 01:09:40.774]  John, how are you, sir?
[01:09:40.774 --> 01:09:41.655]  Doing okay.
[01:09:41.655 --> 01:09:42.496]  How about you?
[01:09:42.496 --> 01:09:43.056]  I'm doing well.
[01:09:43.056 --> 01:09:43.657]  Thank you for your call.
[01:09:44.443 --> 01:09:46.885]  Alright, well, a.k.a.
[01:09:46.885 --> 01:09:49.167]  Johnny Prank Train, but that's besides the point.
[01:09:49.167 --> 01:10:06.461]  What I want to say is, I wonder if it can be investigated how much money Bill Gates is going to make on a vaccine for malaria now that he's done set mosquitoes loose in Florida and Texas and God knows where.
[01:10:06.461 --> 01:10:11.745]  You know, the people in India and Africa, they don't like him for all the vaccines he's put over there.
[01:10:12.699 --> 01:10:14.821]  Yeah, that's a really good point.
[01:10:14.821 --> 01:10:20.827]  This is one of the funny things about Bill Gates to me, is that people talk about how he gave his entire
[01:10:22.179 --> 01:10:22.799]  We're good to go.
[01:10:45.089 --> 01:10:48.952]  For the good of the people, but so that he can make millions upon millions of dollars.
[01:10:48.952 --> 01:11:02.403]  I mean, you don't spend, you don't buy 1,038,000 shares of Biointech at $18 a share and then sell it a year and a half later or two years later for $300 a share because you love humanity so much.
[01:11:02.403 --> 01:11:08.929]  You do it so you can make tens and tens of millions of dollars, if not hundreds of millions of dollars off of that business deal.
[01:11:08.929 --> 01:11:13.553]  And when you have insider knowledge like that, and when you have incentive to lie about products,
[01:11:14.133 --> 01:11:20.478]  In the public health sector, in order to make millions upon millions of dollars like that, it's not something that you're doing to save humanity.
[01:11:20.478 --> 01:11:30.747]  And frankly, if you look at it from an altruistic perspective, let's just measure up how much good Bill Gates did for humanity.
[01:11:32.719 --> 01:11:39.246]  At Microsoft versus since Microsoft with all of his vaccine baloney, right?
[01:11:39.246 --> 01:11:48.896]  I mean, Microsoft, whether you like Microsoft or not, whether you like Bill Gates or not, you have to admit, it put the internet and computing in the hands of poor people all over the world.
[01:11:49.497 --> 01:12:09.194]  There are people in India right now that are able to do things like graphic design, software development, web development, that are able to provide for their families for the first time in a way that was not possible before Microsoft because of Microsoft, because of things like Windows 95, Windows 98, Windows XP, these operating systems, and then all the hardware that was
[01:12:09.694 --> 01:12:23.031]  Cheap enough for the first time ever that a college didn't have to spend $100,000 on a supercomputer in order for somebody to do a little bit of math, but everybody could have a computer more powerful than the computation used to get astronauts to the moon in their own home!
[01:12:24.933 --> 01:12:27.136]  Even in a third world home, right?
[01:12:27.136 --> 01:12:40.594]  So, I contend that Bill Gates, through his work at Microsoft, did much more to actually help vulnerable, disenfranchised, and poor people all over the world than anything that he's ever done
[01:12:41.315 --> 01:12:45.098]  ...altruistically through any charity since he left Microsoft.
[01:12:45.098 --> 01:12:51.683]  And it's just a testament to the fact that capitalism is actually better for the poor than collectivism.
[01:12:51.683 --> 01:12:55.406]  Capitalism is better for the vulnerable than altruism.
[01:12:56.365 --> 01:13:01.548]  Doing things out of your own self-interest with a moral compass, right?
[01:13:01.548 --> 01:13:20.200]  Not at the expense of other people, but building giant companies that offer legitimate value to people all over the world actually helps the poor people more than just trying to enforce your agenda or your ideals or your view on humanity by throwing billions upon billions of dollars at wasteful non-profits.
[01:13:22.025 --> 01:13:22.846]  I want to take more calls.
[01:13:22.846 --> 01:13:25.929]  Make sure you call in 877-789-2539.
[01:13:25.929 --> 01:13:27.770]  We've got time for one more call before we cut the break.
[01:13:27.770 --> 01:13:31.013]  Let's hear from Alex in Michigan.
[01:13:31.013 --> 01:13:34.356]  Alex, how are you, sir?
[01:13:34.356 --> 01:13:35.497]  Hey, how's it going, man?
[01:13:35.497 --> 01:13:35.917]  Good, man.
[01:13:35.917 --> 01:13:38.540]  Thanks for your call.
[01:13:38.540 --> 01:13:47.228]  Yeah, I just wanted to talk about how the Illuminati is run, and it's run by the Jesuits.
[01:13:47.228 --> 01:13:48.209]  Okay.
[01:13:48.209 --> 01:13:48.629]  Tell me more.
[01:13:50.638 --> 01:13:54.142]  And so it's the Freemasons also, the high-level Freemasons.
[01:13:54.142 --> 01:13:55.623]  I understand you're a Freemason.
[01:13:55.623 --> 01:14:08.256]  Maybe you're only a Blue Lodge and don't know what's going on higher up, but the Jesuits use Freemasonry to fulfill the needs of the Black Pope in Rome who runs Washington, D.C.
[01:14:08.256 --> 01:14:12.420]  through Georgetown University and the Masonic Lodge there in D.C.
[01:14:13.388 --> 01:14:15.448]  Okay, I'm a member of Federal Lodge No.
[01:14:15.448 --> 01:14:16.009]  1 in D.C.
[01:14:16.009 --> 01:14:18.509]  It's among several Masonic Lodges in D.C.
[01:14:18.509 --> 01:14:27.031]  and I can tell you for a fact that Freemasonry has nothing to do with the existing conspiracies around the Illuminati or the New World Order or the Black Pope.
[01:14:27.031 --> 01:14:39.194]  Frankly, I believe it's still against the Catholic Church to even be a member of a Masonic Lodge because the Masonic Lodges were associated with the Reformation and freedom of thought and freedom of speech in a time where the Catholic Church
[01:14:39.674 --> 01:14:40.214]  We're good.
[01:15:04.705 --> 01:15:07.887]  So, you know, you can say, oh, you're not high up enough, you're not high up enough.
[01:15:07.887 --> 01:15:14.811]  And sure, I'm certain that there are people that are very powerful that also happen to be Freemasons that are involved in some questionable things.
[01:15:14.811 --> 01:15:20.915]  But the fraternity itself is a fraternity that is based off of freedom of speech, freedom of thought, freedom of religion.
[01:15:20.915 --> 01:15:26.879]  Our founders were Freemasons, not because they were conspiring together to seize power, but because they were conspiring together to
[01:15:27.779 --> 01:15:31.041]  Free man from all oppression and tyranny worldwide.
[01:15:31.041 --> 01:15:33.543]  It's an anti-globalist fraternity.
[01:15:33.543 --> 01:15:43.650]  It's the oldest fraternity in the world and one, in my opinion, cannot claim to love America and simultaneously claim to disavow Freemasonry because without Freemasonry, this country would not exist.
[01:15:43.650 --> 01:15:44.190]  Stick with us, folks.
[01:15:44.190 --> 01:15:45.391]  We'll be back after this break.
[01:15:45.391 --> 01:15:49.834]  Make sure you visit InfoWarsStore.com and get something to support the network.
[01:15:59.252 --> 01:16:03.956]  Infowarsstore.com is like a grocery store, or like a vitamin shop.
[01:16:03.956 --> 01:16:06.017]  We want to have all the best brands for you.
[01:16:06.017 --> 01:16:07.979]  We want to have a bunch of different choices for you.
[01:16:07.979 --> 01:16:10.441]  So I get constant questions online and in person.
[01:16:10.441 --> 01:16:11.261]  Hey, what's better?
[01:16:11.261 --> 01:16:12.122]  Knockout?
[01:16:12.122 --> 01:16:13.463]  What's better?
[01:16:13.463 --> 01:16:14.204]  Down-and-out?
[01:16:14.204 --> 01:16:14.724]  What's better?
[01:16:14.724 --> 01:16:16.986]  Why do you sell two or three different sleep aids?
[01:16:16.986 --> 01:16:21.930]  And the answer is, different herbal formulas, different compounds are better for different people.
[01:16:22.620 --> 01:16:26.585]  So, one person might like this coffee, another person likes that coffee.
[01:16:26.585 --> 01:16:27.926]  That's how our bodies work.
[01:16:27.926 --> 01:16:29.208]  They're all very diverse.
[01:16:29.208 --> 01:16:39.419]  But we've been able to private label a national bestseller that's been sold for many years that people love and sold for a lower price under the name InfoWarsMD Good Night's Sleep.
[01:16:40.140 --> 01:16:45.763]  This is a great formula, full of amazing safe compounds, give you deeper, cleaner, restful sleep.
[01:16:45.763 --> 01:16:50.306]  And it's in stock, available right now, of 25% off out of the gates.
[01:16:50.306 --> 01:16:59.211]  So get your InfoWars MD, good night's sleep today, at InfoWarsWare.com.
[01:16:59.211 --> 01:17:04.074]  For everything the globalists hit us with, God, through Mother Nature, has given us the answer.
[01:17:04.895 --> 01:17:05.155]  I don't have
[01:17:27.421 --> 01:17:29.183]  Because that's who we're getting it from.
[01:17:29.183 --> 01:17:31.886]  Made right here in Central Texas.
[01:17:31.886 --> 01:17:35.530]  Our private label name is Rebel Zen.
[01:17:35.530 --> 01:17:41.135]  Rebel Zen is a private label of one of the top three or four CBD makers in the country.
[01:17:41.135 --> 01:17:43.938]  It's based right here in Texas and we're giving it to you at 30% off.
[01:17:43.938 --> 01:17:45.039]  And here's what's even crazier.
[01:17:45.760 --> 01:17:47.701]  30% off of what they're selling it for.
[01:17:47.701 --> 01:17:50.962]  They're selling theirs for 30% off what their competitors are.
[01:17:50.962 --> 01:17:55.323]  So this is the highest rated, already at the lowest price, now even a lower price.
[01:17:55.323 --> 01:17:56.103]  Rebels In.
[01:17:56.103 --> 01:17:58.984]  Get yours at InfoWareStore.com now.
[01:17:58.984 --> 01:18:00.425]  I didn't realize this was back this week.
[01:18:00.425 --> 01:18:01.365]  I thought it was next week.
[01:18:01.365 --> 01:18:05.786]  I come in this morning, it's back in the warehouse, ready to roll.
[01:18:05.786 --> 01:18:08.007]  Body's ultimate turmeric formula.
[01:18:08.007 --> 01:18:11.848]  And the first thing I did was pop one of these bad boys.
[01:18:11.848 --> 01:18:13.749]  Overhead shot, please.
[01:18:13.749 --> 01:18:14.449]  Look how full.
[01:18:15.694 --> 01:18:17.895]  Let's bottle this.
[01:18:17.895 --> 01:18:20.837]  Right to the top, folks.
[01:18:20.837 --> 01:18:26.700]  Right to the top with these 95% curcuminoids.
[01:18:26.700 --> 01:18:30.902]  Again, most turmeric formulas are 5%, some are maybe 10.
[01:18:30.902 --> 01:18:33.583]  The other strongest brands are 75%.
[01:18:33.583 --> 01:18:36.325]  This is 95%.
[01:18:36.325 --> 01:18:41.428]  Super constant, so like taking one pill is like taking 10 of the average pill.
[01:18:42.341 --> 01:18:43.821]  It's that powerful.
[01:18:43.821 --> 01:18:44.962]  Or more!
[01:18:44.962 --> 01:18:48.523]  So they're available at InfoWarsStore.com.
[01:18:48.523 --> 01:18:51.103]  Body's ultimate turmeric formula.
[01:18:51.103 --> 01:18:52.304]  Held out for almost 8 months.
[01:18:52.304 --> 01:18:57.845]  Back in stock at InfoWarsStore.com or 888-253-3139.
[01:18:57.845 --> 01:19:07.468]  The most powerful InfoWars Life Formula yet, DNA Force Plus is now back in stock for 25% off while supplies last.
[01:19:07.708 --> 01:19:18.095]  This elite formula contains the most cutting-edge enzymes, potent antioxidants, and traditional naturally occurring ingredients to protect the vitality of your very DNA.
[01:19:18.095 --> 01:19:26.200]  The powerhouse ingredients in DNA Force Plus include QQQ, CoQ10, Organic Reishi Mushroom, Astrologous Root,
[01:19:26.420 --> 01:19:27.200]  We're good to go!
[01:19:49.085 --> 01:19:49.986]  I don't know.
[01:20:17.475 --> 01:20:20.416]  Welcome back to the Alex Jones Show.
[01:20:20.416 --> 01:20:25.918]  I'm your host today, Chase Geiser, filling in for the great Alex Jones.
[01:20:25.918 --> 01:20:39.604]  And how prescient, again, that we're playing the music by Daft Punk for Tron, because I watched Tron yesterday, and it is such a good movie, and the theme is so true as to everything that we're experiencing now with the development of artificial intelligence.
[01:20:39.604 --> 01:20:40.284]  Such a good movie.
[01:20:40.284 --> 01:20:42.005]  I recommend that you guys go back and watch that.
[01:20:42.005 --> 01:20:44.546]  I think it came out when I was in high school, 10, 15 years ago.
[01:20:46.920 --> 01:20:49.403]  I'm going to take more calls this segment.
[01:20:49.403 --> 01:20:51.505]  I want to hear from Carmen in Pennsylvania.
[01:20:51.505 --> 01:20:52.386]  Carmen, how are you?
[01:20:52.386 --> 01:20:54.948]  How are you doing, man?
[01:20:54.948 --> 01:20:55.509]  I'm good, man.
[01:20:55.509 --> 01:20:56.730]  How are you doing?
[01:20:56.730 --> 01:20:57.951]  I'm doing all right.
[01:20:57.951 --> 01:21:00.314]  I'm hanging in, surviving, barely.
[01:21:00.314 --> 01:21:02.035]  Yeah, me too.
[01:21:02.035 --> 01:21:02.916]  Yeah, yeah.
[01:21:02.916 --> 01:21:08.182]  Well, I just wanted to say I just started listening to you guys like maybe a month and a half ago.
[01:21:09.219 --> 01:21:12.760]  I'm glad to be here, guys.
[01:21:12.760 --> 01:21:16.441]  For real, for real.
[01:21:16.441 --> 01:21:23.904]  You guys, you know, I knew something was going on.
[01:21:23.904 --> 01:21:25.925]  You know, I knew something was going on.
[01:21:25.925 --> 01:21:28.605]  I couldn't put the dots together.
[01:21:28.605 --> 01:21:33.267]  And then I started, I was living in San, near San Antonio.
[01:21:34.466 --> 01:21:42.730]  Um, for a couple years and I just came back to Pennsylvania, uh, like a week and a half ago because I see what's going on.
[01:21:42.730 --> 01:21:43.731]  I know what's going on.
[01:21:43.731 --> 01:21:49.874]  There's something big that was going on and you guys really hit the nail on the head with it.
[01:21:49.874 --> 01:21:56.977]  Um, with the globalists, the Democrats being involved with it, everything going on.
[01:21:56.977 --> 01:21:59.959]  It really, I'm fired up about it.
[01:21:59.959 --> 01:22:00.439]  Fired up.
[01:22:00.439 --> 01:22:02.300]  People are too stupid.
[01:22:02.904 --> 01:22:08.811]  They're either too stupid to see it, or they're involved in it.
[01:22:08.811 --> 01:22:09.732]  Do you know what I mean?
[01:22:09.732 --> 01:22:10.473]  No doubt.
[01:22:10.473 --> 01:22:10.673]  No doubt.
[01:22:19.326 --> 01:22:25.887]  And the people with the power, as soon as they get a little drop of power, they go crazy.
[01:22:25.887 --> 01:22:29.528]  They don't want to lose it, so they'll do anything to keep it.
[01:22:29.528 --> 01:22:33.049]  And that's even killing Americans.
[01:22:33.049 --> 01:22:34.449]  How did you find us the first time?
[01:22:34.449 --> 01:22:36.589]  What brought you to us?
