[00:00:00.970 --> 00:00:02.570]  150 billion for Ukraine.
[01:32:57.219 --> 01:33:00.701]  Constitutional limits of representation have been ignored.
[01:33:01.242 --> 01:33:07.166]  And by accepting Federal Reserve banknotes, we have made ourselves a dishonorable nation of debtors.
[01:33:08.167 --> 01:33:11.209]  By continually contracting with the corporate U.S.
[01:33:11.429 --> 01:33:14.791]  being operated out of the Washington, D.C.
[01:33:15.071 --> 01:33:23.216]  city-state, Americans are perpetually surrendering their constitutional sovereignty in return for corporate benefits.
[01:33:24.237 --> 01:33:27.299]  We share a common enemy with our founding fathers.
[01:33:27.759 --> 01:33:29.460]  Today we call them globalists.
[01:33:29.920 --> 01:33:31.861]  Back then, they called them British.
[01:33:32.421 --> 01:33:36.563]  A foreign power exploiting the will and destiny of Americans.
[01:33:37.203 --> 01:33:40.345]  And back then, their remedy was the Committee of Safety.
[01:33:41.205 --> 01:33:42.686]  This is happening again today.
[01:33:43.166 --> 01:33:46.267]  Communities are forming their own Committees of Safety.
[01:33:46.768 --> 01:33:53.591]  An excellent example is Santa Rosa County, Florida, where the Recall Florida movement sprang from.
[01:33:54.211 --> 01:34:03.478]  Which seeks to empower the citizens of Florida with the ability to recall county commissioners for corruption, malfeasance, and neglect of duty.
[01:34:04.419 --> 01:34:09.743]  The county sheriff is charged with upholding the supreme law of the Constitution.
[01:34:10.263 --> 01:34:22.966]  And with your county government in line with your county sheriff, citizens of that county will have the lawful parallel government they need to liberate themselves from contracts made with the corporate U.S.
[01:34:23.386 --> 01:34:30.668]  Because the powers held by the sheriff supersede those of any government official when in the jurisdiction of that county.
[01:34:31.588 --> 01:34:36.609]  The PSYOP today is meant to make you feel dependent upon the federal government.
[01:34:37.189 --> 01:34:39.370]  But that has always been your choice.
[01:34:39.970 --> 01:34:41.251]  And it's not the only choice.
[01:34:41.851 --> 01:34:47.194]  You can contact your local sheriff and ask him about his oath to uphold the Constitution.
[01:34:47.934 --> 01:34:49.875]  You can form committees of safety.
[01:34:50.556 --> 01:34:53.897]  And you can lawfully purge your local government of corruption.
[01:34:54.718 --> 01:34:57.819]  But it requires action, and time is quickly running out.
[01:34:58.860 --> 01:35:01.141]  Reporting for InfoWars, this is Greg Reese.
[01:35:04.795 --> 01:35:09.599]  And we're joined now by Dr. Andrew Hough once again here on the Alex Jones Show.
[01:35:09.639 --> 01:35:12.722]  And Andrew, it's good to have you with us today.
[01:35:12.902 --> 01:35:16.164]  And I'm just going to lay it out and give you the chance to respond.
[01:35:16.264 --> 01:35:23.731]  For three years, we're told, did not come out of a Wuhan lab, nothing to do with the Institute of Virology in Wuhan.
[01:35:24.031 --> 01:35:26.052]  Stop talking about Fauci's involvement.
[01:35:26.072 --> 01:35:27.834]  Stop talking about the Western funding it.
[01:35:28.174 --> 01:35:28.675]  Stop it.
[01:35:28.955 --> 01:35:29.816]  You'll be censored.
[01:35:29.896 --> 01:35:30.816]  You'll be silenced.
[01:35:30.836 --> 01:35:31.537]  You'll be attacked.
[01:35:31.557 --> 01:35:32.418]  You'll be called a liar.
[01:35:32.958 --> 01:35:37.562]  And now three years since, now they're telling us, yes, it was the Wuhan lab.
[01:35:37.642 --> 01:35:39.103]  Yes, it came from China.
[01:35:39.164 --> 01:35:40.305]  Yes, it was made in a lab.
[01:35:40.345 --> 01:35:43.167]  This is the truth now, without any shame, by the way.
[01:35:43.227 --> 01:35:45.949]  They changed their story, as if you won't remember.
[01:35:46.650 --> 01:35:49.412]  So, Andrew, how do you respond to this?
[01:35:49.573 --> 01:35:50.874]  How do you analyze this?
[01:35:51.094 --> 01:35:53.236]  And what do you think is really going on here?
[01:35:54.622 --> 01:35:55.243]  Well, a number of things.
[01:35:55.263 --> 01:36:02.309]  So the first thing is, the so-called experts that have been on TV, been put out in front of the media, hey, these are experts, they never go ahead.
[01:36:02.810 --> 01:36:03.510]  They weren't experts.
[01:36:03.711 --> 01:36:10.077]  And the people that were censored, were smeared, the fringe epidemiologists like myself, we're the real experts.
[01:36:10.197 --> 01:36:16.547]   And it's sort of humbling now that this is all coming to the surface, but What's really going on here is that the U.S.
[01:36:16.587 --> 01:36:17.927]  government is doing two things.
[01:36:17.947 --> 01:36:24.769]  They're trying to get ahead of a lot of bad news that's likely to make it into the mainstream, and they're also trying to change the narrative.
[01:36:25.069 --> 01:36:31.231]  So the first part of this is that the National Laboratory System is run by the Department of Energy.
[01:36:31.631 --> 01:36:36.892]  This is actually the second report related to COVID origins that has been put out.
[01:36:36.932 --> 01:36:41.954]  The first one came out from Lawrence Livermore Laboratory, the Intelligence Division there, in June of 2021.
[01:36:43.594 --> 01:36:46.257]  The second one is actually from Los Alamos National Laboratory.
[01:36:46.277 --> 01:36:50.381]  It was our sister laboratory when I worked at Sandia National Laboratories in this very area.
[01:36:50.761 --> 01:36:51.682]  They're great scientists.
[01:36:51.702 --> 01:36:52.683]  They're top-notch people.
[01:36:53.164 --> 01:36:59.590]  A lot of them have top-secret clearances and access to intelligence and technology that the rest of the scientific community does not.
[01:37:00.356 --> 01:37:05.117]  So, with pushing out this new report, you know, there's a couple of interesting things.
[01:37:05.537 --> 01:37:08.178]  I think I've been one pushing the narrative, pushing the envelope here.
[01:37:09.058 --> 01:37:20.801]  So, this past week, if there's still been eavesdropping on my communications, I had met with a number of producers and filmmakers in Hollywood, and I got a big-picture, full-feature movie deal for my book.
[01:37:21.301 --> 01:37:22.402]  So they're going to try to get ahead of that.
[01:37:22.422 --> 01:37:30.607]  The other thing that's happening here is that Congress asked a number of different people involved in this conspiracy to come in and testify, politely first.
[01:37:30.967 --> 01:37:32.869]  And now, I don't believe that they've responded.
[01:37:32.889 --> 01:37:35.891]  That'd be Dr. Peter Daszak, Dr. Fauci, these type of people.
[01:37:36.491 --> 01:37:42.255]  And they're going to have to now subpoena these individuals to have them come in because I don't think they've responded.
[01:37:43.266 --> 01:37:49.535]  And I've been asked to testify in front of the COVID Permanent Select Committee in the House, and I haven't received a formal letter yet.
[01:37:49.555 --> 01:37:50.496]  It was an informal ask.
[01:37:50.957 --> 01:37:53.260]  But all of this is coming to a head in a hurry.
[01:37:53.941 --> 01:38:10.935]   On top of it, you know, someone's going to have to answer for the classified data set Well, technically not classified, the one that I possess, because it was classified after the fact, but I made this in an open source environment, which was stolen from my house, likely by the FBI, the Michigan State Police, and the Defense Intelligence Agency, or the CIA.
[01:38:10.995 --> 01:38:12.176]  I think those are the characters involved.
[01:38:12.456 --> 01:38:16.339]  And they could have been working with, potentially, the Chinese government to smear me and make my life miserable.
[01:38:16.839 --> 01:38:19.341]  So all these terrible stories are bubbling to the surface.
[01:38:19.361 --> 01:38:20.542]  They can't get away from it.
[01:38:21.235 --> 01:38:26.439]  And what's happening is now they want to pivot the narrative so that they can pin this all on China.
[01:38:26.759 --> 01:38:34.405]  They're not talking in the news and the mainstream media too much about, you know, the terrible response, the fact that numerous U.S.
[01:38:34.425 --> 01:38:41.290]  government agencies really screwed this up by giving this advanced gain-of-function technology from Ralph Baric's laboratory.
[01:38:41.850 --> 01:38:49.796]  To the Wuhan Institute of Virology, the intelligence community dropped the ball here with exporting this technology to the Chinese to snoop on their lab.
[01:38:49.816 --> 01:39:00.425]  I mean, this is just one government screw-up on top of another, which results in this laboratory leak or potentially intentional release by the Chinese.
[01:39:00.465 --> 01:39:00.865]  But the U.S.
[01:39:00.905 --> 01:39:02.346]  government wants to pin this all on China.
[01:39:02.666 --> 01:39:03.307]  China's bad.
[01:39:03.908 --> 01:39:19.269]  And they certainly have a lot of blame here, but the thing that's important for you in the audience to understand, there would have been no laboratory leak or intentional release unless we would have delivered our advanced biotechnology to the Wuhan Institute of Virology via my former employer, Equal Health Alliance.
[01:39:19.469 --> 01:39:20.511]  These are all hard facts.
[01:39:20.911 --> 01:39:22.432]  These are the real grifters in the world.
[01:39:22.532 --> 01:39:26.355]  You know, everyone accuses the fringe epidemiologists of being grifters.
[01:39:26.615 --> 01:39:27.536]  These people are the grifters.
[01:39:27.556 --> 01:39:28.377]  They're taking the money.
[01:39:28.717 --> 01:39:29.918]  They sold our country out.
[01:39:30.178 --> 01:39:32.280]  We had our rights restricted.
[01:39:32.520 --> 01:39:40.926]  And then they foisted off of patent medicine, basically snake oil, these mRNA jabs, to the population as all part of the cover-up.
[01:39:41.726 --> 01:39:53.553]   And the other reason why I think they're sort of wagging the dog here with China is that, you know, if you look at what I refer to as the Unit Party in the Congress and the Senate, It doesn't seem like too many people are opposed to kicking off World War III.
[01:39:53.973 --> 01:39:59.156]  Everyone's trying to increase the amount of funding and foreign aid going to Ukraine.
[01:40:00.537 --> 01:40:06.441]  And now we have Russia and China forming an alliance, which really isn't surprising in my mind.
[01:40:07.482 --> 01:40:09.884]  So, you know, what's really going on here?
[01:40:09.924 --> 01:40:16.969]  Well, I think, you know, it's my belief that the entire Ukraine conflict is a big cover-up for this failed COVID operation from the U.S.
[01:40:17.009 --> 01:40:17.309]  government.
[01:40:18.331 --> 01:40:22.793]  Now, it's interesting because you're adding some perspectives here that I wasn't really considering.
[01:40:22.813 --> 01:40:35.298]  I kind of looked at more of your latter take of, this is more to do with the situation in Ukraine, China backing Russia, China aligning with Russia geopolitically in the larger issues, and so now the U.S.
[01:40:35.358 --> 01:40:38.099]  kind of like, hey China, be careful, we'll blame you for COVID-19.
[01:40:39.279 --> 01:40:41.920]  But you think maybe there's something domestically going on here?
[01:40:42.080 --> 01:40:44.341]  And by the way, these aren't just grifters.
[01:40:44.921 --> 01:40:48.782]  I mean, we're talking about, these are full-blown fascist authoritarians.
[01:40:49.243 --> 01:40:51.904]  I mean, a grifter maybe shows up and tricks you into giving him money.
[01:40:51.944 --> 01:40:54.404]  These people force you into their tyranny.
[01:40:54.885 --> 01:40:58.166]  But, so you think maybe this whole thing is about to blow wide open?
[01:40:59.026 --> 01:41:04.147]  And what are they trying to get out ahead of it to maybe soften the blow a little bit or say, oh, it was an accident?
[01:41:04.187 --> 01:41:04.847]  I mean, why?
[01:41:05.307 --> 01:41:14.269]  Why this domestic strategy of accepting that it came from China and trying to convince the American people it came from China ahead of these potential testimonies from Fauci, Daszak and others?
[01:41:15.449 --> 01:41:23.131]  Well, it's really in response to the psychological operation that myself and a few other individual scientists, lawyers have been waging back against the government.
[01:41:23.841 --> 01:41:27.924]  And our strategy from day one is to pin these people against each other.
[01:41:27.944 --> 01:41:32.146]  And it's a divide and conquer strategy, just like they've been waging against the American people.
[01:41:32.166 --> 01:41:37.650]  We've been doing it back against them through lawsuits and another number of other means of books, social media.
[01:41:38.430 --> 01:41:39.491]  And it's been effective.
[01:41:39.611 --> 01:41:45.034]  And now what it's looking like is nobody wants to be left holding the bag or be held accountable in the government.
[01:41:45.054 --> 01:41:47.356]  So they're all starting to point the finger at the people responsible.
[01:41:47.396 --> 01:41:52.619]  So I think FBI Director Christopher Wray is now trying to pin the director of national intelligence.
[01:41:53.159 --> 01:41:54.540]  Well, you know, don't talk to me about this.
[01:41:54.600 --> 01:41:55.301]  Go talk to her.
[01:41:55.761 --> 01:42:04.047]  And that's where I believe, I believe, actually, I agree with Director Ray that that's where a lot of the blame here probably lies.
[01:42:05.728 --> 01:42:07.209]  You know, this is just an insane story.
[01:42:07.408 --> 01:42:12.648]   I wish that these people would stop trying to voice the blame off on each other and playing
[01:42:12.648 --> 01:42:17.768]   politics and trying to preserve themselves and just stand up and address this issue face
[01:42:17.768 --> 01:42:21.969]   on or head on so we can get on with our lives and resolve this problem.
[01:42:21.969 --> 01:42:24.808]  What it really calls for is a domestic ban on data function.
[01:42:24.808 --> 01:42:29.247]   We need to ban these poisonous mRNA jabs like they're doing in Europe.
[01:42:29.247 --> 01:42:32.848]   Every day there's another announcement from a European country, it seems like, where they're
[01:42:32.848 --> 01:42:37.168]   banning the boosters and not recommending them for another segment of the population.
[01:42:37.168 --> 01:42:39.568]  So take a look at what's happening in the United States.
[01:42:39.328 --> 01:42:43.510]  I mean, they're still recommending boosters for people, and that's all part of the COVID cover-up.
[01:42:43.991 --> 01:43:02.162]  Well, it sounds like they're going to be victims of their own propaganda, because it was the American media, mostly, I mean, it was all around the world, but they were the ones telling us, oh, COVID is so deadly, we need to close our businesses, we need to close our schools, we need to lock down, we need to devastate the economy, we need to wear masks, we need to take all these vaccines.
[01:43:03.243 --> 01:43:10.905]  They were the ones that built it up as the worst pandemic in human history, and now they're going to have to deal with that.
[01:43:11.005 --> 01:43:12.325]  They created that narrative.
[01:43:12.385 --> 01:43:17.047]  If they would have been honest from the beginning, you know, maybe they could have lightened the blow to them.
[01:43:17.107 --> 01:43:19.727]  But since they're the ones that sold this as the worst pandemic in U.S.
[01:43:19.747 --> 01:43:23.068]  history, now they're going to have to face it as the worst pandemic in U.S.
[01:43:23.088 --> 01:43:25.149]  history that they potentially caused.
[01:43:25.489 --> 01:43:29.390]  So I look at this as their own propaganda is what's haunting them now.
[01:43:30.760 --> 01:43:32.081]  Yeah, I agree with that assessment.
[01:43:32.141 --> 01:43:47.407]  And the interesting thing here that you have to remember is that it was by partnership with the Department of Defense through the National Institute of Allergen and Infectious Diseases, that's Dr. Fauci, for these bioweapon countermeasures and medical countermeasure platforms like mRNA.
[01:43:47.747 --> 01:43:58.031]  And the Department of Homeland Security actually has their finger in that pie as well because they all want a rapid response platform for biowarfare, bioterror, and pandemics.
[01:43:58.491 --> 01:44:00.772]  So, you know, never let a good opportunity go to waste.
[01:44:00.812 --> 01:44:06.394]  The pharmaceutical industry is all too happy to produce this dangerous product with no liability.
[01:44:07.054 --> 01:44:12.076]  And if, you know, the one thing I like to point out to people, this had been in plan for a long time.
[01:44:12.676 --> 01:44:33.387]   The mRNA sequence used, genetic sequence that was used in the actual vaccine, was patented In 2016 and there might be other couple patents from 2015-2014 by Moderna and there's a material transfer agreement from Dr. Ralph Baric's laboratory in partnership with NIH to Moderna in December 2019.
[01:44:33.527 --> 01:44:34.327]  This is big!
[01:44:34.388 --> 01:44:36.469]  We're hitting a break right now, Dr. Andrew Huff.
[01:44:36.489 --> 01:44:37.329]  Hold that thought.
[01:44:38.910 --> 01:44:41.952]  Dr. Andrew Huff with us here on the Alex Jones Show.
[01:44:41.972 --> 01:44:58.206]   Owen Troyer filling in for Alex and I wanted Andrew to get back into the MRNA story about this being years in advance from 2014, 15, 16 documents.
[01:44:58.226 --> 01:45:02.188]  And then I want to play the Chris Wray clip from with Brett Baer.
[01:45:02.688 --> 01:45:06.571]  But I don't want what you were saying before the break to go forgotten.
[01:45:06.651 --> 01:45:09.012]  So let's just repeat this for folks to understand.
[01:45:09.552 --> 01:45:31.243]   It wasn't just that they ran the pandemic exercise just before the COVID pandemic, which was beyond suspicious, how that But no, they had the mRNA technology ready to go for years, and they couldn't get the excuse to put it into your body, because every time they tested it, it killed all the animals in the lab testing.
[01:45:31.723 --> 01:45:37.545]  So with the emergency use authorization during the pandemic, perfect opportunity to put that mRNA in your arm.
[01:45:37.865 --> 01:45:38.826]  The rest is now history.
[01:45:39.226 --> 01:45:44.208]  So, Dr. Andrew Huff, talk about what you got into before you were cut off by the break, and just lay it all out again.
[01:45:45.333 --> 01:45:45.733]  Yeah, sure.
[01:45:45.793 --> 01:45:59.944]  So, how this functionally works, at EcoEarth Alliance, there's a program called USAID Predict, and this is what forms the relationships with the Wuhan Institute of Virology, the University of North Carolina, Ralph Baric's laboratory, and the University of Columbia, Dr. Ian Lipkin.
[01:45:59.964 --> 01:46:03.106]  So, the viral isolation work happens at Columbia University.
[01:46:03.506 --> 01:46:05.148]  They're collecting the bats in the caves.
[01:46:05.468 --> 01:46:13.514]  That's done between EcoEarth Alliance and different members of Chinese government agencies in China and other places around the world to get the genetic material.
[01:46:14.014 --> 01:46:19.100]  Then that genetic material goes into different databases, either owned by EcoHealth Alliance or the U.S.
[01:46:19.140 --> 01:46:30.573]  government, and then some of those sequences become patented while they're worked on in Ralph Baric's laboratory and also by Moderna, which was a startup company to develop mRNA technology.
[01:46:31.193 --> 01:46:55.255]   So, when the pandemic happens, when it kicks off in the fall, late summer, early fall of 2019, they get to work, they know exactly what they have to do, and one of the things that they have to do is they have to sign a material transfer agreement to transfer the biotechnology from Dr. Ralph Baric's laboratory To Moderna in partnership with NIH and that's signed off by all these individuals.
[01:46:55.615 --> 01:47:10.902]  I think it was in mid to late December in 2019 and that's, think about that, that's before they're telling anyone around the world that there's a pandemic going on and the only people that were talking about this pneumonia-like illness were people like me, infectious disease epidemiologists and detectives so to say.
[01:47:12.683 --> 01:47:19.566]  And so at what point did we know this virus was going around do you think?
[01:47:21.364 --> 01:47:22.145]  Oh, without a doubt.
[01:47:22.245 --> 01:47:22.925]  I believe the U.S.
[01:47:22.965 --> 01:47:26.426]  government finds out about it in probably September or October of 2019.
[01:47:26.867 --> 01:47:43.914]  I think all the globalist types, so the Gates, the Soros of the world, large corporations, they find out about the pandemic in that same timeframe because they have intelligence units or operations which are very similar to the U.S.
[01:47:43.954 --> 01:47:44.334]  government.
[01:47:44.614 --> 01:47:54.796]  And a lot of these people are ex-military, ex-intelligence, who are working in these private intelligence centers for corporations or high-wealth individuals, and they use the same types of methods to collect information.
[01:47:55.356 --> 01:48:10.499]  And the other thing that happens here is these politicians, these high-wealth individuals, the globalists, multinational corporations, they share information, they talk, and everyone gets on the same page, or the same, I guess, the same, sort of operating from the same playbook together.
[01:48:11.099 --> 01:48:13.820]  I think they had different incentives to why they wanted to do that.
[01:48:13.840 --> 01:48:22.023]  I think some people want to get rich, some people want to, some organizations want to consolidate power or attain power, but they all get on the same playbook together.
[01:48:22.323 --> 01:48:24.624]  And that's probably by early October 2019.
[01:48:25.524 --> 01:48:35.428]  So even when they were running the pandemic exercise, Event 201 is what it's called, even when they were running that, the virus was already spreading, it was already going on, they knew it.
[01:48:36.525 --> 01:48:43.068]  Yeah and that's a fact and so from a number of epidemiologists that went and analyzed blood bank donations.
[01:48:43.648 --> 01:49:06.077]  So blood bank donations serve as a historical record and you know if someone donated blood in October of 2019 and you go analyze the serology of that blood and you find a positive hit for COVID and you find it among a bunch of other people then you can go ask those people well who are you in contact with and a lot of those cases when they did that analysis they found COVID and the case is traced back to Wuhan, China.
[01:49:06.857 --> 01:49:09.820]  And a number of different scientists replicated that work around the planet.
[01:49:10.140 --> 01:49:12.462]  It's funny that we haven't done too much of that in the United States.
[01:49:12.903 --> 01:49:20.709]  And then, as you recall, there's a number of people on the West Coast of the United States who reported pneumonia-like illness in November and December of 2019.
[01:49:21.070 --> 01:49:24.933]  And I was actually living in the Bay Area at the time, and I came down with something strange.
[01:49:24.953 --> 01:49:25.794]  I thought it was the flu.
[01:49:26.174 --> 01:49:28.156]  Knocked me flat on my back for a few days, but I recovered.
[01:49:28.925 --> 01:49:29.766]  Yeah, same thing with me.
[01:49:29.826 --> 01:49:33.689]  In December, I spent about 30 hours in a D.C.
[01:49:33.889 --> 01:49:37.511]  jail, and I came out of there sick as a dog.
[01:49:37.531 --> 01:49:38.852]  I mean, sicker than I've ever been.
[01:49:38.872 --> 01:49:44.457]  And like you, I was like, oh, I just got a bad flu or whatever, knocked out on my ass for about a week, and I never get sick.
[01:49:44.477 --> 01:49:45.537]  So, I mean, I knew it was bad.
[01:49:45.577 --> 01:49:49.941]  I obviously assumed it was from jail, but then we realized later, well, maybe it was COVID.
[01:49:49.981 --> 01:49:50.441]  I don't know.
[01:49:50.781 --> 01:49:52.042]  I never got the test.
[01:49:52.222 --> 01:49:53.243]  Really didn't make a difference to me.
[01:49:53.283 --> 01:50:02.297]   But I want to play this clip of The FBI Director Chris Wray with Brett Baier talking about the lab origins and get your response to it.
[01:50:02.617 --> 01:50:03.658]  Here it was over the weekend.
[01:50:03.698 --> 01:50:05.440]  Chris Wray and Brett Baier on Fox News.
[01:50:06.460 --> 01:50:08.322]  What is the determination by the FBI?
[01:50:08.883 --> 01:50:21.293]  So, as you note, Brett, the FBI has for quite some time now assessed that the origins of the pandemic are most likely a potential lab incident in Wuhan.
[01:50:22.114 --> 01:50:23.415]  Let me step back for a second.
[01:50:23.435 --> 01:50:49.225]  You know, the FBI has folks, agents, professionals, analysts, virologists, microbiologists, etc., who focus specifically on the dangers of biological threats, which include things like novel viruses like COVID, and the concerns that they're in the wrong hands, some bad guys, a hostile nation state, a terrorist, a criminal, the threats that those could pose.
[01:50:49.245 --> 01:51:01.984]   So here you're talking about a potential leak From a Chinese government controlled lab that killed millions of Americans and that's precisely what that capability was designed for.
[01:51:02.625 --> 01:51:12.147]  I should add that our work related to this continues and there are not a whole lot of details I can share that aren't classified.
[01:51:12.167 --> 01:51:26.034]   I will just make the observation that the Chinese government seems to me has been doing its best to try to thwart Pretty aggressive rhetoric from Chris Wray, considering we were told not to talk about it three years ago.
[01:51:25.975 --> 01:51:31.654]   and close foreign partners are doing, and that's unfortunate for everybody.
[01:51:31.654 --> 01:51:35.734]   Pretty aggressive rhetoric from Chris Wray, considering we were told not to talk about it
[01:51:35.734 --> 01:51:36.635]  three years ago.
[01:51:36.635 --> 01:51:39.535]  Andrew, your response.
[01:51:39.535 --> 01:51:44.575]   Yes, he seems quite nervous when he first states, when he's responding to that, the line of questioning.
[01:51:44.110 --> 01:51:50.073]  And the thing that you have to look at here, he's trying to pin all the blame on China, and only if the Chinese are more forthcoming.
[01:51:50.373 --> 01:51:57.816]  Well, a bunch of smart people around the planet, all working independently, has figured out exactly what happened.
[01:51:57.997 --> 01:52:02.999]  I mean, of course the Chinese lied in the data that they released and the information that they released.
[01:52:03.740 --> 01:52:13.691]   You know, what might be classified here is that likely the Department of Defense, the Defense Intelligence Agency, and a number of other intelligence Organizations within the U.S.
[01:52:13.711 --> 01:52:17.795]  government likely learned about this in September, October of 2019.
[01:52:17.915 --> 01:52:29.126]  And, you know, here's just a personal fact from my story is that DARPA tried to recruit me as the program officer in the Biologics Division for these programs.
[01:52:29.406 --> 01:52:32.329]  And they tried to do that in October or September 2019.
[01:52:32.389 --> 01:52:36.668]   I believe that they did that to silence me, so I wouldn't be doing exactly what I'm doing
[01:52:36.668 --> 01:52:37.668]  now.
[01:52:37.668 --> 01:52:41.708]   The strangest thing, and some more evidence for this, is that they called me on a brand
[01:52:41.708 --> 01:52:45.908]   new cell phone number, which none of my past contacts had in the classified space.
[01:52:45.908 --> 01:52:50.128]  I was contacted by a woman that I used to work with, Dr.
[01:52:50.128 --> 01:52:51.068]  Amy Jenkins.
[01:52:51.068 --> 01:52:54.509]   You start to look at all the circumstantial evidence here, and I know what the capabilities
[01:52:55.077 --> 01:52:58.599]  government has to detect these emerging infectious disease outbreaks.
[01:52:58.880 --> 01:53:10.229]  He's being less than forthright, and he's trying to pin all the blame to China, when much of the blame lands on the intelligence community, the Department of Defense, and our health agencies here in the United States.
[01:53:10.249 --> 01:53:11.409]  All right, we're up against a brick.
[01:53:11.530 --> 01:53:14.232]  I got follow-up questions for you on the other side.
[01:53:14.532 --> 01:53:15.413]  Don't go anywhere, folks.
[01:53:16.510 --> 01:53:24.200]  Alright, you were just breaking down some pretty amazing stuff there ahead of the break, and I wanted to just see if I understood this correctly.
[01:53:25.121 --> 01:53:33.010]  You were getting calls from government officials on a phone number that they had no way of having access to?
[01:53:33.171 --> 01:53:33.972]  Is that what I was hearing?
[01:53:35.191 --> 01:53:35.732]  That's correct.
[01:53:35.772 --> 01:53:40.476]  So I had taken a new job at Juul Labs out in San Francisco.
[01:53:41.056 --> 01:53:42.437]  And when I moved, I changed my phone number.
[01:53:42.457 --> 01:53:44.959]  It was the first time I had done it in my adult life.
[01:53:45.660 --> 01:53:53.907]  And there's no way that any of these officials would have had this phone number unless they had used law enforcement or intelligence techniques to get it.
[01:53:55.088 --> 01:53:55.848]  So why?
[01:53:56.249 --> 01:53:57.370]  What is the significance of that?
[01:53:57.390 --> 01:53:59.151]  Why were they so desperate to track you down?
[01:53:59.211 --> 01:54:03.315]  You think it was because they were afraid you'd eventually become, we'll say, a whistleblower?
[01:54:05.126 --> 01:54:05.526]  Exactly.
[01:54:05.546 --> 01:54:13.670]  I mean, so I had worked in the national laboratories with the Department of Homeland Security, the Department of Defense, and other three-letter agencies in this area.
[01:54:13.750 --> 01:54:17.672]  So I knew, you know, I know things on the classified side, and I know the open source side.
[01:54:17.712 --> 01:54:21.574]  I know the intelligence collection methods for health and biosurveillance.
[01:54:22.615 --> 01:54:28.338]  And I had worked at EcoHealth Alliance, and they probably were scared that I was going to come out and do exactly what I'm doing now.
[01:54:30.191 --> 01:54:38.699]  Well, and I guess it's too bad that others didn't have your foresight and others didn't see where this was going like you did.
[01:54:39.359 --> 01:54:54.527]   Because there's no doubt to me, part of this operation of getting all the members of the media involved, getting all these politicians involved, getting all these doctors involved is so that When it comes out, you know, whatever the truth is about COVID or the vaccines, when it comes out, they're now going to be liable.
[01:54:54.887 --> 01:54:56.149]  They're now going to be culpable.
[01:54:56.449 --> 01:54:57.831]  So they're not going to want to call it out.
[01:54:57.871 --> 01:55:01.697]  They're not going to want there to be justice served because that means it's coming for them too.
[01:55:02.037 --> 01:55:03.580]  How much of that do you think is going on?
[01:55:05.301 --> 01:55:06.702]  Oh, I think you nailed it.
[01:55:06.783 --> 01:55:08.384]  I think that's exactly what's happening.
[01:55:08.784 --> 01:55:11.066]  This is why you're seeing the pivot right now by the U.S.
[01:55:11.126 --> 01:55:12.867]  government to blame China.
[01:55:13.107 --> 01:55:20.473]  I think over the next week to two weeks, until this narrative falls apart, it's going to be blame China because people will eventually catch on that these were U.S.
[01:55:20.513 --> 01:55:25.377]  programs that gave this biotechnology, the biological materials, to China.
[01:55:26.037 --> 01:55:31.942]  Now, I think what's gonna be more interesting here is how China decides to shape the narrative in response to this.
[01:55:32.242 --> 01:55:45.011]  So, if I were China, what I would do is I'd simply point back at the United States and say, well, these were your programs and we did this in partnership with you, you knew exactly what you were doing here, you gave all this to us, and, you know, yeah, accidents happen.
[01:55:45.031 --> 01:55:54.458]  I think that would be a smart response from the Chinese because that sort of shows them taking the higher ground here and then makes the United States look like a bunch of idiots.
[01:55:55.256 --> 01:56:00.257]  Yeah, and I would even go as far to say I don't even think China would care enough to apologize.
[01:56:00.277 --> 01:56:00.978]  They don't have to.
[01:56:01.018 --> 01:56:03.418]  The Chinese communists don't have to answer to the Chinese people.
[01:56:03.498 --> 01:56:04.879]  They can do whatever the hell they want.
[01:56:04.919 --> 01:56:07.940]  They can lock them up, kill them, take their kids.
[01:56:09.180 --> 01:56:13.161]  Giving an excuse to what they were doing to the Chinese people is not an issue for them.
[01:56:13.781 --> 01:56:17.843]  Now, the disconnect is going to be how the U.S.
[01:56:17.923 --> 01:56:19.703]  media covers it, or if the U.S.
[01:56:19.743 --> 01:56:24.557]   media covers it at all, because what I see, the phenomenon here is that The Chinese really don't care.
[01:56:24.677 --> 01:56:25.557]  They don't care what the U.S.
[01:56:25.617 --> 01:56:26.277]  media reports.
[01:56:26.297 --> 01:56:27.418]  They don't have to care what the U.S.
[01:56:27.478 --> 01:56:28.198]  media reports.
[01:56:28.558 --> 01:56:30.980]  And they don't have to do narrative control like the U.S.
[01:56:31.060 --> 01:56:32.380]  media has to do.
[01:56:32.820 --> 01:56:33.901]  My fear is that...
[01:56:35.419 --> 01:56:44.945]  This really is going to be used as justification for China to get further involved in whatever type of a war against America.
[01:56:46.025 --> 01:56:53.650]  Just like Russia says, hey, you guys are the ones expanding, you guys are the ones putting biolabs in Ukraine, you guys are the ones putting missiles on our doorstep.
[01:56:54.170 --> 01:56:58.351]  Now China's going to say, well, wait a second, you guys are the ones funding the research.
[01:56:58.471 --> 01:57:01.432]  You guys are the ones wanting us to do this gain of function research.
[01:57:01.692 --> 01:57:03.693]  You're not going to blame us for the pandemic.
[01:57:04.273 --> 01:57:05.974]  You're going to be the ones held to account.
