[00:00:00.229 --> 00:00:01.190]  Ukraine's losing.
[01:43:25.417 --> 01:43:34.312]   So, one of the best techniques that dictators have always used is to have An external enemy.
[01:43:34.332 --> 01:43:42.055]  And if you can make the external enemy external to your tiny little group, then everybody is your enemy.
[01:43:42.095 --> 01:43:53.999]  So right now, in California, there is a measure before the legislature to sentence people differently based on whether they are black or not black.
[01:43:54.419 --> 01:43:59.121]  And I assume that people who are brown will be classed with people who are black, but maybe not.
[01:43:59.701 --> 01:44:09.002]   So that a white person would get A more, um, extensive time in jail than a black person for the same crime.
[01:44:09.062 --> 01:44:14.263]  Well, what do you think that's going to do to the relations between black and white people?
[01:44:14.864 --> 01:44:15.544]  Nothing good.
[01:44:15.564 --> 01:44:30.947]  A, uh, reparations is being considered so that black people will get $5 million each from the state of California for being something or other.
[01:44:31.480 --> 01:44:32.682]  This is insane.
[01:44:33.784 --> 01:44:47.787]   We're talking about making sure that society is a place where it's dangerous to be and then helping people by propaganda to hate somebody and hold them responsible.
[01:44:48.227 --> 01:45:15.435]   Not the globalists, of course, not the people who are destroying the judicial system and destroying the educational system and destroying the food system and destroying the social cohesion, destroying the civil rights that we all work for, perverting every concept like sustainability, like human rights, perverting justice, perverting Safety perverting the common good.
[01:45:15.755 --> 01:45:16.856]  And that's what they're doing.
[01:45:16.916 --> 01:45:25.442]  But they're doing it by accelerating our hatred for one another, making the group smaller and smaller.
[01:45:25.562 --> 01:45:31.886]  Anti-Semitism is very much on the rise because they want it to be on the rise.
[01:45:33.027 --> 01:45:35.308]  Anti-racist feeling.
[01:45:35.328 --> 01:45:42.053]  A woman was interviewed recently in a video clip that I saw a black woman saying, I am a racist.
[01:45:42.600 --> 01:45:44.261]  It is a crime to be white.
[01:45:44.542 --> 01:45:49.225]  Well, of course, that's crazy, but it's the same craziness as it's a crime to be black.
[01:45:49.285 --> 01:45:50.606]  It's a crime to be Christian.
[01:45:50.666 --> 01:45:51.867]  It's a crime to be Jewish.
[01:45:52.187 --> 01:45:53.268]  It's a crime to be Hindu.
[01:45:53.669 --> 01:46:12.243]  I will remind you that when India was released from British control, there was a mass slaughter in which 30 million people died because they were either Hindu and should have been Muslim or they were Muslim and should have been Hindu.
[01:46:13.010 --> 01:46:14.891]  And so Indians were killing Indians.
[01:46:15.231 --> 01:46:21.034]  And how do you think the British conquistadors felt about that?
[01:46:21.314 --> 01:46:32.600]  They were perfectly happy because it weakened India so much that it was easier to get control back in many, many nefarious and subversive ways.
[01:46:33.040 --> 01:46:35.181]  Now that's happening to us.
[01:46:35.741 --> 01:46:40.124]  And each of us has a responsibility to say, no, I will not hate.
[01:46:40.504 --> 01:46:42.565]  I will not see racism.
[01:46:43.110 --> 01:46:53.675]  As the racial divides as the issue that determines how I feel about anyone or policies that are acceptable to me.
[01:46:53.695 --> 01:46:58.758]  I will not be a racist, a sexist, a religiousist, an isist.
[01:46:59.398 --> 01:47:05.024]   I will be a human being who sees others Based on their humanity.
[01:47:05.344 --> 01:47:10.865]  Because fundamentally, these globalists see us based on our utility, not on debt.
[01:47:11.185 --> 01:47:12.526]  That is what we need.
[01:47:12.946 --> 01:47:15.506]  Those two children are correct.
[01:47:15.846 --> 01:47:19.287]  Those two children should be the leaders for our future.
[01:47:20.007 --> 01:47:25.248]  And should lead us into that kind of joyful collaboration with other people.
[01:47:25.568 --> 01:47:27.308]  Because we have so much in common.
[01:47:27.688 --> 01:47:30.489]  Not making enemies of them.
[01:47:30.549 --> 01:47:37.117]   Because making enemies of them Puts us under the thumb of these monsters.
[01:47:37.157 --> 01:47:39.720]  You asked, who is there an outside influence?
[01:47:39.901 --> 01:47:40.341]  I don't know.
[01:47:40.882 --> 01:47:44.066]  I was at a very pleasant lunch recently.
[01:47:44.671 --> 01:48:04.355]  With a guy who is the head salesman for transcranial stimulation devices which is a non-pharmaceutical method of treating OCD and schizophrenia and addictions and a whole bunch of other things and anything that's non-pharmaceutical is good with me.
[01:48:04.855 --> 01:48:18.002]   So he was there and also the owner of about 65 clinics that use this technology and he said You know who's responsible for all of this globalist stuff that's going on?
[01:48:18.582 --> 01:48:19.142]  I said, no.
[01:48:19.442 --> 01:48:20.423]  Who's responsible?
[01:48:20.483 --> 01:48:21.343]  He said Satan.
[01:48:22.463 --> 01:48:23.604]  I said, well, maybe.
[01:48:23.624 --> 01:48:26.404]  I don't have any documentation that that's so.
[01:48:26.504 --> 01:48:27.825]  I know that you believe it.
[01:48:27.925 --> 01:48:30.686]  He has a religious belief that tells him that.
[01:48:30.926 --> 01:48:32.506]  But he was absolutely confident.
[01:48:32.626 --> 01:48:38.028]  And I said, well, for me, I make a distinction between what I believe and what I know.
[01:48:38.448 --> 01:48:42.289]  These activities, that's a very, very powerful graphic.
[01:48:42.625 --> 01:48:45.527]  These activities certainly are evil.
[01:48:46.008 --> 01:48:47.008]  That much I know.
[01:48:47.509 --> 01:48:52.632]  Whether there's a reptilian component, I'm looking for evidence for that.
[01:48:52.672 --> 01:48:53.553]  I haven't seen any.
[01:48:53.953 --> 01:48:58.056]  Whether it's an actual physical Satan, I don't know.
[01:48:58.076 --> 01:48:59.237]  I'm looking for evidence.
[01:48:59.297 --> 01:49:00.378]  I haven't seen that either.
[01:49:00.698 --> 01:49:02.940]  But that's not relevant to me.
[01:49:03.373 --> 01:49:11.682]  What's relevant is what is actually happening, what is actually planned, and what we can actually do to stop it.
[01:49:11.822 --> 01:49:19.411]  And what that is, as far as I'm concerned, is we use this, the Freedom Mouse.
[01:49:19.791 --> 01:49:21.673]  We ride the Freedom Mouse.
[01:49:22.154 --> 01:49:24.416]  They gave us the Internet to control us.
[01:49:25.799 --> 01:49:27.460]  That's not working so well for them.
[01:49:27.760 --> 01:49:28.440]  They're trying.
[01:49:28.940 --> 01:49:40.906]  One of the things that is a goal for these globalists is to control all communication, to prevent any kind of infodemic, which means wrong think.
[01:49:41.486 --> 01:49:49.609]  And wrong think means saying the truth that they don't like, or even saying something that's wrong that they don't like.
[01:49:50.090 --> 01:49:54.752]  But it's saying what we believe in saying, what we need to say.
[01:49:54.772 --> 01:50:05.388]   Now, If you go to preventgenocide2030.org, you will see that there's a place for you to click to take action.
[01:50:05.888 --> 01:50:21.771]  And that action is to bombard your lawmakers with your demand, not your request, but your demand that we get our country out of the UN and out of WHO.
[01:50:22.072 --> 01:50:24.132]  Now, Alex, I have to tell you I made a mistake.
[01:50:24.964 --> 01:50:29.969]  I thought, and I'm a very big fan of Sun Tzu and strategic analysis.
[01:50:30.029 --> 01:50:35.734]  I learned a lot about that from General Burt, who was, as you know, a brilliant strategic analyst.
[01:50:36.475 --> 01:50:43.975]   And I thought That our strategy needed to be to get out of W.H.O.
[01:50:44.516 --> 01:50:49.201]  and then get out of the controlling organization behind it, the U.N.
[01:50:49.402 --> 01:51:01.073]   And then I became aware of the Summit for the Future scheduled for September 2024 and the pact For the future and the documents that we've been talking about today.
[01:51:01.414 --> 01:51:03.015]  Let me discuss where you're going.
[01:51:03.555 --> 01:51:10.760]  I mean, if you look at right now, it's Biden's head of the COVID response is actually running the whole UN treaty.
[01:51:11.100 --> 01:51:14.263]  So it's all coming out of the US, just like the UN came out of the US.
[01:51:14.643 --> 01:51:20.447]  So even if he got out of the UN and got out of the WHO, it's still the corporations and bureaucracies are the ones calling the shots.
[01:51:20.747 --> 01:51:21.928]  The UN is just the front group.
[01:51:23.254 --> 01:51:24.895]  Absolutely, it's just a front group.
[01:51:25.236 --> 01:51:39.446]  First we have the WHO and behind that we have the UN and behind that we have the financial system and then above that there are the guys who are trying to take the world apart and whether that's satanic or not I don't know.
[01:51:39.906 --> 01:51:58.559]   But the point is that we have the power right now to force our countries out of half of that four Well, sure, if we stop the WHO treaty, they won't have the agreement to put the power and attack us.
[01:51:58.579 --> 01:52:00.281]  So that's where the rubber meets the road.
[01:52:00.301 --> 01:52:02.263]  So we politically blow that up.
[01:52:03.547 --> 01:52:18.230]  And the only way we can politically blow that up is to force the spineless, gutless, worthless people who are the gatekeepers, they're called politicians to shorten it, to force them to do our will.
[01:52:18.651 --> 01:52:24.712]  And that means showing them what our will is through a massive display of demand.
[01:52:25.157 --> 01:52:34.366]  And that's why at Prevent Genocide 2030, we have letters for the UK, we have letters for the US, we have letters for Canada, we have letters for lots of countries.
[01:52:34.386 --> 01:52:37.389]  No, it's beautiful that people pick up on your expert analysis, it'll be that much stronger.
[01:52:37.409 --> 01:52:38.570]  And what you're saying is true.
[01:52:38.590 --> 01:52:46.518]  At the UN, at the IMF, at the World Bank, at the CIA, at the Carnegie Endowment, Rockefeller Foundation, they're in full panic.
[01:52:46.537 --> 01:52:49.537]  Here's an article today about Daily Skeptic on Infowars.com.
[01:52:49.537 --> 01:52:55.337]   EU Commissioner Thierry Brinton warns social media companies to turn up the dial on censorship
[01:52:55.337 --> 01:52:57.937]  or else he's threatening to basically arrest Elon Musk.
[01:52:57.937 --> 01:53:00.376]  Now I don't lionize Musk and think he's perfect.
[01:53:00.376 --> 01:53:05.857]   I mean he's kind of a middle road alternative they've created, but they're actually trying
[01:53:05.857 --> 01:53:09.457]   to go after him criminally because I can tell you there's a lot less censorship on Twitter
[01:53:09.457 --> 01:53:10.537]  than anywhere else.
[01:53:10.537 --> 01:53:11.537]  What do you make of this?
[01:53:11.537 --> 01:53:16.376]   But you're right, they're hitting the panic button admitting they're losing.
[01:53:16.376 --> 01:53:24.097]   They are terrified because they're really very expensive and extensive attempts at completely
[01:53:24.097 --> 01:53:25.537]  controlling our thought.
[01:53:25.736 --> 01:53:27.477]  Because what's the narrative about?
[01:53:27.578 --> 01:53:29.780]  The narrative is to control our wetware.
[01:53:30.652 --> 01:53:34.214]  It's to make us compliant with their lies.
[01:53:34.574 --> 01:53:38.574]  And that's failed. And that's failing even more rapidly.
[01:53:38.574 --> 01:53:44.904]   And when it fails it tends to backlash and they're getting a sustained cultural, spiritual, intellectual backlash that
[01:53:44.904 --> 01:53:46.574]  is incalculable.
[01:53:46.574 --> 01:53:50.574]   I mean look at like most of the mainline comics are coming out against them now.
[01:53:50.574 --> 01:53:52.574]  Most of the Hollywood stars are coming out against them.
[01:53:52.574 --> 01:53:55.574]  All these other bigwigs are coming out against them.
[01:53:55.574 --> 01:53:57.574]  I mean just because they see which way the wind's blowing.
[01:53:57.574 --> 01:53:59.574]  So I think we've reached a critical mass here.
[01:53:59.574 --> 01:54:03.574]  But like you said the enemy's going to pull something big.
[01:54:03.574 --> 01:54:06.574]  Yet the enemy is going to build something big and what they're...
[01:54:06.337 --> 01:54:24.693]  Remember, now that there is a huge accelerating opposition to the narrative in its specifics and in general, what they will do is penetrate that opposition and continue trying to control it and spin it in their direction.
[01:54:24.753 --> 01:54:26.975]  So instead of a bandwagon, it's a steer wagon.
[01:54:28.084 --> 01:54:30.326]  Exactly, a steer wagon, precisely.
[01:54:31.487 --> 01:54:41.635]  We have the opportunity at this point to completely destroy their ability to implement Agenda 2030.
[01:54:41.975 --> 01:54:45.899]  Agenda 2030 is the end of everything that we value.
[01:54:46.459 --> 01:54:47.080]  Everything.
[01:54:47.400 --> 01:54:50.903]  There is no area that they have left unscathed.
[01:54:50.963 --> 01:55:09.798]   Now, Agenda 2030 is bad enough, but behind that is this A pact for the future which simply explicitly expands the control so that there is not an atom left out of their control.
[01:55:09.818 --> 01:55:11.459]  Yeah, that's the Build Back Better.
[01:55:11.519 --> 01:55:19.205]  Whoever's left holding the pieces in these citadels, these globalist systems, then divide up the spoils of the world in this new dystopia.
[01:55:19.245 --> 01:55:22.228]  That's their reset Build Back Better on our bones.
[01:55:23.447 --> 01:55:38.118]  Well, the term that the head of state that I've spoken about, who clued me into this back in 2002, 2003, the term that she used was the neo-feudal era, and she was very specific.
[01:55:38.158 --> 01:55:49.430]   There will be us, the neo-feudalists, at the top, and below that, Us will be our servants and servitors, and below them our technicians.
[01:55:49.751 --> 01:55:53.493]  And that requires only 10% of the world's current population.
[01:55:53.874 --> 01:55:55.335]  Everyone else is superfluous.
[01:55:55.695 --> 01:55:59.478]  And Yuval Harari, not long ago, said virtually the same thing.
[01:55:59.498 --> 01:56:02.019]  Word for word says what you said 20 years ago on my show.
[01:56:03.521 --> 01:56:04.001]  Exactly.
[01:56:04.855 --> 01:56:13.723]  And so, 20 years ago, we could have stopped this really easily, but 20 years ago when I said it, when General Bird said it, when you said it, we were labeled as lunatics.
[01:56:13.743 --> 01:56:25.174]  Well, you guys came on my show 20 years ago, when you learned this, exactly 20 years ago, it was like 2003, and then you warned of it all, and then here it is!
[01:56:27.163 --> 01:56:32.745]  And we we were labeled as lunatics because we use the G word genocide.
[01:56:33.065 --> 01:56:35.786]  But now there is lunacy afoot.
[01:56:36.826 --> 01:56:39.327]  And the lunacy is all on their side.
[01:56:39.687 --> 01:56:43.028]  So the sanity is, oh, look at what's happening.
[01:56:43.559 --> 01:56:48.142]  Look at their documents, look at their actions, and stop it!
[01:56:48.482 --> 01:56:51.664]  Well, let's talk about basic psychology since you are a psychiatrist, amongst other things.
[01:56:52.304 --> 01:56:54.385]  Isn't that the classic thing of the madness of elites?
[01:56:54.425 --> 01:57:04.991]  Like, they have this master plan, they're going to make us perfect, we're the bad guys, but they're really projecting their hate onto us, but then every time they're about to get full control, they all go nuts.
[01:57:05.292 --> 01:57:09.214]  You study history, as soon as some elite tries to control everybody, they go crazy.
[01:57:10.891 --> 01:57:13.699]  Well they are crazy or they wouldn't try to control everybody.
[01:57:13.739 --> 01:57:14.942]  They start out crazy.
[01:57:15.584 --> 01:57:17.168]  Normal people don't try to control everybody.
[01:57:17.188 --> 01:57:18.030]  So they get crazier though?
[01:57:19.016 --> 01:57:19.937]  They get crazier.
[01:57:21.558 --> 01:57:26.321]  As we know, what happens when people get powerful is that they want to get more powerful.
[01:57:26.921 --> 01:57:38.009]  And if their power means to debase, demean and destroy everything around them, then that becomes more and more a reasonable position.
[01:57:38.529 --> 01:57:42.392]  And let me tell you something that I know as a psychiatrist and a psychoanalyst.
[01:57:43.873 --> 01:57:50.739]   I have sat with a lot of people who have done a lot of To me, awful things.
[01:57:51.920 --> 01:57:57.504]  And that includes parents, and it includes spouses, and it includes politicians and heads of state.
[01:57:58.225 --> 01:58:02.589]  And the interesting thing is that everybody has a because.
[01:58:03.269 --> 01:58:15.940]  Everybody has a rationalization why it was okay to tie their kid to a radiator in the middle of winter and beat the kid with an electric cord until they were dead.
[01:58:16.761 --> 01:58:18.262]  They always have a because.
[01:58:18.423 --> 01:58:25.009]  Well, I was trying to keep them from from going to hell because there was a demon in the child or whatever.
[01:58:25.369 --> 01:58:27.811]  No matter how crazy it is, it makes sense to them.
[01:58:28.352 --> 01:58:39.282]  So the fact that these people are crazy, the fact that those who wish to be dictators start out crazy or they wouldn't want to be dictators is irrelevant.
[01:58:39.562 --> 01:58:44.599]   And let me tell you about A group of people that I was asked to meet with recently.
[01:58:44.879 --> 01:58:47.442]  A group of really good people.
[01:58:47.522 --> 01:58:49.483]  Yes, that's a very important graphic.
[01:58:49.964 --> 01:58:58.391]  A group of very good-hearted people have decided, as a number of others have, that they need to replace the WHO.
[01:58:59.966 --> 01:59:04.427]  These are medical people and epidemiologists and scientists from around the world.
[01:59:05.027 --> 01:59:11.428]  And the WHO is bad, so we're going to be the better, kinder, gentler WHO.
[01:59:11.668 --> 01:59:16.549]  And I said to them, wait a minute, we don't need no stinking WHO.
[01:59:17.289 --> 01:59:19.969]  We need collaboration, not central control.
[01:59:20.029 --> 01:59:21.530]  We never need central control.
[01:59:22.670 --> 01:59:24.670]  And you're using the same model.
[01:59:25.250 --> 01:59:27.691]  So it's basically just regulatory capture.
[01:59:27.731 --> 01:59:32.674]   You're going to be The WHO, and you're going to decide what's good and what's bad.
[01:59:32.994 --> 01:59:36.555]  And when somebody violates what you think is good, you're going to squash them.
[01:59:36.895 --> 01:59:39.536]  We should have medical freedom and then people can make their own decisions.
[01:59:39.576 --> 01:59:42.117]  That creates a free market and accelerates renaissance.
[01:59:43.097 --> 01:59:43.778]  Exactly.
[01:59:43.878 --> 01:59:45.078]  Accelerates renaissance.
[01:59:45.418 --> 01:59:51.217]   Now, every dictator, every dictatorial system, Decides that it can improve humanity.
[01:59:51.237 --> 01:59:54.059]  That we're going to perfect humanity.
[01:59:54.099 --> 01:59:55.600]  We're going to make the new man.
[01:59:55.680 --> 01:59:57.562]  Marxism wants to make the new man.
[01:59:57.962 --> 02:00:01.424]  Democracy fanatics want to remake the new man.
[02:00:01.484 --> 02:00:02.845]  Hitler was going to create the uber mention.
[02:00:02.865 --> 02:00:05.427]  Hitler was going to create the uber mention.
[02:00:06.908 --> 02:00:08.830]  We don't need no stinking new man.
[02:00:09.230 --> 02:00:12.112]  What we need is for humanity to be treated humanely.
[02:00:12.613 --> 02:00:15.975]  And then humanity is a good man or woman.
[02:00:15.995 --> 02:00:16.996]  And we've forgotten that.
[02:00:17.717 --> 02:00:20.978]  Politically speaking, we've forgotten that in terms of sociology.
[02:00:21.418 --> 02:00:28.399]  And speaking of sociology and stupidity, there is a new area in obstetrics and gynecology.
[02:00:28.899 --> 02:00:31.400]  It is devoted to the pregnancy of transgender men.
[02:00:32.340 --> 02:00:32.740]  Say what?
[02:00:33.400 --> 02:00:39.582]  It is devoted to the pregnancy needs, the reproductive rights of transgender men.
[02:00:39.942 --> 02:00:44.743]  Well, let's start out with the fact that transgender is a delusion.
[02:00:45.633 --> 02:00:49.797]  So it's a church of insanity, a church of being at war with science.
[02:00:50.197 --> 02:00:51.698]  What is the master plan behind that?
[02:00:51.959 --> 02:00:53.600]  Just standardizing total insanity?
[02:00:55.982 --> 02:00:58.184]  It's normalizing insanity.
[02:00:58.244 --> 02:00:59.585]  It's not standardizing it.
[02:00:59.665 --> 02:01:04.929]  It's normalizing it so that anything can be presented as a real... It's animal farm.
[02:01:04.949 --> 02:01:05.190]  You're right.
[02:01:05.210 --> 02:01:05.750]  It's the opposite.
[02:01:05.790 --> 02:01:09.493]  I was saying standardizing to create... You're right.
[02:01:09.553 --> 02:01:11.475]  It's total Pandora's box of insanity.
[02:01:13.010 --> 02:01:15.612]  It's anything the state says becomes true.
[02:01:17.874 --> 02:01:18.774]  That's what it is.
[02:01:18.974 --> 02:01:24.058]  And we, as sane people, when something inside you says, wait a minute, wait, what?
[02:01:24.438 --> 02:01:25.039]  That's not right.
[02:01:25.350 --> 02:01:26.671]  That doesn't make any sense at all.
[02:01:27.031 --> 02:01:29.612]  Chances are it doesn't make any sense at all.
[02:01:30.112 --> 02:01:30.592]  Exactly.
[02:01:30.832 --> 02:01:35.835]  And if you go along with it, then you have allowed yourself to be deflected from being safe.
[02:01:35.855 --> 02:01:37.115]  But it's such an assault on women.
[02:01:37.215 --> 02:01:39.356]  I mean, they're so worried about women.
[02:01:39.896 --> 02:01:41.437]  Look, it's not about kissing women's ass.
[02:01:41.597 --> 02:01:42.417]  We're all the same species.
[02:01:42.457 --> 02:01:43.478]  I don't even see us as separate.
[02:01:44.078 --> 02:01:48.060]  We're all made by... But the point is, the attack's clearly on women and children.
[02:01:48.480 --> 02:01:51.221]  Because men are supposed to defend and die for women and children.
[02:01:51.521 --> 02:01:52.922]  It's an attack on the species itself.
[02:01:53.002 --> 02:01:53.742]  It's so naked.
[02:01:54.003 --> 02:01:54.743]  It's so obvious.
[02:01:56.107 --> 02:02:06.535]  The entire Comprehensive Sexuality Education Program, and I'll send you the UN PowerPoint that we can talk about on Saturday, Alex.
[02:02:06.655 --> 02:02:10.218]  I'll send that to Daria, your excellent producer.
[02:02:10.658 --> 02:02:24.288]  That entire assault on humanity and on decency and on sexuality and reality says that it's designed to protect girls and women.
[02:02:24.929 --> 02:02:25.690]  But it's not.
[02:02:26.051 --> 02:02:29.015]  It's designed to destroy girls and women.
[02:02:29.727 --> 02:02:33.009]  And boys and men, and human beings all together.
[02:02:33.469 --> 02:02:43.254]  However, everything that the globalists say, everything that the governmentalists say, the would-be rulers say, has to be inverted, because it's all lies.
[02:02:43.514 --> 02:02:45.095]  I've noticed that's their greatest weakness.
[02:02:45.155 --> 02:02:46.876]  If you simply flip it, it's what's going on.
[02:02:46.896 --> 02:02:47.456]  It's so easy.
[02:02:47.736 --> 02:02:51.018]  All right, we've got to talk to you on Saturday, noon to 2 p.m.
[02:02:51.058 --> 02:02:51.418]  Central.
[02:02:51.478 --> 02:02:52.779]  Thank you, Dr. Rima Labo.
[02:02:52.979 --> 02:02:53.679]  You'll have the floor.
[02:02:53.739 --> 02:02:54.580]  It says all the documents.
[02:02:54.600 --> 02:02:55.520]  You can do a whole PowerPoint.
[02:02:55.800 --> 02:02:56.561]  You can go through everything.
[02:02:56.581 --> 02:02:57.201]  You'll have the floor.
[02:02:57.241 --> 02:03:00.203]   I'll just be there to kind of Be the usher.
[02:03:00.523 --> 02:03:02.625]  Preventgenocide2030.org.
[02:03:02.665 --> 02:03:04.306]  Preventgenocide2030.org.
[02:03:04.647 --> 02:03:05.427]  Everybody check it out.
[02:03:05.467 --> 02:03:05.808]  Share it.
[02:03:05.868 --> 02:03:06.728]  Incredible job.
[02:03:07.289 --> 02:03:08.410]  Everybody needs to interview you.
[02:03:08.430 --> 02:03:11.232]  I know you've already done a lot of interviews, but please come on our other shows.
[02:03:11.753 --> 02:03:14.455]  And please, everybody out there, interview this lady.
[02:03:14.796 --> 02:03:15.456]  Thank you so much.
[02:03:15.496 --> 02:03:16.557]  Look forward to talking to you again soon.
[02:03:17.338 --> 02:03:18.219]  Thank you, Alex.
[02:03:18.899 --> 02:03:20.420]  That lady knows what she's talking about, folks.
[02:03:20.581 --> 02:03:21.001]  It's on.
[02:03:21.021 --> 02:03:21.842]  All right.
[02:03:23.322 --> 02:03:26.143]  We got this Ray Epps news that's really scaring the deep state.
[02:03:27.183 --> 02:03:28.543]  And so that's coming up in just a minute.
[02:03:28.623 --> 02:03:30.484]  And please remember, I didn't even plug last hour.
[02:03:31.264 --> 02:03:31.984]  We need funds.
[02:03:32.604 --> 02:03:33.785]  We got great products you already need.
[02:03:34.225 --> 02:03:35.885]  You want us to fight the New World Order of Pedophiles?
[02:03:35.905 --> 02:03:36.866]  Want us to take on the Satanists?
[02:03:37.826 --> 02:03:38.686]  We're doing it, folks.
[02:03:38.786 --> 02:03:40.206]  But I need your support.
[02:03:40.727 --> 02:03:42.687]  They murdered her husband for exposing this.
[02:03:42.727 --> 02:03:44.448]  And I mean, this is dangerous as hell.
[02:03:45.008 --> 02:03:46.248]  So I'm just telling you, we need your support.
[02:03:46.488 --> 02:03:48.389]  Go to InfoWarsTore.com right now.
[02:03:48.628 --> 02:03:55.628]  InfoWarsTore.com.
[02:03:55.628 --> 02:04:07.667]  When it comes to regaining energy, convenience is key.
[02:04:08.386 --> 02:04:15.352]  Sure, coffee, candy, and other highly sugar-filled products can give us a short boost, but the crash is always the strongest downside.
[02:04:15.792 --> 02:04:21.477]  That's why our team of scientists worked with the InfoWars crew to create a powerhouse mixable energy formula.
[02:04:21.797 --> 02:04:27.797]   Having Turbo Force Plus at work, home, in the car, or in your bag is the ultimate answer to a sluggish day.
[02:04:27.797 --> 02:04:43.717]   All right, Dr. Professor, former Trump advisor, Darren Beatty joins us, and I appreciate him
[02:04:43.717 --> 02:04:49.797]   moving stuff around to get on with us today, because this just broke last night and this morning.
[02:04:49.937 --> 02:05:10.289]   Within hours of the disgraced FBI head, Christopher Wray, getting up there and testifying That he knew nothing about Ray Epps and members of Congress showing him saying go into the Capitol, showing him saying he orchestrated it, showing him charging him when they breached the first barrier.
[02:05:12.751 --> 02:05:22.337]  Suddenly there's a lawsuit filed against Fox News by Ray Epps' lawyers and they say, oh we've been told we're about to be criminally charged, it's Tucker Carlson's fault.
[02:05:24.457 --> 02:05:25.737]  And then, oh, it's terrible.
[02:05:26.017 --> 02:05:28.898]  Tucker, they say in the lawsuit, says we instigated.
[02:05:28.958 --> 02:05:31.419]  No, no, instigating is like you push something.
[02:05:32.079 --> 02:05:34.559]  Orchestrating, in his own words, is when you're running it.
[02:05:34.940 --> 02:05:35.840]  You're in command.
[02:05:36.940 --> 02:05:42.861]  Like a top general orchestrates something, or a college football coach, when they coach the game, they're the orchestra.
[02:05:42.921 --> 02:05:44.542]  The quarterback executes.
[02:05:45.642 --> 02:05:47.803]  You could say, I guess, a running back instigates.
[02:05:50.695 --> 02:05:53.117]  I don't see what they'll do is they'll get a rigged jury, folks.
[02:05:53.157 --> 02:05:59.643]  They go into special areas, special juries, D.C., other areas, and then they just, they only put on evidence and it doesn't matter.
[02:06:00.003 --> 02:06:04.607]  They can send a newborn baby to the firing squad in District of Criminals.
[02:06:05.228 --> 02:06:08.110]  But a lot of movement, they're really panicked on this.
[02:06:08.831 --> 02:06:10.993]  Why is this moving so fast right now?
[02:06:11.073 --> 02:06:20.287]   We saw Congressman Nails Really just tear up, along with other congresspeople, the FBI director, and then again, play the clip.
[02:06:20.928 --> 02:06:26.451]  But again, let's move on from Strzoka, because the congressman says, well, Strzoka did as much as Epps.
[02:06:26.511 --> 02:06:29.193]  No, Strzoka didn't run around for days before saying, break in.
[02:06:29.433 --> 02:06:31.394]  He didn't ram signs into people.
[02:06:32.175 --> 02:06:34.576]  He didn't say he orchestrated it in text messages.
[02:06:35.136 --> 02:06:36.958]  He just got excited and went, go, go, go.
[02:06:37.378 --> 02:06:39.239]  Well, let's move Strzoka aside.
[02:06:39.399 --> 02:06:41.721]  My Owen Troyer, my good friend I've known eight years.
[02:06:42.481 --> 02:06:43.062]  Who I love.
[02:06:43.222 --> 02:06:43.903]  Seven and a half years.
[02:06:43.923 --> 02:06:44.624]  Been here seven years.
[02:06:46.887 --> 02:06:48.689]  Owen has no criminal record.
[02:06:48.730 --> 02:06:50.232]  A beautiful, great, hard-working guy.
[02:06:50.672 --> 02:06:51.653]  A good Christian man.
[02:06:52.455 --> 02:06:56.840]  And he's there with me and tries to stop people going in and tells people don't go in the Capitol.
[02:06:57.141 --> 02:06:58.543]  He's facing years in prison.
[02:07:01.075 --> 02:07:04.397]  And then I got to hear how Ray Epps is this little poor darling in the New York Times.
[02:07:04.437 --> 02:07:05.498]  They are so scared.
[02:07:05.938 --> 02:07:16.844]  Ray Epps is the thing, like in the Jenga game, or whatever it is, where you pull the piece of wood and the whole thing comes down, or it's the card in the house of cards.
[02:07:18.245 --> 02:07:27.831]  So I want to go to Dr. Beattie here to talk about this and how big this is, but first I want to play this short clip.
[02:07:29.039 --> 02:07:38.250]  Very short clip just from Congress yesterday of them actually showing the FBI director a small piece of what Mr. Epps is on video doing.
[02:07:39.371 --> 02:07:44.377]  And Mr. Ray Epps can be seen at the first breach of Capitol grounds at approximately 1250 p.m.
[02:07:44.638 --> 02:07:45.479]  Play the clip please.
[02:07:49.926 --> 02:07:50.906]  We need to go into the Capitol.
[02:07:50.966 --> 02:07:51.666]  Into the Capitol?
[02:07:51.686 --> 02:07:52.307]  Into the Capitol.
[02:07:52.367 --> 02:07:57.908]  We are going to the Capitol, where our problems are.
[02:07:58.448 --> 02:08:01.609]  It's that direction.
[02:08:01.629 --> 02:08:02.789]  Please spread the word.
[02:08:03.330 --> 02:08:03.730]  All right.
[02:08:03.770 --> 02:08:04.850]  No, Dave, but one more thing.
[02:08:04.890 --> 02:08:06.811]  Yeah, so can we go up there?
[02:08:06.871 --> 02:08:07.191]  No.
[02:08:07.331 --> 02:08:09.191]  When we go in, leave this here.
[02:08:09.311 --> 02:08:14.853]  Are we going to get arrested if we go up there?
[02:08:14.913 --> 02:08:15.513]  Yeah.
[02:08:15.573 --> 02:08:32.573]  [crowd shouting]
[02:08:32.573 --> 02:08:40.573]   Within an hour, the lawsuit's filed saying he's going to be indicted.
[02:08:40.890 --> 02:08:42.291]  I don't know that's even true.
