[00:00:00.089 --> 00:00:00.789]  We need your prayers.
[01:38:44.777 --> 01:38:53.923]   One of the chairs of one of the House subcommittees Wrote a letter to the trial judge in Hunter Biden's case saying, we have some things you should know about.
[01:38:53.943 --> 01:38:58.369]  And she basically said, don't tell me Congress can't interfere with this.
[01:38:58.429 --> 01:39:05.478]  If you have evidence of criminality about this defendant, send it to the prosecutor and they'll decide what to do with it.
[01:39:06.383 --> 01:39:17.570]  On the other hand, if they're looking for evidence to impeach him with, it would be nearly impossible to impeach him now for something he didn't do while he was the President of the United States.
[01:39:18.190 --> 01:39:22.252]  So it's almost as if Joe and company have figured all of this out.
[01:39:23.773 --> 01:39:28.236]  Again, unless it's income tax return, income tax fraud, it's too late to prosecute.
[01:39:29.036 --> 01:39:29.456]  Pardon me.
[01:39:29.556 --> 01:39:30.497]  It's not too late.
[01:39:32.105 --> 01:39:50.651]  To prosecute Hunter Biden for failure to register as a foreign agent, if the government decides that Burisma was substantially owned or controlled by the Ukrainian government, and by representing Burisma, the younger Biden was in fact a foreign agent and didn't report it.
[01:39:50.711 --> 01:39:51.791]  That's a felony.
[01:39:53.372 --> 01:39:54.792]  So, you know, that's an interesting angle.
[01:39:54.812 --> 01:39:55.733]  I've thought of that myself.
[01:39:58.032 --> 01:40:09.978]  I'm imagining there's probably no precedent to really even point at here, but to say, hey, can you impeach a president, a sitting president, for something they did while they were vice president?
[01:40:10.078 --> 01:40:13.180]  I mean, is there precedent there or is this something it's open and shut?
[01:40:13.400 --> 01:40:14.160]  No, you can't.
[01:40:15.561 --> 01:40:21.524]  Well, there is precedent for impeaching Donald Trump after he was no longer the president.
[01:40:21.544 --> 01:40:25.446]  So effectively, they would be impeaching vice president Biden.
[01:40:26.461 --> 01:40:36.692]  For something he allegedly did while he was the vice president, because they can't impeach President Biden for something he did before he was in office.
[01:40:36.732 --> 01:40:42.559]  There's an exception to that, but that has to do with the fraud on getting into office.
[01:40:42.579 --> 01:40:50.007]   So if, for example, just a hypothetical, There's evidence that Biden bribed members of the Electoral College.
[01:40:50.527 --> 01:40:54.088]  He could be impeached for that, even though technically he wasn't president.
[01:40:54.128 --> 01:40:56.209]  But that's the only exception that I'm aware of.
[01:40:57.429 --> 01:41:05.291]  All other impeachable events must have occurred after the officeholder legally entered the office.
[01:41:06.539 --> 01:41:29.919]  At this point, I think impeachment is a necessity, and if I'm giving Kevin McCarthy any benefit of the doubt, then I'm saying, okay, he's really taking his time and he's taking his measurements to figure out what is going to be the most effective way of going about this, or what gives me the best odds of a successful impeachment here, because he's going against the Senate that has a majority Democrat, so that's already going to be tough.
[01:41:30.600 --> 01:41:43.649]  But again, let's say hypothetically speaking, we know, and we can get into this momentarily, we know that Hunter Biden is selling his artwork, and now James Comer has said many of those sales are made to China.
[01:41:44.129 --> 01:41:47.851]  We know that millions have come in to the Biden family from China.
[01:41:48.312 --> 01:41:56.457]  Could they somehow link Biden's current foreign policy, which might be advantageous to China, to those foreign deals?
[01:41:56.677 --> 01:41:57.658]  Is that a possibility?
[01:41:59.747 --> 01:42:09.233]  Well, before they do that, they'd have to show that the money for the sale of this so-called artwork is making its way into Joe's pocket.
[01:42:10.114 --> 01:42:13.996]  And then they'd have to find out whether or not Joe reported that to the IRS.
[01:42:14.016 --> 01:42:25.904]  That would be a far easier route for them than saying there's a quid pro quo because you are buying garbage as if it were the Mona Lisa.
[01:42:27.337 --> 01:42:32.320]  And spending a lot of money on this garbage that you're treating as if it were the Mona Lisa.
[01:42:33.240 --> 01:42:35.462]  It's going to affect the President's foreign policy.
[01:42:35.902 --> 01:42:37.803]  I think that's a difficult case to make.
[01:42:38.123 --> 01:42:41.105]  If they could make it, that would be bribery.
[01:42:41.565 --> 01:42:45.887]  That would be a classic basis for impeachment.
[01:42:46.347 --> 01:42:50.630]  The Constitution says treason, bribery, or other high crimes and misdemeanors.
[01:42:50.670 --> 01:42:58.579]   The House defined Lying under oath in the Clinton years as the other high crimes, as an example of the other high crimes and misdemeanor.
[01:42:59.460 --> 01:43:06.407]  Uh, but bribery would be right smack dab in the, in, uh, articulated in the constitution, but a tough case to prove.
[01:43:07.890 --> 01:43:11.171]  Once again, Judge Napolitano, our guest here on the Alex Jones Show.
[01:43:11.251 --> 01:43:16.792]  I'm telling you folks, judging freedom on YouTube has become a mainstay for me to get information.
[01:43:17.192 --> 01:43:23.454]  The quick interviews you're doing, 30 minutes in and out with great guests like Colonel McGregor and so many others.
[01:43:23.474 --> 01:43:26.215]  Sometimes your guests even disagree with one another.
[01:43:26.235 --> 01:43:27.975]  That makes the conversation even more interesting.
[01:43:28.275 --> 01:43:31.596]  Judging freedom on YouTube, getting millions of views regularly.
[01:43:31.916 --> 01:43:33.196]  I'm one of those regular viewers.
[01:43:33.636 --> 01:43:35.237]  Now, getting back into the art deals.
[01:43:36.579 --> 01:43:48.183]  And we can get more into the Hunter Biden, but just generally speaking, when it comes to the courts and the justice system, it's pretty well known that money laundering goes on through art sales.
[01:43:48.683 --> 01:43:50.804]  But how does the court approach this stuff?
[01:43:52.045 --> 01:44:00.328]  How hard is it to look at art deals that, let's just say, are obviously suspicious and say, hey, there's a crime here, or is it too ambiguous?
[01:44:01.728 --> 01:44:04.109]  Well, it would require a federal prosecutor.
[01:44:05.334 --> 01:44:13.096]  Uh, which means the Department of Justice, which means Merrick Garland, or it would require, and this is the Kevin McCarthy route.
[01:44:13.156 --> 01:44:18.457]  I am not a fan of Kevin McCarthy at all, but I do believe he's doing the right thing on this.
[01:44:19.257 --> 01:44:26.939]  Such enormous public pressure, uh, on, uh, Merrick Garland, uh, that he appoints a special counsel.
[01:44:26.979 --> 01:44:33.781]  Now he did that with respect to Joe Biden's retention of national defense information.
[01:44:34.908 --> 01:44:37.689]  In his garage in Rehoboth Beach, Florida.
[01:44:38.130 --> 01:44:54.756]  We don't know what has come of that investigation, but the special counsel there is a serious career prosecutor, not beholden to politics, a registered Republican and a former appointee of Donald Trump.
[01:44:55.417 --> 01:45:03.080]  So nothing can get to a federal judge by way of allegations of crime, but through a prosecutor.
[01:45:04.256 --> 01:45:07.479]  Which means somebody in the DOJ now.
[01:45:08.920 --> 01:45:12.322]  I can't imagine the entire DOJ is compromised.
[01:45:12.362 --> 01:45:15.365]  Certainly the head of the DOJ is.
[01:45:15.925 --> 01:45:17.686]  That's where Kevin McCarthy comes in.
[01:45:18.527 --> 01:45:27.914]  If the evidence is overwhelming and if the public can understand it, the pressure on Merrick Garland to appoint a special prosecutor would be irresistible.
[01:45:29.884 --> 01:45:47.015]  It's been said, more or less, from Representative James Comer, that when they try to get answers from the IRS and the Department of Justice, they get stonewalled, they can't get the answers, and essentially, impeachment is their only shot, they feel like, to get the answers, to get the information that they need.
[01:45:47.615 --> 01:45:51.398]  Is impeachment as a strategy to fish for information effective?
[01:45:52.503 --> 01:45:56.284]  No, I think the best way, that's a wonderful question, Owen.
[01:45:56.324 --> 01:46:02.205]  I think the best way, I've said this before, not with you or Alex, but I've said it on other shows.
[01:46:03.265 --> 01:46:14.828]  The best way to deal with Chris Wray when he doesn't want to divulge information about what FBI agents were present on January 6th, or the IRS.
[01:46:17.303 --> 01:46:23.145]  Or DHS talking to and coercing and cutting deals with Facebook, whoever it is, whatever they want.
[01:46:23.465 --> 01:46:29.406]  The best way to do that is to go across the street and get a federal judge to order it.
[01:46:30.146 --> 01:46:36.228]  Because then the failure to comply with that order triggers incarceration.
[01:46:37.048 --> 01:46:46.251]   Now Congress cannot incarcerate Chris Wray or any of these other recalcitrant People in the executive branch who have information that Congress has the right to look at.
[01:46:46.591 --> 01:46:51.114]  But a federal judge, literally just a few blocks from the Capitol building, can do so.
[01:46:51.474 --> 01:46:52.555]  That's the way to do it.
[01:46:53.536 --> 01:46:55.557]  So there are two types of contempt.
[01:46:55.577 --> 01:46:59.000]  There's contempt of Congress, which doesn't hurt anybody.
[01:47:00.121 --> 01:47:03.483]  But contempt of court results in incarceration.
[01:47:03.743 --> 01:47:09.808]  And you'll be incarcerated until you cough up the information that they're sought after.
[01:47:09.828 --> 01:47:12.249]   So it's an open-ended Incarceration.
[01:47:12.309 --> 01:47:14.250]  It's not like Chris Wray's going away for two weeks.
[01:47:14.310 --> 01:47:19.454]  He's going to go away until he provides Congress with the information that it's the subject of the judicial order.
[01:47:20.415 --> 01:47:30.783]  Now perhaps that's a reach or a step that the Republicans don't want to take at this time, but if they are desperate to get that information, you believe that is going to be the most effective way to do so?
[01:47:31.584 --> 01:47:35.827]  It's really the only way to do so because a contempt of Congress has no sting.
[01:47:36.890 --> 01:47:39.814]  They just censured Adam Schiff.
[01:47:39.854 --> 01:47:41.856]  He views it as a badge of courage.
[01:47:41.896 --> 01:47:48.604]  And I would imagine if a Democratic Congress had censured Jim Jordan, he'd view it as a badge of courage too.
[01:47:49.104 --> 01:47:56.273]  But there is no badge of courage in being locked up until you cough up the information that the court has demanded of you.
[01:47:58.061 --> 01:48:10.526]  Alright, let's get into the Hunter Biden plea deal now, which, you know, Judge, I'm looking at this and there's some stuff that's like, okay, I could see how that happens, but then there's some stuff that it just seems like it's impossible.
[01:48:10.666 --> 01:48:28.797]   I highly doubt, I mean, maybe Hunter Biden doesn't understand legal proceedings, but I highly doubt he would be hiring incompetent lawyers that would be so uninformed to think that The plea deal in the current charges are going to somehow exonerate him from the FARA investigations that's ongoing.
[01:48:29.198 --> 01:48:30.378]  What do you think really happened there?
[01:48:30.399 --> 01:48:38.185]  Do you really believe that Hunter Biden's legal team was shocked and stunned when they found out Hunter wouldn't get immunity for future crimes or for the ongoing investigations?
[01:48:38.665 --> 01:48:50.195]  Or do you think it was some sort of a deflection and they're just pretending that they didn't know that even though they knew it all along because they think this might be advantageous to keep the investigation away from Joe?
[01:48:51.613 --> 01:48:58.839]  So I have probably taken about 1500 plea bargains, plea deals in my career as a judge.
[01:48:58.879 --> 01:49:03.403]  And I would say a good 10 to 15% of them collapsed in the courtroom.
[01:49:04.104 --> 01:49:09.649]  And they always collapse because of miscommunication between the two sides.
[01:49:10.790 --> 01:49:16.593]  I can't answer your question because I don't know the lawyers involved in this case.
[01:49:16.693 --> 01:49:41.166]   I do know that the federal judge had questioned the ethics of one of the members of the defense team because the federal judge claims that one of the members of the defense team called her chambers and gave the impression that that person, a female, that she was a lawyer for the House of Representatives rather than a lawyer for Hunter Biden, sometimes miscommunications happen.
[01:49:42.167 --> 01:49:49.792]  But in the courtroom, when the judge said to him, do you know that you could still be prosecuted for other crimes?
[01:49:49.892 --> 01:49:51.473]  And he said, no, I have immunity.
[01:49:51.693 --> 01:49:54.175]  She looked at the feds and says, are you giving him immunity?
[01:49:54.195 --> 01:49:55.216]  Because I don't know about it.
[01:49:56.777 --> 01:49:58.398]  Only the court can give immunity.
[01:49:58.418 --> 01:50:00.399]  So she was correct to ask for that.
[01:50:00.719 --> 01:50:04.422]  The government can drop a charge, but it can't give immunity.
[01:50:05.485 --> 01:50:10.448]  The government only gives immunity when you give the government information that it wants.
[01:50:11.049 --> 01:50:15.312]  Immunity is involved in the investigation of Trump and Giuliani in Georgia.
[01:50:15.352 --> 01:50:18.694]  We can talk about that in a little while if you choose to go there.
[01:50:19.214 --> 01:50:30.081]  So by asking this question about immunity and other charges, it became obvious that these people had not communicated or that the defense thought they could pull a fast one on the prosecutors.
[01:50:30.982 --> 01:50:36.343]   You also raised something very interesting, which you and I We'll appreciate it.
[01:50:36.363 --> 01:50:47.911]  And I think everybody watching us now, the gun charge, which says it is unlawful to possess a gun, even legally, if you are a habitual drug user.
[01:50:48.211 --> 01:50:52.314]  She said, well, that statute might be unconstitutional.
[01:50:52.334 --> 01:50:53.655]  Well, what is she talking about?
[01:50:54.115 --> 01:50:57.598]  She's talking about the new Supreme Court opinion.
[01:50:57.638 --> 01:50:58.719]  It's now a year old.
[01:50:59.346 --> 01:51:05.330]  Which says the Second Amendment shall be interpreted today the way it was understood when it was first ratified.
[01:51:05.690 --> 01:51:18.878]  Well, when it was first ratified, almost all the Founding Fathers grew and consumed a form of hemp, which was a mild hallucinogenic, and they still possessed their weapons.
[01:51:19.518 --> 01:51:24.162]  So this is to Hunter's benefit that she said this.
[01:51:24.942 --> 01:51:32.788]  The program you're going to enter, this pre-trial diversionary program, might be predicated on a statute that's unconstitutional.
[01:51:32.828 --> 01:51:33.949]  So all of this came up.
[01:51:34.830 --> 01:51:37.712]  Nobody had thought about all of it or articulated all of it.
[01:51:38.306 --> 01:51:41.889]  Now the defendant is entitled to know all the charges against him.
[01:51:42.329 --> 01:51:48.073]  So that if there's five charges against him, he's going to plead guilty to three and go to trial on two.
[01:51:48.133 --> 01:51:49.214]  He needs to know that.
[01:51:49.754 --> 01:51:52.696]  And the government is obliged to inform him of that.
[01:51:52.736 --> 01:51:54.698]  So we won't know where this goes.
[01:51:54.718 --> 01:52:04.705]  I think the new date is somewhere around the 27th, 8th, or 9th of this month, of August, exactly what the plea deal will be.
[01:52:04.765 --> 01:52:18.520]   But whatever it is, they know with this judge, A Democrat appointed by Donald Trump that this judge is going to want to know everything before she accepts anything.
[01:52:19.621 --> 01:52:29.206]  You know, I would imagine most Second Amendment activists would probably argue for Hunter Biden's Second Amendment rights, whether he's just railed a line of Parmesan cheese or he's been sober for two years.
[01:52:29.766 --> 01:52:32.268]  So that's an interesting one that may come up in this.
[01:52:32.688 --> 01:52:39.250]   But let me let me ask you this, because, again, when you And you know, lawyers don't throw terms and phrases out there without meaning.
[01:52:39.290 --> 01:52:43.031]  The word immunity has very important legal meaning.
[01:52:43.391 --> 01:52:49.252]  For Hunter Biden to be confused about that and to have that word used doesn't seem accidental.
[01:52:49.653 --> 01:52:52.933]  Do you think Hunter was under the impression that he was going to get immunity?
[01:52:53.433 --> 01:53:02.496]  And on the larger issue, do you think maybe there is a level of cooperation somewhere within the Biden family or their associates where people are thinking they're getting immunity?
[01:53:02.656 --> 01:53:03.756]  How does that even get brought up?
[01:53:06.101 --> 01:53:07.202]  It's a great question.
[01:53:07.262 --> 01:53:08.862]  It is a technical term.
[01:53:08.922 --> 01:53:09.523]  I don't know.
[01:53:10.063 --> 01:53:11.323]  Obviously, I don't know the guy.
[01:53:11.804 --> 01:53:18.827]  I don't know what Hunter Biden's understanding of immunity is, but immunity is never given for free.
[01:53:19.387 --> 01:53:28.671]  Immunity is given and it's got to be approved, unless it's the Congress granting immunity like they did to Ali North.
[01:53:30.552 --> 01:53:35.915]  If the prosecutors are going to grant immunity, it requires the approval of a judge.
[01:53:36.635 --> 01:53:41.538]  And it is always, underscore always, a quid pro quo.
[01:53:41.698 --> 01:53:46.740]  It is always, we're giving you immunity in return for what you are giving us.
[01:53:47.721 --> 01:53:57.649]   So in the fake elector situation in Georgia, There are 16 Republicans who signed documents saying they are the true electors from Georgia.
[01:53:57.689 --> 01:54:00.690]  The government says all 16 committed perjury.
[01:54:01.010 --> 01:54:15.094]  The government gave immunity to 12 of them, not because they like them, but because those 12 have said something to the grand jury, probably about Donald Trump or Rudy Giuliani, that the government wanted them to say.
[01:54:15.154 --> 01:54:17.155]  So the government more or less bribed them.
[01:54:17.679 --> 01:54:18.800]  By giving them immunity.
[01:54:19.340 --> 01:54:23.321]  So back to Hunter Biden, immunity is just the wrong word.
[01:54:23.882 --> 01:54:27.063]  The government can say, we have five charges against you.
[01:54:27.563 --> 01:54:29.024]  You're pleading guilty to two.
[01:54:29.444 --> 01:54:32.025]  You're entering into a diversionary program on one.
[01:54:32.085 --> 01:54:33.386]  We're dropping the other two.
[01:54:33.426 --> 01:54:34.166]  They can do that.
[01:54:34.786 --> 01:54:39.868]  But to use that word, immunity, always means a quid pro quo.
[01:54:39.969 --> 01:54:50.142]   And again, unless it involves Congress, or requires the approval of a judge, that's probably What made her ears go up when he used that word?
[01:54:50.242 --> 01:54:52.503]  Where he got that word from, I don't know.
[01:54:52.563 --> 01:55:04.451]  It is possible that as a layperson, as a non-lawyer, he thought that the dismissal of other charges or a decision not to prosecute was a form of immunity.
[01:55:04.551 --> 01:55:04.931]  It's not.
[01:55:05.779 --> 01:55:10.660]  Well, he did tell the judge that he had his bar license.
[01:55:10.760 --> 01:55:15.101]  So, I mean, he's technically claiming he understands the law, but then making that mistake.
[01:55:15.381 --> 01:55:17.362]  I do want to get into the Trump stuff.
[01:55:17.382 --> 01:55:19.662]  We got 60 seconds left here.
[01:55:19.842 --> 01:55:35.146]  I'm just curious, would a judge ever be curious enough during a deferred sentence like this, if a situation happens and you find drugs and paraphernalia at the house where you're either residing or doing business with your father, would the court be interested to find out if the drugs were yours?
[01:55:38.686 --> 01:55:42.046]   Even if it's the biggest and most famous house in the country.
[01:55:42.046 --> 01:55:47.487]  [laughing]
[01:55:47.487 --> 01:55:49.086]  The short answer is yes.
[01:55:49.086 --> 01:55:50.586]  (laughing)
[01:55:50.720 --> 01:55:53.221]  Okay, well that's good.
[01:55:53.241 --> 01:55:59.023]  Alright, when we come back from this break with Judge Napolitano, we'll get into Trump's legal woes that are ahead of him.
[01:55:59.643 --> 01:56:05.205]  But I'm telling you folks, when I log onto YouTube, one of the first channels I go to is Judging Freedom.
[01:56:05.245 --> 01:56:12.748]  Some of the best interviews you're going to find on the war on Ukraine, legal issues with Judge Napolitano, Judging Freedom on YouTube.
[01:56:12.768 --> 01:56:13.549]  He's our guest.
[01:56:13.909 --> 01:56:14.529]  We'll be right back.
[01:56:15.779 --> 01:56:20.627]  You know, I kind of got the judge there with that last question, didn't I?
[01:56:21.509 --> 01:56:22.310]  I'm proud of that one.
[01:56:23.893 --> 01:56:28.441]  Judge Napolitano, our guest, the host of Judging Freedom, a great YouTube channel.
[01:56:29.471 --> 01:56:30.131]  That I frequent.
[01:56:30.171 --> 01:56:31.292]  Here we are in the Alex Jones Show.
[01:56:31.352 --> 01:56:32.192]  Owen Troyer filling in.
[01:56:32.272 --> 01:56:38.375]  Alright, I want to jump over to the Trump issues here, and I'm going to ask you kind of a long-form question.
[01:56:38.435 --> 01:56:42.036]  Feel free to take this wherever you want, but let's just put it like this, Judge.
[01:56:42.837 --> 01:56:45.818]  If you are Donald Trump's lawyers right now, because here's the thing.
[01:56:46.278 --> 01:56:53.145]  I can try to follow all the different bouncing balls, and I can try to reach and grab some of them, and some of them are real, and then some of them end up being a projection.
[01:56:53.566 --> 01:56:55.307]  Kind of like this obstruction of justice.
[01:56:55.347 --> 01:56:58.190]  Hey, they were deleting security footage from Mar-a-Lago.
[01:56:58.270 --> 01:57:00.272]  Okay, wait, never mind, that never happened.
[01:57:00.713 --> 01:57:02.034]  And so it's hard to keep up with all this.
[01:57:02.454 --> 01:57:08.772]   But if you're Donald Trump's lawyers right now, And I think we're all anticipating a third indictment coming soon.
[01:57:09.252 --> 01:57:14.494]  With all the legal stuff going on, if you're Donald Trump's lawyers, what are Donald Trump's advantages?
[01:57:14.634 --> 01:57:16.755]  Where are things that will go Trump's way?
[01:57:16.775 --> 01:57:19.276]  And then where are the things you're concerned about?
[01:57:19.296 --> 01:57:24.319]  Where are the things that you think are a disadvantage to Donald Trump legally as he moves forward here?
[01:57:26.760 --> 01:57:30.021]  Well, I mean, I would be very concerned about January 6th.
[01:57:30.761 --> 01:57:36.756]   But of course, I haven't seen the indictment, and so I don't know exactly Uh, what they're going to charge him with.
[01:57:37.377 --> 01:57:43.640]  I don't think that they would be foolish enough to charge him with inciting, uh, an insurrection.
[01:57:43.660 --> 01:57:55.087]  I have already written extensively on how he has substantial First Amendment, uh, protections to, uh, the speech that he gave, uh, outside the Capitol, uh, that day.
[01:57:55.207 --> 01:57:59.510]  Everything he said there is absolutely protected, uh, under the First Amendment.
[01:58:00.428 --> 01:58:02.370]  But I would be very worried about Mar-a-Lago.
[01:58:02.430 --> 01:58:06.193]  The evidence in that case, there is two kinds of indictments.
[01:58:06.213 --> 01:58:08.055]  So this is inside baseball.
[01:58:08.856 --> 01:58:12.479]  But everyone, that's why you asked a great inside baseball question, Owen.
[01:58:14.300 --> 01:58:17.143]  There's a silent indictment and there's a screaming indictment.
[01:58:17.163 --> 01:58:24.409]  A silent indictment lays out the charges against the defendant that the government says it can prove.
[01:58:24.690 --> 01:58:31.461]   A screaming indictment Lays out the charges and provides all the evidence that the government has.
[01:58:32.141 --> 01:58:40.329]  These two Mar-a-Lago indictments, the original and the superseding are both screaming indictments.
[01:58:40.369 --> 01:58:45.114]  There is far more evidence in there than is normally in an indictment.
[01:58:45.154 --> 01:58:47.636]  And the evidence of guilt is overwhelming.
[01:58:48.397 --> 01:58:49.218]  Overwhelming.
[01:58:50.367 --> 01:59:02.695]  The most recent indictment, the superseding indictment, which basically reincorporates everything in the original indictment and then adds a few new charges, basically shows how the government will prove intent.
[01:59:03.836 --> 01:59:09.940]  Federal crimes, the feds have to prove intent, that you knew what you were doing and intended to do it.
[01:59:10.921 --> 01:59:16.965]  So if the police are knocking at your door and you run away, blight is an indication of intent.
[01:59:17.632 --> 01:59:27.482]  If your house is filled with security cameras and you tell the people that run them you better erase them or you better hide these boxes before the FBI comes.
[01:59:28.062 --> 01:59:30.203]   That's Uh, evidence of intent.
[01:59:30.243 --> 01:59:31.823]  So those are the things that they added.
[01:59:31.964 --> 01:59:39.227]  Not that the security cameras were destroyed or deleted, but that he ordered them destroyed or deleted.
[01:59:39.247 --> 01:59:41.248]  Uh, and that wasn't done.
[01:59:41.448 --> 01:59:46.471]  That is an attempt to obstruct, uh, justice and its consciousness of guilt.
[01:59:46.731 --> 01:59:47.972]  That's what I'd be worried about.
[01:59:48.372 --> 02:00:00.016]   The other thing I'd be worried about, uh, Owen, is that most of the evidence in this Mar-a-Lago case, uh, comes from the mouth, mouths, uh, Of his former lawyers.
[02:00:01.397 --> 02:00:05.861]  He had every reason to believe that everything he said to them was protected by the attorney-client privilege.
[02:00:05.881 --> 02:00:06.722]  He's not a lawyer.
[02:00:07.362 --> 02:00:13.487]  He can't be charged with knowing what the exceptions to the attorney-client privilege are.
[02:00:14.488 --> 02:00:23.946]   But the feds persuaded a federal judge That the communications he had with his lawyers were outside the attorney-client privilege.
[02:00:24.006 --> 02:00:26.187]  Therefore, the lawyers had to surrender their notes.
[02:00:26.907 --> 02:00:31.628]  And therefore, the lawyers had to testify before the grand jury.
[02:00:31.728 --> 02:00:38.529]  And therefore, those lawyers, who obviously don't represent him anymore, will be witnesses against him at trial.
[02:00:39.390 --> 02:00:43.230]  He has a very good shot at suppressing that evidence.
[02:00:43.310 --> 02:00:45.511]  If he does, there's a big hole in the government's case.
[02:00:46.465 --> 02:00:51.047]  Now just to get technical here to the lay audience, why is that?
[02:00:51.147 --> 02:00:55.568]  When does the attorney-client privilege get waived?
[02:00:57.889 --> 02:01:08.633]  So you're a lawyer and the client comes to you and says, I just robbed a bank and expect to be charged.
[02:01:09.529 --> 02:01:12.230]  Or, I expect to be charged with robbing a bank.
[02:01:12.270 --> 02:01:13.271]  What are my defenses?
[02:01:13.311 --> 02:01:14.732]  You go through the defenses.
[02:01:14.812 --> 02:01:15.472]  It wasn't you.
[02:01:15.512 --> 02:01:16.192]  You weren't there.
[02:01:16.232 --> 02:01:17.173]  The money was yours.
[02:01:18.293 --> 02:01:19.814]  Anyway, insanity.
[02:01:20.114 --> 02:01:20.895]  You don't remember.
[02:01:21.235 --> 02:01:22.595]  The bank stole the money from you.
[02:01:22.635 --> 02:01:23.776]  Whatever the defenses are.
[02:01:24.076 --> 02:01:25.697]  That conversation is privileged.
[02:01:26.457 --> 02:01:37.783]  But if you're the lawyer and the client comes to you and says, I plan to rob a bank and I need your guidance as to what defenses will be available to me if I do so.
[02:01:38.493 --> 02:01:40.634]  That conversation is not privileged.
[02:01:41.294 --> 02:01:47.077]  That is called the crime-fraud exception to the attorney-client privilege.
[02:01:47.217 --> 02:02:06.145]  And it states, in general terms, if the client plans to use the lawyer's advice to perpetrate a fraud or commit a crime, then the communications about that subject matter, not everything they said, but about that subject matter, are not privileged.
[02:02:06.685 --> 02:02:13.132]   So in this case, Remember, the National Archives asked for these documents.
[02:02:13.152 --> 02:02:14.813]  They sent 15 boxes back.
[02:02:14.833 --> 02:02:22.279]  The National Archives, which apparently counted every slip of paper in the White House, said there's still, you know, 100 boxes that aren't accounted for.
[02:02:24.801 --> 02:02:26.182]  Then went to the DOJ.
[02:02:26.262 --> 02:02:28.123]  Then the DOJ convened a grand jury.
[02:02:28.163 --> 02:02:30.625]  Then the grand jury sent a grand jury subpoena.
[02:02:31.466 --> 02:02:47.921]   When Trump told his lawyers, told lawyer A to tell lawyer B That lawyer C had conducted a search and there were no documents in the house still subject to the subpoena.
[02:02:48.021 --> 02:02:50.523]  And lawyer B said that under oath.
[02:02:52.044 --> 02:03:02.591]  That the government persuaded a federal judge was Trump using his lawyers to perpetrate a fraud on the grand jury and to commit a crime because it's perjury.
[02:03:02.971 --> 02:03:06.734]  And therefore the communications with the lawyers is not privileged.
[02:03:08.089 --> 02:03:14.973]  Trump's people appealed that determination and a federal appellate court upheld it by a vote of three to zero.
[02:03:15.793 --> 02:03:26.379]  That triggered the surrender of the notes and one of his lawyers kept shorthand and one of the lawyers took down verbatim everything in the conversations.
[02:03:27.019 --> 02:03:36.444]  And in one of those conversations, Trump said, I want you to take these documents, national defense information, out of Mar-a-Lago to your hotel room.
[02:03:37.535 --> 02:03:39.997]  And pluck out the real serious ones.
[02:03:40.477 --> 02:03:42.519]  And then it would be nice if they didn't return.
[02:03:43.480 --> 02:03:47.163]  Well, when the grand jury heard that they voted to indict immediately.
[02:03:47.183 --> 02:03:49.244]  How did the grand jury hear it?
[02:03:49.364 --> 02:03:50.605]  Because the lawyer told them.
[02:03:50.645 --> 02:03:51.706]  How did the lawyer told them?
[02:03:52.246 --> 02:03:56.570]  Told them because four federal judges ruled that there was no longer an attorney-client privilege.
[02:03:56.930 --> 02:04:04.603]   So my argument would be How could Trump possibly know what is subject to the attorney-client privilege or not?
[02:04:05.083 --> 02:04:11.687]  He's been using lawyers his entire life and always believed everything he said to them was privileged.
[02:04:12.547 --> 02:04:17.570]  And when I went to law school, the crime-fraud exception to the attorney-client privilege did not exist.
[02:04:18.271 --> 02:04:19.411]  There were no exceptions.
[02:04:19.712 --> 02:04:20.232]  Everything.
[02:04:21.042 --> 02:04:23.043]  And there's no grandfather clause into that, I would imagine.
[02:04:22.882 --> 02:04:25.682]   If the client wants to reveal what the lawyer told him, the client can't.
[02:04:25.682 --> 02:04:31.122]   But if the client says to the lawyer, zip your lip, your lips are zipped.
[02:04:31.122 --> 02:04:37.561]   But the law has since changed to insert this crime fraud exception.
[02:04:37.561 --> 02:04:40.643]   And there's no grandfather clause into that, I would imagine.
[02:04:40.643 --> 02:04:44.561]  Trump can't claim that, oh, it wasn't always like this.
[02:04:44.561 --> 02:04:47.362]  No, that would not help him.
[02:04:47.411 --> 02:04:50.934]  The only thing Trump can claim is that this was sprung on him.
[02:04:50.954 --> 02:04:54.316]  He didn't know about it all of his life.
[02:04:54.356 --> 02:04:57.339]  He believed that it was like going to confession.
[02:04:57.379 --> 02:04:59.000]  It could never be revealed.
[02:04:59.620 --> 02:05:03.523]  I don't think that will work, but that's about the best shot he has.
[02:05:04.264 --> 02:05:16.381]   Short of that, and I know he doesn't want to do it, and I know he doesn't want to hear this, and I say this as somebody who's been his friend for 35 years, and I have a lot of Respect and personal affection for him.
[02:05:16.401 --> 02:05:19.882]  I mean, he once picked me up like I was a baby and kissed me.
[02:05:19.922 --> 02:05:23.303]  I mean, I really have a unique relationship with him.
[02:05:25.343 --> 02:05:38.247]  He should consider plea negotiations because in the modern era, the post-World War II era, no one has been convicted of this charge and not gone to jail.
[02:05:40.100 --> 02:05:50.226]  Well, and I wonder, too, if his perspective is, no matter what happens here, the mass public perception, at least from my supporters, the people that are going to vote for me, is it's all political persecution.
[02:05:50.246 --> 02:05:51.207]  It doesn't matter anyway.
