[00:00:00.000 --> 00:00:03.000]  [Buzzing]
[01:48:31.860 --> 01:48:34.602]  And clearly Israel stood down on October 7th.
[01:48:35.202 --> 01:48:36.483]  Who did it, we're not sure.
[01:48:36.883 --> 01:48:41.205]  Netanyahu saying the intelligence agencies, the military did it to get rid of him.
[01:48:41.846 --> 01:48:42.866]  I don't know if that's true.
[01:48:44.127 --> 01:48:45.528]  But definitely somebody stood down.
[01:48:48.049 --> 01:49:04.463]   And I see corporate media and the bots Siding against Israel in a dialectic and the left allied with Islam and Hamas and Hezbollah and you see all the leftist demonstrations and protests all over the world.
[01:49:06.005 --> 01:49:07.706]  I'm against the carpet bombing of Gaza.
[01:49:09.508 --> 01:49:19.717]  Jake Tapper has come out at a bunch of other CNN shows and literally said Israel is an apartheid fascist state.
[01:49:20.862 --> 01:49:21.782]  You want to see the clips?
[01:49:21.862 --> 01:49:22.523]  Eight minutes long.
[01:49:23.103 --> 01:49:24.223]  Want to listen to Tapper that long?
[01:49:25.284 --> 01:49:26.444]  We'll play a little of it next hour.
[01:49:27.465 --> 01:49:29.866]  So, let's just pull back and get past emotions.
[01:49:30.586 --> 01:49:31.006]  I get it.
[01:49:31.226 --> 01:49:32.707]  Humans love to pick a side.
[01:49:33.047 --> 01:49:36.268]  And that's how we're designed to do, because you wouldn't survive in ancient times if you didn't.
[01:49:37.929 --> 01:49:40.810]  We're supposed to pick Israel or the Muslims.
[01:49:42.111 --> 01:49:45.432]  But the globalists are above that, manipulating something.
[01:49:45.692 --> 01:49:58.698]   The Israeli government stood down, allowed the attacks to take place, Even the Israeli news admits half the casualties were the Israeli troops going in once they showed up ten hours later.
[01:49:59.358 --> 01:50:02.179]  They responded seven hours, but it took them hours to get going.
[01:50:02.539 --> 01:50:06.701]  And they blew up a whole bunch of the houses that had hostages in them.
[01:50:06.961 --> 01:50:09.902]  And I'm not trying to attack Israel here.
[01:50:10.022 --> 01:50:14.503]  I'm saying we need to be honest about what's going on if we're going to be clear about this.
[01:50:16.824 --> 01:50:19.465]  This is a class of civilizations that's been created for a reason.
[01:50:23.925 --> 01:50:32.769]  And if you pull back from it, it's all part of what Klaus Schwab talked about, creating an angrier world and all these wars to bring in their world government.
[01:50:34.629 --> 01:50:36.250]  So I talked about this last week.
[01:50:36.990 --> 01:50:46.134]  They admit the insurance companies, around 20 million, it varies depending on the actuary, 18 to 21 million, 22 million have died from the shots.
[01:50:46.174 --> 01:50:47.335]  And I've got articles on it today.
[01:50:47.895 --> 01:50:48.755]  Incredible news.
[01:50:49.315 --> 01:50:50.716]  That's 20 million people.
[01:50:52.588 --> 01:50:55.170]  Another 80-something million starved to death from lockdowns.
[01:50:56.191 --> 01:51:06.579]  So I do care about the thousands of dead Palestinian children and I care about the 1,500 dead Jews and all the rest of it.
[01:51:07.780 --> 01:51:14.810]   But we're being told to care about this, and this is the only issue there is, When it is a distraction.
[01:51:15.631 --> 01:51:19.414]  Doesn't mean you don't care about it, but clearly it's a distraction.
[01:51:19.795 --> 01:51:29.964]  So there's a lot of cherry-picking from the show, where I'm like, I want to tell Netanyahu and any Israelis, and it's members of the Knesset, that want to ship the Gaza people here.
[01:51:30.264 --> 01:51:33.707]  If they're so peaceful and loving and good, you need to take them in your country.
[01:51:34.168 --> 01:51:35.449]  Screw you if you want to do that.
[01:51:36.215 --> 01:51:38.176]  They go, look, Jones is now anti-Israel.
[01:51:38.416 --> 01:51:39.556]  Hallelujah, we're going to win.
[01:51:39.856 --> 01:51:43.617]  Once the Jews are destroyed, we're all going to be free from the river to the sea.
[01:51:44.518 --> 01:51:45.418]  You got the wrong guy.
[01:51:45.438 --> 01:51:47.219]  I'm not some Harvard globalist saying that.
[01:51:48.599 --> 01:51:54.021]  I'm pulling back as an adult and somebody trying to figure out what's going on and going, man, this looks really bad.
[01:51:54.821 --> 01:51:56.802]  So when the Jews do atrocities, I show it.
[01:51:57.302 --> 01:51:59.142]  When the Islamists do it, I show it.
[01:51:59.623 --> 01:52:02.503]  I'm just here trying to call it like I see it.
[01:52:03.324 --> 01:52:03.964]  Balls and strikes.
[01:52:06.164 --> 01:52:13.251]  And it's not that I want to be like Switzerland, neutral.
[01:52:16.794 --> 01:52:19.056]  I know this is a larger game plan.
[01:52:20.358 --> 01:52:23.200]  But here's the bigger takeaway.
[01:52:23.681 --> 01:52:29.106]  68% to 70% and a whole bunch of scientific polls of the American people are against what Israel is doing right now.
[01:52:31.232 --> 01:52:35.153]  And if you go on Twitter or Facebook or Instagram, it's 90 to 10%.
[01:52:35.774 --> 01:52:42.116]  The so-called vaunted Israeli propaganda network is being totally defeated.
[01:52:43.116 --> 01:52:45.217]  And that's because they want to get rid of Netanyahu.
[01:52:45.777 --> 01:52:47.678]  And so they're just sitting on their hands, folks.
[01:52:51.519 --> 01:52:57.081]  So this is a Jewish civil war that's being manipulated by globalists above it.
[01:52:58.160 --> 01:53:00.501]  To get Reddit and Netanyahu.
[01:53:01.101 --> 01:53:02.241]  But that's only at one level.
[01:53:02.501 --> 01:53:11.123]  The larger level, the crises, the terror attacks, the threats, the FBI director saying brace for Hamas terror attacks, which I think are going to come, whether they're manufactured or not.
[01:53:11.143 --> 01:53:13.864]  This is all about destabilization.
[01:53:17.165 --> 01:53:20.665]  So if people want simple-minded stuff, this is the wrong show.
[01:53:21.166 --> 01:53:26.827]  If you want fairness and real analysis and really trying to figure out what's going on, this is the show for you.
[01:53:28.069 --> 01:53:37.035]  But again, that said, whoever's right, whoever's wrong, whatever really is going on here, let me give you the bottom line.
[01:53:41.958 --> 01:53:45.961]  Mainstream media could say that oxygen is good for you, which it is.
[01:53:46.701 --> 01:53:47.642]  You gotta have it to live.
[01:53:47.702 --> 01:53:49.703]  You're dead in like four minutes without it.
[01:53:50.303 --> 01:53:53.065]  They could say mother's milk is good.
[01:53:53.345 --> 01:53:54.106]  Oxygen's good.
[01:53:55.874 --> 01:53:59.897]  And the public hates the establishment so much, they would reject that.
[01:54:04.260 --> 01:54:14.768]  And so, whether it's Hollywood, or the corporations, the public knows you're bad, they've broken with you, and we're in a whole nother ballgame now.
[01:54:16.969 --> 01:54:28.249]   And there's people that understand the globalist, and their anti-human agenda, and are trying to fight that, build a pro-human agenda, and there's those that are Going along with the woke system.
[01:54:29.890 --> 01:54:39.776]  But the New World Order can do whatever it wants to do, release new viruses, try lockdowns, launch World War III, none of it's going to work.
[01:54:40.016 --> 01:54:40.616]  They're done.
[01:54:41.497 --> 01:54:45.159]  This corrupt establishment is over.
[01:54:47.200 --> 01:54:52.323]  And they wanted to collapse the world and bring in their world government, collapse the old system and bring themselves in.
[01:54:52.663 --> 01:55:02.300]   Instead, because we identified the globalists, As being the authors of this, they've destroyed themselves, and they still can't figure it out.
[01:55:02.620 --> 01:55:23.288]  They've got all these yes-men and all these yes-women and all these minions, ready to sell out their mother for a stick of bubblegum, ready to kill their grandma for a dollar, and there's a real vacuum here, and people like Joe Rogan and Elon Musk, they figure that out, so they're now jumped to our side, because they know that's where 90% of people are at.
[01:55:24.349 --> 01:55:25.089]  And that's okay.
[01:55:26.192 --> 01:55:30.158]  We knew that would happen, but we don't just need people jumping over to our side.
[01:55:31.104 --> 01:55:40.771]  We need people jumping over to understanding the larger globalist agenda, and how to build an alternate agenda to counter that, and to have a civilization, and to have humanity continue.
[01:55:41.051 --> 01:55:46.694]  Because, Yuval Noah Harari, and Klaus Schwab, and Bill Gates have decided you're all garbage to be taken out and gotten rid of.
[01:55:49.036 --> 01:55:59.143]  The main thrust is saying no to that, and identifying that, and not letting a Ukraine war, or an Israel war, be a distraction from the big picture.
[01:56:00.509 --> 01:56:15.266]  Because they are giving people, whether you live in Venezuela, or Canada, or Germany, or Japan, or South Africa, poison shots that give you heart attacks.
[01:56:15.566 --> 01:56:18.990]  And they've got PR TV programs in Germany and Canada.
[01:56:19.010 --> 01:56:20.211]  I've got the news clips here.
[01:56:20.251 --> 01:56:21.072]  I'll show them next hour.
[01:56:21.991 --> 01:56:25.293]  They're like, hey, it's normal for five-year-olds to have heart attacks.
[01:56:25.854 --> 01:56:28.235]  We're here to help you when your son or daughter has a heart attack.
[01:56:28.555 --> 01:56:30.237]  It's normal for 15-year-olds to have heart attacks.
[01:56:30.617 --> 01:56:31.497]  It's the new normal.
[01:56:31.758 --> 01:56:34.259]  They're literally propagandizing.
[01:56:35.280 --> 01:56:37.802]  Why would they do something like that?
[01:56:38.761 --> 01:56:46.121]   Whether you're in Singapore or Israel, whether you're in Jordan or whether you're in France,
[01:56:46.121 --> 01:56:52.961]   whether you're in Morocco or whether you're in Sweden, the heart attacks are up tens of thousands of percent.
[01:56:52.961 --> 01:57:00.800]   They literally, we gotta be asking, why did they inject three billion people with shots
[01:57:00.800 --> 01:57:07.800]   that they know in many cases are gonna cause blood clots, heart swelling, heart attacks, strokes?
[01:57:07.663 --> 01:57:13.445]  I mean, instead of just 24-7, we got 10,000 Palestinians now.
[01:57:13.806 --> 01:57:14.386]  Okay, great.
[01:57:14.886 --> 01:57:15.806]  Let's be proportionate.
[01:57:16.167 --> 01:57:23.809]   Let's spend One one hundredth of our time on that, and then 90% of our time on the 20 million dead.
[01:57:24.049 --> 01:57:25.049]  See what I'm saying?
[01:57:25.429 --> 01:57:28.690]  Let's be scientific and proportionate.
[01:57:29.470 --> 01:57:43.614]  Because whoever's running this, whoever's doing this, and we know who they are actually, literally are depopulating us and injecting us with prion crystals that grow in our bodies and slowly kill us.
[01:57:44.955 --> 01:57:46.395]  I mean, that's the big takeaway.
[01:57:47.495 --> 01:57:49.502]  So, hour number two straight ahead.
[01:57:49.823 --> 01:57:56.823]  Infowars.com tomorrow, Thursday, and Sunday.
[01:57:56.823 --> 01:58:04.835]   DrStellaMD.com Tell people about your amazing line of products that are over-the-counter, but also the telemedicine you've got.
[01:58:04.855 --> 01:58:08.916]  Yeah, let's talk about the telemedicine first, because that's the important, the most important part, you know?
[01:58:09.036 --> 01:58:19.898]  So what you really do is that you go on DrStellaMD.com, you do a telemedicine appointment, you fill all your medical information, we review it, and then we ship it to you, and then you take it and you keep it in your medicine cabinet.
[01:58:19.958 --> 01:58:22.998]  We have a package we've put together called Covicare Complete.
[01:58:23.078 --> 01:58:29.321]   It has hydroxychloroquine, it has ivermectin, it has budesonide, so you have Everything that you need if you get sick.
[01:58:29.461 --> 01:58:30.742]  Some people just get ivermectin.
[01:58:30.762 --> 01:58:32.344]  Some people just get hydroxychloroquine.
[01:58:32.384 --> 01:58:34.165]  Some people get the whole COVID complete pack.
[01:58:34.285 --> 01:58:40.351]  But while we can help you, while you're still alive and strong and can do it, do it now.
[01:58:40.832 --> 01:58:41.132]  Now.
[01:58:41.292 --> 01:58:42.033]  Today.
[01:58:42.173 --> 01:58:44.275]  DrStellaMD.com.
[01:58:44.716 --> 01:58:45.977]  DrStellaMD.com.
[01:58:46.017 --> 01:58:46.798]  Promo code Alex.
[01:58:47.018 --> 01:58:48.419]  You have a 10% discount.
[01:58:48.439 --> 01:58:49.320]  You're a great sponsor.
[01:58:49.420 --> 01:58:50.741]  Tell us about the other products you've got.
[01:58:50.761 --> 01:58:51.402]  People need to get them.
[01:58:51.482 --> 01:58:58.124]  Alex, I have gone past just doing medicine, like a doctor treating disease, to like realizing that you have to get people healthy.
[01:58:58.204 --> 01:58:59.505]  You know, this thing called Covivite.
[01:58:59.525 --> 01:59:01.885]  It has vitamins C, D, Zinc, and Quercetin.
[01:59:01.905 --> 01:59:02.706]  We have a lot of supplements.
[01:59:02.766 --> 01:59:04.726]  We have this thing we call the Plandemic Pack.
[01:59:04.826 --> 01:59:06.127]  We have daily immune boosts.
[01:59:06.207 --> 01:59:07.307]  We have all kinds of packages.
[01:59:07.387 --> 01:59:09.268]  We have the Immunovites for children.
[01:59:09.348 --> 01:59:11.728]  This is kind of new, but we didn't have anything for kids.
[01:59:11.748 --> 01:59:14.970]  It has vitamins C, D, Zinc, and Elderberry for children.
[01:59:15.050 --> 01:59:19.614]   For people that took the jab, Our people that are having COVID lung symptoms, we produce a cleanse.
[01:59:19.734 --> 01:59:22.437]  It has like milk, tea still, elderberry, and it helps to cleanse.
[01:59:22.618 --> 01:59:23.539]  That's the big one people want.
[01:59:23.559 --> 01:59:24.380]  So what's the name of that product?
[01:59:24.520 --> 01:59:25.922]  It's called COVID Cleanse.
[01:59:25.962 --> 01:59:28.705]  And then we have COVILITE, which is like our best product.
[01:59:28.745 --> 01:59:29.626]  Everybody loves COVILITE.
[01:59:29.666 --> 01:59:33.831]  COVILITE has all your vitamins, and then it has all kinds of stuff, resveratrol, promaganate.
[01:59:33.892 --> 01:59:37.591]   It has Guarana it just takes off brain fog and gives you strength
[01:59:37.591 --> 01:59:42.341]   and you know it has a Resveratrol that repairs your DNA and it has coq10 it has
[01:59:42.341 --> 01:59:45.431]   just it has a lot of stuff America be prepared do not be scared
[01:59:45.431 --> 01:59:48.612]  Do not be scared be prepared. That's all I'm saying dr.
[01:59:48.612 --> 01:59:53.112]   Stella MD comm folks Absolutely, probably Alex
[01:59:53.112 --> 02:00:00.831]   Leading a frontal assault on the lies of the New World Order, it's Alex Jones
[02:00:00.831 --> 02:00:12.230]   That's Some big news for you video game fans out there
[02:00:12.394 --> 02:00:17.397]  And even if you're like me and you don't really play video games, the last console I owned was a Sega Saturn.
[02:00:17.877 --> 02:00:19.157]  Go ahead, laugh, kids.
[02:00:19.398 --> 02:00:20.178]  Call me a boomer.
[02:00:20.438 --> 02:00:21.959]  I just lost interest in video games.
[02:00:21.999 --> 02:00:23.720]  I'm more of a book nerd myself.
[02:00:23.820 --> 02:00:30.323]  But I think we can all agree that this new video game from Alex Jones looks fantastic.
[02:00:32.303 --> 02:00:36.326]  First, there was Pac-Man, Donkey Kong, and Super Mario Brothers.
[02:00:36.747 --> 02:00:42.852]  And now, we give you the ultimate politically incorrect game, Alex Jones New Wars.
[02:00:43.193 --> 02:00:50.239]  I had to bleep that, by the way, because the term, Unearled Way Order Way, is not allowed on YouTube anymore.
[02:00:50.279 --> 02:00:54.183]  They consider that to be a dangerous conspiracy theory.
[02:00:54.887 --> 02:00:56.609]  They're turning the friggin' clubs again!
[02:00:57.229 --> 02:00:58.290]  You Nazi scum!
[02:00:59.011 --> 02:01:05.137]  That is George Soros as one of the apparent final bosses of one of the episodes.
[02:01:05.757 --> 02:01:07.599]  I think we all know what that building is, right?
[02:01:07.819 --> 02:01:12.003]  On Bill Clinton's favorite island, which is literally one of the levels in the game.
[02:01:12.804 --> 02:01:20.050]  Download it now at AlexJonesGame.com, because as we all know, anything badass gets censored!
[02:01:20.691 --> 02:01:27.372]  And if you go to AlexJonesGame.com, it says that it's available on PC, Mac, iOS, and Android devices.
[02:01:27.592 --> 02:01:32.613]  But when I looked in the Apple App Store, I didn't see it, so maybe it already got banned?
[02:01:32.993 --> 02:01:36.094]  I don't think you can sideload games on iOS devices.
[02:01:36.374 --> 02:01:42.675]  I thought they all had to come from the App Store, but I could be wrong, or maybe you could play it directly through the website, I'm not sure.
[02:01:43.296 --> 02:01:45.676]  But this is fantastic!
[02:01:45.916 --> 02:01:51.638]  And aside from featuring George Soros, it looks like Mark Zuckerberg is also one of the final bosses.
[02:01:51.778 --> 02:01:57.340]  And there's Hillary Clinton, who's keeping a bunch of babies, as you can see, in cages.
[02:01:57.680 --> 02:02:04.102]  So far, the only media outlets that I have found that have reported on the game have been reputable media outlets.
[02:02:04.122 --> 02:02:06.263]  So, of course, they are few and far between.
[02:02:07.282 --> 02:02:21.895]  Only two of them so far, the Post Millennial, which is a great website, and not the Babylon Bee, but they also have an actual news website of news that seems like it's so crazy that it might be satire, and it's called Not the Bee.
[02:02:22.095 --> 02:02:25.358]  And so they published this article just in time for Christmas.
[02:02:25.678 --> 02:02:27.139]  It's the Alex Jones video game.
[02:02:27.620 --> 02:02:30.162]  I can't believe how hilarious and fun this looks.
[02:02:30.282 --> 02:02:42.453]  The person writing the article says, I'll be up front here, I have never in my life listened to Alex Jones, and yet somehow I recognize every one of the references in this game.
[02:02:42.613 --> 02:02:52.578]   Which reminds me, a lot of people think that when Alex got banned from YouTube, Twitter, every other social media platform, that he just shut down, that his show just ceased to exist.
[02:02:52.638 --> 02:03:10.353]   But if you're an old school listener like me, who by the way has been a regular guest on his show since 2005 for 18 years, literally, I have had InfoWars.com bookmarked on my browser for longer than that even, since I think 2004.
[02:03:10.994 --> 02:03:18.825]  Then you would know that you could just go there and live stream his show and click on the band.video link up there at the top.
[02:03:19.446 --> 02:03:28.888]  And then that takes you to his archive of his shows, and his clips, and the other shows, and other hosts, which is basically like his own personal YouTube.
[02:03:29.249 --> 02:03:36.130]  And just a few days ago, when I was watching the show over on Van Dodd Video, I got very sad after seeing this segment.
[02:03:36.810 --> 02:03:42.532]  If they're able to not have me pay the bills, and the judge said he's not budging on this, that's the plan.
[02:03:44.144 --> 02:03:46.786]  Then they're going to shut this down as early as January.
[02:03:47.127 --> 02:03:52.051]  And then there'll be about a three-month wind-down, and then I'll be on air, and people are like, oh, here's millions.
[02:03:52.091 --> 02:03:54.833]  No, no, no, don't shut down when I give you a date.
[02:03:55.233 --> 02:03:56.935]  And by then, it's been triggered.
[02:03:56.975 --> 02:03:57.575]  It's been set.
[02:03:57.635 --> 02:03:58.416]  It's been pulled back.
[02:03:58.896 --> 02:04:01.278]  Now, I'll be able to go somewhere else and do a show, and I won't go away.
[02:04:01.739 --> 02:04:04.621]  But for the crew and this infrastructure, it'll be seen as a victory for the enemy.
[02:04:05.202 --> 02:04:08.104]  And of course, they'll blow up their face, make what I do bigger.
[02:04:09.145 --> 02:04:11.187]  It's just, I think InfoWars should stick around.
[02:04:12.045 --> 02:04:16.409]  He's talking about the bankruptcy, which is a reorganization bankruptcy, not a shutdown bankruptcy.
[02:04:16.449 --> 02:04:22.676]  But because of all the legal bills he's had to pay over the last five years, he's having a hard time paying his regular bills.
[02:04:23.216 --> 02:04:32.866]  And if he's not able to do that, then the judge who's overseeing the reorganization is going to rule that everything has to be shut down and sold off to satisfy those payments.
[02:04:33.066 --> 02:04:49.693]  And that would have happened by now if it weren't for, like I said yesterday, a Bitcoin donation that somebody gave him last year of $8 million that made the entire liberal media industrial complex and the Southern Poverty Law Center here, as you can see, absolutely furious.
[02:04:50.193 --> 02:05:03.439]   Dubbed the Bitcoin Fairy, who is obviously an Alex Jones super fan who probably has Hundreds of millions of dollars worth of Bitcoin somebody who bought thousands of them a decade ago, and they were just a few dollars
[02:05:05.086 --> 02:05:24.701]  Normally Christmas is our biggest sale of the year, but because of supply chain breakdowns and other issues, this is our biggest sale because finally almost all of our best-selling products are finally back in stock, including sold out for more than a year, X2, the only true nascent iodine out there, is finally back.
[02:05:24.781 --> 02:05:28.964]  What it does for your immune system, your body, all your cells, is miraculous.
[02:05:29.365 --> 02:05:30.886]  It's discounted at FortWorthShore.com.
[02:05:31.286 --> 02:05:32.327]  Double Patriot points.
[02:05:32.667 --> 02:05:33.348]  Free shipping.
[02:05:33.868 --> 02:05:36.130]  Biggest sale, hands down, of 2023.
[02:05:36.791 --> 02:05:39.493]  I'm sure Christmas will have a big sale, but we'll be sold out of most of this.
[02:05:39.553 --> 02:05:41.375]  So, Christmas has come early.
[02:05:41.435 --> 02:05:42.596]  Black Friday's come early.
[02:05:42.976 --> 02:05:44.178]  And it funds the InfoWar.
[02:05:44.318 --> 02:05:45.218]  Get X2.
[02:05:45.539 --> 02:05:47.100]  Get VazoBeats back in stock.
[02:05:47.420 --> 02:05:52.625]  Get all the other great products at InfoWarStore.com right now.
[02:05:52.645 --> 02:05:56.247]   But again, Our fan favorite, my favorite, is X2.
[02:05:56.707 --> 02:05:57.868]  Sold out for over a year.
[02:05:58.208 --> 02:05:59.749]  Could be our last run if we're shut down.
[02:06:00.049 --> 02:06:00.949]  Get it while you can.
[02:06:01.129 --> 02:06:01.549]  X2.
[02:06:01.650 --> 02:06:03.650]  Discounted info or store.com.
[02:06:03.650 --> 02:06:10.650]  [music]
[02:06:10.650 --> 02:06:16.650]   From the front lines of the information war, it's Alex Jones.
[02:06:16.650 --> 02:06:28.650]  [music]
[02:06:29.002 --> 02:06:34.344]  All right, I've talked about this for a few weeks, but I haven't plunged into it and I haven't covered it.
[02:06:36.005 --> 02:06:37.305]  And so we're going to do it right now.
[02:06:39.186 --> 02:06:51.231]  More than a hundred years ago, a little more than a hundred years ago, there was what they called a Carrington event, where a solar flare hit the earth when it was rotated towards the sun in the Americas.
[02:06:52.491 --> 02:06:59.922]   And telegraph wires Heated up red hot and melted across the United States.
[02:07:00.902 --> 02:07:07.124]  And the few areas that had power in the United States, the transformers blew up and were put into darkness.
[02:07:08.464 --> 02:07:19.207]  Now, the reason I raise that is that there's been major pre-programming for a decade, but it's been accelerating.
[02:07:20.128 --> 02:07:40.693]   And Klaus Schwab has said, That an internet outage, a major cyber attack, like let's get that club, Schwab talks about cyber attack, it's everywhere, is imminent and that it'll make COVID and the lockdowns look tame in comparison.
[02:07:42.329 --> 02:07:48.154]  Well, the globalists want to crash the old system, bring in the new central bank digital currencies, the ESGs.
[02:07:48.454 --> 02:07:50.636]  Their old bubble is imploding right now.
[02:07:50.996 --> 02:07:58.002]  They need to pose as the saviors and have a war, race wars, crises, as the excuse to bring it in.
[02:07:58.062 --> 02:07:58.783]  And they admit that.
[02:07:59.263 --> 02:08:05.569]  They say we can use a virus, we can use a power outage, we can use a cyber attack, we could use an alien invasion.
[02:08:05.609 --> 02:08:06.549]  I mean, they all say this.
[02:08:06.569 --> 02:08:07.090]  We've covered it.
[02:08:08.516 --> 02:08:10.517]  To bring this in.
[02:08:10.577 --> 02:08:11.257]  Yeah, they found the clip.
[02:08:11.277 --> 02:08:11.617]  There it is.
[02:08:11.637 --> 02:08:12.257]  We'll play it in a minute.
[02:08:14.998 --> 02:08:19.359]  So they've been pre-programming this for a decade at least.
[02:08:19.879 --> 02:08:20.219]  Heavily.
[02:08:21.499 --> 02:08:25.840]  And now the last year it's reached bonkers level preparation.
[02:08:27.481 --> 02:08:30.682]  Like how do I know when Ford a few years ago was gonna put out a Bronco again?
[02:08:31.202 --> 02:08:32.422]  There were damn ads everywhere.
[02:08:33.749 --> 02:08:36.170]  Back in the 80s when Coke was gonna have a new Cherry Coke.
[02:08:36.470 --> 02:08:38.351]  Six months of Cherry Coke, Cherry Coke's coming.
[02:08:38.751 --> 02:08:43.493]  You know when the new thing's coming because they're everywhere telling you about it.
[02:08:43.833 --> 02:08:49.936]  Once you're conscious, and not subconsciously, just receiving this stuff, it's as clear as day.
[02:08:52.711 --> 02:09:06.998]  So I said two years ago, we've played the clips more than two years ago, I said, I think they're going to claim right wingers working with Russia are going to hack the cyber system and bring down the power grid, at least partially.
[02:09:07.518 --> 02:09:14.101]  So they've got to bring an internet ID and only send you to websites they control, which is the internet kill switch Obama put in.
[02:09:14.281 --> 02:09:15.462]  It's deep research goes into this.
[02:09:17.079 --> 02:09:31.030]  And then sure enough, earlier this year, six months ago, FBI memos, right-wingers working for Russia, with no proof, just like Trump's a Russian agent, or I'm a Russian agent, with no proof, are going to hack the grid.
[02:09:31.070 --> 02:09:37.536]  Now, if you really wanted to get the grid, there's less than 220 points, like 215, 18 points.
[02:09:38.016 --> 02:09:47.233]   You could shoot up the Transformers, which we don't want to happen, we're not saying do that, and they don't have backup Transformers, Which they should have on site.
[02:09:47.433 --> 02:09:49.634]  Congress has had a bunch of hearings and commissions on it.
[02:09:49.955 --> 02:10:06.647]  For like $3 billion, they could have backup transformers there ready, or they could have, harden the transformers even cheaper, put, you know, steel walls up around it, lead walls as well to stop a Carrington event, a solar flare, for another billion.
[02:10:06.727 --> 02:10:13.792]  So, like $5 billion, less than $5 billion, you could protect them or have backups ready that could be hooked up in a few days.
[02:10:14.827 --> 02:10:16.067]  The power goes off.
[02:10:16.147 --> 02:10:26.470]  The Pentagon estimates in major strategic reports, they've done a bunch, that 90% of people on average would be dead within one year if the power stayed off.
[02:10:28.710 --> 02:10:34.031]  And there's no backup plan with just a little simple warehouse next to these 215, 16 sites.
[02:10:33.851 --> 02:10:37.250]  215, 16 sites.
[02:10:37.250 --> 02:10:42.870]   Some experts are 250 sites, but most experts say it's like less than 230 sites.
[02:10:42.870 --> 02:10:46.370]  You should have a warehouse right there.
[02:10:46.650 --> 02:10:53.194]  You drive down the highway, you see these big transformers and wires and these big machines and all the electrodes and everything.
[02:10:54.134 --> 02:10:58.517]  That equipment blows up from a solar flare or people machine gunning it.
[02:10:59.437 --> 02:11:00.898]  They don't have backups.
[02:11:02.339 --> 02:11:03.679]  They've not ordered backups.
[02:11:04.420 --> 02:11:06.441]  Maybe there's a few, but nothing like they need.
[02:11:06.741 --> 02:11:14.605]   Then they gotta load them on trucks, on big, you know, extra wide 18 wheelers and drive them there and hook them up.
[02:11:14.725 --> 02:11:15.986]  They should be on site.
[02:11:17.227 --> 02:11:29.497]  I think, as much money as they spend, this is so critical, they should harden them and have a warehouse at every facility, or at least another facility close by, that has all the key transformers.
[02:11:30.078 --> 02:11:32.640]  I mean, these things are the size of, like, two-story buildings.
[02:11:32.820 --> 02:11:38.825]  This isn't like a transformer in your neighborhood that's, you know, two feet tall and a foot wide and, you know, somebody shoots that.
[02:11:39.585 --> 02:11:47.247]  It blows up, your power goes off, and your power's off for a day, and the power company gets there, they go up there, they remove it, they put a new one in.
[02:11:47.708 --> 02:11:48.948]  These are the big giant ones.
[02:11:48.968 --> 02:11:51.309]  Some of them are two stories tall.
[02:11:55.790 --> 02:12:01.552]  You pump a few magazines of even 9mm into those, they're gonna blow up.
[02:12:02.759 --> 02:12:05.041]  You shoot one of them, and I'm all for .50 cals.
[02:12:05.061 --> 02:12:09.203]  There's only been one crime committed with a .50 cal in the 80s, an armored truck robbery.
[02:12:09.503 --> 02:12:10.444]  The feds don't want to ban them.
[02:12:13.066 --> 02:12:20.150]  But no, with a .50 caliber rifle, a couple shots, you knock one out.
[02:12:21.912 --> 02:12:25.254]  But again, you could drive a truck through and ram it into it if you're a jihadi.
[02:12:25.854 --> 02:12:26.555]  There's no stopping it.
[02:12:27.175 --> 02:12:31.458]  You've got to have backups down the road, and you've got to harden them.
[02:12:34.011 --> 02:12:34.411]  It's easy.
[02:12:34.471 --> 02:12:35.992]  Put a big steel wall around it.
[02:12:36.752 --> 02:12:43.033]  And if you want to stop a Carrington event, a solar flare, you put, skip the brick coming up, you put lead on it as well.
[02:12:43.453 --> 02:12:46.414]  Looks like a quarter inch of lead, Congress study said.
[02:12:47.194 --> 02:12:47.454]  Cheap.
[02:12:48.675 --> 02:12:49.475]  Five billion dollars.
[02:12:51.675 --> 02:12:53.436]  You got lead and steel backing.
[02:12:53.876 --> 02:12:55.396]  Three billion, you get steel.
[02:12:57.497 --> 02:12:57.717]  So.
[02:12:59.897 --> 02:13:01.898]  This is the real Achilles heel.
[02:13:02.990 --> 02:13:06.013]  And the globalists want a post-industrial world under Agenda 2030.
[02:13:09.076 --> 02:13:18.746]  And they're telling you it's coming, and they're telling you that the right-wingers, in all these headlines, just type in, right-wing Trump supporters attacking power stations.
[02:13:19.006 --> 02:13:20.167]  They've arrested no one.
[02:13:20.448 --> 02:13:21.388]  They have no proof.
[02:13:21.729 --> 02:13:23.310]  No one knows who's already done tests.
[02:13:23.611 --> 02:13:25.112]  They've blown up dozens of them.
[02:13:25.332 --> 02:13:26.654]  They've already hit the key sites.
[02:13:28.891 --> 02:13:33.916]  And they're telling you, just like I predicted, that you could ask, well, did you give them the idea?
[02:13:34.116 --> 02:13:35.377]  No, I didn't give them the idea.
[02:13:35.978 --> 02:13:36.919]  I know how they operate.
[02:13:40.162 --> 02:13:49.270]  So... By the way, in Russia, they have underground bunkers for their entire 200 million plus population.
[02:13:51.553 --> 02:13:52.734]  We have no bunkers here for us.
