[00:00:12.100 --> 00:00:13.420]  It's Monday, October 9, 2023.
[01:58:20.848 --> 01:58:24.470]  This is my second book, part two of The Great Recent and War for the World.
[01:58:24.470 --> 01:58:28.133]  It's a longer book, quite frankly a more powerful book.
[01:58:28.133 --> 01:58:32.516]  And just like the last book went to number one, it is up to you to send us a number one right now.
[01:58:32.516 --> 01:58:36.478]  This is a cultural fight against the Globalists and it funds the InfoWar.
[01:58:36.478 --> 01:58:40.021]  Get signed or unsigned copies of The Great Awakening right now.
[01:58:40.741 --> 01:58:45.742]  I didn't realize this was back this week.
[01:58:45.742 --> 01:58:50.103]  I thought it was next week.
[01:58:50.103 --> 01:58:54.824]  I come in this morning, it's back in the warehouse, ready to roll.
[01:58:54.824 --> 01:58:57.044]  Body's ultimate turmeric formula.
[01:58:57.044 --> 01:59:00.885]  And the first thing I did was pop one of these bad boys.
[01:59:00.885 --> 01:59:02.785]  Overhead shot, please.
[01:59:02.785 --> 01:59:06.946]  Look how full this bottle is.
[01:59:06.946 --> 01:59:08.146]  Right to the top, folks.
[01:59:09.881 --> 01:59:15.746]  Right to the top with these 95% curcuminoids.
[01:59:15.746 --> 01:59:19.949]  Again, most turmeric formulas are 5%, some are maybe 10.
[01:59:19.949 --> 01:59:21.951]  The other strongest brands are 75%.
[01:59:21.951 --> 01:59:25.374]  This is 95%.
[01:59:25.374 --> 01:59:27.535]  Super concentrated.
[01:59:27.535 --> 01:59:31.399]  So like taking one pill is like taking 10 of the average pill.
[01:59:31.399 --> 01:59:32.880]  It's that powerful.
[01:59:32.880 --> 01:59:34.041]  Or more!
[01:59:34.041 --> 01:59:36.162]  So they're available at infowarstore.com.
[01:59:37.557 --> 01:59:40.140]  Bodies Ultimate Turmeric Formula.
[01:59:40.140 --> 01:59:41.361]  Sold out for almost 8 months.
[01:59:41.361 --> 01:59:50.311]  Back in stock at Infowarsstore.com or 888-253-3139.
[01:59:50.311 --> 01:59:56.238]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:00:04.989 --> 02:00:08.072]  What's happening right now is truly biblical.
[02:00:08.072 --> 02:00:13.637]  I mean, it feels like the culmination of so many various events.
[02:00:13.637 --> 02:00:22.444]  Russia is accelerating its counter-offensive in Donbass, as it continues to establish control of the eastern part of Ukraine.
[02:00:22.444 --> 02:00:27.569]  And in many cases, you could argue that this is almost like Russia's opening up a second front.
[02:00:27.569 --> 02:00:31.773]  Not that Russia coordinated this, or, I mean, they may have had some foreknowledge, but
[02:00:33.227 --> 02:00:45.917]  I think the war in Ukraine might be taking a backseat to what's happening in the Middle East, which may mean that, you know, if we only have a certain amount of money and weapons to send, it's going to Israel, not to Ukraine.
[02:00:45.917 --> 02:00:48.900]  We may see a peace settlement in Ukraine before too long.
[02:00:48.900 --> 02:00:53.564]  That's just my guess, looking at the geopolitical chessboard here.
[02:00:55.663 --> 02:00:58.064]  By the way, this is the third hour of the American Journal.
[02:00:58.064 --> 02:00:59.604]  It's not the American Journal.
[02:00:59.604 --> 02:01:01.765]  That's the show I host in the morning.
[02:01:01.765 --> 02:01:02.666]  It's the Alex Jones Show.
[02:01:02.666 --> 02:01:03.306]  I'm Harrison Smith.
[02:01:03.306 --> 02:01:06.447]  I usually host the American Journal, the Infowars Morning Show.
[02:01:06.447 --> 02:01:14.170]  Chase Geiser is sitting in with me, co-hosting the Alex Jones Show today as we deal with this truly biblical turn of events.
[02:01:15.302 --> 02:01:16.903]  And I mean, we haven't even gotten in.
[02:01:16.903 --> 02:01:39.020]  We touched a little bit on the idea of the Third Temple, rebuilding it, Al-Aqsa Mosque, that most of this is actually sort of centered on with some of the Israeli, well, what the Palestinians call Israeli abuses, Israelis sort of breaking their agreement to allow use of the Al-Aqsa Mosque for the Muslims that live there and in Palestine.
[02:01:39.921 --> 02:01:46.784]  The building of the Third Temple that would bring about what some people think is the Antichrist, other people think would be the Messiah.
[02:01:46.784 --> 02:01:53.706]  On top of that, you have these prophecies from Revelations about the Euphrates going dry.
[02:01:53.706 --> 02:01:56.707]  Well, Euphrates is dry for the first time in history.
[02:01:56.707 --> 02:01:59.848]  I mean, it's like prophecies are being fulfilled here, Chase.
[02:01:59.848 --> 02:02:04.390]  We are in a biblical time period, a period of biblical importance.
[02:02:05.902 --> 02:02:08.364]  Do you think it, I mean, what do you think's going on?
[02:02:08.364 --> 02:02:19.293]  Do you think it's people just using the Bible and the world's religions to achieve, you know, very mundane or temporal victories here on Earth?
[02:02:19.293 --> 02:02:22.336]  Or do you think there's something to the spiritual aspect of all this?
[02:02:22.776 --> 02:02:24.437]  I've got a couple opinions about that.
[02:02:24.437 --> 02:02:29.241]  First thing is, I really take to heart the passage that the end will come like a thief in the night.
[02:02:29.241 --> 02:02:31.583]  I don't think anybody knows when it's going to happen.
[02:02:31.583 --> 02:02:38.209]  You can analyze the Bible all you want, try to study the numbers, try to line up the dates, read the verses, but nobody's really going to know.
[02:02:38.209 --> 02:02:41.212]  There's going to be major surprise, I think, when the rapture happens.
[02:02:42.245 --> 02:02:54.751]  One thing, let me just, a lot of people are saying that this conflict may start to blow up, may start to get really big, and I mean the idea is that the Antichrist will come as a peacemaker.
[02:02:54.751 --> 02:03:06.116]  So somebody, if you start seeing like a politician that you weren't really aware of before, and both sides are really into him, and he comes as a peacemaker to settle this conflict, you know, a lot of
[02:03:06.696 --> 02:03:15.622]  A lot of people looking for the rapture, you know, are looking for somebody like that to emerge and create peace in this area in the setup to becoming the Antichrist.
[02:03:15.622 --> 02:03:22.307]  Yeah, I'm more concerned about what is more obviously going to happen than... I struggle with the Bible.
[02:03:22.307 --> 02:03:29.172]  I think that Revelations is designed to make sense in hindsight, not designed to really help you understand what's going to happen.
[02:03:29.172 --> 02:03:29.993]  I think it's going to be like a
[02:03:31.380 --> 02:03:33.942]  You were wrong the whole time situation.
[02:03:33.942 --> 02:03:38.525]  To those who weren't believers, to those who condemned, and they're going to look and it's going to be like an enlightenment.
[02:03:38.525 --> 02:03:49.653]  But I think what I'm concerned about in the next 90 days is like Taiwan being invaded because if we do get involved in a ground conflict to protect our interests in Israel,
[02:03:50.994 --> 02:03:54.659]  And there is a major war between several different nations occurring in the region again.
[02:03:54.659 --> 02:03:58.944]  It'd be the perfect time for Taiwan to get seized because you can't fight a war on two fronts.
[02:03:58.944 --> 02:04:00.086]  You can't fight the enemy on two fronts.
[02:04:00.086 --> 02:04:02.229]  It's another rule of war.
[02:04:02.229 --> 02:04:08.917]  So I think we're seeing a total shift in the geopolitical landscape and
[02:04:10.037 --> 02:04:16.982]  I would not be surprised if it doesn't measure up to the likes of the end of World War I or the end of World War II.
[02:04:16.982 --> 02:04:22.666]  Regardless of whether it even culminates in a world war, I think we're going to see major shifts in how things are going.
[02:04:22.666 --> 02:04:29.391]  Yeah, I mean, we already are, and again, I've got to be honest, I don't know how Israel gets out of this.
[02:04:29.391 --> 02:04:29.831]  What's this?
[02:04:29.831 --> 02:04:31.012]  Israel warns the U.S.
[02:04:31.012 --> 02:04:32.373]  will join if Hezbollah joins.
[02:04:32.373 --> 02:04:33.614]  IDF will destroy Damascus.
[02:04:33.614 --> 02:04:35.635]  Targets Syrian President Assad if Hezbollah joins war.
[02:04:35.635 --> 02:04:35.835]  U.S.
[02:04:35.835 --> 02:04:37.697]  warships will support Israel in war.
[02:04:37.697 --> 02:04:39.378]  Message relayed via France.
[02:04:41.107 --> 02:04:43.390]  Folks, the warmongers are on the march.
[02:04:43.390 --> 02:04:44.671]  They're salivating.
[02:04:44.671 --> 02:04:51.318]  They are desperate to get fully involved in places where, up till now, we have had just very, very subtle influence.
[02:04:51.318 --> 02:04:53.360]  I don't know.
[02:04:53.360 --> 02:04:57.285]  How many Americans are we willing to die so that Israel can keep their open-air prison going?
[02:04:59.295 --> 02:05:03.338]  Why do you think the globalists are desperately trying to censor everybody?
[02:05:03.338 --> 02:05:06.900]  Why are they attacking myself and Donald Trump and Elon Musk and everybody else?
[02:05:06.900 --> 02:05:12.004]  Because they can't get through this giant, megalomaniacal power grab if we're here exposing them.
[02:05:12.004 --> 02:05:14.446]  But we're not just exposing their operation.
[02:05:14.446 --> 02:05:23.052]  In my new book, we give you the solutions to build a new, better world, an alternative to Klaus Schwab's, you will eat the bugs.
[02:05:23.052 --> 02:05:24.373]  This is the Great Awakening.
[02:05:24.893 --> 02:05:29.256]  The plan to defeat the globalists and launch the second great renaissance.
[02:05:29.256 --> 02:05:33.059]  It's a companion to my last book that was a number one worldwide bestseller.
[02:05:33.059 --> 02:05:35.921]  And this book is even thicker and even more powerful.
[02:05:35.921 --> 02:05:40.664]  Get your copy of The Great Awakening today at InfoWarsTore.com.
[02:05:40.664 --> 02:05:44.347]  Either signed as a fundraiser, and I thank you for the support, or unsigned.
[02:05:44.347 --> 02:05:46.808]  But whatever you do, take action now.
[02:05:46.808 --> 02:05:50.231]  We're fighting for you, but we can't keep on if you don't support us.
[02:05:50.231 --> 02:05:52.773]  So please, get the historic book now.
[02:05:52.773 --> 02:05:53.213]  Go now.
[02:05:53.633 --> 02:05:55.535]  You are listening to an InfoWars.com Frontline Report.
[02:06:22.662 --> 02:06:24.402]  Welcome back to the Alex Jones Show!
[02:06:24.402 --> 02:06:31.124]  I am Chase Geyser, filling in with Harrison Smith for The Great Alex Jones, covering this historical moment.
[02:06:31.124 --> 02:06:46.227]  We seem to be on the verge of World War III, over the conflict occurring right now between the Palestinians and Israel, which isn't seemingly actually just between the Palestinians and Israel, but certainly rooted
[02:06:48.246 --> 02:06:55.931]  Iran leader uses X to hail Hamas terror attack that killed 1,000 plus people but Alex Jones is still banned.
[02:06:55.931 --> 02:06:58.673]  Ayatollah Ali Khamenei.
[02:06:59.864 --> 02:07:00.584]  The Zionist regime is dying.
[02:07:20.279 --> 02:07:39.193]  On his official X account, he wrote last Wednesday, two days before the Hamas surprise invasion of Israel, so you can call for genocide, you can call for the attack and the death of innocent people, and that's no problem on X, formerly Twitter, but Alex Jones is too much of a hate speaker for the platform.
[02:07:39.813 --> 02:07:42.594]  Well, he bullied a CNN journalist, so he has to go.
[02:07:42.594 --> 02:07:43.755]  Yeah, exactly.
[02:07:43.755 --> 02:07:53.299]  Meanwhile, Israel launches the biggest ever deployment with 300k called up, tanks gathering, and jets smashing bases for Gaza invasion.
[02:07:53.299 --> 02:07:54.839]  It looks like this is going to be full-scale.
[02:07:54.839 --> 02:08:01.142]  So, do you think that Hezbollah is bluffing, and they just said that as a deterrent, or it's going to happen?
[02:08:01.142 --> 02:08:02.502]  I think it's going to happen.
[02:08:02.502 --> 02:08:06.224]  I mean, the statement that we read there at the very end that the crew pulled up,
[02:08:07.830 --> 02:08:10.017]  It's like almost a worst case scenario for me.
[02:08:10.017 --> 02:08:13.869]  Again, what it says, Israel warns the US will join if Hezbollah joins.
[02:08:14.864 --> 02:08:20.609]  Says, IDF will destroy Damascus, target Syrian President Assad if Hezbollah joins war.
[02:08:20.609 --> 02:08:20.869]  U.S.
[02:08:20.869 --> 02:08:23.451]  warships will support Israel in war.
[02:08:23.451 --> 02:08:30.277]  So, they're saying that it'll be tonight or within the next 24 to 48 hours that they will be launching a ground invasion into Gaza.
[02:08:30.277 --> 02:08:32.459]  Hezbollah has said that's a red line.
[02:08:32.459 --> 02:08:36.783]  Lindsey Graham has said that if Hezbollah gets into it, then so will America.
[02:08:36.783 --> 02:08:37.223]  But again,
[02:08:38.544 --> 02:08:40.505]  I mean, none of this makes any sense.
[02:08:40.505 --> 02:08:46.489]  Our bases in the Middle East will be targeted like they've never been before.
[02:08:46.489 --> 02:08:48.971]  It will be hundreds of American servicemen dead.
[02:08:48.971 --> 02:08:51.692]  And you have to ask, why and for what?
[02:08:51.692 --> 02:08:55.655]  Is that going to prevent another Gaza incursion into Israel?
[02:08:55.655 --> 02:08:56.976]  I don't think so.
[02:08:56.976 --> 02:09:06.141]  Even if it did, would that be worth it for America to sacrifice God knows how many soldiers and open up to a wider war?
[02:09:07.382 --> 02:09:07.823]  We're good to go.
[02:09:23.820 --> 02:09:27.362]  I don't get what we're, what we would be fighting for here.
[02:09:27.362 --> 02:09:29.624]  We are not at risk from this conflict.
[02:09:29.624 --> 02:09:30.905]  We are not yet, right?
[02:09:30.905 --> 02:09:33.666]  We will be if we get into this war.
[02:09:33.666 --> 02:09:36.268]  It's just, are we really about to start another one of these?
[02:09:36.268 --> 02:09:41.631]  And, you know, so the IDF says they'll destroy Damascus and target President Assad.
[02:09:41.631 --> 02:09:44.413]  I mean, they're already bombing Damascus on a weekly basis.
[02:09:44.413 --> 02:09:46.595]  So, I mean, that's not particularly new.
[02:09:46.595 --> 02:09:48.596]  I guess they can up it even more.
[02:09:49.827 --> 02:09:59.396]  But this is just another, like, okay, so, if they invade Gaza, Hezbollah attacks them, so then they attack Damascus, so then America's getting in, I mean... Like World War I, that's how it started.
[02:09:59.396 --> 02:09:59.697]  Yeah.
[02:09:59.697 --> 02:10:01.639]  One thing led to another and then everybody was at war.
[02:10:01.639 --> 02:10:01.939]  Right.
[02:10:01.939 --> 02:10:13.270]  So, if you could go back in time and talk to the leaders of, you know, before World War I, and show them the millions of people dead, the totally pointless conflict, the horror upon horror that brought that about,
[02:10:14.898 --> 02:10:16.019]  Would they think that was worth it?
[02:10:16.019 --> 02:10:17.621]  Would they think that this was a good thing?
[02:10:17.621 --> 02:10:21.705]  That they did that and it was right and good and they upheld the honor of their country?
[02:10:21.705 --> 02:10:24.708]  Or would they say nothing is worth this?
[02:10:24.708 --> 02:10:25.589]  Why don't we just come to a...
[02:10:26.832 --> 02:10:27.873]  Negotiated agreement.
[02:10:27.873 --> 02:10:37.820]  I mean, I see nothing but murder, chaos, madness, destruction, and a total reorganization of the world's economies in lines of the Great Reset.
[02:10:37.820 --> 02:10:41.743]  Hamas official says open to discussions over truth with Israel.
[02:10:41.743 --> 02:10:44.805]  Statement has come through back channels verified by many sources.
[02:10:44.805 --> 02:10:48.627]  They say they're open to discussions with Israel regarding the pacification.
[02:10:48.627 --> 02:10:51.369]  Again, we have the story from December of 2021.
[02:10:51.369 --> 02:10:53.871]  Trump says Netanyahu never wanted peace with the Palestinians.
[02:10:53.871 --> 02:10:55.953]  The Palestinians apparently, I mean, according to the
[02:10:56.693 --> 02:10:58.676]  The people involved?
[02:10:58.676 --> 02:11:00.279]  They're asking for peace talks?
[02:11:00.279 --> 02:11:01.221]  Yeah.
[02:11:01.221 --> 02:11:03.464]  But two days ago they were slaughtering a bunch of innocent people.
[02:11:04.690 --> 02:11:06.892]  Well, that's how it works, right?
[02:11:06.892 --> 02:11:08.234]  What did they think was going to happen?
[02:11:08.234 --> 02:11:14.140]  Well, they have a bunch of hostages right now that are a bargaining chip that they can use.
[02:11:14.140 --> 02:11:18.044]  Like I said, they don't want to go back to the status quo.
[02:11:18.044 --> 02:11:26.593]  They don't want this to be a flash in the pan and then they just return to their previous arrangement because the previous arrangement is intolerable to the people who are subjected to it.
[02:11:27.853 --> 02:11:45.149]  I mean, unless we're willing to fight for the right of Israel to, you know, keep Gaza as an open-air prison, like, I don't know what else we'd be fighting for, unless you think that any form of peace whatsoever is therefore tantamount to, like, killing all the Jews in Israel.
[02:11:45.149 --> 02:11:47.772]  Which is how I see a lot of the rhetoric going, which is why it's so frustrating.
[02:11:47.772 --> 02:11:51.355]  It's literally if you're just like, you know, the Palestinians have sort of been
[02:11:52.276 --> 02:11:55.338]  I've been hurting a lot over the last little while.
[02:11:55.338 --> 02:11:59.160]  The response you get is like, so all the Israelis should die?
[02:11:59.160 --> 02:12:00.440]  All the Jews in the world should die?
[02:12:00.440 --> 02:12:06.484]  And it's like, is this a healthy adult way to discuss a geopolitical situation?
[02:12:06.484 --> 02:12:12.747]  Or is this hysteria on both sides leading towards an inevitable genocide on one side or the other?
[02:12:12.747 --> 02:12:15.709]  Are we really not capable of finding a way that avoids
[02:12:16.872 --> 02:12:18.573]  Total death of one group or another.
[02:12:18.573 --> 02:12:21.315]  Is that really beyond our capabilities at this point?
[02:12:21.315 --> 02:12:30.320]  Well, we were talking the other day about how our culture is so consumed with the idea, or psychologically installed with the idea, that everything is good versus evil.
[02:12:30.320 --> 02:12:30.860]  Right.
[02:12:30.860 --> 02:12:31.701]  It's like Hollywood.
[02:12:31.701 --> 02:12:32.341]  It's like Christianity.
[02:12:32.341 --> 02:12:38.244]  It's very Western to think in terms of things as good versus evil, or good versus bad.
[02:12:38.244 --> 02:12:42.227]  It even goes all the way back to Plato's Republic with the concept of eudaimonia, the good life.
[02:12:42.227 --> 02:12:42.907]  What is a good life?
[02:12:42.907 --> 02:12:44.208]  What is a bad life?
[02:12:44.208 --> 02:12:45.369]  But, oftentimes,
[02:12:46.289 --> 02:12:49.350]  It's just bad versus bad.
[02:12:49.350 --> 02:12:51.830]  Yeah, there is no winner on this.
[02:12:51.830 --> 02:13:01.272]  And again, I see so many people online saying the most vicious, I mean literally just being like, when I wake up in the morning, Gaza better be a pile of rubble.
[02:13:01.272 --> 02:13:02.393]  And it's like, what is wrong?
[02:13:02.393 --> 02:13:03.973]  Like, why would you want that?
[02:13:03.973 --> 02:13:06.814]  I get like, yeah, they attacked your people.
[02:13:06.814 --> 02:13:07.434]  That's bad.
[02:13:08.547 --> 02:13:16.454]  But how did you get in this situation in the first place, and is this not just a continuation of the policy that has led to this horrific outcome?
[02:13:16.454 --> 02:13:21.199]  Can we not intervene to stop this outbreak?
[02:13:21.199 --> 02:13:22.640]  I mean, that's the craziest part.
[02:13:22.640 --> 02:13:31.508]  We are currently, right now, as we're talking, in the few hours of all the thousands of years of human history, the next few hours will determine whether
[02:13:32.489 --> 02:13:40.795]  A monumental, World War I-level catastrophe that destroys the world as we know it will occur, or whether we can find a way around it.
[02:13:40.795 --> 02:13:43.577]  I mean, that really... I'd be getting a water filter and some Life Select.
[02:13:43.577 --> 02:13:43.798]  Seriously.
[02:13:43.798 --> 02:13:44.618]  No joke.
[02:13:44.618 --> 02:13:46.439]  Now is the time to get that.
[02:13:46.439 --> 02:13:47.100]  Seriously.
[02:13:47.100 --> 02:13:49.161]  Absolutely.
[02:13:49.161 --> 02:13:50.663]  I feel peace of mind that I have it.
[02:13:50.663 --> 02:13:51.383]  InfoWars.
[02:13:51.383 --> 02:13:52.444]  Store.com.
[02:13:52.444 --> 02:13:53.465]  Life Select.
[02:13:53.465 --> 02:13:55.706]  I have three months' worth stored at my house.
[02:13:55.706 --> 02:13:58.889]  In case of emergencies, now would be a time, better than ever, I think, to get stuff like that.
[02:13:59.609 --> 02:14:06.594]  Completely insane, and every new update brings us seemingly closer to that inevitability.
[02:14:06.594 --> 02:14:13.259]  Again, we killed armed militants from Lebanon earlier today, and that's one of the things about the troop movements in Israel.
[02:14:13.259 --> 02:14:24.707]  They're moving a lot of troops to the south in preparation for a ground invasion in Gaza, but even more troops are moving to the north because they expect the Hezbollah offensive to begin at some point.
[02:14:25.928 --> 02:14:29.890]  Look, Gaza, compared to Hezbollah, Hezbollah has, they have all the weapons.
[02:14:29.890 --> 02:14:32.111]  Why are they talking about pacification?
[02:14:32.111 --> 02:14:37.674]  If Hezbollah is about ready to come in and mow down, that was very confusing to me.
[02:14:37.674 --> 02:14:38.754]  I mean, I don't know.
[02:14:38.754 --> 02:14:44.537]  I think they, they, I honestly, I don't see how Israel gets out of this.
[02:14:44.537 --> 02:14:44.977]  I don't know.
[02:14:44.977 --> 02:14:46.618]  I don't know how Israel
[02:14:48.629 --> 02:14:50.670]  I think Iran's already a nuclear power, too, which is a concern.
[02:14:50.670 --> 02:14:51.750]  I know that that's not the public
[02:15:16.363 --> 02:15:20.788]  Well, but... Oh man, in nukes that's a whole nother issue.
[02:15:20.788 --> 02:15:24.092]  My God, I mean, hopefully we've brought some clarity to this situation.
[02:15:24.092 --> 02:15:27.395]  We're actually going to... Oh my God, now there's more.
[02:15:27.395 --> 02:15:28.556]  Four Hezbollah members killed.
[02:15:28.556 --> 02:15:29.618]  It was only a few minutes ago.
[02:15:29.618 --> 02:15:34.903]  A number of launches from Lebanon territory towards Israel territory were detected.
[02:15:34.903 --> 02:15:37.506]  Folks, that's about going to be it for Chase and I.
[02:15:38.587 --> 02:15:40.428]  Chase will actually be hosting American Journal tomorrow.
[02:15:40.428 --> 02:15:42.610]  I'll be hosting War Room because we are having to do this.
[02:15:42.610 --> 02:15:43.370]  Musical chairs.
[02:15:43.370 --> 02:15:48.274]  Everybody hosting everybody else's show because they're sending some of us to prison.
[02:15:48.274 --> 02:15:49.675]  Alex Jones is on a secret mission.
[02:15:49.675 --> 02:15:52.116]  But hopefully you can support us at Infowarsstore.com.
[02:15:52.116 --> 02:15:56.299]  An exclusive Alex Jones interview will be played for the duration of his show.
[02:15:56.299 --> 02:15:57.140]  Thank you so much for being with us.
[02:15:57.944 --> 02:15:59.325]  Bodies is back!
[02:15:59.325 --> 02:16:06.730]  The ultimate tumeric product on the market has returned to Infowarsstore.com and is now 25% off for a limited time.
[02:16:06.730 --> 02:16:12.114]  Utilized for thousands of years, tumeric is one of the most studied medicinal herbs today.
[02:16:12.114 --> 02:16:19.760]  Hundreds of peer-reviewed scientific articles are published every year on the chemistry and therapeutic potential of tumeric and its active components.
[02:16:19.940 --> 02:16:30.949]  Turmeric bodies will reduce inflammation throughout the body, help boost and support flexibility, increase mobility, assist in joint function, bolster your immune system, and so much more.
[02:16:30.949 --> 02:16:42.718]  Regular turmeric from the store contains about 1-5% of the active ingredient curcuminoids, but our super powerful extract using bodies contains over 95% of the active ingredients in turmeric.
[02:16:42.958 --> 02:16:46.442]  No other product can compare with this curcuminoid delivery system.
[02:16:46.442 --> 02:16:50.286]  So if you want to put the true power of turmeric to the test, then look no further.
[02:16:50.286 --> 02:16:56.552]  Grab yourself a bottle today for 25% off at InfoWareStore.com and put your body at ease.
[02:16:57.435 --> 02:16:59.036]  Hey everybody, Rodney Outrine here.
[02:16:59.036 --> 02:17:04.378]  I want to thank Alex Jones and InfoWars for offering scholarships to River University.
[02:17:04.378 --> 02:17:12.021]  Maybe you're watching InfoWars today and you don't know what to do with the problems that we face in the world today.
[02:17:12.021 --> 02:17:14.202]  You've been through COVID-19, 2019, 2021, 2022, 2023, but here at River University,
[02:17:18.664 --> 02:17:23.405]  Not only do we show you what the problem is, but we show you how to deal with it.
[02:17:23.405 --> 02:17:34.968]  Come, a full three-year bachelor degree will train you up in ministry, government, worship, that you can go out and actually bring about a transformation in the earth today.
[02:17:34.968 --> 02:17:41.530]  We have graduates going all over the world, from the Arctic to the outback, and right here, this is what we do.
[02:17:41.530 --> 02:17:45.271]  We specialize in training people and equipping them for
[02:17:45.971 --> 02:17:47.113]  Transformation.
[02:17:47.113 --> 02:17:48.335]  And that's what you'll do.
[02:17:48.335 --> 02:17:55.866]  So scan the QR code right now or go to riveruniversity.org and get the free scholarship offered to you by InfoWalls.
[02:17:58.130 --> 02:18:06.332]  The most powerful LymphoWars life formula yet, DNA Force Plus is now back in stock for 25% off while supplies last.
[02:18:06.332 --> 02:18:16.695]  This elite formula contains the most cutting-edge enzymes, potent antioxidants, and traditional naturally occurring ingredients to protect the vitality of your very DNA.
[02:18:16.695 --> 02:18:24.797]  The powerhouse ingredients in DNA Force Plus include QQQ, CoQ10, organic reishi mushroom, astrologous root,
[02:18:25.037 --> 02:18:25.818]  We're good to go!
[02:18:47.697 --> 02:19:03.228]  A lot of listeners have complained in the last two years that our amazing, high-quality coffee has not been available.
[02:19:03.228 --> 02:19:08.051]  And that's because the prices went up too high for the raw beans and the quality had gone down some.
[02:19:08.051 --> 02:19:10.473]  I turned down so many companies that wanted to work with us.
[02:19:11.053 --> 02:19:20.642]  But now we have brought back the coffee and it's even better from a national supplier that's veteran-owned and veteran-operated.
[02:19:20.642 --> 02:19:23.905]  It's powered by the company Minuteman Coffee.
[02:19:23.905 --> 02:19:27.948]  Ladies and gentlemen, this is the best tasting, best smelling,
[02:19:28.929 --> 02:19:32.392]  Strongest coffee that I have ever drank.
[02:19:32.392 --> 02:19:34.254]  It is game-changing.
[02:19:34.254 --> 02:19:36.496]  All you gotta do is buy a bag of it and try it.
[02:19:36.496 --> 02:19:39.859]  I know you're gonna be hooked, which will then fund your Operation A360 win.
[02:19:39.859 --> 02:19:43.882]  Go to InfoWarsTore.com right now for Escape the Prison Planet Light Roast.
[02:19:43.882 --> 02:19:44.943]  That's the strongest.
[02:19:44.943 --> 02:19:47.785]  The amazing Medium Roast Wig of America.
[02:19:47.785 --> 02:19:55.292]  And finally, the best-tasting Dark Roast Tip of the Spear, now exclusively available at InfoWarsTore.com.
[02:19:55.292 --> 02:19:56.073]  Get your coffee now.
[02:19:59.150 --> 02:20:14.155]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[02:20:14.155 --> 02:20:19.177]  From the front lines of the Information War, it's Alex Jones!
[02:20:25.336 --> 02:20:31.340]  In this example, it's much darker because, you know, your parent wants the best for you.
[02:20:31.340 --> 02:20:36.423]  The parent is hoping when you're a teenager, you live to your 20s.
[02:20:36.423 --> 02:20:40.045]  You don't do something stupid that wrecks your life.
[02:20:40.045 --> 02:20:49.771]  Well, these globalists who are creating this financial instability for people, they don't have your best interest at heart.
[02:20:49.771 --> 02:20:51.211]  They want their power.
[02:20:53.135 --> 02:20:57.457]  And, you know, the parent wants you to survive.
[02:20:57.457 --> 02:20:59.477]  These globalists just want their control.
[02:20:59.477 --> 02:20:59.957]  Well, that's right.
[02:20:59.957 --> 02:21:01.858]  People say all the time the globalists don't care about us.
[02:21:01.858 --> 02:21:03.079]  No, they do.
[02:21:03.079 --> 02:21:11.922]  They want to sabotage and hurt people to make us more controllable, to phase us out in their own words.
[02:21:11.922 --> 02:21:18.164]  All right, it's 1.24 Central Time, emergency Saturday, October 7th transmission.
[02:21:19.810 --> 02:21:31.887]  Kent Hechenliebly is an amazing author and researcher and helped me do the book, The Great Reset, and now the new book, The Great Awakening, Defeating the Globalist and Launching the Next Great Renaissance.
[02:21:31.887 --> 02:21:32.768]  It's on pre-order.
[02:21:32.768 --> 02:21:33.730]  It's in our warehouse.
[02:21:33.730 --> 02:21:34.551]  It starts shipping on the 20th.
[02:21:35.532 --> 02:21:36.994]  Can order it at Amazon.com.
[02:21:36.994 --> 02:21:38.196]  It says number one.
[02:21:38.196 --> 02:21:39.598]  Or get signed copies as a fundraiser.
[02:21:39.598 --> 02:21:41.461]  Keep us on air at InfoWarsaw.com.
[02:21:41.461 --> 02:21:43.023]  And we need your support.
[02:21:43.023 --> 02:21:46.148]  We have unsigned copies there as well.
[02:21:46.148 --> 02:21:46.949]  All right, Kent.
[02:21:46.949 --> 02:21:48.471]  Wow, what a day to get you on.
[02:21:48.471 --> 02:21:50.294]  You were supposed to be on an hour ago, but...
[02:21:51.616 --> 02:21:54.617]  I had to get more crew in here to do research and prepare for this.
[02:21:54.617 --> 02:21:59.178]  I was going to tape a show that we were going to air with you on Monday.
[02:21:59.178 --> 02:22:09.941]  But wow, this is all going on and unfolding, the situation in Israel with Hamas, with obviously Hezbollah's Iranian backing going on.
[02:22:09.941 --> 02:22:14.202]  You were there earlier live listening to me the last 15 minutes when I was giving my perspective.
[02:22:14.202 --> 02:22:19.703]  Before we dive into the book and we cover some of this in the book, what is your historical view of the situation?
[02:22:21.568 --> 02:22:41.163]  You know, it's very much in tune with what you say, Alex, which is people in countries want to just go and live their lives in peace and prosperity, and these crazy rulers of ours keep provoking these conflicts in which the regular people suffer.
[02:22:41.163 --> 02:22:49.890]  Yeah, so the Palestinians are suffering, the Israelis are suffering, and it seems like soon the Iranian people are going to be suffering, if I read the tea leaves correct.
[02:22:51.150 --> 02:22:54.492]  And you know, this gets into a wider conflict with Iran.
[02:22:54.492 --> 02:23:05.138]  So I'm just so happy to be a part of your mission of getting this message out to the public, which is a true populist message.
