[00:00:30.604 --> 00:00:35.508]  It's Sunday, June 18th, 2023.
[00:57:59.996 --> 00:58:08.940]  When we talk about the crew at InfoWars, people behind the scenes, the researchers, the writers, they really have been the MVPs in this fight.
[00:58:08.940 --> 00:58:16.724]  And when you look at Harrison Smith and Owen Schroyer and the hard work they engage in every day, five, six, seven days a week, it's really just incredible.
[00:58:17.737 --> 00:58:21.401]  So for myself and the whole InfoWars crew, I thank you for your past support.
[00:58:21.401 --> 00:58:27.187]  I want to encourage you now to realize that InfoWars cannot stay on air if you do not support us.
[00:58:27.187 --> 00:58:30.210]  I know you spread the word, I know you pray for us, and that's wonderful, keep doing it.
[00:58:30.210 --> 00:58:37.277]  But most viewers and listeners, never go to InfoWarsStore.com, and you never buy great products that enrich and empower your life.
[00:58:37.277 --> 00:58:38.459]  All at the same time, keep us on air.
[00:58:39.139 --> 00:58:43.441]  I know that less than 1% of our listeners actually go buy products at InfoWarsaw.com.
[00:58:43.441 --> 00:58:48.384]  If just 1% more of you took action and went to InfoWarsaw.com, our funding problems will be over.
[00:58:48.384 --> 00:58:49.785]  Please take action now.
[00:58:49.785 --> 00:58:57.989]  Ladies and gentlemen, this book, The Great Reset and the War for the World, is a historic book that documents the globals, in their own words, plan for our future.
[00:58:57.989 --> 00:58:59.430]  That is the hellish future.
[00:58:59.430 --> 00:59:08.015]  Now you'll always, while they still allow books, I guess they're starting to ban them, be able to get an unsigned copy of The Great Reset and the War for the World at bookstores, Amazon, or InfoWarsaw.com.
[00:59:08.835 --> 00:59:14.417]  But you will never be able to get another signed copy of the book after the signed copies we got run out.
[00:59:14.417 --> 00:59:16.998]  And there's about a thousand left of them right now.
[00:59:16.998 --> 00:59:22.379]  So get your copy of The Great Reset and The War for the World, a signed copy, at InfoWarsHore.com.
[00:59:22.379 --> 00:59:26.320]  And there is a markup there because this is a fundraiser to keep us on the air.
[00:59:26.320 --> 00:59:32.202]  So you won't just have this historic memento and this powerful book, you'll also know that you help keep InfoWars on the air.
[00:59:32.202 --> 00:59:34.303]  I want to thank those of you that have gotten signed copies of the book.
[00:59:35.083 --> 00:59:36.143]  Or unsigned copies.
[00:59:36.143 --> 00:59:46.486]  But I want to encourage all of you who haven't yet to go to Infowarshore.com and get a signed copy and buy a couple of unsigned copies and donate them to the library or give them to the local school.
[00:59:46.486 --> 00:59:47.526]  This is an Infowar.
[00:59:47.526 --> 00:59:51.407]  I'm counting on you and thank you for your support.
[00:59:51.407 --> 00:59:56.008]  Leading a frontal assault on the lies of the New World Order.
[00:59:56.008 --> 00:59:57.288]  It's Alex Jones.
[01:00:12.754 --> 01:00:22.824]  We're going to come back and get into the Energon disruptors and the larger sterilization program that we're already deeply into, but I want to play a few more minutes of RFK Jr.
[01:00:22.824 --> 01:00:28.649]  on Joe Rogan, talking about the deep state, and we'll go to break and come right back.
[01:00:28.649 --> 01:00:31.692]  Kennedy, you know, did that.
[01:00:31.692 --> 01:00:37.117]  He refused to go to war, so he was surrounded by military industrial complex and
[01:00:38.833 --> 01:00:58.165]  And he learned very early at an intelligence apparatus that he realized early on that the purpose of the CIA and the intelligence apparatus was to create a constant pipeline of new wars for the military-industrial complex three days before he took the oath of office.
[01:00:59.425 --> 01:01:07.813]  Eisenhower, who is the outgoing president, gave what is probably the most important speech in American history, which was, you know, where he warned against the military-industrial complex.
[01:01:07.813 --> 01:01:09.795]  I was at my uncle's inauguration.
[01:01:09.795 --> 01:01:12.397]  I was in Washington that day.
[01:01:12.397 --> 01:01:14.179]  It was a, you know, a six-year-old boy.
[01:01:14.179 --> 01:01:19.924]  And I was sitting on the stands behind him, in front of him, during his inauguration.
[01:01:21.466 --> 01:01:24.008]  And he understood that.
[01:01:24.008 --> 01:01:31.693]  And two months later, the military and intelligence came to him and said, we've got to invade Cuba.
[01:01:31.693 --> 01:01:35.635]  And he was like, I'm not going to Cuba and I'm not going to let the military in.
[01:01:35.635 --> 01:01:39.517]  And they said, well, we've got all these Cubans trained and they're going to go attack Castro.
[01:01:41.013 --> 01:01:42.833]  And he said, we can't, the U.S.
[01:01:42.833 --> 01:01:43.854]  government can't be doing that.
[01:01:43.854 --> 01:01:45.674]  We can't be attacking.
[01:01:45.674 --> 01:01:54.636]  I don't like what Castro's doing down there, but it's not the United States' job to dictate what kind of governments other countries have.
[01:01:54.636 --> 01:01:59.477]  And they said, well, as soon as they land, there's going to be a big revolution.
[01:01:59.477 --> 01:02:01.938]  Everybody's going to rise up and they're going to overthrow Castro.
[01:02:01.938 --> 01:02:03.678]  And he said, well, you can't use the U.S.
[01:02:03.678 --> 01:02:04.199]  military.
[01:02:04.199 --> 01:02:09.300]  And they ended up bringing those guys over with United Fruit boats.
[01:02:10.280 --> 01:02:17.105]  And in the middle of it, in the night, they came to him and said, they're getting wiped out on the beach and you need to send in the military and invade.
[01:02:17.105 --> 01:02:20.327]  And he said, we're not going to do it.
[01:02:20.327 --> 01:02:27.451]  And he snapped out of that meeting and he realized they had been lying to him and trying to trick him.
[01:02:27.451 --> 01:02:32.914]  And he said, I want to take the CIA and shatter it into a thousand pieces and scatter it to the winds.
[01:02:35.973 --> 01:02:44.118]  You know, for the next 1,000 days of his presidency, he was at war with his military and intelligence apparatus.
[01:02:44.118 --> 01:02:45.779]  They tried to get him to go into Laos.
[01:02:45.779 --> 01:02:46.840]  He said no.
[01:02:46.840 --> 01:02:50.642]  They tried to get him to go into Vietnam with the combat troops.
[01:02:50.642 --> 01:02:54.524]  They said that we need 250,000 combat troops.
[01:02:54.524 --> 01:02:55.405]  He refused.
[01:02:55.405 --> 01:02:58.907]  Everybody around him wanted him to go into Vietnam.
[01:02:58.907 --> 01:03:01.749]  He sent 16,000 military advisors.
[01:03:01.749 --> 01:03:03.490]  That's fewer people than he sent.
[01:03:04.190 --> 01:03:10.873]  to get James Meredith into Ole Miss in Jackson Mississippi to get one black man into school.
[01:03:10.873 --> 01:03:12.234]  He sent Feward and Vietnam.
[01:03:12.234 --> 01:03:14.054]  They weren't allowed to fight.
[01:03:14.054 --> 01:03:14.755]  Many of them did.
[01:03:14.755 --> 01:03:18.396]  They both violated the rules of engagement.
[01:03:18.396 --> 01:03:25.840]  In October of 1963, he heard that some of his Green Berets had been killed over there.
[01:03:25.840 --> 01:03:28.841]  And he said, I want a total casualty list from Vietnam.
[01:03:29.991 --> 01:03:30.891]  Alright, let's stop right there.
[01:03:30.891 --> 01:03:32.152]  This is historic stuff coming out.
[01:03:58.479 --> 01:04:00.219]  And there's nothing the system can do to stop it.
[01:04:00.219 --> 01:04:02.060]  They try to shut me down, Joe Rogan pops up.
[01:04:02.060 --> 01:04:06.181]  Try to shut that down, Robert F. Kennedy Jr., Elon Musk.
[01:04:06.181 --> 01:04:09.262]  Freedom is incredibly popular.
[01:04:09.262 --> 01:04:12.482]  And so it doesn't matter whether Elon Musk is for real or not.
[01:04:12.482 --> 01:04:17.424]  The point is he's now saying he's one of us because it's so popular and the worm is turning.
[01:04:17.424 --> 01:04:18.264]  So I want to salute
[01:04:20.094 --> 01:04:25.298]  Listeners and viewers out there, for what you've done over the years, because without you, none of this would be happening.
[01:04:25.298 --> 01:04:28.080]  We wouldn't have a good shot at stopping these people.
[01:04:28.080 --> 01:04:35.925]  So again, I thank you from the bottom of my heart, and I thank you for keeping us on air, and I thank you for sharing the articles, the videos, and the clips, because you are changing the world.
[01:04:35.925 --> 01:04:37.707]  Now, some stations don't carry this five minutes.
[01:04:38.570 --> 01:04:48.479]  When we come back, I want to finish up what I covered last hour, the rest of the story on the chemicals in the food and water and the air, and how it's designed to sterilize us, and how we can stop them.
[01:04:48.479 --> 01:04:49.219]  It's all coming up.
[01:04:49.219 --> 01:04:50.740]  We'll be back in 60 seconds.
[01:04:50.740 --> 01:04:51.921]  Infowars.com.
[01:04:51.921 --> 01:04:53.483]  Share that link and ban that video.
[01:05:00.113 --> 01:05:07.117]  In the early 1900s, certain companies were off-gassing highly toxic fluoride gases into the atmosphere.
[01:05:07.117 --> 01:05:09.938]  The surrounding communities began to get sick.
[01:05:09.938 --> 01:05:18.282]  Laws were enacted to compel these corporations to install scrubbers to convert these gases into fluorosilicic acid.
[01:05:18.282 --> 01:05:20.723]  Still highly toxic, but containable.
[01:05:20.723 --> 01:05:23.725]  Now these companies had a stockpile of this poison.
[01:05:24.025 --> 01:05:26.608]  And there was no affordable way to dispose of it.
[01:05:26.608 --> 01:05:35.017]  Lucky for them, one of their major stockholders was also the Secretary of the Treasury, who was responsible for the public health service at the time.
[01:05:35.017 --> 01:05:36.859]  And by 1950, the U.S.
[01:05:36.859 --> 01:05:43.486]  government began buying this toxic, untreated industrial waste product and dumping it into our drinking water.
[01:05:43.946 --> 01:05:49.134]  Reputable studies show that it's causing various cancers and other disease.
[01:05:49.134 --> 01:05:55.262]  With the Alexa Pure Pro, you can have clean drinking water and a remedy to this madness.
[01:05:55.262 --> 01:05:57.606]  Available now at InfoWarsStore.com
[01:06:01.302 --> 01:06:06.986]  This transmission is coming to you.
[01:06:06.986 --> 01:06:11.349]  Waging war on corruption.
[01:06:11.349 --> 01:06:19.134]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[01:06:19.134 --> 01:06:23.217]  Alright, it's hour number two on this Sunday night transmission.
[01:06:23.217 --> 01:06:25.319]  Thank you so much for joining us on Father's Day.
[01:06:26.673 --> 01:06:35.841]  Remember, all over the Western world they're trying to ban, they have banned, the word mother and father on medical records for children being born and things like that.
[01:06:35.841 --> 01:06:38.063]  This is a sick, evil cult.
[01:06:38.063 --> 01:06:45.769]  They're attacking our very biology to depopulate us and take full control of the survivors.
[01:06:45.769 --> 01:06:51.494]  Now, at the end of the last hour we heard a very important report where I think he does the best job in just 16 minutes or so
[01:06:52.441 --> 01:07:10.148]  Laying out the history of just Bisphenol A and Atrazine in the water alone causing the feminization of men and then causing the hyper-feminization of women which also accelerates them going into puberty early and getting cancer and dying and going into menopause early.
[01:07:10.148 --> 01:07:13.329]  So all of this accelerates your aging, all of it causes premature
[01:07:15.266 --> 01:07:18.808]  Aging and going to puberty early.
[01:07:18.808 --> 01:07:20.308]  It's a very serious situation.
[01:07:20.308 --> 01:07:24.570]  We've covered a lot of the stories, or all the stories pretty much, that Mark covers.
[01:07:24.570 --> 01:07:28.712]  But he does a great job at condensing it all down.
[01:07:28.712 --> 01:07:32.033]  Which we need to do more of and go back to the core research, the core stuff.
[01:07:32.033 --> 01:07:34.974]  But that's what he's trained as a journalist and media analyst.
[01:07:34.974 --> 01:07:36.215]  That's what he actually went to college for.
[01:07:36.215 --> 01:07:38.175]  That's why he does a great job, I guess, doing it.
[01:07:38.175 --> 01:07:41.037]  Me, I'm a totally lay person at it.
[01:07:41.037 --> 01:07:44.358]  And I'm always trying to get Mark on the show, but he's like, hey, you got the reports.
[01:07:45.532 --> 01:07:47.153]  I really like to do it succinctly in the reports.
[01:07:47.153 --> 01:07:47.794]  And he does.
[01:07:47.794 --> 01:07:49.135]  Nobody does it better.
[01:07:49.135 --> 01:07:50.156]  So he put that report out.
[01:07:50.156 --> 01:07:51.917]  We'll put it back on screen.
[01:07:51.917 --> 01:07:52.898]  It's on Infowars.com.
[01:07:52.898 --> 01:07:53.639]  I hope you share it.
[01:07:53.639 --> 01:07:55.180]  Mark Dice, Alex Jones is right.
[01:07:55.180 --> 01:07:56.541]  Robert F. Kennedy Jr.
[01:07:56.541 --> 01:07:59.103]  makes stunning revelation that will rock the media.
[01:07:59.103 --> 01:08:07.130]  Now, this isn't about Alex Jones making a stunning revelation or Kennedy making a stunning revelation that will rock the media.
[01:08:07.130 --> 01:08:08.351]  That's a nice tagline.
[01:08:08.351 --> 01:08:09.032]  It's a nice hook.
[01:08:09.032 --> 01:08:10.513]  And it's true.
[01:08:10.513 --> 01:08:12.355]  But it's bigger than Alex Jones or Robert F. Kennedy Jr.
[01:08:13.800 --> 01:08:16.681]  And it's on Infowars.com and it's vital you share it.
[01:08:16.681 --> 01:08:22.522]  When I started covering this 15, 16 years ago, suddenly I'd have CNN attacking me.
[01:08:22.522 --> 01:08:24.262]  Fox News attacking me.
[01:08:24.262 --> 01:08:25.222]  Jones is crazy.
[01:08:25.222 --> 01:08:30.584]  He says there's chemicals in the food and water that are lowering your fertility and making men feminine.
[01:08:30.584 --> 01:08:32.184]  I was reading MIT reports.
[01:08:32.184 --> 01:08:33.284]  I was reading Berkeley reports.
[01:08:33.284 --> 01:08:39.845]  I was reading all of the actual science and information.
[01:08:39.845 --> 01:08:42.066]  But they would just take a little clip where I'd say, listen,
[01:08:43.288 --> 01:08:47.151]  This article saying I'm anti-gay or whatever is not accurate.
[01:08:47.151 --> 01:08:49.592]  That's what I said in the full famous gay frog clip.
[01:08:49.592 --> 01:08:50.913]  They cut it out.
[01:08:50.913 --> 01:08:56.097]  This is a chemical so bad, it's literally causing the frogs to become sterile and die.
[01:08:56.097 --> 01:09:00.220]  It literally makes the male frogs, when they have sex with male frogs, that means their species dies.
[01:09:00.220 --> 01:09:04.683]  So I'm trying to get them to take out the chemicals in the water that are making the freaking frogs gay!
[01:09:05.762 --> 01:09:09.446]  And then I hit a big stack of articles and papers on the desk.
[01:09:09.446 --> 01:09:12.148]  Well, they wanted to get ahead of that and make fun of it.
[01:09:12.148 --> 01:09:13.890]  And that's what they've done the whole time.
[01:09:13.890 --> 01:09:15.232]  But it's really boomeranged on them.
[01:09:15.232 --> 01:09:19.656]  So, there's a lot of pushback against this, but it's not just these two chemicals.
[01:09:19.656 --> 01:09:21.177]  There are hundreds.
[01:09:22.543 --> 01:09:31.989]  Hundreds and hundreds of these that are in the water table, even in well water in most areas, but particularly tap water, and it is just a soup that we're swimming in.
[01:09:31.989 --> 01:09:47.179]  But I gotta tell you, this report that I covered last hour, Dice really knocks it out of the park and explains, in separate medical journals they admit, well, men that start going into transgender treatment to become women, which they don't really become women, but they think they are,
[01:09:48.479 --> 01:09:50.845]  They, on average, become attracted to men.
[01:09:50.845 --> 01:09:57.901]  So a lot of people with gender dysphoria who want to become a woman aren't actually attracted to men, but when they take the hormones, they do!
[01:09:59.164 --> 01:10:09.370]  But then if you say that about people that have gotten birth defects, literally in their brain cells, the studies show that from atrazine and bisphenol A. Oh no, no, it's a gift!
[01:10:09.370 --> 01:10:11.511]  Remember what David Hogg, the anti-gunner, said about me?
[01:10:11.511 --> 01:10:13.533]  He goes, Jones is a con artist.
[01:10:13.533 --> 01:10:18.075]  He sells water filters on the air, saying you need to filter your water, it's full of chemicals.
[01:10:18.075 --> 01:10:22.278]  Yeah, I sell things you need, so we stay on air and get the truth out and you get a good product.
[01:10:22.278 --> 01:10:24.980]  Our filters are the highest rated for the lowest price you're going to find.
[01:10:24.980 --> 01:10:28.121]  But of course I'm telling you the water's full of crap, because it is.
[01:10:28.121 --> 01:10:28.402]  It's like,
[01:10:29.412 --> 01:10:35.136]  Selling, you know, people when, when winter's coming and you go to the mall and they got coats out for sale.
[01:10:35.136 --> 01:10:37.778]  Well look, you're selling coats right before winter starts.
[01:10:37.778 --> 01:10:39.159]  What type of weirdo are you?
[01:10:39.159 --> 01:10:40.800]  Or, or summer's about to start.
[01:10:40.800 --> 01:10:42.161]  Oh, the swimsuits club.
[01:10:42.161 --> 01:10:44.283]  That's, Dillard's is crazy.
[01:10:44.283 --> 01:10:46.865]  They sell swimsuits in the spring.
[01:10:46.865 --> 01:10:48.066]  Ha ha ha!
[01:10:48.066 --> 01:10:51.809]  They're trying to sell swimsuits like you might need one in the summer.
[01:10:51.809 --> 01:10:52.049]  Or, or
[01:10:53.171 --> 01:10:55.720]  They're trying to sell people gasoline for their car's engines.
[01:10:55.720 --> 01:10:56.844]  I mean, that's really weird.
[01:10:56.844 --> 01:10:58.870]  Show, they're trying to demonize the normalcy.
[01:11:00.262 --> 01:11:04.623]  Of me saying, hey, we have Alexa, Pure, Water Filtration Systems, highest rated.
[01:11:04.623 --> 01:11:06.963]  They are half the price of the leading competitor.
[01:11:06.963 --> 01:11:09.204]  Some competitors are three times more.
[01:11:09.204 --> 01:11:11.824]  And there's four or five companies that have the highest rated.
[01:11:11.824 --> 01:11:12.824]  There's a bunch that don't.
[01:11:12.824 --> 01:11:13.525]  But it's the best.
[01:11:13.525 --> 01:11:14.745]  And it funds the operation.
[01:11:14.745 --> 01:11:16.185]  Infowars.com.
[01:11:16.185 --> 01:11:19.166]  So yes, I'm trying to sell you filters so we have money to stay on air.
[01:11:19.166 --> 01:11:23.046]  And at the same time, explain to you how real this is and how they make jokes about it.
[01:11:23.046 --> 01:11:25.887]  So, the only place that Kennedy
[01:11:26.912 --> 01:11:27.813]  Robert F. Kennedy Jr.
[01:11:27.813 --> 01:11:31.796]  and others don't go all the way as this is premeditated.
[01:11:31.796 --> 01:11:39.302]  If you get deeper into Bertrand Russell in the 50s and Aldous Huxley in the 30s and Julian Huxley, his brother, heading up the U.N.
[01:11:39.302 --> 01:11:47.309]  operation at UNESCO, they said we'll use diet injections and injunctions to control people and make them infertile and make them stupid.
[01:11:48.038 --> 01:11:49.199]  And that's an eco-science.
[01:11:49.199 --> 01:11:50.600]  It's in there on the conference room table.
[01:11:50.600 --> 01:11:51.200]  Bring it to me, please.
[01:11:51.200 --> 01:11:53.542]  1974, year I was born, published.
[01:11:53.542 --> 01:11:55.863]  The man later became, wrote the book, the head Y.I.O.
[01:11:55.863 --> 01:11:57.324]  Science R for Obama.
[01:11:57.324 --> 01:12:02.188]  Paul Ehrlich, John P. Holdren, and then his wife, Holdren as well.
[01:12:02.188 --> 01:12:03.689]  Or, no, no.
[01:12:03.689 --> 01:12:04.889]  Ehrlich's wife.
[01:12:04.889 --> 01:12:11.234]  So the point is, it says in there, we need to put chemicals in the water to sterilize and lower fertility.
[01:12:11.234 --> 01:12:13.175]  So, and I go on and on and on.
[01:12:13.175 --> 01:12:15.276]  So let me just show you some anecdotal evidence here.
[01:12:16.676 --> 01:12:18.057]  Childhood vaccines.
[01:12:18.057 --> 01:12:18.277]  Again, 1983.
[01:12:18.277 --> 01:12:20.118]  10 vaccines kids were given.
[01:12:20.118 --> 01:12:20.558]  2013, 32 vaccines.
[01:12:20.558 --> 01:12:20.798]  2022, 74 vaccines.
[01:12:20.798 --> 01:12:23.020]  And you see right next to it, autism rates explode as the shots go up.
[01:12:30.970 --> 01:12:39.277]  But it's an exacerbation with all the pesticides, electromagnetics, and the GMO, and all the things that are happening to us.
[01:12:39.277 --> 01:12:44.542]  But yes, it is an agenda to sterilize us, and they tell us it's an agenda.
[01:12:44.542 --> 01:12:46.164]  This book is free online.
[01:12:46.164 --> 01:12:47.185]  You can find the digital copy.
[01:12:48.180 --> 01:12:53.524]  Once I promoted it and talked about it 15 years ago, it went from being like $5 to buy a hard copy to thousands.
[01:12:53.524 --> 01:12:56.265]  You can buy, I think last time I checked, they were like $2,000 apiece.
[01:12:56.265 --> 01:12:59.648]  But here it all is, how to put stuff in the water to sterilize you and your family.
[01:12:59.648 --> 01:13:02.590]  Ecoscience, population, resources, and environment.
[01:13:02.590 --> 01:13:04.931]  Show!
[01:13:04.931 --> 01:13:06.052]  We bring the documents.
[01:13:06.052 --> 01:13:08.573]  But oh, here's the Washington Post.
[01:13:08.573 --> 01:13:12.136]  Kids are cute, but they're not really eco-friendly.
[01:13:12.136 --> 01:13:15.138]  One less baby helps the planet more than giving up meat or a car.
[01:13:16.894 --> 01:13:17.677]  Your meat, everything.
[01:13:17.677 --> 01:13:18.981]  Carbon's not bad.
[01:13:18.981 --> 01:13:20.346]  Your babies are carbon.
[01:13:20.346 --> 01:13:21.510]  They're being honest now.
[01:13:21.510 --> 01:13:22.253]  They want to get rid.
[01:13:23.897 --> 01:13:25.118]  of the carbon.
[01:13:25.118 --> 01:13:26.519]  That's what this is all about.
[01:13:26.519 --> 01:13:28.460]  And that's why they're sexualizing children.
[01:13:28.460 --> 01:13:29.881]  That's why they're at all the events.
[01:13:29.881 --> 01:13:35.785]  That's why they're telling them that they need to be sterilized and they need to take hormone blockers, which do sterilize you.
[01:13:35.785 --> 01:13:39.627]  It's because this is all an agenda to depopulate on record.
[01:13:39.627 --> 01:13:47.152]  And I show the documents in my film, Endgame Blueprint for Global Enslavement, and Endgame 1.5, because I was going to put it on Endgame 2.
[01:13:47.152 --> 01:13:48.313]  Never did, so I put a little addendum.
[01:13:49.213 --> 01:13:53.105]  Just on the subject of chemical sterilization from 1960s and 70s, Pentagon documents.
[01:13:55.396 --> 01:13:58.818]  And make no mistake, it's the people that run the Pentagon that are behind all this.
[01:13:58.818 --> 01:14:00.759]  Look up Pentagon Gay Bomb.
[01:14:00.759 --> 01:14:02.040]  The media always makes a joke about it.
[01:14:02.040 --> 01:14:06.762]  You've seen it on HBO and CNN and all the late night shows.
[01:14:06.762 --> 01:14:10.304]  Steve Colbert and all of them.
[01:14:10.304 --> 01:14:21.651]  They never show me, then showing you the article BBC, Associated Press, Pentagon wanted to spray chemicals on enemy water supplies that literally totally confuse men and make them feminine.
[01:14:21.651 --> 01:14:23.172]  So that's how real
[01:14:25.419 --> 01:14:26.159]  All of this is.
[01:14:26.159 --> 01:14:29.601]  Now I want to shift gears and talk about dictatorship.
[01:14:29.601 --> 01:14:39.045]  I want to talk about the fact that Biden's a puppet, but it's an oligarchy of bureaucrats and corporate interests and intelligence agencies that control Joe Biden.
[01:14:39.045 --> 01:14:41.426]  Tucker dropped his fourth installment.
[01:14:41.426 --> 01:14:43.307]  Yeah, there's Wikipedia on the gay bomb.
[01:14:43.829 --> 01:14:45.431]  The Pentagon Gay Bomb Plan.
[01:14:45.431 --> 01:14:50.095]  So it's a whole project of this, but they've actually launched it on the public.
[01:14:50.095 --> 01:14:51.436]  Then they make it cool.
[01:14:51.436 --> 01:14:56.200]  When, hey, genital sizes are a third of what they were 50 years ago for black and white.
[01:14:56.200 --> 01:14:58.462]  And, oh, you're sterile.
[01:14:58.462 --> 01:14:59.143]  90% sperm reduction.
[01:14:59.143 --> 01:14:59.743]  It's liberal.
[01:14:59.743 --> 01:15:00.804]  It's trendy.
[01:15:00.804 --> 01:15:02.365]  Oh, you're also getting cancer when you're 25.
[01:15:02.365 --> 01:15:03.306]  Neurological disorders at 25.
[01:15:04.147 --> 01:15:04.907]  But it's okay.
[01:15:04.907 --> 01:15:05.607]  Death is cool.
[01:15:05.607 --> 01:15:06.388]  Death is liberal.
[01:15:06.388 --> 01:15:07.028]  Death is fun.
[01:15:07.028 --> 01:15:07.628]  We love death.
[01:15:07.628 --> 01:15:08.608]  We love death.
[01:15:08.608 --> 01:15:11.629]  But here's Tucker Carlson's fourth historic installment.
[01:15:11.629 --> 01:15:13.629]  News Corp is threatening to sue if he doesn't shut up.
[01:15:13.629 --> 01:15:14.690]  He has free speech.
[01:15:14.690 --> 01:15:15.890]  He's totally backed.
[01:15:15.890 --> 01:15:17.550]  It's a toothless attack.
[01:15:17.550 --> 01:15:23.892]  And then we'll go to this incredibly powerful report pointing out that we do have a dictatorship through the puppet O'Biden.
[01:15:25.217 --> 01:15:27.598]  And that if we don't turn back against this, we have no hope.
[01:15:27.598 --> 01:15:37.723]  But if we wake up to it and legitimately reject it, that it's not Trump, it's not the patriots, it's not the libertarian movement, it's not the conservatives, it's not the populists that want martial law, it's the left that are setting it up.
[01:15:37.723 --> 01:15:38.984]  They're the ones banning speech.
[01:15:38.984 --> 01:15:40.124]  They're the ones banning books.
[01:15:40.124 --> 01:15:43.386]  We're just saying don't give pornographic pedophile books to eight-year-olds.
[01:15:43.386 --> 01:15:44.507]  That's not banning books.
[01:15:44.507 --> 01:15:45.907]  We're saying don't give it to children.
[01:15:45.907 --> 01:15:51.750]  So here he is breaking down the real dictatorship of the globalist being established not just here but worldwide.
[01:15:51.750 --> 01:15:52.831]  And we'll be right back after the break.
[01:15:53.834 --> 01:15:55.495]  Hey, it's Tucker Carlson.
[01:15:55.495 --> 01:15:59.598]  On Tuesday afternoon, the Biden administration had Donald Trump arrested.
[01:15:59.598 --> 01:16:00.799]  It was a pretty big news story.
[01:16:00.799 --> 01:16:02.420]  You may have seen it.
[01:16:02.420 --> 01:16:03.540]  Just before 9 p.m.
[01:16:03.540 --> 01:16:09.564]  that night, as part of its coverage, Fox News ran two live video feeds next to one another.
[01:16:09.564 --> 01:16:13.327]  On the right, Donald Trump addressed his supporters in New Jersey.
[01:16:13.327 --> 01:16:17.830]  On the left, Joe Biden spoke at an event for the Secretary General of NATO in Washington.
[01:16:18.610 --> 01:16:32.660]  Beneath those videos, at the bottom of the screen, Fox's banner read this way, quote, Those words were up for less than 30 seconds, but the effect was immediate.
[01:16:32.660 --> 01:16:35.743]  Inside Fox, the women who run the network panicked.
[01:16:35.743 --> 01:16:38.865]  First, they scolded the producer who put the banner on the screen.
[01:16:38.865 --> 01:16:41.087]  Less than 24 hours after that, he resigned.
[01:16:41.707 --> 01:16:43.389]  He'd been at Fox for more than a decade.
[01:16:43.389 --> 01:16:46.471]  He was considered one of the most capable people in the building.
[01:16:46.471 --> 01:16:52.737]  He offered to stay for the customary two weeks, but Fox told him to clear out his desk and leave immediately.
[01:16:52.737 --> 01:16:58.222]  Then the company issued a public apology for the 27-second-long wannabe dictator line.
[01:16:58.222 --> 01:17:06.070]  Quote, the chyron was taken down immediately, Fox's PR department said, and then added ominously it was, quote, addressed.
[01:17:06.889 --> 01:17:08.491]  That was all true.
[01:17:08.491 --> 01:17:13.535]  But it was not enough to save Fox News from the ensuing scandal.
[01:17:13.535 --> 01:17:20.963]  For a time in the rest of the media, Fox's assessment of Donald Trump's arrest seemed to overshadow Trump's arrest itself.
[01:17:20.963 --> 01:17:24.566]  Suggesting that Biden is a dictator, declared the Washington Post, quote,
[01:17:26.528 --> 01:17:29.170]  Alexander Vindman agreed strongly.
[01:17:29.170 --> 01:17:35.695]  Vindman is the perennial MSNBC guest and full-time Ukraine promoter you may remember from Russiagate.
[01:17:35.695 --> 01:17:40.799]  On Twitter, he demanded that the Pentagon pull Fox News from all military bases.
[01:17:40.799 --> 01:17:51.267]  It is, quote, absolutely unacceptable for American forces network to carry programming that directly, spuriously attacks the commander-in-chief of American armed forces, Vindman wrote.
[01:17:52.208 --> 01:17:58.393]  In other words, Joe Biden must ban all criticism of himself because that's what non-dictators do.
[01:17:58.393 --> 01:18:00.874]  John Cusack went further still.
[01:18:00.874 --> 01:18:07.339]  For the crime of calling Biden a dictator, Fox should be shut down, wrote the 80s era movie star.
[01:18:07.339 --> 01:18:10.862]  Quote, the government has to take away their broadcasting license.
[01:18:10.862 --> 01:18:11.262]  And so on.
[01:18:11.262 --> 01:18:12.323]  It was all over the internet.
[01:18:12.323 --> 01:18:14.605]  Democrats were very, very angry.
[01:18:15.728 --> 01:18:17.750]  But why were they angry?
[01:18:17.750 --> 01:18:21.853]  If the banner on Fox was false, why the hysteria?
[01:18:21.853 --> 01:18:24.896]  Lies don't seem to bother anyone anymore.
[01:18:24.896 --> 01:18:32.943]  If some cable news producer had called Joe Biden a genius, or accused him of being secretly Sudanese, would anyone be yelling about it?
[01:18:32.943 --> 01:18:35.465]  Would Fox News have apologized for it?
[01:18:35.465 --> 01:18:37.086]  Probably not.
[01:18:37.086 --> 01:18:40.809]  But calling Joe Biden a wannabe dictator, that stunk.
[01:18:42.000 --> 01:18:47.342]  So you've got to wonder, if you're being honest with yourself, is Joe Biden a wannabe dictator?
[01:18:47.342 --> 01:18:50.062]  That question came up yesterday at the White House briefing.
[01:18:50.062 --> 01:18:50.943]  Here's how it went.
[01:18:50.943 --> 01:18:58.325]  Last night, Fox News ran a chyron that referred to the president as a wannabe dictator, and I'm wondering if the White House has any comment on that.
[01:18:58.325 --> 01:19:04.467]  So, there are probably about 787 million things that I can say about this.
[01:19:04.467 --> 01:19:09.368]  That was wrong, about what we saw last night, but I don't think I'm going to get into it.
