[00:00:00.169 --> 00:00:01.209]  They want ugliness.
[01:33:54.203 --> 01:33:56.004]  I'm not saying China runs the world, okay?
[01:33:56.725 --> 01:33:57.085]  Okay?
[01:33:57.886 --> 01:34:03.710]  I'm saying China is the big New World Order economic military army they're using to take over.
[01:34:04.150 --> 01:34:10.755]  When I say China owns four of the six big Hollywood production houses, I'm not saying they run them, I'm saying they own them.
[01:34:10.775 --> 01:34:16.199]  So every time I talk about China, hey, don't talk about China, Israel, Israel!
[01:34:17.929 --> 01:34:30.862]  It's like, it just blows me away that people just think that they just magically say something about Israel that does something, that I'm here agreeing with you, basically, and then you think that you keep going back.
[01:34:32.143 --> 01:34:41.352]  Yes, the world financial system, the social credit score system, is being run out of Frankfurt, London, and New York City.
[01:34:42.406 --> 01:34:43.826]  And you're sitting there bashing Israel.
[01:34:44.147 --> 01:34:47.148]  Well, the people that run Israel run New York as well.
[01:34:47.528 --> 01:34:49.188]  It's the same global combines.
[01:34:49.288 --> 01:34:59.011]  And I'm agreeing with you and you won't let me do that because it feels too good to get Alex and say, man, you didn't tell the big dirty secret.
[01:34:59.972 --> 01:35:01.212]  And it's just bizarre.
[01:35:02.292 --> 01:35:03.953]  Who brought Kanye West in here?
[01:35:04.673 --> 01:35:05.273]  Dodo Bird.
[01:35:06.654 --> 01:35:07.534]  All right, I'm not mad at you.
[01:35:07.554 --> 01:35:08.634]  It's just very frustrating.
[01:35:08.895 --> 01:35:10.095]  Stu Peters in 60 seconds.
[01:35:11.096 --> 01:35:15.157]  Thousands of former Nazis went to work for the United States government.
[01:35:15.257 --> 01:35:18.818]  A flying disc has been found and is now in the possession of the army.
[01:35:19.018 --> 01:35:20.538]  Here is a bulletin from CBS News.
[01:35:20.598 --> 01:35:23.119]  President Kennedy has been shot.
[01:35:23.779 --> 01:35:26.340]  This is a different kind of war.
[01:35:27.120 --> 01:35:31.361]  The USS Liberty had just been attacked by Israeli jets and torpedo boats.
[01:35:31.581 --> 01:35:34.782]  The CIA could manipulate the news in the United States.
[01:35:34.962 --> 01:35:38.923]  They took the babies out of incubators and left the children to die on a cold floor.
[01:35:38.802 --> 01:35:41.443]  It was almost as if it were a plan in motion.
[01:35:41.443 --> 01:35:42.962]  It just can't happen.
[01:35:42.962 --> 01:35:44.962]  We need to go into the Capitol.
[01:35:44.962 --> 01:35:48.802]  You will always have conspiracy theories.
[01:35:49.030 --> 01:35:50.591]  They are nothing but distractions.
[01:35:50.651 --> 01:35:53.013]  You guys censored Harvard-educated doctors.
[01:35:53.453 --> 01:35:54.974]  You silenced those voices.
[01:35:55.054 --> 01:35:58.837]  What we want to do in Davos is push the reset button.
[01:35:58.777 --> 01:36:05.777]   Soon as we start exposing the great reset, the Suda thief globalists start going to prison!
[01:36:05.777 --> 01:36:09.777]  [Applause]
[01:36:10.777 --> 01:36:15.777]  Popular talk show host Stu Peters is our guest for the hour.
[01:36:16.285 --> 01:36:17.567]  StuPeters.com.
[01:36:17.768 --> 01:36:18.750]  Needs no introduction.
[01:36:19.852 --> 01:36:23.780]  Thomas, we're getting into his development of the bioweapon, how our own government has used COVID.
[01:36:25.458 --> 01:36:28.280]  Food plant fires, train derailments, open war on American cities.
[01:36:28.320 --> 01:36:30.082]  We live in an empire of lies.
[01:36:30.522 --> 01:36:31.663]  Stu Peters, great to have you.
[01:36:32.103 --> 01:36:40.049]  When I saw the first topic you wanted to get into, I thought of all the hype of the Marburg virus by the UN saying 90% of those that get infected die.
[01:36:40.550 --> 01:36:47.215]  Imagine the hysteria we saw with something as dangerous as the flu with COVID, with something that actually kills 90% of people.
[01:36:47.255 --> 01:36:49.036]  I think that's an exaggeration, but that's what they're saying.
[01:36:49.477 --> 01:36:51.418]  I think it's pretty clear COVID was a beta test.
[01:36:51.438 --> 01:36:53.340]  They're getting ready for something new.
[01:36:53.640 --> 01:36:54.581]  Stu, great to have you with us.
[01:36:55.905 --> 01:36:57.045]  Yeah, thanks for having me, Alex.
[01:36:57.065 --> 01:37:00.146]  There's no doubt that 100% of what you just articulated is true.
[01:37:00.186 --> 01:37:09.169]  I mean, we have an empire of lies, a fake government, a corporate government crime syndicate that has openly declared biowarfare on its own citizens.
[01:37:09.389 --> 01:37:16.571]  And one of the most alarming things is, you know, by omission, the criminal press has completely led people to their own slaughter.
[01:37:16.671 --> 01:37:25.717]   And this is like world governments are all in lockstep together working To accomplish this, remember the lies that we were told about COVID-19.
[01:37:25.757 --> 01:37:28.020]  We were told lies about spreading an infection.
[01:37:28.060 --> 01:37:29.501]  We were told lies about masking.
[01:37:29.521 --> 01:37:31.824]  We were told lies about safe and effective vaccines.
[01:37:31.844 --> 01:37:34.767]  We were told lies about the pandemic of the unvaccinated.
[01:37:35.268 --> 01:37:38.591]  We were told lies about, you know, hospitals caring for patients.
[01:37:38.611 --> 01:37:41.114]  How we couldn't be around grandma and grandpa in the nursing homes.
[01:37:41.946 --> 01:37:54.418]  We couldn't be next to our loved ones in the hospitals who walked in under their own horsepower, who were otherwise perfectly healthy people, and reported the sniffles or a cough before anybody knew what this COVID-19 thing was all about.
[01:37:54.838 --> 01:38:04.586]   We were led to our own slaughter as they were given this deadly remdesivir protocol, this venomous product that It goes through your veins and courses through causing renal failure.
[01:38:04.986 --> 01:38:06.828]  It failed an African Ebola trial.
[01:38:06.888 --> 01:38:07.908]  Tony Fauci knew that.
[01:38:07.968 --> 01:38:10.230]  He was responsible for getting it into the Ebola trial.
[01:38:10.570 --> 01:38:20.416]  The NIH dictated this one single treatment to every hospital facility here and then threatened doctors that if they didn't use this protocol, well, guess what?
[01:38:20.456 --> 01:38:21.697]  They were going to lose their licenses.
[01:38:22.077 --> 01:38:23.338]  So they coerced the doctors.
[01:38:23.358 --> 01:38:27.781]  They coerced everybody in big corporate America, all of the globalist conglomerates.
[01:38:27.821 --> 01:38:29.322]  The NFL is a great example.
[01:38:30.063 --> 01:38:54.600]   You know they report what nearly a hundred percent of the players and personnel for these teams are injected with this bioweapon and then boom all of a sudden as you know programs like yours and ours start to dig into this we have people coming forward with patents and showing when all this was actually developed this is they tell you right here this is a pegylated lipid nanoparticle this Weapon of Biowarfare, according to their patents.
[01:38:54.661 --> 01:38:56.244]  And this isn't just some arbitrary patent.
[01:38:56.385 --> 01:39:01.979]  This is a patent that was used across every single COVID injection vaccine that they told you was safe and effective.
[01:39:02.825 --> 01:39:18.318]  This instructs your body to produce billions of spike proteins, billions of venomous peptides that course through your veins and cause all kinds of autoimmune deficiencies and antibody-dependent enhancement and Guillain-Barre and myocarditis.
[01:39:18.978 --> 01:39:29.507]  Every single one of these symptoms is listed as the effect, as the adverse event or side effect, we believe, intended consequences of a bioweapon that they unleashed on the world.
[01:39:30.047 --> 01:39:31.247]  And nobody's talking about it.
[01:39:31.767 --> 01:39:43.590]  Not one person's talking about it, similar to the same way it took 10 days for the criminal press to talk about how this government Chernobyl-ed a city in Ohio, East Palestine, Ohio.
[01:39:44.190 --> 01:39:46.750]  I mean, this is accountability.
[01:39:46.830 --> 01:39:49.211]  We have to move to the accountability phase right now, I believe.
[01:39:49.691 --> 01:39:53.892]  And the first people that we should focus on are the press, who have led people directly to their deaths.
[01:39:54.591 --> 01:39:57.416]  Well, as Trump says, the mainstream media is the enemy of the people.
[01:39:57.456 --> 01:39:58.377]  They're totally discredited.
[01:39:58.878 --> 01:40:01.242]  All the polls show they have less than a 10% approval rating.
[01:40:01.702 --> 01:40:03.706]  But they're a zombie organization.
[01:40:03.726 --> 01:40:04.827]  They're funded by the big banks.
[01:40:04.867 --> 01:40:07.972]  They don't stop pulling back to the million-foot view here.
[01:40:09.343 --> 01:40:28.341]  With the open borders, and the fentanyl, and the pedophilia, and the world government being announced, and Elon Musk crying, and the war in Russia spiraling out of control, and just all of this together, how would you describe the world today, and how would you describe how it's going for the New World Order, for Team Demon versus Team Freedom?
[01:40:28.361 --> 01:40:31.745]  If this was a football game at halftime, what's going on?
[01:40:33.324 --> 01:40:34.265]  Well, we're getting crushed.
[01:40:35.025 --> 01:40:38.227]  And the reason why we're getting crushed is because of the lack of unification.
[01:40:38.247 --> 01:40:44.990]  There's factions inside of, you know, every single quote movement, the health freedom movement, you know, the Republican Party.
[01:40:45.050 --> 01:40:47.772]  There's factions inside of specific factions like MAGA.
[01:40:48.132 --> 01:40:54.015]  You know, there's the gay MAGA versus the straight MAGA and there's Catholics versus Protestants and Jews.
[01:40:54.175 --> 01:40:58.901]   And I mean, Like, this is an attempt to divide everybody and they're doing it successfully.
[01:40:58.961 --> 01:40:59.642]  This is Agenda 2030.
[01:40:59.722 --> 01:41:02.045]  We're watching it happen right in front of us.
[01:41:02.085 --> 01:41:04.929]  This is one world government, world domination.
[01:41:05.009 --> 01:41:16.580]   Consider testimony that was given by a former secret agent of an operation called Men in Black who said, Look, Gabe Testimony saying, there's going to be an alien invasion.
[01:41:17.000 --> 01:41:24.461]  And in this alien invasion, people across the globe are going to see, you know, hundreds or thousands of alien ships in the sky.
[01:41:24.481 --> 01:41:25.862]  These are going to be holograms.
[01:41:26.282 --> 01:41:38.045]   And that the attack, in fact, won't come from these holograms, but will come from actual warplanes of governments around the world, including the United States of America, which then forces a one world government that nobody will Resist!
[01:41:38.166 --> 01:41:43.014]  Everybody will be dependent on this one world government in order to save us, to take care of us.
[01:41:43.454 --> 01:41:46.620]  This is the man riding in on the white horse to save us type thing.
[01:41:46.680 --> 01:41:47.461]  Everybody's waiting.
[01:41:47.501 --> 01:41:48.844]  They've chilled patriotism.
[01:41:49.637 --> 01:41:55.079]  They've completely stomped over the Constitution, the Bill of Rights, the Declaration of Independence, the Geneva War Conventions.
[01:41:55.979 --> 01:42:11.885]  You talked about Ukraine and Russia, for example, were coming up this Friday on the one-year anniversary of the alleged, you know, warmongering boogeyman, Vladimir Putin, just violently deciding he was going to wake up one day and be a war criminal and go invade some innocent country.
[01:42:11.925 --> 01:42:13.446]  What's really happening in Ukraine?
[01:42:13.466 --> 01:42:21.390]   Well, Victoria Nuland tells us directly Right in front of Marco Rubio who was asking her a question and almost had to go shut her up because she was going to tell us all everything.
[01:42:22.230 --> 01:42:25.352]  Dozens of bioweapons laboratories being hidden in Ukraine.
[01:42:25.372 --> 01:42:36.257]  This is the same government that paid millions, maybe even hundreds of millions of dollars in bribes to Hunter Biden and the Biden crime family through a false and fraudulent energy company called Burisma.
[01:42:36.317 --> 01:42:39.539]  And now Biden, that's what I wanted to ask you next, now Biden's over there.
[01:42:40.579 --> 01:42:48.068]   When we pull back from this, And you have Biden eight months ago saying we can't send Abrams tanks, that'll be World War III.
[01:42:48.568 --> 01:42:51.489]  Now he's sent the Abrams tanks, they're now going into combat.
[01:42:51.949 --> 01:43:00.152]  What changed the power structure from eight months ago where they said we can't send Abrams tanks to now, they're sending heavier and heavier advanced weapons?
[01:43:01.246 --> 01:43:07.412]  Well, these corrupt fossils in our uniparty fake government, these warmongers in the D.C.
[01:43:07.472 --> 01:43:13.098]  Beltway, have to figure out a way to enrich themselves through the military-industrial complex.
[01:43:14.591 --> 01:43:16.972]  Alex, you're very well versed on how these wars go.
[01:43:17.012 --> 01:43:21.414]  I mean, look back all the way to the lies that got us into Iraq, weapons of mass destruction.
[01:43:21.575 --> 01:43:24.376]  And then, you know, Saddam Hussein ties to Al Qaeda.
[01:43:24.436 --> 01:43:26.637]  Whoops, spoiler alert, all that turned out to be fake.
[01:43:26.657 --> 01:43:27.898]  There were no WMDs.
[01:43:28.238 --> 01:43:29.879]  Those ties to Al Qaeda were all fake.
[01:43:29.899 --> 01:43:32.500]  So then it became about, you know, spreading democracy.
[01:43:32.540 --> 01:43:35.221]  The same thing happened with Obama's red line in Syria.
[01:43:35.261 --> 01:43:37.502]  The same thing happened to get us involved in Libya.
[01:43:37.562 --> 01:43:38.523]  We had Benghazi.
[01:43:38.603 --> 01:43:40.664]  Lies after lies to cover this up.
[01:43:41.244 --> 01:43:43.566]  And now you mentioned the pedophilia cabal.
[01:43:44.087 --> 01:43:46.829]  They've got a lot of bodies to hide in Ukraine.
[01:43:46.909 --> 01:43:50.233]  And those people, if you go to the Donbass right now, what do you see there?
[01:43:50.273 --> 01:43:51.394]  You see mass graves.
[01:43:51.434 --> 01:43:53.455]  This happened under Zelensky's leadership.
[01:43:53.556 --> 01:43:54.416]  Who is Zelensky?
[01:43:54.777 --> 01:44:01.943]  I mean, the guy that wears high heels and leather, closely tied to the very same people who are right at the epicenter of the elites right here.
[01:44:02.664 --> 01:44:04.706]  Forty million dollar mansions in Miami.
[01:44:05.501 --> 01:44:18.845]  This is an actor, this is all theatrics to distract away what's actually happening right now, which is that your government has been hijacked via Marxist coup d'etat by some illegitimate force that is controlling what you're seeing happen in the White House right now.
[01:44:18.885 --> 01:44:21.826]  There's a reason why they do all their broadcasts from a fake movie set.
[01:44:22.306 --> 01:44:26.888]  Nobody has any idea what the power structure is right now or who's actually pulling the strings.
[01:44:27.368 --> 01:44:27.848]  Well, you're right.
[01:44:27.888 --> 01:44:30.429]  Let's talk about that when we come back with Stu Peters here.
[01:44:31.129 --> 01:44:32.930]  On this Monday edition of the Alex Jones Show.
[01:44:33.390 --> 01:44:35.670]  Because the globalists really are at war with humanity.
[01:44:36.091 --> 01:44:36.971]  They're at war with the Russians.
[01:44:36.991 --> 01:44:37.991]  They're at war with the Americans.
[01:44:38.031 --> 01:44:42.913]  They're at war with productivity, with prosperity, with common sense, with logic.
[01:44:43.333 --> 01:44:44.213]  What is the endgame?
[01:44:44.313 --> 01:44:45.053]  How do we stop it?
[01:44:45.113 --> 01:44:45.794]  How do we defeat it?
[01:44:45.814 --> 01:44:52.576]  I'm going to look at the attacks on the infrastructure and so much more with Stu Peters of StuPeters.com and on Twitter at RealStuPeters.
[01:44:53.516 --> 01:45:02.385]  Again, ladies and gentlemen, the only way this transmission gets out is you share the links from Band.Video and Infowars.com forward slash show and ConspiracyFact.info is a link that's not been censored yet.
[01:45:02.665 --> 01:45:03.927]  ConspiracyFact.info.
[01:45:03.947 --> 01:45:04.627]  We'll be right back.
[01:45:05.663 --> 01:45:16.172]  You know, I've reached a surreal moment here as a father, and as somebody that loves my family, that means I love everybody else as we all live on this planet together, where I'm just beyond angry at these people.
[01:45:16.932 --> 01:45:23.437]  You have Joe Biden saying, if we send heavy battle tanks, it'll be World War III, because it escalates into that, and then now he's doing it.
[01:45:24.358 --> 01:45:31.341]  And they just sit back and laugh, and they have vogue photo shoots with Zelensky, and he dances around like a woman in high heels wearing leather.
[01:45:31.861 --> 01:45:35.743]  And it's all just a sick end of days feeling.
[01:45:35.763 --> 01:45:36.683]  But then I get hope.
[01:45:36.744 --> 01:45:42.606]  I don't trust him much, but Elon Musk addresses the World Government Summit and says, your world government will collapse civilization.
[01:45:42.946 --> 01:45:44.847]  Here's Biden with the tank comment.
[01:45:44.867 --> 01:45:46.628]  I know it's a month old, but it's important.
[01:45:47.674 --> 01:46:05.184]  The idea, the idea that we're going to send in offensive equipment and have planes and tanks and trains going in with American pilots and American crews, just understand, and don't kid yourself no matter what you all say, that's called World War III.
[01:46:06.064 --> 01:46:06.404]  Okay?
[01:46:07.405 --> 01:46:18.940]   And now, Stu Peters, as you know, The new defense minister over in Ukraine today said we'll invade Russia and capture Moscow and put our tanks in Red Square.
[01:46:19.141 --> 01:46:21.563]  Why would they make such insane, provocative statements?
[01:46:21.923 --> 01:46:27.709]  Why a few months ago would Zelensky fire missiles, it looks like on purpose, into Poland and instantly call for nuclear war?
[01:46:28.110 --> 01:46:30.332]  What is going on with these people, Stu Peters, in your view?
[01:46:32.655 --> 01:46:34.095]  They're desperate to bury bodies.
[01:46:34.356 --> 01:46:42.478]  They have to absolutely have to seal the deal with World War 3 in order to have enough chaos all over to affect the 2030 agenda.
[01:46:43.038 --> 01:47:00.863]  Whether they have to fake it with fake Chinese spy balloons that embarrassingly fly over our country while meanwhile an article from just three years ago says hey the United States government the military apparatus is going to be testing spy balloons and we're going to be launching them from South Dakota over the Midwest and making their final into Illinois.
[01:47:01.423 --> 01:47:18.497]  As you look around at what's happening with Russia and Ukraine, why is it that we're supposed to believe that Vladimir Putin, just by sheer numbers, let's just talk about straight facts here without injecting any feelings or subjection at all whatsoever, Vladimir Putin has access to about a million troops active duty.
[01:47:18.958 --> 01:47:22.681]  He's got another 2.04 million in reserves.
[01:47:22.721 --> 01:47:28.663]   He's got a Navy, he's got an Air Force, ostensibly he has intercontinental ballistic warheads.
[01:47:28.663 --> 01:47:32.922]   He could take care of Ukraine if he really wanted to conquer them in a mission that lasts
[01:47:32.922 --> 01:47:34.303]  approximately 20 minutes.
[01:47:34.303 --> 01:47:39.223]   I mean, why not just drop one big bomb over the top of Ukraine and just turn it into glass
[01:47:39.223 --> 01:47:41.342]  and just obliterate everything?
[01:47:41.342 --> 01:47:42.702]  Why is it taking so long?
[01:47:42.739 --> 01:47:46.640]  Why is he strategically targeting, you know, specific sites?
[01:47:46.760 --> 01:47:48.861]  Why does he have high value targets versus low?
[01:47:48.921 --> 01:47:54.383]  Why did Vladimir Putin send in trains to try to get people out of there as a humanitarian effort?
[01:47:54.463 --> 01:47:57.784]  Why don't people know the real history of Ukraine or how it started 400 years ago?
[01:47:57.884 --> 01:47:59.285]  Ukraine wasn't a country at all.
[01:47:59.745 --> 01:48:03.768]  It was settled by Russians who would rather just be Russia most of the time.
[01:48:04.168 --> 01:48:09.472]  And it turns out that the same lies about Afghanistan, about our government, and how disgustingly corrupt it was.
[01:48:09.813 --> 01:48:10.273]  Well, guess what?
[01:48:10.573 --> 01:48:18.139]  The people of Afghanistan, it turns out, would rather have the Taliban than anything that we did, turning our heads while warlords raped little boys.
[01:48:18.719 --> 01:48:22.464]  You know, teaching Pashtun tribesmen the importance of transgenderism?
[01:48:22.564 --> 01:48:23.465]  These people are freaks.
[01:48:23.505 --> 01:48:29.232]  You just showed this Volodymyr Zelensky fake actor model, you know, dancing around in leather.
[01:48:29.312 --> 01:48:31.074]  He was playing the piano with his penis.
[01:48:31.113 --> 01:48:36.713]   I mean, these are disgusting, demonic, depraved, sick individuals who want to run the world
[01:48:36.713 --> 01:48:38.912]  and have everybody else be a subservient class.
[01:48:38.912 --> 01:48:43.632]   So of course, when anybody starts to adopt more pro-Russia policies, what happens?
[01:48:43.632 --> 01:48:45.753]  Well, what happened in 2014?
[01:48:45.753 --> 01:48:50.933]   Our CIA affected a violent coup d'etat for an administration that both sides in Ukraine
[01:48:50.933 --> 01:48:52.992]  suggest and admit that the vote was fair.
[01:48:52.992 --> 01:48:56.073]  It was a democratically elected administration.
[01:48:56.073 --> 01:49:00.193]   When that administration started to develop more pro-Russia policies, which by the way,
[01:49:00.193 --> 01:49:03.552]  a pro-Russia policy is being a nationalist, right?
[01:49:03.596 --> 01:49:05.017]  He is a Russian nationalist.
[01:49:05.037 --> 01:49:06.138]  He puts his country first.
[01:49:06.178 --> 01:49:07.519]  I mean, what an idea is that?
[01:49:07.559 --> 01:49:08.900]  How refreshing would that be?
[01:49:09.260 --> 01:49:15.284]  He's an Orthodox Christian who's built 40,000 churches in his time there, and these are not disgusting abominations.
[01:49:15.324 --> 01:49:18.846]  These are beautiful cathedrals and places of worship ensconced in gold.
[01:49:20.207 --> 01:49:22.709]  He kicked out the central criminal banking cabal.
[01:49:22.749 --> 01:49:24.950]  He wanted energy independence.
[01:49:25.050 --> 01:49:30.173]  All the things that take care of Russians and 50% of the Ukrainians didn't want to be there in Ukraine.
[01:49:30.513 --> 01:49:32.474]  So our CIA affected a violent coup.
[01:49:32.815 --> 01:49:35.916]  They used the BLM style popular uprising tactic.
[01:49:35.937 --> 01:49:39.359]  Then they paid off our press to convince the rest of the world that that's what this was.
[01:49:40.439 --> 01:49:45.242]  All they were doing in 2014 was practicing the same tactics that they would later use here in 2020.
[01:49:45.342 --> 01:49:52.026]  We had George Floyd, a career criminal home-invading thug, die right down the street from me here in Minneapolis of a fentanyl overdose.
[01:49:52.426 --> 01:49:59.050]  He died just like you would expect any career criminal home-invading thug to die early and with a contact with law enforcement.
[01:49:59.310 --> 01:50:00.491]  They locked those guys up.
[01:50:00.531 --> 01:50:02.913]  They blast out how it was a racist attack and a murder.
[01:50:02.933 --> 01:50:04.654]   They locked Sure.
[01:50:04.714 --> 01:50:06.836]  Black Lives Matter is their color revolution here.
[01:50:06.856 --> 01:50:11.280]  And Brzezinski and all of them called for it before he died about five years ago, six years ago.
[01:50:11.300 --> 01:50:19.988]  And on top of that, we have people like George Soros going on CNN over Reed Zakaria five, six years ago, admitting that they'd overthrown Ukraine.
[01:50:20.008 --> 01:50:21.370]  We're already in a proxy war with Russia.
[01:50:22.754 --> 01:50:25.035]  These people have been caught telling so many lies.
[01:50:25.716 --> 01:50:30.379]  These lies have directly led to the deaths of millions and millions of Americans.
[01:50:30.439 --> 01:50:32.460]  They have caused infertility and sterility.
[01:50:32.480 --> 01:50:34.501]  They have caused a died suddenly pandemic.
[01:50:34.541 --> 01:50:38.644]  The number one phrase being used in obituaries worldwide.
[01:50:39.144 --> 01:50:44.127]  This is 100% the biggest kill-off that we have ever seen and they have to complete it.
[01:50:44.187 --> 01:50:46.488]  So we need to demand right now Nuremberg 2.0.
[01:50:47.729 --> 01:50:51.153]  These people need to be held accountable and there is a precedent for this.
[01:50:51.213 --> 01:50:52.735]  It's not hyperbolic in nature.
[01:50:53.095 --> 01:51:00.163]  Don't let anybody gaslight you into believing that you're somehow a violent extremist when you suggest that we should be upholding the rule of law.
[01:51:00.584 --> 01:51:08.670]   Military tribunals, if that doesn't work because our military is depleted and full of transgender freak shows, and just compliant sheep who would take the death jab
[01:51:08.670 --> 01:51:10.069]  themselves and we've got nobody left.
[01:51:10.069 --> 01:51:13.869]  Guess what? There are 340 million Americans in this country.
[01:51:13.869 --> 01:51:17.869]   There's a precedent for how we handle these war criminals and people who have been
[01:51:17.869 --> 01:51:21.670]  bleeding people to their deaths prematurely for decades now.
[01:51:21.670 --> 01:51:24.369]  The evidence is here. We have the bioweapon.
[01:51:24.369 --> 01:51:27.170]  We have this Ukrainian debacle that's happening here.
[01:51:27.170 --> 01:51:28.170]  These are a line group.
[01:51:28.170 --> 01:51:30.170]  We are now in World War III.
[01:51:30.170 --> 01:51:34.670]   The globalists are launching it against all of humanity and they plan on only making it intensify.
[01:51:34.631 --> 01:51:36.714]  What do you think the next big shoot-a-drops are?
[01:51:38.368 --> 01:51:40.249]  I mean, I think that we need to hold these people accountable.
[01:51:40.530 --> 01:51:44.252]  The next big shoot-a-drops are going to be more of the Marburg pandemics that you just talked about.
[01:51:44.272 --> 01:51:48.695]  They're going to have to continue the plan that they have found a successful formula in using.
[01:51:49.096 --> 01:52:02.025]  Pandemics, locking people down, depopulating the planet, scaring the hell out of everybody to push them towards the big pharma injections that are bioweapons as per the contract with the DoD who ordered these things up and then launched warfare.
[01:52:02.045 --> 01:52:04.547]  And I'm going to tell you something that you should really be careful about.
[01:52:04.606 --> 01:52:08.926]   So many people, including attorneys and law enforcement individuals, are out here telling
[01:52:08.926 --> 01:52:14.445]  you that our failure of Congress gave immunity to Big Pharma.
[01:52:14.445 --> 01:52:15.445]  That is a farce.
[01:52:15.445 --> 01:52:16.926]  They do not have legal immunity.
[01:52:16.926 --> 01:52:20.206]  There is not one law in the entire state of anywhere.
[01:52:20.224 --> 01:52:21.845]  I mean, what about the FBI?
[01:52:21.865 --> 01:52:23.166]  What about the Justice Department?
[01:52:22.985 --> 01:52:27.725]   has a law that enables anyone or any business to deploy a weapon of
[01:52:27.725 --> 01:52:31.395]  biowarfare or a weapon of mass destruction against innocents.
[01:52:31.395 --> 01:52:34.475]   These people need to be held accountable. Nuremberg too, that's
[01:52:34.475 --> 01:52:37.775]   what we need to call for. We need to call for trials, we need to call for
[01:52:37.775 --> 01:52:41.704]   indictments, these people should be perp-locked and marched out. I totally agree. I
[01:52:41.704 --> 01:52:46.945]   mean what about the FBI? What about the Justice Department? What about the CIA? Most of those
[01:52:46.945 --> 01:52:48.864]  people are compartmentalized.
[01:52:46.957 --> 01:52:48.579]  Can't they see this is a bio-attack?
[01:52:48.599 --> 01:52:56.128]  Can't they see they got their so-called liability protection before they launched it that doesn't protect them from a crime against humanity like this?
[01:52:56.188 --> 01:52:57.690]  I mean, they really did it.
[01:52:58.010 --> 01:52:58.992]  It's not coming, it's here.
[01:53:00.037 --> 01:53:04.798]  The CIA is the one who instructed the Wuhan lab to do exactly what it is that they did.
[01:53:04.858 --> 01:53:05.999]  They instructed all of this.
[01:53:06.039 --> 01:53:07.279]  They're running cover for all of this.
[01:53:07.299 --> 01:53:21.463]  The FBI is jailing patriots and hunting down grandmas and grandpas who prayed on the Capitol steps on January 6th, rather than investigating the real black crime epidemic here in this country and the criminals that are unleashing a weapon of bio-warfare against us.
[01:53:21.943 --> 01:53:23.964]  By the way, stay right there.
[01:53:23.984 --> 01:53:28.367]  As we use the Nazi historical parallel, we're finally two years before the end of World War II.
[01:53:28.387 --> 01:53:31.209]  The Nazis started trying to get rid of Hitler, but it was too late.
[01:53:31.229 --> 01:53:32.871]  How do we stop World War III?
[01:53:32.911 --> 01:53:33.931]  With Stu Peters, straight ahead.
[01:53:33.751 --> 01:53:37.411]   there is we use the Nazi historical parallel. We're finally two years before
[01:53:37.411 --> 01:53:40.530]   the end of World War II. The Nazis started trying to get rid of Hitler, but it was
[01:53:40.530 --> 01:53:44.411]   too late. How do we stop World War III? With Stu Peters straight ahead. Stay with
[01:53:44.411 --> 01:53:50.051]   us. We're showing footage of the Nuremberg trials in 1946 in Europe of
[01:53:50.051 --> 01:53:53.289]  the Nazis that survived.
[01:53:52.473 --> 01:54:00.360]  Most of them got hung, the top ones, but their top engineers and scientists were brought over here to be servants of the new world order system.
[01:54:01.533 --> 01:54:08.755]  Syndicated talk show host and a smart guy, Stu Peters is here with us and he's been fearless fighting this and exposing it and just cutting to the chase.
[01:54:09.455 --> 01:54:16.757]  It's like if you lived in the Soviet Union or you lived under Fidel Castro or Kim Jong-un in their early days, would you try to stop them?
[01:54:16.817 --> 01:54:18.097]  What would you do to stop them?
[01:54:18.557 --> 01:54:32.022]   I look at all the fools that go along with political correctness in the modern system when it's destroying all of us right in front of our faces and they're openly having MI6 come out and say they want to ban Shakespeare and George Orwell.
[01:54:32.042 --> 01:54:33.964]  I mean, I read that the first hour.
[01:54:34.024 --> 01:54:35.785]  That's mainstream news with a straight face.
[01:54:36.226 --> 01:54:36.787]  Rewriting.
[01:54:39.514 --> 01:54:40.815]  Charlie and the Chocolate Factory.
[01:54:40.855 --> 01:54:43.957]  I mean, these people want mind control over everybody.
[01:54:43.997 --> 01:54:45.078]  They are degenerate.
[01:54:45.418 --> 01:54:46.479]  They are pedophiles.
[01:54:46.819 --> 01:54:48.280]  You say, well, why are they so bad?
[01:54:48.360 --> 01:54:48.980]  Look at history.
[01:54:49.221 --> 01:54:54.964]  We go through cycles where really bad people get control, and then even worse people get control, and then worse get control.
[01:54:55.004 --> 01:54:59.567]  That's the cycle of corruption, until they finally run it in the ground and civilization collapses.
[01:54:59.947 --> 01:55:12.928]   And just last week, Stu, I'm sure you saw it, Elon Musk beams into the World Government Summit and says, hey, I want Firewalls, or bulkheads in a ship, so that if one chamber floods, the whole thing doesn't sink.
[01:55:13.388 --> 01:55:15.709]  If one civilization goes down, they don't all go down.
[01:55:15.749 --> 01:55:18.950]  That's one of the biggest arguments against a one-world government, obviously.
[01:55:19.331 --> 01:55:25.373]  Not to mention those running this attempted world government are so psychotic and so anti-human, like Bill Gates and Klaus Schwab.
[01:55:25.393 --> 01:55:31.176]  So I don't see how it's a no-brainer for everybody worldwide to unite against the New World Order.
[01:55:31.436 --> 01:55:33.637]  And the good news is, I'm starting to see some real traction.
[01:55:33.677 --> 01:55:35.579]   I've known Joe Rogan Twenty-five years.
