[00:00:13.291 --> 00:00:14.011]  Hi and welcome.
[00:40:24.698 --> 00:40:25.739]  No, no, I mean, that was on the news.
[00:40:25.919 --> 00:40:26.899]  Let me open the door for you.
[00:40:28.000 --> 00:40:28.920]  Well, no, I mean, exactly.
[00:40:29.000 --> 00:40:30.701]  I mean, they'll go get the planes for you.
[00:40:31.461 --> 00:40:33.302]  So I've talked to police.
[00:40:33.422 --> 00:40:38.004]  It's been in the news where they're not allowed to check into a bank where the drug dealers are depositing the money.
[00:40:38.304 --> 00:40:39.544]  They're just allowed to bust the drug dealer.
[00:40:40.205 --> 00:40:41.665]  That's just some low level drug dealer.
[00:40:42.205 --> 00:40:45.647]  That's just for the facade of busting some, you know, low level person.
[00:40:46.367 --> 00:40:47.448]  Keep the masses happy.
[00:40:47.588 --> 00:40:49.388]  Well, you got to do that to keep prices up.
[00:40:49.528 --> 00:40:53.150]  You can't have too many drug dealers, too many people distributing.
[00:40:54.355 --> 00:40:58.177]  Even if they're your distributor, they call those snacks.
[00:40:58.838 --> 00:40:59.858]  Hmm.
[00:40:59.898 --> 00:41:00.559]  Interesting term.
[00:41:01.379 --> 00:41:03.680]  Alright, last question to you, Alex.
[00:41:03.881 --> 00:41:07.603]  Here's the biggest question that can't be answered, but will be answered.
[00:41:08.483 --> 00:41:11.185]  What will push American citizens finally over the edge?
[00:41:12.706 --> 00:41:17.949]  Given that Obamacare was put into action earlier this week, that was quite a riot.
[00:41:19.370 --> 00:41:20.010]  What are your thoughts?
[00:41:20.566 --> 00:41:24.428]  This is a scientific tyranny run by psych warfare experts in their own words.
[00:41:24.488 --> 00:41:28.050]  So they know how to slowly, notice they're going to implement it over years.
[00:41:28.110 --> 00:41:29.490]  They're going to take their time killing us.
[00:41:30.571 --> 00:41:34.373]  And so they tell us, oh, it's going to be defeated, so we all lay down.
[00:41:34.413 --> 00:41:36.894]  Like, oh, NDAA, Obama's going to veto it.
[00:41:37.194 --> 00:41:38.215]  He wrote the thing.
[00:41:38.255 --> 00:41:38.895]  His lawyers did.
[00:41:39.255 --> 00:41:39.876]  He signed it.
[00:41:40.416 --> 00:41:43.397]  But he signed it on New Year's Eve, so you wouldn't feel bad.
[00:41:44.538 --> 00:41:48.720]  You know, it's kind of like a shot they give you that kills you, but it feels good when they do it.
[00:41:49.309 --> 00:41:53.252]  You know, like, oh, you're gonna have pleasure, you're gonna be dead in 60 seconds, but doesn't that euphoria feel nice?
[00:41:53.632 --> 00:41:54.653]  So you don't resist them.
[00:41:55.093 --> 00:41:56.794]  Or it's death by smiley face.
[00:41:57.495 --> 00:41:58.435]  It's like, I'm nice!
[00:41:58.755 --> 00:42:00.777]  Warren Buffett always poses with ice cream cones.
[00:42:01.217 --> 00:42:02.898]  Most photos, like, oh, ice cream!
[00:42:02.958 --> 00:42:03.819]  I'm non-threatening.
[00:42:04.379 --> 00:42:06.461]  Or Bill and Melinda Gates are always just superheroes.
[00:42:06.801 --> 00:42:07.762]  Oh, we're sweet.
[00:42:08.862 --> 00:42:12.645]  This is all part, I mean, real evil doesn't dress up like Darth Vader or Freddy Krueger.
[00:42:13.125 --> 00:42:14.686]  It acts all like an NPR thing.
[00:42:15.647 --> 00:42:15.687]  Hi!
[00:42:16.447 --> 00:42:18.489]  That's how you get a horse when you're taken to the glue factory.
[00:42:19.718 --> 00:42:20.759]  About a 20-year-old horse.
[00:42:21.319 --> 00:42:28.425]  Yeah, that old nag, you know, she ain't bad, did a lot of work, but she's old, and I'm gonna sell her off for dog food.
[00:42:28.445 --> 00:42:32.649]  They're gonna chop her hooves off and turn them into Elmer's glue.
[00:42:33.230 --> 00:42:35.151]  And you just, come on, Betsy.
[00:42:35.932 --> 00:42:38.914]  Come on, got some right here in the trailer for you.
[00:42:39.955 --> 00:42:41.897]  Yeah, there's a carrot in there, sweetheart.
[00:42:42.357 --> 00:42:43.719]  You go on in there, honey.
[00:42:44.159 --> 00:42:46.401]  They don't go, I'm gonna turn you into glue.
[00:42:46.929 --> 00:42:47.610]  The horse would run off.
[00:42:47.650 --> 00:42:50.033]  It's like, hey, you doing sweet cake?
[00:42:51.034 --> 00:42:52.336]  Come on in.
[00:42:52.416 --> 00:42:53.357]  It's all right.
[00:42:53.918 --> 00:42:57.943]  You see, I actually only a few times delivered cows to slaughterhouses.
[00:42:59.278 --> 00:43:06.200]  And, and they'll open up the, as I work for a large animal vet, a few times we had to be there shooting up vaccines just to follow regulations at the slaughterhouse.
[00:43:06.900 --> 00:43:07.760]  Even though it wasn't.
[00:43:08.600 --> 00:43:11.201]  And, and, and, you know, when they first bring them, you don't want them to get upset.
[00:43:11.281 --> 00:43:15.942]  You know, big trailers of cows, it's just like, all right, come on off cause you don't want to stampede.
[00:43:15.962 --> 00:43:20.883]  But if they don't do what you say, you give them a little cattle prod, but it's like, all right, everything's fine.
[00:43:20.903 --> 00:43:21.923]  You're going to enjoy this.
[00:43:22.942 --> 00:43:24.043]  And that's how they did it with horses.
[00:43:24.123 --> 00:43:25.604]  It's like, come on in here.
[00:43:25.624 --> 00:43:29.527]  You know, when they walk over to a horse that's broken its leg in a race, they don't come up and try to scare it.
[00:43:29.547 --> 00:43:31.949]  They're like, it's all right, it's all right.
[00:43:32.309 --> 00:43:34.131]  And they take the handgun and shoot it in the head.
[00:43:34.151 --> 00:43:36.793]  That's just, oh, we're NPR.
[00:43:37.213 --> 00:43:39.515]  We got a nice, friendly NPR voice.
[00:43:41.176 --> 00:43:42.017]  You see how that works?
[00:43:42.557 --> 00:43:43.678]  And so that's what it is.
[00:43:43.758 --> 00:43:45.119]  It's just all, ah.
[00:43:45.659 --> 00:43:47.481]  If we can break people out of their trance,
[00:43:48.513 --> 00:43:55.399]  We could collectively, at the grassroots, have the minions of the system realize that this is going to destroy their children and their future.
[00:43:55.879 --> 00:43:59.503]  That's the only hope, is accessing the ancient survival mechanisms of humans.
[00:43:59.863 --> 00:44:02.966]  But through archetypal programming, the system is able to shut that down.
[00:44:03.326 --> 00:44:04.547]  They know exactly what they're doing.
[00:44:05.027 --> 00:44:09.832]  So we're here just cutting through the signal with a direct, hey, they live, you sleep.
[00:44:09.892 --> 00:44:11.573]  And they want you to sleep so they can kill you.
[00:44:12.014 --> 00:44:13.094]  Wake up, truly live.
[00:44:13.835 --> 00:44:20.258]  But what will probably wake us up is if the globalists, they like to overdo it, they think they're gods, they understand how we work, but they're not gods.
[00:44:20.758 --> 00:44:22.059]  They cheat each other.
[00:44:22.139 --> 00:44:22.879]  They infight.
[00:44:23.860 --> 00:44:25.601]  That's one of the biggest threats against their program.
[00:44:26.201 --> 00:44:33.404]  But then from the grassroots, from the proletariat as they call us, it's that they're going to implode things too fast and things will get out of hand.
[00:44:33.665 --> 00:44:35.265]  That's why they want to move gingerly.
[00:44:35.305 --> 00:44:35.986]  People will wake up.
[00:44:36.006 --> 00:44:40.308]  Because they're loading thousands of horses on to go get cut up for steaks to be sold in France.
[00:44:40.970 --> 00:44:44.133]  You know, they want to get all the horses on the train here.
[00:44:44.413 --> 00:44:45.354]  That's why they don't kill me.
[00:44:45.374 --> 00:44:47.356]  Because I'm kind of kicking and jumping around.
[00:44:48.737 --> 00:44:50.178]  They're like, never mind him.
[00:44:50.198 --> 00:44:53.341]  You get on that train, there's a bunch of carrots at the other end.
[00:44:53.822 --> 00:44:55.483]  I'm like, no, no, I saw what they do.
[00:44:55.563 --> 00:44:56.244]  They're like, you know.
[00:44:56.744 --> 00:44:57.144]  Oh man.
[00:44:57.485 --> 00:44:58.385]  Do you see the analogy?
[00:44:58.445 --> 00:44:59.606]  Yeah, absolutely.
[00:44:59.626 --> 00:45:08.772]  When you put it that way, it's really easy to... No, that's why they act real... The whole act of the sandals and the hippie stuff, they have lots of minions who just like the style.
[00:45:08.792 --> 00:45:09.632]  They're not really hippies.
[00:45:09.652 --> 00:45:11.053]  They're, you know, people that are into freedom.
[00:45:11.533 --> 00:45:14.055]  You take folks like Pianka of the Texas Academy of Sciences.
[00:45:14.455 --> 00:45:20.319]  I mean, he had like a 90% standing ovation crying when he said 90% will soon die, including my family.
[00:45:20.839 --> 00:45:24.761]  Airborne Ebola and other scientists all around the power group of, we're gonna kill everybody!
[00:45:25.802 --> 00:45:28.603]  I mean, they're just like these, it's scum, that's who they are.
[00:45:28.963 --> 00:45:33.764]  It's just the wild control of, we're gonna kill everybody, oh, it's so much fun.
[00:45:33.784 --> 00:45:36.345]  And like, the average person is like, what?
[00:45:37.305 --> 00:45:44.987]  But these are the scientist types selected out of all the scientists that came in who were normal, because they liked injecting, you know, things into rats to see what would happen.
[00:45:45.407 --> 00:45:48.628]  They were the 1% of the sickos told they were the elite.
[00:45:50.185 --> 00:45:54.909]  Those were told, you're not getting a PhD, or, okay, well you'll just go into this division that isn't actually running things.
[00:45:55.910 --> 00:45:57.871]  It was like I never had that J.P.
[00:45:58.191 --> 00:45:59.733]  Morgan, or no, it was Goldman Sachs.
[00:46:01.039 --> 00:46:04.321]  I mean, I didn't even know she'd been one of the highest people in the company.
[00:46:04.661 --> 00:46:05.662]  I looked it up, it was true.
[00:46:05.682 --> 00:46:07.823]  She said it, she made this greater good, I talked about it earlier.
[00:46:08.864 --> 00:46:12.206]  And I was like, you know it's a master plan to kill everybody.
[00:46:12.226 --> 00:46:20.251]  She goes, it's funny, I had a Goldman Sachs meeting with the head guy from the big pharma, and he goes, I'm going to make $7 billion this year killing people.
[00:46:20.851 --> 00:46:24.053]  And he was getting off on it, and I went and investigated it and found out it's true.
[00:46:24.434 --> 00:46:29.717]  It's like anybody that breaks through to this level, you're not part of the club unless you like killing people.
[00:46:31.428 --> 00:46:37.272]  But see, she was like a high-level Goldman Sachs person making millions of dollars a year and everything, but hadn't broke through to that level.
[00:46:37.592 --> 00:46:40.114]  And this guy thought he was comfortable, and he just kicked back in her office.
[00:46:40.374 --> 00:46:42.995]  Yeah, we're going to make $7 billion this year killing these people.
[00:46:43.676 --> 00:46:44.496]  These vaccines.
[00:46:44.536 --> 00:46:45.397]  God, I love killing them.
[00:46:45.637 --> 00:46:46.478]  She's like, you're joking, right?
[00:46:46.538 --> 00:46:47.778]  No, I'm going to kill them.
[00:46:47.798 --> 00:46:49.620]  What do you mean, joking?
[00:46:49.720 --> 00:46:52.902]  You're a Goldman Sachs high-level vice president, managing director.
[00:46:52.922 --> 00:46:53.942]  We're going to kill some people.
[00:46:54.803 --> 00:46:55.503]  We're powerful.
[00:46:55.523 --> 00:46:56.264]  We kill people.
[00:46:57.145 --> 00:47:07.492]  I mean, that's why when Zbigniew Brzezinski, who helped Paul Pott kill 30% of his population, goes up on a... I mean, people like David Rockefeller in hearings are like, Sir, you are, like, the most incredible person.
[00:47:07.512 --> 00:47:08.472]  You're like a rock star.
[00:47:08.733 --> 00:47:11.554]  Henry Kissinger's a rock star because he killed a bunch of people.
[00:47:12.235 --> 00:47:14.596]  But he did it bureaucratically and wimpily.
[00:47:15.057 --> 00:47:17.578]  And they love that whole... I'm ranting here.
[00:47:18.179 --> 00:47:19.039]  Last questions here.
[00:47:20.260 --> 00:47:23.724]  I know this sounds wild, but we've broken through to the other side.
[00:47:23.764 --> 00:47:26.847]  We've discovered these vampires is basically what they are.
[00:47:26.867 --> 00:47:29.329]  They're like a cat playing with a mouse.
[00:47:29.850 --> 00:47:31.932]  And I sit here watching them do this to humanity.
[00:47:32.072 --> 00:47:34.134]  I don't want to sit here and watch them get away with it anymore.
[00:47:34.334 --> 00:47:34.575]  Right.
[00:47:35.285 --> 00:47:36.766]  I want to rout these people.
[00:47:36.806 --> 00:47:41.267]  They came up with this scientific passive, you know, I'm in a pink outfit.
[00:47:42.328 --> 00:47:43.348]  That's a camouflage.
[00:47:43.368 --> 00:47:45.529]  The ultimate camouflage is they're acting non-threatening.
[00:47:45.569 --> 00:47:49.831]  These are ravenous, demonic, psychopathic, killing wolves.
[00:47:49.851 --> 00:47:51.872]  Well, to the average person, we don't comprehend that.
[00:47:51.892 --> 00:47:53.613]  Like, I don't want to kill anybody.
[00:47:53.713 --> 00:47:54.913]  I have no desire to kill anyone.
[00:47:54.973 --> 00:47:56.534]  So why would anybody else want to do that?
[00:47:56.554 --> 00:47:58.034]  You just don't realize the power of it.
[00:47:58.234 --> 00:47:59.575]  I guess I'm not that high up yet.
[00:48:01.255 --> 00:48:04.219]  Alex Jones, thank you so much for coming on and answering these questions.
[00:48:04.240 --> 00:48:04.580]  Thank you!
[00:48:04.600 --> 00:48:06.162]  I mean, I know that was like 40 minutes.
[00:48:06.182 --> 00:48:06.943]  That was wonderful.
[00:48:07.725 --> 00:48:09.647]  Again, I'm Christy Hightower with Planet InfoWars.
[00:48:09.707 --> 00:48:14.515]  Send all of your questions to the Ask Alex group at Planet InfoWars and till next time!
[00:48:15.216 --> 00:48:17.038]  And we're going to start a lot of other stuff, too.
[00:48:17.058 --> 00:48:21.101]  I mean, we're trying to get the articles you write up on TheMainInfoWars.com, PrisonPundit.com.
[00:48:22.222 --> 00:48:23.123]  Give us your ideas.
[00:48:23.183 --> 00:48:24.144]  Help us spread the word.
[00:48:24.464 --> 00:48:25.806]  Christy, it's good having you on board.
[00:48:25.826 --> 00:48:26.366]  Wonderful.
[00:48:26.626 --> 00:48:29.889]  Aaron Dykes, you've got something big coming out next week.
[00:48:29.929 --> 00:48:30.770]  I'm just going to leave it at that.
[00:48:30.790 --> 00:48:32.191]  It has to do with the skulls that were in here.
[00:48:32.772 --> 00:48:33.332]  It's big.
[00:48:33.493 --> 00:48:33.973]  It's big.
[00:48:34.213 --> 00:48:34.854]  Big secrets.
[00:48:35.374 --> 00:48:36.016]  Oh, awesome.
[00:48:36.056 --> 00:48:39.742]  That was one of the questions I, you know, we only have so many questions we can ask at a time.
[00:48:39.762 --> 00:48:43.629]  Well, it was supposed to come out earlier this week, but it's an ambitious project.
[00:48:43.729 --> 00:48:43.990]  Okay.
[00:48:44.971 --> 00:48:45.492]  They're excited.
[00:48:45.953 --> 00:48:46.254]  Awesome.
[00:48:46.534 --> 00:48:46.835]  All right.
[00:48:46.915 --> 00:48:47.255]  Thank you.
[00:48:47.596 --> 00:48:48.017]  Absolutely.
