[00:00:00.209 --> 00:00:00.650]  I will.
[01:28:46.167 --> 01:28:49.988]  I mean, I know how blacks feel when only, you know, whites own the big businesses.
[01:28:50.948 --> 01:28:54.489]  I've never seen a hotel that wasn't owned by Indians.
[01:28:55.510 --> 01:28:56.510]  And this is in the last 10 years.
[01:28:57.774 --> 01:28:58.875]  And I'm not against Indians.
[01:28:58.955 --> 01:29:00.857]  My point is, how can they do that?
[01:29:02.118 --> 01:29:10.486]  Well, because they're as hardworking and as smart as Americans, but on top of it, they get 7 to 10 years of no income tax.
[01:29:11.447 --> 01:29:12.448]  That's 30-40%.
[01:29:13.809 --> 01:29:14.630]  Bigger profit.
[01:29:14.990 --> 01:29:15.531]  Investment.
[01:29:16.312 --> 01:29:18.033]  No one can compete against that.
[01:29:18.454 --> 01:29:20.996]  No one can compete in prices against that.
[01:29:21.697 --> 01:29:22.818]  Do you understand?
[01:29:23.983 --> 01:29:25.183]  Why did the government do that?
[01:29:25.443 --> 01:29:27.144]  It shows what they think of citizens.
[01:29:27.664 --> 01:29:38.887]  Why would the government give foreigners the incentive to come here and get no taxes for seven to ten years, depending on what federal program they follow?
[01:29:39.907 --> 01:29:41.167]  Why, why, why?
[01:29:41.507 --> 01:29:42.547]  No one's addressed that.
[01:29:42.867 --> 01:29:43.488]  We know why.
[01:29:43.508 --> 01:29:44.608]  To get rid of the middle class.
[01:29:46.168 --> 01:29:53.010]  Alright, Spencer and Chris and Dan and Richard and others, your calls are coming up, as well as Paula Watson and the big news blitz.
[01:29:54.682 --> 01:29:57.670]  We're on the march, the empire's on the run.
[01:29:58.633 --> 01:30:01.300]  Alex Jones and the GCN Radio Network.
[01:30:04.423 --> 01:30:05.383]  Hello, Ted Anderson.
[01:30:05.463 --> 01:30:10.245]  Listeners of the network are familiar with the Federal Reserve Note and understand the risks of deficit spending.
[01:30:10.425 --> 01:30:18.228]  Therefore, with catastrophic events, it comes as no surprise that some banks have currently placed limits on the amount of cash depositors can remove from their accounts.
[01:30:18.488 --> 01:30:23.850]  A fractional reserve system means only a small portion of your deposit is held in reserve for immediate withdrawal.
[01:30:24.050 --> 01:30:31.032]  Deficit spending will skyrocket through FDIC if the government is forced to insure deposits during a bank run followed by a depressed economy.
[01:30:31.332 --> 01:30:36.657]  A current effort is underway by the Fed along with other central banks to increase liquidity for depositors.
[01:30:36.937 --> 01:30:41.681]  However, an increase in money supply without equal expansion in productivity can cause inflation.
[01:30:42.022 --> 01:30:49.628]  In order to achieve strength and stability, I recommend a conservative portion of all investments to be calmly repositioned into gold and silver.
[01:30:49.968 --> 01:30:55.433]  While paper investments currently have been driven by debt, gold on its own has held value for over 6,000 years.
[01:30:56.514 --> 01:30:58.155]  For more information call 1-800-686-2237.
[01:30:59.435 --> 01:31:02.656]  That's 1-800-686-2237.
[01:31:03.497 --> 01:31:03.917]  Gold.
[01:31:04.277 --> 01:31:05.537]  It's like nothing else on Earth.
[01:31:05.817 --> 01:31:07.418]  From the Romans through the Renaissance.
[01:31:07.698 --> 01:31:09.719]  From the Industrial Age to the Space Age.
[01:31:10.019 --> 01:31:11.880]  Gold has weathered the test of time.
[01:31:12.100 --> 01:31:15.881]  For 6,000 years gold has remained the ultimate store of wealth.
[01:31:16.261 --> 01:31:18.142]  According to the World Gold Council and the U.S.
[01:31:18.182 --> 01:31:20.464]  Mint, demand is at an all-time high.
[01:31:20.624 --> 01:31:28.348]  The stage is being set for the reemergence of gold as the common-sense alternative to a fiat paper currency that gets weaker every day.
[01:31:28.728 --> 01:31:37.633]  Midas Resources is proud to offer the hard-hitting report that arms you with the truth you need to protect you and your family from the Fed's plans for your hard-earned money.
[01:31:37.793 --> 01:31:38.894]  Don't gamble with your future.
[01:31:39.074 --> 01:31:40.435]  Call Midas Resources today.
[01:31:40.455 --> 01:31:41.136]  I think so.
[01:32:03.683 --> 01:32:09.246]  Did you know without cholesterol your body wouldn't make important hormones like estrogen and testosterone?
[01:32:09.546 --> 01:32:11.407]  Without cholesterol your mood would drop.
[01:32:11.507 --> 01:32:12.727]  Your skin would dry out.
[01:32:12.867 --> 01:32:16.529]  You wouldn't make any vitamin D nor any bile to digest fatty foods.
[01:32:16.849 --> 01:32:18.590]  This is health journalist Bill Sardi.
[01:32:18.670 --> 01:32:21.571]  Cholesterol is not a life-threatening toxin.
[01:32:21.811 --> 01:32:27.794]  Despite efforts to reduce cholesterol and fats in your diet, your liver will make about a glass full of cholesterol a day.
[01:32:28.054 --> 01:32:31.456]  The bottom line is we need to maintain healthy cholesterol levels.
[01:32:31.736 --> 01:32:36.700]  That's just what Lifespan Nutrition has done with its revolutionary Normatrol formula.
[01:32:37.101 --> 01:32:43.125]  It provides potent amounts of lecithin along with rice bran, flaxseed, taurine, boron and magnesium.
[01:32:43.506 --> 01:32:50.171]  Call 866-405-4000 to find out about this revolutionary dietary supplement called Normatrol.
[01:32:50.411 --> 01:32:52.473]  That's 866-405-4000.
[01:32:53.294 --> 01:32:57.177]  Lifespan Nutrition wants to help you maintain healthy cholesterol levels.
[01:32:57.197 --> 01:32:57.237]  866-405-4000.
[01:33:09.346 --> 01:33:11.247]  Waging war on corruption.
[01:33:11.727 --> 01:33:14.548]  Alex Jones on the GCN Radio Network.
[01:33:15.848 --> 01:33:20.129]  Alright, for the loaded phones, we're going to get to everybody here in just a few minutes.
[01:33:20.169 --> 01:33:23.650]  We're going to have Paul Watson with us for the next hour, then I've got Ranch Rescue coming on.
[01:33:24.171 --> 01:33:28.012]  Talk about the Mexican troops shooting at their organization.
[01:33:28.032 --> 01:33:32.973]  They've been shooting at the Border Patrol, killing members of the Border Patrol, forest agents, you name it.
[01:33:34.454 --> 01:33:35.594]  But Paul Watson,
[01:33:36.696 --> 01:33:46.419]  I don't know if you were just listening, but I was talking about how they've had this law for, I think, about 15 years here in the U.S.
[01:33:46.880 --> 01:33:48.800]  And if you didn't know about this, folks, you should check it out.
[01:33:49.560 --> 01:34:00.624]  Where for 7 to 10 years, foreigners who are opening a new business, only foreigners get this, get, in many cases, a decade of tax exemption.
[01:34:01.184 --> 01:34:02.565]  No one can compete against that.
[01:34:03.670 --> 01:34:07.531]  You try not paying your taxes for ten years, folks, and see what they do to you!
[01:34:08.471 --> 01:34:10.572]  You see, but you're not a foreigner.
[01:34:11.032 --> 01:34:14.853]  Why, Paul Watson, would the government do something like that?
[01:34:15.934 --> 01:34:26.377]  Well, obviously, it's to, we know the agenda, to destroy the economy and jobs in the country, but you were talking about the coal centres which are being farmed out to all these different countries.
[01:34:26.397 --> 01:34:33.139]  I actually had a friend tell me that he called up BT, which is the biggest telephone provider in this country,
[01:34:34.131 --> 01:34:46.046]  And what most people don't know is that it's company policy with these call centres in India, for example, that the person that answers your call cannot actually, under company policy, tell you their name.
[01:34:46.579 --> 01:35:06.592]  They're ordered to create fake names which sound British and it came out in the London Guardian that they're actually trained as to what's going on in the soap operas in Britain and what the weather's like so it can appear as if you're actually calling within the country and it's also... They even showed that last night.
[01:35:07.113 --> 01:35:10.095]  They watched Hollywood movies, they watched the soap operas.
[01:35:10.916 --> 01:35:17.386]  Uh, they teach them how to, and then to lie to you to go, oh yes, I'm in England, I'm in the U.S.
[01:35:17.406 --> 01:35:18.408]  This was saying the U.S.
[01:35:18.468 --> 01:35:18.969]  last night.
[01:35:19.290 --> 01:35:21.794]  Oh, that's, I mean, again, look at the deception of that.
[01:35:23.447 --> 01:35:35.176]  It's also actually, my friend asked this particular person which company they worked for or which subsidiary and they said that they were ordered by the company not to divulge that information.
[01:35:35.196 --> 01:35:40.580]  So not only can they not tell you their real name, they can't even tell you who they're working for.
[01:35:40.720 --> 01:35:47.425]  And you're supposed to give them your social security numbers, your credit card numbers, they've got all your data folks.
[01:35:48.920 --> 01:35:50.921]  And then you can't get any data on them.
[01:35:50.961 --> 01:35:53.542]  So yeah, it's all about knowing everything that we're doing.
[01:35:53.562 --> 01:36:00.665]  And yet when you try to get some help from these people, it's all company policy not to divulge anything whatsoever.
[01:36:02.026 --> 01:36:02.786]  It's amazing.
[01:36:02.806 --> 01:36:09.029]  Paul, I want to run through about ten articles, get your take on them, then I want to go to some calls and get into more news into the next hour.
[01:36:09.549 --> 01:36:12.150]  Troops find chemical weapons in Iraq.
[01:36:12.210 --> 01:36:17.473]  Dozens of mortar rounds containing chemical weapons have been found buried under a road in southern Iraq.
[01:36:17.513 --> 01:36:18.873]  It was revealed last night.
[01:36:19.354 --> 01:36:21.955]  This is on InfoWars.com and PrisonPlanet.com.
[01:36:22.375 --> 01:36:29.438]  Test of a suspicious liquid that was leaking from the shells found that it was a form of blister gas, which include mustard gas,
[01:36:30.074 --> 01:36:40.917]  Deposed Iraqi dictator Saddam Hussein was supposed to have destroyed all chemical weapons, but it is thought that the munitions had been buried for at least 10 years and might date back to the Iran-Iraq War, which ended in 1998.
[01:36:42.177 --> 01:36:53.680]  Danish soldiers discovered the cache of 36 120mm mortar rounds buried 45 miles south of the town of Amara, not far from Basra, on Friday.
[01:36:55.120 --> 01:36:56.821]  Paul, your response to this?
[01:36:57.682 --> 01:37:11.568]  Well, I mean, ridiculous saying that Iraq hadn't declared them, because even before the war started, Iraq produced this 12,000 page dossier on what weapons they had and which ones the UN had destroyed.
[01:37:11.968 --> 01:37:16.550]  The government tore out 8,000 pages and said, look, there's evidence missing, they're lying.
[01:37:16.590 --> 01:37:18.851]  So we know what's going on there, but I mean,
[01:37:19.446 --> 01:37:25.354]  I mean, it's obvious that this isn't any kind of smoking gun proof, otherwise it would be all over the headline news.
[01:37:25.795 --> 01:37:35.608]  By the way, the 12,000 pages the Iraqis were smart enough to send other copies of the press, when they thought only two copies were at the UN building, the US Special Forces
[01:37:36.502 --> 01:37:38.383]  And that came out in the mainstream German media.
[01:37:52.854 --> 01:37:58.480]  I mean, Kofi Annan admitted that that raid had taken place and yet he wasn't concerned about doing anything about it.
[01:37:58.861 --> 01:38:12.115]  But I mean, what it serves to do with these little stories coming out about, you know, so-called weapons of mass destruction or mass distraction, as Tony Blair calls them, is it subtly buries in the mind of the casual
[01:38:12.888 --> 01:38:38.577]  Observer that the whole WMD premise was true because they don't see what we report which are the later retractions where the mobile biotrucks turn out to be for blowing up helium balloons and were sold by the British and the biological factories which actually turn out to be bakeries and etc etc and I mean we've even got Colin Powell we got the videotape
[01:38:39.176 --> 01:38:46.901]  Of Colin Powell and Condoleezza Rice in early 2001 saying that Saddam had disarmed and was no threat.
[01:38:46.941 --> 01:38:48.682]  So it's just one thing on top of another.
[01:38:48.962 --> 01:39:01.410]  What do you make of Treasury Secretary Paul O'Neill talking about Bush having a plan to attack Iraq day one in the White House and the media focusing in on that but ignoring the PNAC documents which are from the President?
[01:39:02.222 --> 01:39:05.964]  Well, I basically knew that it was a whitewash as soon as it came out.
[01:39:06.044 --> 01:39:11.566]  I've barely posted anything on it because we already proved that the war was planned years in advance over and over again.
[01:39:11.586 --> 01:39:19.809]  I mean, on top of the PNAC documents which stated, as you mentioned, that Saddam was just a pretext to invade in September 2000 was the most
[01:39:22.501 --> 01:39:24.142]  The one that got most coverage in the media.
[01:39:24.502 --> 01:39:43.672]  On top of that, we have the March 2001 documents from the Cheney Energy Task Force, which laid out all the Iraqi oil fields, pipelines, refineries, terminals, and strategized actually on which companies would get all the contracts after an invasion.
[01:39:43.692 --> 01:39:51.756]  I mean, Judicial Watch got these documents which were originally written in March 2001, and so with this O'Neill thing,
[01:39:52.412 --> 01:39:59.197]  I mean, we got the Drudge Report posting his comments from a year ago where he says he would never criticize the Bush administration.
[01:39:59.217 --> 01:40:05.801]  Yeah, what they do is they have O'Neill bring this out with a weak argument, tear it apart, and then try to put the whole thing to bed.
[01:40:06.642 --> 01:40:07.802]  Yeah, that's exactly what it's about.
[01:40:07.822 --> 01:40:11.945]  It's about debunking O'Neill to debunk the whole argument.
[01:40:11.985 --> 01:40:17.329]  But what's more interesting, which only received attention in one media report, was
[01:40:18.038 --> 01:40:23.801]  Also, O'Neill's comments about the fact that Bush would conduct policy meetings like a deaf man.
[01:40:23.821 --> 01:40:27.082]  He would basically never say anything and just sit there nodding.
[01:40:27.122 --> 01:40:34.285]  So again, emphasizing the point that Bush is just a figurehead and he's not really running anything, basically.
[01:40:34.326 --> 01:40:46.211]  And that's something the media doesn't want to report because then they can focus this big left-wing juggernaut onto the distraction of Bush-hating when targeting Bush really won't change anything.
[01:40:47.399 --> 01:40:47.979]  Exactly.
[01:40:48.039 --> 01:40:50.840]  I mean, Bush, Clinton, they're just front men, just puppets.
[01:40:52.041 --> 01:40:58.703]  Paul, there is so much news here, and let's get into the latest Diana developments.
[01:40:58.763 --> 01:41:00.504]  I mean, it's clear they murdered her.
[01:41:00.904 --> 01:41:05.146]  She was pregnant with, you know, this Arab's child.
[01:41:05.566 --> 01:41:08.167]  She said, they're going to kill me in a fake automobile accident.
[01:41:08.447 --> 01:41:09.407]  That indeed happened.
[01:41:09.587 --> 01:41:10.748]  There's been new developments.
[01:41:11.908 --> 01:41:16.370]  Well, the developments a few days ago came from London Times, mainly.
[01:41:16.880 --> 01:41:17.861]  We're good to go.
[01:41:32.456 --> 01:41:36.858]  They are listing all the evidence that we talk about, which is proven as conspiracy theory.
[01:41:36.878 --> 01:41:43.381]  So in effect, what they're saying is that Scotland Yard are getting involved to cover up the evidence.
[01:41:43.441 --> 01:41:48.583]  So on the back of that, we had it out of the Observer yesterday.
[01:41:49.519 --> 01:41:57.068]  The note that Diana wrote saying that Charles was going to kill her in a car crash was actually written a couple of years before it was claimed.
[01:41:57.529 --> 01:42:02.616]  Now obviously that's part of the dismissal process, but even if that was true, we have
[01:42:03.328 --> 01:42:12.415]  Another story out today out of the London Mirror where Diana had another car crash in 95 when her brakes failed.
[01:42:12.736 --> 01:42:27.047]  Fortunately at the time it was only a minor crash so she wasn't injured but her brakes failed in a different car crash in 95 so throughout the whole period it's obvious that somebody was trying to kill her before finally succeeding in 97 and then
[01:42:28.368 --> 01:42:43.977]  London Times also reported that the blood samples, and I mean we knew this but now they're just admitting it, the blood samples of the driver, Henri Paul, who was supposedly drunk at the time, were switched with somebody else, proving the official story that he was drunk.
[01:42:44.037 --> 01:42:49.800]  Now we covered this years ago and just about a month ago you talk about this on air and now here it is mainstream news.
[01:42:50.572 --> 01:42:54.915]  But of course they said it was just an accident and we shouldn't worry about it.
[01:42:54.935 --> 01:43:08.442]  Just like the cameras turned off minutes before the crash in the tunnel and turned towards the wall on accident, just like the car was stolen and then returned, detailed days before, just like all of this stuff.
[01:43:09.343 --> 01:43:10.583]  And it also came out that the
[01:43:11.960 --> 01:43:15.883]  They're going to re-examine the Mercedes, which was involved in the crash.
[01:43:16.524 --> 01:43:24.431]  And as you mentioned, before the crash, the Mercedes was changed and was a different model to the one they'd been using earlier in the day.
[01:43:24.811 --> 01:43:35.400]  Now, on top of that, we have the Queen's former coroner, who works for her, coming out and saying, oh, I saw the body, she wasn't pregnant.
[01:43:36.727 --> 01:43:41.433]  Yeah, which is obviously yet another part of this dismissal process, which they publicly announced.
[01:43:41.874 --> 01:43:47.341]  And I mean, we had Diana two days before she died saying, I've got a big announcement in two days.
[01:43:47.401 --> 01:43:52.547]  And I mean, the people who were, you know, intimately involved with Diana said she was pregnant as well.
[01:43:54.170 --> 01:43:56.671]  I mean, it's one lie after another at the moment.
[01:43:56.711 --> 01:44:07.714]  They're doing exactly what I predicted, which was to admit these so-called conspiracy theories, as they call them, but then try and whitewash them to bury the whole process.
[01:44:09.175 --> 01:44:11.956]  And the same thing's going on with O'Neill right now.
[01:44:12.596 --> 01:44:16.317]  The Mars mission, Bush is going to announce it supposedly in two days.
[01:44:16.897 --> 01:44:19.018]  He's already cancelled one announcement last month.
[01:44:19.651 --> 01:44:23.416]  But he's supposedly going to announce a new moon mission, a new Mars mission.
[01:44:23.436 --> 01:44:24.257]  What do you think about that?
[01:44:25.619 --> 01:44:34.831]  Well, it's obvious that partly it's a PR stunt in the Kennedy vein, which you mentioned earlier, to Bush's re-election, but I think it goes a lot further than that.
[01:44:35.797 --> 01:44:43.824]  NASA itself is not an independent organization devoted to, you know, peacefully exploring space.
[01:44:43.904 --> 01:44:49.149]  It's basically a criminal arm of the government, because most of the funds don't go into space exploration.
[01:44:49.189 --> 01:44:54.454]  That's why, I mean, we've got NASA involved with the brain scanners at Boston Logan Airport.
[01:44:55.174 --> 01:45:01.920]  So, I mean, we've got to focus on militarization of space at the moment, and that was actually in the PNAC document.
[01:45:03.402 --> 01:45:10.986]  And if you look at the Space Shuttle Program itself, it's 90% controlled by private military contractors.
[01:45:11.466 --> 01:45:24.732]  And it was actually Clinton that began that process back in 96, when he gave Boeing and Lockheed Martin basically free reign to... Yeah, I know about 80... it's 80 plus percent of the missions are classified.
[01:45:25.640 --> 01:45:34.927]  And so they've been spending this classified black budget on things like the Aurora project, which is basically an advanced space plane.
[01:45:36.348 --> 01:45:44.634]  And on top of that, as soon as they got into power, the Bush administration began appointing directors of NASA from the military sector.
[01:45:44.674 --> 01:45:51.739]  So in the PNAC documents, we've got what they call full spectrum dominance, which is basically
[01:45:52.359 --> 01:45:54.862]  And this was leaked in the middle of last year.
[01:45:55.222 --> 01:46:04.932]  It's about creating a military empire in space with the idea of claiming ownership of near-Earth space and not allowing any other countries to gain access.
[01:46:04.992 --> 01:46:10.997]  And so, with this black budget, and this is what I think is what this whole new mission is about.
[01:46:11.037 --> 01:46:15.221]  It's about funneling the money into these Aurora space planes.
[01:46:16.022 --> 01:46:24.591]  I mean, this mission's publicly stated that they will have the ability to destroy any satellites put into orbit by other nations.
[01:46:25.152 --> 01:46:29.476]  And then on top of that we've got the lunar base, which they've also been talking about.
[01:46:30.557 --> 01:46:36.063]  And again, it's stated in PNAC that they need a lunar base to act as a military outpost.
[01:46:36.590 --> 01:46:42.451]  So they're basically going to pair up the space treaty and have this all set in motion by 2014.
[01:46:43.351 --> 01:46:46.232]  So it's nothing to do with exploring space.
[01:46:46.272 --> 01:46:47.852]  It's about militarizing space.
[01:46:48.373 --> 01:46:57.415]  And people's tax dollars are basically going to fund the New World Order's next colony, their next empire, which they've announced will be in space.
[01:46:58.775 --> 01:47:02.336]  And that's what we'd all read from the documents over the last few decades.
[01:47:02.356 --> 01:47:03.816]  That's exactly their plan.
[01:47:04.674 --> 01:47:09.296]  And they're also going to have these big platforms in space, these battle stations.
[01:47:09.757 --> 01:47:12.778]  Folks, this isn't Alex Jones saying this, this is the government.
[01:47:13.218 --> 01:47:20.122]  With particle beams, you name it, where they can just fry people individually on the surface of the Earth.
[01:47:21.469 --> 01:47:29.497]  That's going to be nice, and a new ground-penetrating radar arrays in space to look through our walls, not just take photos of us.
[01:47:30.438 --> 01:47:31.800]  Very, very scary stuff.
[01:47:31.820 --> 01:47:33.501]  A few calls and we'll get back into news.
[01:47:33.962 --> 01:47:35.283]  And there's a bunch of it here, folks.
[01:47:35.303 --> 01:47:36.485]  That's just a small tidbit.
[01:47:37.265 --> 01:47:42.231]  Let's talk to Spencer in Ohio, then Chris, Dan, Richard.
[01:47:42.991 --> 01:47:44.572]  And Stacey and others.
[01:47:44.832 --> 01:47:45.292]  Go ahead.
[01:47:45.512 --> 01:47:46.453]  You're on the air, Spencer.
[01:47:47.013 --> 01:47:48.534]  Thanks for taking my call, Alex.
[01:47:49.214 --> 01:47:54.897]  Which gas stations should I start boycotting to keep the Bush empire from getting any richer?
[01:47:55.417 --> 01:47:59.939]  Secondly, what does your guest think when America burns their Beatle albums?
[01:48:01.260 --> 01:48:03.661]  And if he knows what a poly-orp is?
[01:48:04.201 --> 01:48:05.662]  Alright, thanks for the call.
[01:48:06.142 --> 01:48:07.943]  Let me just comment on that.
[01:48:09.221 --> 01:48:13.302]  First question, the Bushes are a high-level servant management family.
[01:48:14.243 --> 01:48:16.924]  They do own some oil companies and some stock.
[01:48:16.944 --> 01:48:19.805]  They're worth tens of billions of dollars.
[01:48:20.225 --> 01:48:22.926]  They hide their wealth, but they're just puppets.
[01:48:22.966 --> 01:48:25.847]  So, I mean, there's really no way to boycott the Bushes.
[01:48:25.867 --> 01:48:28.668]  If you want to boycott the Bushes, fight prison labor.
[01:48:29.586 --> 01:48:30.027]  Go ahead, Paul.
[01:48:49.329 --> 01:48:54.492]  I have no idea what a polyorb is, but even with the Beatles thing, it is interesting.
[01:48:54.572 --> 01:49:11.822]  Obviously, we have no agreement with John Lennon's religious or philosophical doctrines, but it is a fact that the man who killed him was trained at the School of the Americas, which was a CIA assassination program.
[01:49:13.544 --> 01:49:19.245]  It's obvious that, I mean, John Lennon was killed because at the time he was becoming politically active.
[01:49:19.285 --> 01:49:29.847]  He started, yeah, he got out of all his liberalism and occult stuff and started writing songs, and I've got a CD of them, about the New World Order, you Satanist, you kill the children.
[01:49:29.867 --> 01:49:33.348]  I mean, these songs are, it sounds like Eyes Wide Shut, folks.
[01:49:34.168 --> 01:49:39.049]  And then this guy, who admittedly had been part of a CIA program, and that's admitted, walks up and shoots him.
[01:49:40.515 --> 01:50:07.522]  Yes, I mean, at the time he was becoming a threat, because before with the whole Hari Krishna, you know, Peace Hippie movement, they left him alone because that wasn't a threat, because it was all... I mean, the LSD was brought in by the government in the first place and that was all set up, but when he started to focus on actually, you know, changing something and getting really involved, that's when he became too much of a threat for them to tolerate, so that's why he was taken out.
[01:50:09.583 --> 01:50:10.304]  Absolutely.
[01:50:10.324 --> 01:50:14.146]  We're going to break and come back and get into more news and calls.
[01:50:14.466 --> 01:50:16.587]  So Chris and Dan and everybody, stay there.
[01:50:16.607 --> 01:50:17.327]  We're going to get to you.
[01:50:17.347 --> 01:50:20.369]  Paul's going to be with us into the next hour, so will you, hopefully.
[01:50:21.009 --> 01:50:23.210]  And I want to get into some of this other news.
[01:50:23.310 --> 01:50:25.992]  Blair admits weapons of mass destruction may never be found.
[01:50:26.012 --> 01:50:28.473]  I thought he'd resign if they didn't find them.
[01:50:29.454 --> 01:50:33.356]  Also, report all flyers to be assigned threat ranking.
[01:50:33.676 --> 01:50:35.617]  This is the CAPS2 system.
[01:50:35.977 --> 01:50:37.598]  You're going to have this to have a job anywhere.
[01:50:38.468 --> 01:50:38.728]  U.S.
[01:50:38.888 --> 01:50:42.111]  Army College attacks Bush terror policy.
[01:50:42.851 --> 01:50:43.632]  More than 500 U.S.
[01:50:43.972 --> 01:50:46.014]  soldiers killed in Iraq, says the Pentagon.
[01:50:46.374 --> 01:50:48.736]  Vaccine linked to Gulf War syndrome.
[01:50:49.196 --> 01:50:50.277]  News of Australia.
[01:50:51.097 --> 01:50:53.279]  And a bunch of other news.
[01:50:53.779 --> 01:50:55.661]  Again, we haven't even scratched the surface.
[01:50:56.141 --> 01:51:00.324]  It's all very important and it's coming up on the other side of this quick break.
[01:51:00.444 --> 01:51:01.005]  Stay with us.
[01:51:05.160 --> 01:51:12.527]  Hey folks, Alex Jones here, announcing the release of my most comprehensive documentary exposing the New World Order's orchestration of the September 11th attacks yet.
[01:51:12.808 --> 01:51:17.552]  In my new film, The Masters of Terror, we chronicle the globalist master plan for world domination.
[01:51:17.772 --> 01:51:23.418]  The Masters of Terror details how the elite are using manufactured terrorism to drive the world population into accepting tyranny.
[01:51:23.658 --> 01:51:28.179]  Witness in horror the execution of the September 11th attacks and the ensuing whitewash.
[01:51:28.399 --> 01:51:35.561]  The cashless society control grid, infallible microchips, mass mind control, militarization of police, concentration camps, foreign troops massing on U.S.
[01:51:35.581 --> 01:51:40.102]  soil, the USA Patriot Act, Super Big Brother Total Information Awareness Network, and much, much more.
[01:51:40.282 --> 01:51:42.782]  It is absolutely vital that everyone see the masters of terror.
[01:51:43.022 --> 01:51:49.724]  Only by exposing the perpetrators of September 11th can we stop them from carrying out the next wave of attacks and destroying our constitutional republic.
[01:51:49.964 --> 01:51:55.228]  Order online now at Infowars.com or PrisonPlanet.com or by calling 1-888-253-3139.
[01:51:55.248 --> 01:51:55.668]  That's 888-253-3139.
[01:52:04.207 --> 01:52:14.940]  The Berkey Light's unique design combines the age-old process of microporous filtration coupled with modern state-of-the-art technology and the highest quality materials, bringing you the finest water filter available anywhere.
[01:52:15.121 --> 01:52:22.710]  The revolutionary Berkey Light, with its exclusive black Berkey filter elements, remove pathogenic bacteria, cysts, and parasites to non-detectable levels.
[01:52:22.970 --> 01:52:26.093]  Harmful or unwanted chemicals are reduced to below detectable levels.
[01:52:26.353 --> 01:52:32.138]  And it reduces nitrates and unhealthy minerals like lead and mercury while leaving the nutritional minerals your body needs.
[01:52:32.378 --> 01:52:38.523]  Made of durable lexan, the material used in making bulletproof glass, the system is durable, rugged, and yet attractive.
[01:52:38.903 --> 01:52:42.804]  The Berkey Light is transparent, so there is no guesswork when refilling the system.
[01:52:42.845 --> 01:52:44.725]  The water level is always visible.
[01:52:44.925 --> 01:52:50.867]  The rechargeable LED lighting system is beautiful as a night light and as necessary in emergency situations.
[01:52:51.107 --> 01:52:55.049]  Get the Berkey Light, the transparent water filter, for only $259 by calling New Millennium at 888-803-4438.
[01:52:55.069 --> 01:52:55.629]  That's toll free, 888-803-4438.
[01:53:05.546 --> 01:53:11.469]  Herbal Healer Academy is a global supplier of the finest natural medicine that you may need in these troubled times.
[01:53:11.689 --> 01:53:13.950]  We specialize in keeping you alive and healthy.
[01:53:14.151 --> 01:53:20.514]  We provide outstanding products like ECAC, colloidal silver 500 parts per million, olive leaf extract,
[01:53:20.834 --> 01:53:21.495]  We're good to go!
[01:53:50.356 --> 01:53:53.458]  We have been working hard since 1988 to save the remnant.
[01:53:53.618 --> 01:54:05.525]  That's HerbalHealer.com, your website for safe, effective natural alternatives and education.
[01:54:07.125 --> 01:54:13.129]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:54:13.749 --> 01:54:16.691]  It's Alex Jones and the GCN Radio Network.
[01:54:18.679 --> 01:54:22.803]  George Bush on national television shortly after 9-11.
[01:54:24.445 --> 01:54:27.627]  George Bush said the war on terror would last a hundred years.
[01:54:27.848 --> 01:54:29.669]  Others have said two, three generations.
[01:54:30.270 --> 01:54:31.431]  Here's the BBC.
[01:54:32.392 --> 01:54:34.334]  Terror war could last 50 years.
[01:54:34.574 --> 01:54:38.798]  And of course the big complex that's built up around it won't let it go away in 50 years.
[01:54:39.118 --> 01:54:40.980]  They'll provide more terror.
[01:54:41.320 --> 01:54:42.141]  It's like the drug war.
[01:54:42.972 --> 01:54:44.734]  People can't figure out why they'd ship it in.
[01:54:44.814 --> 01:54:51.579]  Not just the profits, but the police state, and the prison industry, and the corruption of the police if they get out of it.
[01:54:52.000 --> 01:54:53.641]  Well, it's the same thing with the War on Terror.
[01:54:54.201 --> 01:54:56.964]  They engage in the terror, they then get the business out of it.
[01:54:58.245 --> 01:55:11.456]  The War on Terror could last up to 50 years, a senior UK intelligence officer has warned, speaking at a US government sponsored conference in Las Vegas, Superintendent Stuart Harrison, offered a rare insight into the intelligence community.
[01:55:12.014 --> 01:55:13.595]  We'll get more into that in the next hour.
[01:55:13.755 --> 01:55:15.897]  Paul, your comments on this issue?
[01:55:16.697 --> 01:55:27.345]  Well yeah, we have Bush saying 100 years, we've got BBC saying 50 years today, but I mean, this is a UK expert saying this, and I mean, you just have to ask yourself, who needs the terror?
[01:55:27.825 --> 01:55:29.186]  I mean, at the moment we've got
[01:55:29.821 --> 01:55:38.266]  The British government trying to push this civil contingencies bill and we've got the ID card on the racks as well.
[01:55:38.386 --> 01:55:46.751]  And we've got Rudolph Giuliani heading up, selling this to the states and counties, making tens of millions of dollars a year off the terror.
[01:55:47.011 --> 01:55:49.152]  That's his payoff for keeping his mouth shut.
[01:55:50.231 --> 01:56:00.379]  And in Britain it's all permissible that we have this endless war on terror because basically this country's been under a state of emergency since September 11 officially.
