[00:00:01.149 --> 00:00:02.749]  At 888-803-4438.
[01:29:43.496 --> 01:29:45.917]  And then we will go back to your calls.
[01:29:46.710 --> 01:29:47.951]  Call for a number to join us, 800-259-9231.
[01:29:48.291 --> 01:30:00.782]  Stay with me, we shall return on this maiden virgin voyage into 04.
[01:30:03.464 --> 01:30:06.487]  We're on the march, the empire's on the run.
[01:30:07.408 --> 01:30:10.090]  Alex Jones and the GCN Radio Network.
[01:30:13.174 --> 01:30:14.975]  Got $3 in your pocket?
[01:30:15.175 --> 01:30:18.036]  Want a million dollars in term life insurance coverage?
[01:30:18.297 --> 01:30:20.117]  Call Term Busters now.
[01:30:20.438 --> 01:30:21.798]  Rates are low right now.
[01:30:21.938 --> 01:30:23.119]  Call and compare.
[01:30:23.359 --> 01:30:33.844]  For example, a man age 45, non-tobacco user, issue preferred $1 million of coverage is only $75 a month, level for the next 10 years.
[01:30:34.144 --> 01:30:35.865]  Call Term Busters now.
[01:30:35.885 --> 01:30:35.925]  800-430-6692.
[01:30:35.945 --> 01:30:35.985]  800-430-6692.
[01:30:42.068 --> 01:30:44.790]  If you're a smoker, we have great rates for you too!
[01:30:44.950 --> 01:30:49.593]  Call Term Busters now!
[01:30:49.613 --> 01:30:57.899]  800-430-6692 800-430-6692 We specialize in term life insurance policies of a half million dollars or more!
[01:30:58.179 --> 01:31:03.643]  Remember, one million dollars in term life insurance coverage for as little as three dollars a day!
[01:31:03.743 --> 01:31:04.924]  Call right now!
[01:31:05.204 --> 01:31:06.845]  Operators are standing by!
[01:31:07.005 --> 01:31:07.766]  800-430-6692.
[01:31:07.786 --> 01:31:09.988]  800-430-6692.
[01:31:10.008 --> 01:31:17.156]  Hi, this is Jack Browning with a special offer to listeners of GCN Radio.
[01:31:17.456 --> 01:31:24.424]  Use a Declaration of Independence, the Constitution, and a Bill of Rights for your good, not the good of manipulating government agencies.
[01:31:24.704 --> 01:31:26.126]  Take control of your own destiny.
[01:31:26.366 --> 01:31:30.828]  GCN is contracted with Midas Resources for copies of The Citizen's Rulebook.
[01:31:31.008 --> 01:31:32.288]  This is more than a handbook.
[01:31:32.448 --> 01:31:35.810]  It is your guide to a freer life with less governmental interference.
[01:31:36.170 --> 01:31:36.890]  Here's the deal.
[01:31:37.110 --> 01:31:38.791]  Call MRI at 800-686-2237 and obtain two handbooks
[01:31:42.552 --> 01:31:48.357]  One for yourself, one for a friend, and two silver dollars for just $24.95, shipping included.
[01:31:48.597 --> 01:31:55.623]  More than half these coins were melted under the Pittman Act of 1918, and later with a great silver run of the 70s and 80s.
[01:31:55.983 --> 01:32:00.808]  There are less than one of these coins surviving for every 20 persons in the United States.
[01:32:01.148 --> 01:32:02.369]  Call Midas today at 800-686-2237.
[01:32:02.389 --> 01:32:03.990]  Ask for the Freedom Handbook Special.
[01:32:04.010 --> 01:32:04.691]  That's Midas Resources at 800-686-2237.
[01:32:10.775 --> 01:32:11.776]  686-2237.
[01:32:11.856 --> 01:32:12.216]  Thank you.
[01:32:12.376 --> 01:32:12.977]  Hey Doris!
[01:32:13.057 --> 01:32:13.698]  Great news!
[01:32:13.958 --> 01:32:15.259]  I now own my own home!
[01:32:15.379 --> 01:32:16.120]  Free and clear!
[01:32:16.280 --> 01:32:18.202]  And I did it in less than five months!
[01:32:18.322 --> 01:32:19.683]  Did you receive an inheritance?
[01:32:19.843 --> 01:32:20.304]  Well, no.
[01:32:20.484 --> 01:32:25.188]  Actually, I found a way to eliminate my mortgage without bankruptcy and without the need of going to court.
[01:32:25.308 --> 01:32:28.572]  And you too can do this legally, lawfully, ethically, and morally.
[01:32:28.652 --> 01:32:31.074]  But Jim, I signed a note promising to pay back the loan.
[01:32:31.214 --> 01:32:33.216]  Isn't it wrong even if I could discharge the loan?
[01:32:33.456 --> 01:32:38.301]  Doris, I felt the same way, until I took the time to learn the truth about money and banking.
[01:32:38.422 --> 01:32:42.306]  The most shocking thing I learned is the fact that no real money is ever loaned out.
[01:32:42.446 --> 01:32:45.129]  There's a dirty secret that the banks don't want you to know.
[01:32:45.309 --> 01:32:48.893]  And this is the basis of how I was able to discharge my own mortgage.
[01:32:49.073 --> 01:32:52.016]  I know this is hard to believe, but go to the website to learn more.
[01:32:52.157 --> 01:32:52.437]  Doris,
[01:32:52.637 --> 01:32:59.523]  Get your pin and find out how many Americans are finding financial freedom by having their mortgages eliminated in less than five months.
[01:32:59.723 --> 01:33:04.347]  Go to www.eliminatemortgages.com slash liberty.
[01:33:04.467 --> 01:33:06.890]  Just the way it sounds and there's an S after mortgage.
[01:33:07.090 --> 01:33:11.774]  It's www.eliminatemortgages.com slash liberty.
[01:33:18.084 --> 01:33:19.986]  Waging war on corruption.
[01:33:20.466 --> 01:33:23.288]  Alex Jones on the GCN Radio Network.
[01:33:33.897 --> 01:33:36.860]  Alright, let me dive straight back into some of the news here.
[01:33:38.341 --> 01:33:42.004]  Supreme Court takes another look at prison labor.
[01:33:43.681 --> 01:34:02.245]  The Washington Supreme Court is taking another look at a law that allows the State Department of Corrections to award preferential contracts to private companies, giving them the unique advantage of using prison labor to compete against other private businesses in our state.
[01:34:03.986 --> 01:34:07.507]  You want to understand one facet of this, watch the Shawshank Redemption.
[01:34:08.467 --> 01:34:11.047]  Because, folks, prison labor.
[01:34:11.127 --> 01:34:13.108]  You think, make them criminals work!
[01:34:14.384 --> 01:34:17.429]  Okay, how are you going to compete against Chinese slaves?
[01:34:18.911 --> 01:34:19.832]  I'll do you one better.
[01:34:20.513 --> 01:34:27.323]  How are you going to compete against American slaves who are working for an average of 20 cents an hour?
[01:34:29.437 --> 01:34:30.477]  The answer is you're not.
[01:34:30.537 --> 01:34:35.259]  And they're now bussing them into the factories, building special factories right next door to the prisons.
[01:34:35.279 --> 01:34:38.661]  They're not just building license plates and furniture anymore.
[01:34:38.701 --> 01:34:41.742]  They're doing data entry, customer service.
[01:34:42.242 --> 01:34:49.345]  They're putting together telephones and radios and stereos and VCRs and computer parts.
[01:34:49.385 --> 01:34:50.105]  They're doing it all!
[01:34:51.514 --> 01:35:00.618]  And about, last time I saw the numbers, about 65% of the prison system now is, quote, privatized, privately owned, privately run.
[01:35:01.079 --> 01:35:03.160]  And they're all running some type of business.
[01:35:03.800 --> 01:35:12.104]  Now, a large part of the so-called government-run prisons are selling out their prison labor to private contractors.
[01:35:12.424 --> 01:35:20.688]  In fact, in the past, you could make some money having a custodial business, cleaning up government buildings, state, federal, local.
[01:35:22.003 --> 01:35:23.584]  Can't do that anymore in most places.
[01:35:23.924 --> 01:35:25.864]  They got prisoners in there.
[01:35:26.365 --> 01:35:40.910]  You know, and that's why, by the way, they'll, on average, keep a pot dealer, some long-haired, not-gonna-hurt-anybody, sandal-wearing, you know, butterfly-loving liberal.
[01:35:42.030 --> 01:35:46.672]  They'll have that guy in there for more years than a murderer in many states.
[01:35:47.092 --> 01:35:47.872]  Why is that?
[01:35:48.965 --> 01:35:52.208]  Because a non-violent person makes a real good little sleigh.
[01:35:53.289 --> 01:35:59.914]  That's why non-violent people stay in state and federal and local prisons and jail systems longer than anybody else.
[01:36:02.577 --> 01:36:13.446]  And so, while all the real criminals are pumping iron and refusing to work and watching the cable TV, all the little trustees and all the little wimps
[01:36:15.114 --> 01:36:21.118]  Are out there taking your jobs, so next time you go make them criminals work, I want you to think about that.
[01:36:21.158 --> 01:36:22.860]  But it's expanding, it's getting much worse.
[01:36:23.200 --> 01:36:29.784]  By the way, the Bush's own large portions of stock in two of the major prison industry companies.
[01:36:30.545 --> 01:36:40.452]  And the military industrial complex, the folks that make the cluster bombs, and the F-16s, and the ground penetrating radar, and the Humvees with the microwave guns on the top.
[01:36:41.047 --> 01:36:48.849]  The folks that are putting in the red light cameras like Lockheed Martin, and the control grids, and the face scanning systems in the schools.
[01:36:49.149 --> 01:36:51.749]  They're also moving into the prison industries now.
[01:36:52.189 --> 01:36:56.210]  Oh, we have our military industrial complex buying up the private prisons.
[01:36:56.330 --> 01:36:57.230]  Isn't that nice?
[01:36:57.850 --> 01:36:59.491]  That's a real good position to have.
[01:36:59.531 --> 01:37:05.512]  And they're telling us there's going to be lots of more crime, and there'll be 30 million of us in prison by 2010.
[01:37:07.418 --> 01:37:08.459]  That's from last year.
[01:37:09.139 --> 01:37:15.364]  Four years ago, I saw a CBS piece where the feds were saying that by 2024, there'd be 33 million.
[01:37:15.564 --> 01:37:18.467]  They're now saying by 2010, 30 million.
[01:37:18.487 --> 01:37:19.868]  And they're on track to do that.
[01:37:20.188 --> 01:37:25.272]  We've gone from about 1.3 million six years ago in prison to over 7 million now.
[01:37:27.153 --> 01:37:35.400]  The Supreme Court is reconsidering the decision issued earlier this year allowing private companies to set up shop inside the walls of state prisons.
[01:37:37.370 --> 01:37:41.791]  We applaud the court's reconsideration when our state constitution was established in 1889.
[01:37:41.831 --> 01:37:50.713]  A coalition of labor business groups came together and successfully urged the founders to outlaw the use of prison labor to the detriment of free labor.
[01:37:52.013 --> 01:38:02.195]  The resulting provision, article 2, section 29 of the Washington State Coalition Constitution says the labor of convicts in the state shall not be let out by contract.
[01:38:03.857 --> 01:38:06.700]  And it goes on with all the numbers of what's happening.
[01:38:07.640 --> 01:38:13.786]  And it lists a bunch of companies that are doing it.
[01:38:13.846 --> 01:38:17.169]  I mean, they're doing everything here.
[01:38:17.469 --> 01:38:18.330]  Here's one example.
[01:38:18.897 --> 01:38:27.828]  Take the example of one such business, Microjet, which is at the center of the suit against the state by Washington Water Jet Workers Association.
[01:38:27.888 --> 01:38:32.813]  Microjet's industry involves a specific method of metal fabrication.
[01:38:32.853 --> 01:38:37.178]  It would set up operations on the walls of the Monroe Correctional Complex.
[01:38:37.999 --> 01:38:47.083]  Using the lower overhead and captive prison workforce, it competes directly for contracts with a handful of local private sector firms engaged in the same industry.
[01:38:47.643 --> 01:39:00.368]  Microjet's competitive advantage is so dominating that the three competing companies have gone out of business in the past four years and one has moved to Idaho because they simply can't compete with Microjet's unfair advantage.
[01:39:00.668 --> 01:39:03.549]  Several things are wrong with this situation.
[01:39:04.224 --> 01:39:08.327]  Microjet is not providing goods or services that directly benefit state and local governments.
[01:39:08.947 --> 01:39:16.532]  Workers are paid much less than prevailing wage in the private sector, and microjet does not have to provide them any benefits.
[01:39:18.075 --> 01:39:19.936]  Workforce is entirely captive.
[01:39:19.996 --> 01:39:29.303]  Microjet does not have to deal with employees, tracking or verification, or taxes for that matter, being recruited by rivals, or taking a day off when a sick child.
[01:39:29.823 --> 01:39:47.695]  Microjet lowers its overhead costs through cheaper labor costs, subsidized utilities and security, and therefore employs a competitive advantage that's entirely unwritten, underwritten by taxpayers, and although job training is touted as one of the purposes of prison industries, not one inmate that has worked for Microjet
[01:39:48.255 --> 01:39:54.759]  Ed Monroe has returned to society and applied for or been hired by one of Microjet's free market competitors.
[01:39:55.219 --> 01:39:56.700]  Well, all four are out of business.
[01:39:57.361 --> 01:40:06.546]  In fact, Microjet requires its prison workers to sign contracts barring them from competing with Microjet for two years after leaving prison.
[01:40:06.846 --> 01:40:09.328]  This isn't workforce training for re-entry into society.
[01:40:10.128 --> 01:40:11.109]  And it goes on and on.
[01:40:12.150 --> 01:40:13.631]  It's a hundred times worse, okay?
[01:40:14.571 --> 01:40:15.572]  You ought to see Texas.
[01:40:15.612 --> 01:40:17.593]  We have more prisons than any other state in the Union.
[01:40:18.664 --> 01:40:31.852]  We take prisoners from other states, in fact, the other 49, and when you go out to the countryside, you either raise cattle or sheep, or you work at the prison, or you work at a gas station.
[01:40:31.872 --> 01:40:32.672]  That's really about it.
[01:40:32.692 --> 01:40:45.500]  I mean, to give you an example, I got cousins and family and great-uncles out in East Texas, and what is it, I'd say out of about 20 family members, I think all of them worked for the prison at one time or another.
[01:40:48.641 --> 01:40:52.864]  I mean, you want a job, you work at the prison as a jail guard.
[01:40:54.225 --> 01:40:58.107]  Or maybe you get caught not paying your taxes right or something.
[01:40:59.228 --> 01:41:01.690]  Maybe you have a gun loaded in your car or something.
[01:41:01.710 --> 01:41:04.712]  Maybe my family can go work at the prison another way.
[01:41:07.814 --> 01:41:09.055]  I could spend all day on that.
[01:41:09.095 --> 01:41:10.336]  We're in deep trouble, folks.
[01:41:10.476 --> 01:41:16.500]  And you notice as they add more and more regulations and control and OSHA and all this onto people's businesses,
[01:41:17.884 --> 01:41:19.204]  That none of that's on the prisons.
[01:41:21.865 --> 01:41:27.167]  And by the way, there's been a lot of cases now where you're not even given food that's eatable.
[01:41:28.287 --> 01:41:33.088]  Where you're not even given medicine if you don't work in these industries.
[01:41:33.128 --> 01:41:35.929]  So, it's sick, folks.
[01:41:35.989 --> 01:41:37.089]  It's really, really sick.
[01:41:38.790 --> 01:41:39.450]  It's amazing.
[01:41:40.450 --> 01:41:41.751]  But it's actually happened.
[01:41:41.771 --> 01:41:45.312]  Let me hit a few other news articles and we'll go straight to your calls for those patiently holding.
[01:41:45.932 --> 01:41:49.373]  Chicago Top Nation in 03 Homicide.
[01:41:49.573 --> 01:41:52.374]  This is out of the Associated Press.
[01:41:53.355 --> 01:42:02.918]  Despite a sharp drop in homicide, Chicago has regained a title it didn't want, America's Murder Capital.
[01:42:05.639 --> 01:42:07.540]  I'm sorry, I was just thinking about the prisons.
[01:42:08.374 --> 01:42:09.635]  I was just thinking about the prisons.
[01:42:09.675 --> 01:42:10.955]  I mean, that's Nazi Germany.
[01:42:10.995 --> 01:42:12.036]  That's Soviet Russia.
[01:42:12.096 --> 01:42:13.176]  The Gulags, folks!
[01:42:13.757 --> 01:42:15.638]  Privately owned by these fat cats.
[01:42:17.058 --> 01:42:19.880]  Owned by the Lockheed Martins.
[01:42:20.440 --> 01:42:21.721]  Owned by the Wackenhuts.
[01:42:21.961 --> 01:42:23.061]  Owned by the Bushes.
[01:42:24.442 --> 01:42:25.923]  And think about that!
[01:42:26.843 --> 01:42:27.904]  Think about that!
[01:42:28.984 --> 01:42:32.766]  They're sending all the jobs they can to China and India and Mexico.
[01:42:33.690 --> 01:42:44.817]  High-tech jobs, you name it, and then all the manufacturing and things that are left, and parts for anything you can imagine, again from telephones to CD players, is being made in the prisons.
[01:42:47.739 --> 01:42:49.840]  Being made in the prisons.
[01:42:51.821 --> 01:42:52.041]  What?
[01:42:53.062 --> 01:42:55.404]  And they say 30 million of us will soon be in jail?
[01:42:55.424 --> 01:42:56.424]  They're going to put another 23 million in?
[01:42:56.444 --> 01:42:56.484]  By 2010?
[01:42:56.584 --> 01:42:57.004]  That's the Feds!
[01:43:01.604 --> 01:43:03.244]  They're openly announcing this?
[01:43:03.764 --> 01:43:06.185]  And they're passing all these laws that make everything a crime?
[01:43:09.085 --> 01:43:17.247]  And you've got the people that are putting in the red light cameras, Lockheed Martin, who are putting in the cameras in the school bathrooms and hallways and showers.
[01:43:17.807 --> 01:43:21.328]  Folks, this is so Orwellian, I'm about to rip my hair out here!
[01:43:23.188 --> 01:43:25.268]  I'm glad they're making them prisoners work.
[01:43:25.328 --> 01:43:26.288]  Well good.
[01:43:26.749 --> 01:43:27.309]  Well good.
[01:43:27.349 --> 01:43:29.109]  When you're on welfare, just remember that.
[01:43:30.970 --> 01:43:32.332]  This is sick, folks.
[01:43:33.053 --> 01:43:34.634]  I'm sorry, I'm getting off here.
[01:43:34.694 --> 01:43:37.037]  I'm getting off subject here.
[01:43:37.137 --> 01:43:41.362]  I need to stay on subject.
[01:43:41.463 --> 01:43:42.584]  I just can't handle it anymore.
[01:43:43.805 --> 01:43:46.769]  At every level, we are already in total tyranny.
[01:43:48.959 --> 01:43:51.760]  They just haven't started arresting everybody that's speaking out against it.
[01:43:51.780 --> 01:43:52.220]  And you know what?
[01:43:52.240 --> 01:43:54.981]  That's because they're afraid, and they know folks are waking up to them.
[01:43:55.261 --> 01:44:08.664]  They can keep the illusion going that we all love this, but 92% of us know they killed Kennedy in major polls, 80 plus percent of us don't like the open borders, 67% of us don't like the gun grabbing, and it's... Folks, we're gonna win this fight!
[01:44:08.704 --> 01:44:12.405]  Just get angry, get focused, and stop letting the neocons con ya.
[01:44:15.726 --> 01:44:19.289]  So, and again, the highest crime rates go like this.
[01:44:19.969 --> 01:44:22.531]  Chicago, New York, Los Angeles.
[01:44:22.871 --> 01:44:24.452]  What do all three have in place?
[01:44:24.873 --> 01:44:25.974]  Massive gun control.
[01:44:27.495 --> 01:44:28.275]  Then I got this.
[01:44:28.335 --> 01:44:29.496]  Imagine being in England.
[01:44:29.896 --> 01:44:32.218]  BBC listeners want right to kill burglars.
[01:44:32.338 --> 01:44:33.379]  Oh, how hateful of them.
[01:44:34.059 --> 01:44:40.164]  If listeners of the Today program could introduce a new law in Britain, it would be one allowing them to kill an intruder in their home,
[01:44:41.121 --> 01:44:52.370]  Should the need arise, that will be a surprise, and in the program's own word, controversial choice of listeners who voted for a piece of legislation they would most likely see in the statute book.
[01:44:52.810 --> 01:45:03.398]  The audience of the Radio 4 program were asked to put forward ideas and had a real chance of becoming law, and it says that more than 26,000 took part in the final vote.
[01:45:04.765 --> 01:45:13.730]  And that is amazing, and the winning idea announced yesterday would authorize homeowners to use any means to defend their properties against intruders.
[01:45:15.451 --> 01:45:17.833]  Oh boy, says the majority who thought that.
[01:45:19.554 --> 01:45:29.760]  And every week I see an article where some woman stabs someone who is trying to rape them and she gets ten years and he sues her and doesn't go to jail.
[01:45:32.796 --> 01:45:53.810]  I remember when that Beatle, Harrison, he's getting stabbed, his wife's getting stabbed, and she bashes him over the head, the intruder, with a lamp, and police considered charging her, but said, well, she was already being stabbed, and she'd been stabbed, so she was allowed to hit him, but, you know, we might charge her.
[01:45:55.191 --> 01:45:59.834]  Folks, I see articles where somebody stabs, beats them with a metal pipe,
[01:46:00.556 --> 01:46:01.597]  And gets prison time.
[01:46:01.617 --> 01:46:02.878]  Remember Tony Martin?
[01:46:04.019 --> 01:46:05.361]  He'd been robbed three times.
[01:46:05.961 --> 01:46:08.624]  One of the gypsies had, I think, what, 37 convictions?
[01:46:09.765 --> 01:46:13.828]  And Prescott attacks call for Tony Martin law.
[01:46:13.908 --> 01:46:15.009]  This is London reporting.
[01:46:16.110 --> 01:46:23.077]  And it says, a move to make it legal for householders to shoot burglars was today condemned by John Prescott as vigilante law.
[01:46:23.689 --> 01:46:29.553]  The Deputy Prime Minister threw the weight of the government against the proposal after it was demanded by the public in a radio poll.
[01:46:29.613 --> 01:46:35.658]  He claimed that if the measures became law, people could seriously injure or even murder burglars without fearing the consequences.
[01:46:35.758 --> 01:46:36.519]  Oh, I don't want to do that.
[01:46:37.800 --> 01:46:40.542]  Folks, just ten years ago, you could shoot somebody in your house.
[01:46:40.822 --> 01:46:41.782]  They had a low crime rate.
[01:46:41.803 --> 01:46:42.943]  They had guns in England.
[01:46:43.524 --> 01:46:44.965]  The police didn't have to carry guns.
[01:46:45.385 --> 01:46:48.527]  They took the people's guns, crime rates exploded to world record levels.
[01:46:48.888 --> 01:46:50.749]  England has the second highest crime rate in the world.
[01:46:51.930 --> 01:46:53.011]  That's the UN Zone numbers.
[01:46:53.869 --> 01:46:55.550]  Okay, I got time to start going to the calls here.
[01:46:55.570 --> 01:46:56.390]  I got a bunch of other news.
[01:46:56.410 --> 01:46:57.611]  We'll get to Matrix in a second.
[01:46:58.471 --> 01:46:59.211]  Who's up next?
[01:46:59.291 --> 01:47:00.272]  Dave in Pennsylvania.
[01:47:00.312 --> 01:47:01.052]  Dave, you're on the air.
[01:47:01.112 --> 01:47:01.532]  Go ahead.
[01:47:02.272 --> 01:47:02.673]  Hi, Alex.
[01:47:02.693 --> 01:47:03.533]  Thanks for taking my call.
[01:47:03.733 --> 01:47:04.053]  You bet.
[01:47:04.793 --> 01:47:13.937]  A friend of mine who is just an ordinary type person, he's into computers, took me aside and asked me what I knew about mad cow disease.
[01:47:14.778 --> 01:47:18.039]  And when I asked him why, he said because his stepfather just died from it.
[01:47:20.106 --> 01:47:20.666]  In Florida.
[01:47:21.186 --> 01:47:22.707]  Yeah, I've seen the death certificates.
[01:47:22.847 --> 01:47:27.388]  I mean, the Mad Cow's been here for a decade, and why did they announce it now?
[01:47:27.428 --> 01:47:34.890]  Because they're ready to put in the microchip tracking of each animal, and get federal regulators on your land, when mostly open range is fine.
[01:47:34.970 --> 01:47:40.171]  It's the feedlots, and the feedlots would be fine if they'd stop feeding them rotten meat!
[01:47:41.191 --> 01:47:46.913]  Well, I think another part of it is that they take all the stuff that's left over that they don't sell,
[01:47:47.441 --> 01:47:51.342]  They process it and add proteins and feed it back to the animals.
[01:47:51.682 --> 01:47:52.483]  Of course, that's it.
[01:47:52.703 --> 01:47:55.124]  They've been doing this with the chicken farms for quite a long time.
[01:47:55.164 --> 01:47:57.344]  They feed little pellets that are made up of the beaks.
[01:47:57.564 --> 01:48:02.786]  But the chicken is an omnivore, and so its stomach is able to process most of that out.
[01:48:02.806 --> 01:48:08.208]  They have found it in chickens, they have found it in pigs, but not the level of sheep, goats, and cows.
[01:48:08.608 --> 01:48:13.230]  Because you take a herbivore that's meant to eat plants, feed them meat, it's a bad idea.
[01:48:13.250 --> 01:48:16.911]  Then you start feeding them rotten meat of their own species, you've got a problem.
[01:48:18.433 --> 01:48:19.795]  Well, I just thought I'd bring that to your attention.
[01:48:19.995 --> 01:48:32.228]  It happened near Miami, Florida, and I think once the story gets out, because the family is now doing a test, a final test to make absolutely certain that it was mad cow disease, and then they're going to release it to the media.
[01:48:32.249 --> 01:48:33.930]  I just thought you might be interested to hear that.
[01:48:34.471 --> 01:48:38.816]  Well, what happens is, in some of the cases, is you find out it's mad cow,
[01:48:40.083 --> 01:48:50.410]  They say it's Mankow, and then all of a sudden the hospital, the feds drop by, the hospital goes, that was wrong, misdiagnosis, grabs the charts, men in black suits threaten family members.
[01:48:50.490 --> 01:48:51.851]  This has happened in Austin, by the way.
[01:48:52.091 --> 01:48:52.352]  Really?
[01:48:53.092 --> 01:48:59.016]  Yeah, you want men in black to show up, have a family member die of Creutzfeldt-Jacobs, with the doctor saying it was Mankow.
[01:49:00.635 --> 01:49:05.556]  Well, they are keeping strict accounts, so I'm quite certain that this case should come through.
[01:49:05.596 --> 01:49:08.096]  I hope they don't fall off any tall buildings.
[01:49:08.517 --> 01:49:08.997]  Well, me too.
[01:49:09.037 --> 01:49:10.197]  Let's keep our fingers crossed.
[01:49:10.637 --> 01:49:12.457]  Well, what do you think about all this happening, sir?
[01:49:12.477 --> 01:49:14.518]  I mean, I've been talking about Mad Cow being here for years.
[01:49:14.738 --> 01:49:17.878]  Yeah, well, it's been in England for a while.
[01:49:18.218 --> 01:49:21.179]  It's a very small percentage of people who actually do get it, but it does happen.
[01:49:22.179 --> 01:49:26.080]  And the industry is so big, the cattle and the beef industry is so big,
[01:49:26.499 --> 01:49:31.572]  That it wouldn't surprise me that they would do almost anything to keep things quiet.
[01:49:31.592 --> 01:49:35.501]  Well, I've talked to dozens of top scientists over the years on this show and they all agree.
[01:49:36.201 --> 01:49:54.056]  If you don't eat the processed meats, the hot dogs, the chili, the junk meat stuff, a T-Bones bag that's carved right off the spine, if you stay away from those meats and brains and stuff, it's like playing Russian Roulette with a million-round magazine with one bullet in it.
[01:49:54.476 --> 01:49:54.676]  Wow.
[01:49:55.337 --> 01:49:56.978]  It's very safe.
[01:49:57.979 --> 01:49:59.640]  You've got a better chance of getting struck by lightning.
[01:49:59.880 --> 01:50:03.043]  The problem is they're putting these spinal and brain products in everything!
[01:50:03.823 --> 01:50:04.524]  Yeah, it's everywhere.
[01:50:04.544 --> 01:50:08.648]  It's true that these things can turn up in things that aren't necessarily associated with beef.
[01:50:08.909 --> 01:50:12.392]  So we don't need to have tracking and control and microchips and everything.
[01:50:12.612 --> 01:50:18.639]  We need to prosecute with felonies anybody that puts spinal cord or brain into anything.
[01:50:18.979 --> 01:50:23.344]  Yeah, and it's a very big industry and it is a source of a likely terrorist target.
[01:50:23.709 --> 01:50:28.751]  If they introduce some sort of virus that takes out this industry, it could very well have a very damaging effect.
[01:50:28.771 --> 01:50:31.732]  The British government released foot and mouth publicly four years ago.
[01:50:31.772 --> 01:50:32.892]  It's absolutely a matter of fact.
[01:50:33.052 --> 01:50:34.533]  And it can devastate the economy.
[01:50:34.573 --> 01:50:37.274]  So it's something that is tied into many different levels.
[01:50:37.634 --> 01:50:39.935]  So your friend had a family member who died from it?
[01:50:40.295 --> 01:50:46.677]  His stepfather, he went down to Florida on Thanksgiving, and that was when the funeral was.
[01:50:47.384 --> 01:50:51.285]  And he just came back, and as I say, he is just ready to sort of let this out.
[01:50:51.625 --> 01:50:55.046]  I think the family might have done an article in the Miami Herald or another one.
[01:50:55.426 --> 01:50:57.787]  When I find out more of the details, I'll give you a call.
[01:50:57.807 --> 01:50:59.328]  I'll even tell you his name and where he's from.
[01:50:59.368 --> 01:50:59.588]  Yes, sir.
[01:50:59.608 --> 01:51:02.108]  Email that to tips at InfoWars.com.
[01:51:02.148 --> 01:51:02.348]  Okay.
[01:51:02.628 --> 01:51:03.929]  Anything else you want to add, Dave?
[01:51:04.229 --> 01:51:08.530]  Keep up the great work, and I love when you give out the specific sources of the things that you mention.
[01:51:08.790 --> 01:51:09.110]  All right.
[01:51:09.130 --> 01:51:09.691]  God bless you.
[01:51:09.731 --> 01:51:11.151]  We'll be back with more calls, more news.
[01:51:14.690 --> 01:51:20.636]  Herbal Healer Academy is the global supplier of the finest natural medicine that you may need in these troubled times.
[01:51:20.856 --> 01:51:23.118]  We specialize in keeping you alive and healthy.
[01:51:23.318 --> 01:51:29.664]  We provide outstanding products like ECAC, colloidal silver 500 parts per million, olive leaf extract,
[01:51:30.054 --> 01:51:30.634]  I think so.
[01:51:52.603 --> 01:51:54.686]  Simply log on to HerbalHealer.com.
[01:51:54.846 --> 01:51:59.312]  Check out our online member testimonials and our hundreds of exceptional products.
[01:51:59.533 --> 01:52:02.617]  We have been working hard since 1988 to save the remnant.
[01:52:02.777 --> 01:52:08.645]  That's HerbalHealer.com, your website for safe, effective natural alternatives and education.
[01:52:12.381 --> 01:52:15.642]  Introducing the most efficient gravity filter available.
[01:52:15.702 --> 01:52:19.883]  You know, if you were to throw 100 ball bearings at a magnet, most would bounce off.
[01:52:20.143 --> 01:52:22.923]  But, if you placed them on the magnet, all would stick.
[01:52:23.123 --> 01:52:25.524]  The same principle applies in water filtration.
[01:52:25.704 --> 01:52:34.346]  Most filtration systems force water through the filter at 60 to 90 PSI, causing water molecules to race through the filter in less than a second.
[01:52:34.546 --> 01:52:35.906]  The Berkey Light is different.
[01:52:36.086 --> 01:52:40.327]  Water molecules take 5 to 10 minutes to pass through the torturous path
[01:52:40.507 --> 01:52:41.007]  We're good to go!
[01:53:01.460 --> 01:53:04.285]  Get the Advanced Berkey Light for only $259 by calling New Millennium at 888-803-4438.
[01:53:04.325 --> 01:53:05.126]  Not yet available in Iowa.
[01:53:11.877 --> 01:53:18.720]  Hey folks, Alex Jones here, and I'm very excited to announce the release of my bombshell documentary film, 9-1-1, The Road to Tyranny, on DVD.
[01:53:19.020 --> 01:53:20.401]  That's right folks, DVD.
[01:53:20.581 --> 01:53:22.782]  The original film was 144 minutes long.
[01:53:22.942 --> 01:53:25.023]  The DVD version is 170 minutes.
[01:53:25.303 --> 01:53:30.265]  If you want to wake up your friends and families to the truth of what happened on September 11th, this is the film for you.
[01:53:30.585 --> 01:53:34.607]  The Road to Tyranny is already sending shockwaves through Washington and across the United States.
[01:53:34.867 --> 01:53:36.628]  You absolutely must see this DVD.
[01:53:36.708 --> 01:53:47.356]  It covers the history of government-sponsored terrorism, the police state and homeland security, the nightmare UN population control programs, the cashless society control grid, satellite tracking and plannable microchips, and much, much more.
[01:53:47.516 --> 01:53:49.418]  Bottom line, this film is waking people up.
[01:53:49.618 --> 01:53:53.480]  Order your copy on VHS or DVD today, and man the guns of the Info War.
