[00:00:05.746 --> 00:00:08.747]  Everything is proceeding
[01:48:24.257 --> 01:48:35.261]  I mean, they, they are just such arrogant creatures, and they really think they're gonna get away with it, because they don't care if Greece burns, they don't care if Germany burns, they don't even care if the US burns.
[01:48:35.261 --> 01:48:37.241]  They will use that as a way to consolidate things.
[01:48:37.241 --> 01:48:40.862]  We have that in the IMF documents, how they create the IMF riots.
[01:48:40.862 --> 01:48:42.523]  So how do you beat them?
[01:48:42.523 --> 01:48:45.004]  How do you beat a group of criminals that have
[01:48:45.604 --> 01:48:54.208]  Millions and millions of paramilitary police working for him that can't even balance their checkbook and bow down to anybody with a bald head in a suit.
[01:48:54.208 --> 01:49:05.194]  Well, I know how you can beat them, but I'm interested to hear you try to convince me that my way to beat them is unworkable, because I think it is workable.
[01:49:05.194 --> 01:49:10.716]  Okay, we try to shoot down Coca-Cola legally by going after its stock.
[01:49:10.716 --> 01:49:13.978]  They just breathe more fiat billions into it.
[01:49:14.940 --> 01:49:16.182]  But here's the thing.
[01:49:16.182 --> 01:49:25.938]  If, in fact, Coca-Cola, which is a, um, I believe now it's roughly $50 or $60 billion, or maybe a higher billion dollar company, it's biggest shareholder is Warren Buffett.
[01:49:27.027 --> 01:49:28.907]  And, um, it's clearly an icon.
[01:49:28.907 --> 01:49:29.528]  It's global.
[01:49:29.528 --> 01:49:32.928]  It's a global currency, like the yen, the dollar, gold.
[01:49:32.928 --> 01:49:34.349]  Coca-Cola is sold everywhere.
[01:49:34.349 --> 01:49:36.549]  Somali pirates deal in Coca-Cola.
[01:49:36.549 --> 01:49:38.509]  Coca-Cola is the only currency in Somalia.
[01:49:38.509 --> 01:49:39.069]  Did you know that?
[01:49:39.069 --> 01:49:47.431]  That the tankers off the Somali coast that have Coke syrup, their major distribution point in Africa, that's the central bank of Somalia, is Coke syrup.
[01:49:47.431 --> 01:49:49.172]  And it's the world's cheapest.
[01:49:49.172 --> 01:49:50.852]  It's the poor man's gold.
[01:49:50.852 --> 01:49:55.713]  Now, if you can boycott Coca-Cola products to the point where that stock goes to zero,
[01:49:56.993 --> 01:49:59.615]  Believe me, you're going to get people's attention.
[01:49:59.615 --> 01:50:03.798]  People are going to be frightened of you instead of you having to be frightened of them.
[01:50:03.798 --> 01:50:11.703]  Because it shows them that the power has shifted from the way that they do business... So it's like Washington winning at Trenton.
[01:50:11.703 --> 01:50:14.085]  It was a minor battle, but it showed we could win.
[01:50:15.336 --> 01:50:18.417]  First of all, yeah, okay, I'll go with that, but it's not a minor battle.
[01:50:18.417 --> 01:50:19.957]  It's pretty significant.
[01:50:19.957 --> 01:50:22.297]  It's a Dow Jones stock.
[01:50:22.297 --> 01:50:23.558]  It's an icon.
[01:50:23.558 --> 01:50:25.238]  It's owned by Warren Buffett.
[01:50:25.238 --> 01:50:25.978]  It's easy to do.
[01:50:25.978 --> 01:50:29.859]  It's like Gandhi's march to the sea to make salt.
[01:50:29.859 --> 01:50:31.039]  It's a boycott.
[01:50:31.039 --> 01:50:32.300]  It's easy to do.
[01:50:32.300 --> 01:50:34.160]  It's a no-cost weapon of choice.
[01:50:34.160 --> 01:50:36.660]  And you can tell every single day if you're winning or not.
[01:50:36.660 --> 01:50:37.921]  Just look at the price of Coke.
[01:50:37.921 --> 01:50:39.661]  If it's going down, you're winning.
[01:50:39.661 --> 01:50:41.201]  If it's going up, you're losing.
[01:50:41.201 --> 01:50:43.882]  If you take down Coke to zero, then you can move on.
[01:50:43.942 --> 01:50:44.242]  Stay there.
[01:50:44.242 --> 01:50:44.602]  Gotta break.
[01:50:44.602 --> 01:50:44.882]  Stay there.
[01:51:02.165 --> 01:51:03.466]  Hi, this is Alex Jones.
[01:51:03.466 --> 01:51:09.050]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[01:51:09.050 --> 01:51:14.074]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[01:51:14.074 --> 01:51:19.658]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[01:51:19.658 --> 01:51:24.882]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[01:51:24.882 --> 01:51:26.763]  They call it a Survival Seed Bank.
[01:51:27.170 --> 01:51:31.973]  And it can produce an endless supply of nutrient-dense food for you and your family.
[01:51:31.973 --> 01:51:33.094]  And here's the best part.
[01:51:33.094 --> 01:51:35.875]  These seeds have not been genetically modified in any way.
[01:51:35.875 --> 01:51:39.777]  And you actually get enough seeds to plant a full acre crisis garden.
[01:51:39.777 --> 01:51:42.979]  So visit them today at survivalseedbank.com.
[01:51:42.979 --> 01:51:45.201]  That's survivalseedbank.com.
[01:51:45.201 --> 01:51:46.081]  Or give them a call at 877-327-0365.
[01:51:46.081 --> 01:51:46.321]  That's 877-327-0365.
[01:51:46.321 --> 01:51:47.442]  Remember, in a real crisis,
[01:51:56.280 --> 01:51:58.841]  Non-hybrid seeds are the ultimate barter item.
[01:51:58.841 --> 01:52:02.103]  This is Alex Jones for SurvivalSeedBank.com.
[01:52:02.103 --> 01:52:03.084]  Here's a question.
[01:52:03.084 --> 01:52:09.287]  If you have a septic system, did you know that proper maintenance can save you thousands of dollars in costly and unnecessary repairs?
[01:52:09.287 --> 01:52:10.668]  The answer is simple.
[01:52:10.668 --> 01:52:14.770]  Use septic system injector treatments made specifically for your home or business.
[01:52:14.770 --> 01:52:17.872]  Available only at SimpleSepticSolutions.com.
[01:52:17.872 --> 01:52:18.972]  Made in the U.S.
[01:52:18.972 --> 01:52:24.015]  Guaranteed to reduce sludge and odor by continuously cleaning your septic system, drain pipes, and leach field.
[01:52:24.275 --> 01:52:33.478]  This non-hazardous patented injector system contains billions of natural active bacteria and enzymes proven to digest household waste with every flush.
[01:52:33.478 --> 01:52:38.279]  Millions of enzyme active bacteria flow through your system breaking down organic waste.
[01:52:38.279 --> 01:52:44.321]  Only simple septic solutions natural eco-friendly products keep your septic system unclogged and free-flowing.
[01:52:44.321 --> 01:52:46.462]  Claims other products can't make.
[01:52:46.462 --> 01:52:49.183]  Installation is simple and lasts for four full months.
[01:52:49.503 --> 01:52:51.846]  Visit SimpleSepticSolutions.com.
[01:52:51.846 --> 01:52:53.408]  That's SimpleSepticSolutions.com.
[01:52:53.408 --> 01:52:54.109]  Or call 508-759-0010.
[01:52:54.109 --> 01:52:54.309]  That's 508-759-0010.
[01:53:01.974 --> 01:53:05.176]  If you suffer from poor sleep, you've gotta try MyPillow!
[01:53:05.176 --> 01:53:08.919]  Introducing the most revolutionary, most comfortable, and coolest pillow ever!
[01:53:08.919 --> 01:53:09.779]  MyPillow!
[01:53:09.779 --> 01:53:12.081]  Imagine your very own custom fit pillow!
[01:53:12.081 --> 01:53:16.044]  MyPillow is the only pillow of its kind on the market that uses a patented fill!
[01:53:16.044 --> 01:53:18.425]  Custom made to your exact individual needs!
[01:53:18.425 --> 01:53:24.389]  MyPillow is 100% made in the USA and has a natural built-in cooling effect that keeps your cervical nerves cool!
[01:53:24.389 --> 01:53:27.131]  And that helps you get the best REM sleep possible!
[01:53:27.131 --> 01:53:31.234]  MyPillow helps alleviate snoring, migraine, sleep apnea, and other sleeping disorders!
[01:53:31.474 --> 01:53:38.737]  MyPillow is anti-microbial, non-allergenic, dust mite resistant, machine washable and dryable, comes in many sizes and will not go flat.
[01:53:38.737 --> 01:53:43.458]  And best of all, MyPillow comes with a 10-year warranty and a 60-day money-back guarantee.
[01:53:43.458 --> 01:53:45.919]  So what do you have to lose except poor sleep?
[01:53:45.919 --> 01:53:50.961]  Go to MyPillowShop.com, mention coupon code GCN and receive up to $40 off.
[01:53:50.961 --> 01:53:52.762]  That's MyPillowShop.com.
[01:53:52.762 --> 01:53:53.122]  Or call 952-442-6199.
[01:53:53.122 --> 01:53:53.502]  That's 952-442-6199.
[01:53:53.502 --> 01:53:53.902]  MyPillow.
[01:53:53.902 --> 01:53:54.803]  For the rest of your life.
[01:54:12.335 --> 01:54:14.797]  Look, it's like Bernie Madoff or Ken Lay.
[01:54:14.797 --> 01:54:16.037]  They've all committed crimes.
[01:54:16.037 --> 01:54:17.178]  Just arrest them.
[01:54:17.178 --> 01:54:19.800]  We've got to extricate ourselves out of this.
[01:54:19.800 --> 01:54:28.086]  And if the public was as informed about fractional reserve banking and derivatives as they were about basketball or football, we wouldn't be in this situation.
[01:54:28.086 --> 01:54:29.767]  Now, we're just talking to Max Keiser.
[01:54:29.767 --> 01:54:32.769]  He says it's all going to implode when they steal everything.
[01:54:32.769 --> 01:54:34.630]  And, you know, there's a method to their madness, though.
[01:54:34.630 --> 01:54:41.795]  They plan to replace that with an eco-fascism, neo-feudalistic system, Max Keiser.
[01:54:42.728 --> 01:54:44.128]  Yeah.
[01:54:44.128 --> 01:54:45.509]  Is that a question?
[01:54:45.509 --> 01:54:49.570]  It's a statement, but yeah, you can comment on it.
[01:54:49.570 --> 01:54:57.632]  Well, you know, as I, on the break, I pointed your attention to an article that was written a few years ago when I launched this Coca-Cola boycott.
[01:54:57.632 --> 01:55:05.914]  Because what happens is, if enough people start boycotting Coke, you draw the attention of these hedge funds, who then start selling short Coke.
[01:55:06.594 --> 01:55:10.657]  On behalf of the boycott, because remember, they don't care who they're working for.
[01:55:10.657 --> 01:55:12.178]  They just want to make a quick buck.
[01:55:12.178 --> 01:55:19.164]  If you can leverage the hedge fund community to do the work of you, the humble boycotter, you've turbocharged your boycott.
[01:55:19.164 --> 01:55:35.576]  So instead of now having a few hundred thousand people boycotting Coke, and it might have the impact of subtracting $20 or $30 million from their market capitalization, you're now attracting the hedge funds who are going to subtract $10 or $20 billion from their market capitalization.
[01:55:35.917 --> 01:55:40.192]  And the hedge funds will keep shorting as long as you keep building your boycott.
[01:55:44.158 --> 01:55:44.699]  Snowballs!
[01:56:09.002 --> 01:56:11.384]  I agree with you, and I think that's a good plan.
[01:56:11.384 --> 01:56:14.307]  I also think Grand Jury should start indicting these people.
[01:56:14.307 --> 01:56:17.109]  Barney Madoff founded the Nasdaq, but he wasn't invincible.
[01:56:17.109 --> 01:56:24.956]  We can bring these criminals down by also exposing their criminality and their financial terrorism, which you've done a good job of doing, Max.
[01:56:24.956 --> 01:56:26.938]  Jeff in Missouri, you're on the air with Max Keiser.
[01:56:26.938 --> 01:56:28.059]  Go ahead.
[01:56:28.059 --> 01:56:29.300]  Good day, gentlemen.
[01:56:29.300 --> 01:56:31.222]  I've got two questions.
[01:56:31.222 --> 01:56:34.325]  First of all, Mr. Keiser, can you explain how
[01:56:34.969 --> 01:56:39.790]  These SDRs are going to replace the dollar.
[01:56:39.790 --> 01:56:41.671]  I know I'm a little bit familiar about SDRs.
[01:56:41.671 --> 01:56:45.312]  They've been around for a while, but exactly what are they?
[01:56:45.312 --> 01:56:52.434]  And also, my second question is, is there any way you can get an article printed up that we can hand out to other people?
[01:56:53.121 --> 01:57:01.784]  On a step-by-step, what happened last week, last Thursday... I've got Paul Watson writing an article right now about what Max said earlier in the hour.
[01:57:01.784 --> 01:57:03.304]  You can also go to MaxKaiser.com.
[01:57:03.304 --> 01:57:06.085]  He's got info on it there, but answer that first question, Max.
[01:57:06.085 --> 01:57:09.706]  Right, so an FDR is, you know, another fiat currency.
[01:57:09.706 --> 01:57:12.367]  It doesn't take anything to create a fiat currency.
[01:57:12.367 --> 01:57:18.729]  You simply say, here is a basket, a unit, a measurement, an accounting unit.
[01:57:18.729 --> 01:57:22.650]  It's going to be based on a basket of other stocks.
[01:57:23.170 --> 01:57:52.176]  Other currencies, and we're going to call it an SDR, Special Drawing Right, and we're going to recalibrate how the other currencies are weighted in this new basket, this new SDR, and as the global economy starts to, you know, continues to break apart, we'll say, well, because China's actually exporting a lot of stuff and they've got some resources, we'll give them a higher ratio as representation of this SDR because that'll keep them
[01:57:52.717 --> 01:58:05.778]  It's the bankers transcending the nation states they've sucked dry and creating a new 0% fractional reserve banking digital money that will then absorb what's left of sovereignty.
[01:58:06.837 --> 01:58:08.558]  One exists already right now.
[01:58:08.558 --> 01:58:10.340]  It's called a credit default swap.
[01:58:10.340 --> 01:58:22.288]  A credit default swap is a global unit of fraud that banks all over the world swap with each other and they create this back-end unit of currency that they conduct all measure of multi-billion dollar fraud.
[01:58:22.288 --> 01:58:23.469]  And they use it as a weapon.
[01:58:23.469 --> 01:58:25.791]  It's designed to be corrosive.
[01:58:25.791 --> 01:58:26.852]  They want to wreck things.
[01:58:27.592 --> 01:58:29.193]  Well, it's dilutive.
[01:58:29.193 --> 01:58:37.135]  I mean, that's the key to it, is that it dilutes the existing equity that you would associate with a unit of currency.
[01:58:37.135 --> 01:58:38.255]  Max, back in one minute.
[01:58:38.255 --> 01:58:38.896]  Gotta break.
[01:58:38.896 --> 01:58:44.957]  Man, I could talk for ten hours with Max Geiser.
[01:58:44.957 --> 01:58:47.438]  Thank you for listening to GCN.
[01:58:47.438 --> 01:58:49.779]  Be sure to visit GCNlive.com today.
[01:58:51.383 --> 01:58:55.464]  Let me tell you a little bit about one of our great sponsors, HomeGain.com.
[01:58:55.464 --> 01:59:01.446]  This is the place to get you started buying or selling a home, finding a realtor, and getting any real estate questions answered.
[01:59:01.446 --> 01:59:05.627]  Go to HomeGain.com and see what I'm talking about.
[01:59:05.627 --> 01:59:12.349]  All you need to do is type in your home address and you will get an instant free estimate of your home's value online.
[01:59:12.349 --> 01:59:15.670]  This is a great way to be able to monitor the value of your home.
[01:59:15.670 --> 01:59:17.191]  And again, it's absolutely free.
[01:59:17.771 --> 01:59:19.812]  There are tons of tools to help you.
[01:59:19.812 --> 01:59:23.593]  For instance, if you want to remodel your home, go to HomeGain.com.
[01:59:23.593 --> 01:59:30.394]  Use their Home Sale Maximizer to help you determine which home improvements can most increase your home's value before you put it on the market.
[01:59:30.394 --> 01:59:33.955]  For 10 years, these folks have been helping home sellers and buyers.
[01:59:33.955 --> 01:59:36.296]  Visit their link at InfoWars.com.
[01:59:36.296 --> 01:59:36.976]  Look for Max.
[01:59:37.136 --> 01:59:39.138]  Alex Jones on the GCM Radio Network.
[01:59:39.138 --> 01:59:39.538]  Big Brother.
[02:00:07.541 --> 02:00:09.322]  Mainstream media.
[02:00:09.322 --> 02:00:11.063]  Government cover-ups.
[02:00:11.063 --> 02:00:12.664]  You want answers?
[02:00:12.664 --> 02:00:14.204]  Well, so does he.
[02:00:14.204 --> 02:00:18.386]  He's Alex Jones on the GCN Radio Network.
[02:00:18.386 --> 02:00:23.929]  And now, live from Austin, Texas, Alex Jones.
[02:00:23.929 --> 02:00:28.491]  It's one thing to intellectually know what the new world order is.
[02:00:28.491 --> 02:00:31.493]  A global government for the administrative convenience for central bankers.
[02:00:31.493 --> 02:00:32.993]  David Rockefeller, 1991, heavy in France.
[02:00:35.037 --> 02:00:49.088]  It is another thing to see it in full practice, and to have laptops watching kids at home in their bedrooms, and FEMA camps being built, and banks stealing trillions, and now it's not even news, it's just, oh, you're mad at 150 billion?
[02:00:49.088 --> 02:00:49.909]  It's a trillion now!
[02:00:50.589 --> 02:00:58.212]  Max Keiser has agreed to stay with us about five minutes into the next segment, then George Humphrey will join us midstream, also an economist in his own right, to get his expert take on this.
[02:00:58.212 --> 02:01:12.618]  I'm holding Max over so we can at least talk to John and Charles, Jacob, Josh, and maybe Mike, but I just want to say I've done two hours of radio now, and having really plugged my films, that's how we finance ourselves here.
[02:01:12.618 --> 02:01:13.918]  We can't just make money out of nothing.
[02:01:13.918 --> 02:01:17.600]  We've got to crawl around with little crumbs and try to fund our operation to beat these people.
[02:01:18.620 --> 02:01:39.901]  But if you'll go to Infowars.com, the online video bookstore, and buy some of the t-shirts, videos, books, materials, they're the best films, best books, you know, not just my work, but the stuff I see that I think is really informative, we carry it at Infowars.com, whether it's Fall of the Republic, Obama Deception, Police State 4, The Rise of FEMA, such key intelligence, Invisible Empire, In Order to Find, Endgame, Shadow Government.
[02:01:39.901 --> 02:01:43.124]  You can also now pre-order it, start shipping out at the end of next week.
[02:01:44.557 --> 02:01:55.860]  You can also now pre-order the new film, Don't Tread on Me, which gets into states' rights and how to take the states back, and Democracy vs. Republic.
[02:01:55.860 --> 02:02:00.061]  It's such an important film by the makers of Camp FEMA, Gary Franchi and William Lewis.
[02:02:00.061 --> 02:02:03.481]  Okay, let's go right back to calls for Max Keiser.
[02:02:03.481 --> 02:02:04.802]  Let's talk to John in Ohio.
[02:02:04.802 --> 02:02:05.542]  John, you're on the air.
[02:02:06.741 --> 02:02:18.631]  Yeah, I wanted to call you just before the end of the program when you got cut off last week and then you said call the next day and then there were no calls, so I'm going to try to relate this to what you're talking about now.
[02:02:18.631 --> 02:02:27.819]  I'd need probably a hundred times more articulateness and a thousand hours to describe all the ways that I disagree with part of your analysis.
[02:02:27.819 --> 02:02:33.364]  I think you're progressive in certain ways and absolutely fascist in other points.
[02:02:33.872 --> 02:02:35.072]  I'll tell you, I'll ask you a question.
[02:02:35.072 --> 02:02:40.514]  Now you said that the IMF and the World Bank are really the villains that are really plundering and raping the world.
[02:02:54.961 --> 02:03:08.546]  And yet, you say that countries like Chavez and Cuba, who are trying their best, imperfectly, to resist this kind of plunder, are subjected to the worst kind of slander by the media.
[02:03:08.546 --> 02:03:15.589]  And you say you don't agree with the corporate media, the CIA-connected media, yet you repeat exactly those kinds of disinformation.
[02:03:15.589 --> 02:03:16.589]  John, I appreciate your call.
[02:03:19.446 --> 02:03:23.309]  Iran is run by thugs at many levels.
[02:03:23.309 --> 02:03:25.031]  So is our government.
[02:03:25.031 --> 02:03:28.593]  It isn't either Chavez is good or Obama's good.
[02:03:28.593 --> 02:03:29.394]  They're both bad.
[02:03:29.394 --> 02:03:34.538]  I mean, it's such a child... I'm not saying you're like a child, but that is... Max Keiser, it's so childlike.
[02:03:34.538 --> 02:03:36.460]  I mean, do you have any comments?
[02:03:36.460 --> 02:03:45.747]  All I can say is that, you know, I wish times were better because I could give up my gig as Max the Orange Home Gang Gorilla.
[02:03:45.747 --> 02:03:46.488]  Oh my God.
[02:03:49.946 --> 02:03:52.391]  Kaiser, you've always got some ridiculous joke.
[02:03:52.391 --> 02:03:58.702]  Yeah, well, it just occurred to me every time we break to a commercial, he's talking about Max the Orange Gorilla.
[02:03:58.702 --> 02:04:02.149]  And I'm thinking to myself, Jesus, that guy's probably making better money than I am.
[02:04:04.009 --> 02:04:11.272]  Alright, Max, we're going to come back to the final segment and go to Charles, Jacob, and Josh and Mike with serious questions for Max Keiser.
[02:04:11.272 --> 02:04:12.952]  But we do have to have some gallows humor.
[02:04:12.952 --> 02:04:22.375]  But seriously, what is this mindset where people think, I've got to be, how can I be against white supremacists and against black supremacists?
[02:04:22.375 --> 02:04:24.956]  Well, I'm against all these racists.
[02:04:24.956 --> 02:04:28.817]  Or, how can I be against communism, but then I'm against the big banks?
[02:04:28.817 --> 02:04:32.979]  I'm against any form of tyranny, and tyranny has a lot of different flavors, doesn't it, Max?
[02:04:34.204 --> 02:04:43.156]  Well, that's a problem you have, because you are very far-ranging in your look and criticism of things.
[02:04:43.156 --> 02:04:49.205]  I focus purely on the banks, markets, and finance, and through that prism, I see things clearly.
[02:04:50.248 --> 02:04:50.848]  If you know what I mean.
[02:04:50.848 --> 02:04:54.530]  I'm not trying to evade the answer, I'm just saying that... No, no, I agree with you!
[02:04:54.530 --> 02:04:57.871]  I mean, the big threat is not Hugo Chavez, it's Goldman Sachs.
[02:04:57.871 --> 02:05:01.252]  But it doesn't mean I have to bow down to Hugo Chavez.
[02:05:01.252 --> 02:05:09.255]  In March, Alex Jones announced that eFoods Direct was putting together a high-volume, pre-production order of the new Quick Fix meals.
[02:05:09.255 --> 02:05:16.257]  By waiting for production and shipping of their orders, families were able to receive one free item for every three that they bought.
[02:05:16.597 --> 02:05:23.559]  Since the final shutdown of this buy three get one free program, we've had a lot of folks calling disappointed that they missed the order deadline.
[02:05:23.559 --> 02:05:24.799]  Listen carefully.
[02:05:24.799 --> 02:05:34.521]  Starting immediately, eFoodsDirect.com will take pre-production orders for a buy three get one free program for one week ending May 14th at midnight.
[02:05:34.521 --> 02:05:38.742]  You will receive one free item for every three that you order of the selected products.
[02:05:38.742 --> 02:05:41.743]  These orders will begin shipping the first week of June.
[02:05:41.743 --> 02:05:45.024]  To order on the web, eFoodsDirect.com slash Alex
[02:05:45.524 --> 02:05:46.025]  Or call 800-409-5633.
[02:05:46.025 --> 02:05:48.148]  That's efoodsdirect.com slash Alex 800-409-5633.
[02:05:48.148 --> 02:05:51.253]  Again, that's efoodsdirect.com slash Alex 800-409-5633.
[02:06:00.984 --> 02:06:02.304]  Hi, this is Alex Jones.
[02:06:02.304 --> 02:06:07.886]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[02:06:07.886 --> 02:06:12.908]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[02:06:12.908 --> 02:06:17.930]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible that could even happen again.
[02:06:18.470 --> 02:06:23.694]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[02:06:23.694 --> 02:06:26.015]  They call it a Survival Seed Bank.
[02:06:26.015 --> 02:06:30.818]  And it can produce an endless supply of nutrient-dense food for you and your family.
[02:06:30.818 --> 02:06:31.939]  And here's the best part.
[02:06:31.939 --> 02:06:35.001]  These seeds have not been genetically modified in any way.
[02:06:35.001 --> 02:06:38.624]  And you actually get enough seeds to plant a full acre crisis garden.
[02:06:38.624 --> 02:06:41.806]  So visit them today at SurvivalSeedBank.com.
[02:06:41.806 --> 02:06:44.047]  That's SurvivalSeedBank.com.
[02:06:44.047 --> 02:06:44.968]  Or give them a call at 877-327-0365.
[02:06:48.590 --> 02:06:52.834]  That's 877-327-0365.
[02:06:52.834 --> 02:06:57.658]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[02:06:57.658 --> 02:07:00.061]  This is Alex Jones for survivalseedbank.com.
[02:07:00.757 --> 02:07:03.078]  They helped to create a New World Order.
[02:07:03.078 --> 02:07:05.460]  We are part of a New World Order.
[02:07:05.460 --> 02:07:08.661]  A New World Order based upon collective action.
[02:07:08.661 --> 02:07:13.784]  Invisible Empire is a damning indictment of the globalists through their own words and documents.
[02:07:13.784 --> 02:07:18.307]  The New World Order really is a tool for addressing a new world of possibilities.
[02:07:18.307 --> 02:07:20.648]  It means all the world under their control.
[02:07:20.648 --> 02:07:23.189]  The United Nations would take over America.
[02:07:23.189 --> 02:07:26.031]  The Trilateral Commission would control the world.
[02:07:26.431 --> 02:07:34.055]  Invisible Empire chronicles how men of power and influence have worked in stealth for centuries to establish an oppressive world government.
[02:07:34.372 --> 02:07:39.777]  I believe, first of all, that we now need nothing short of a world constitution for the global financial system.
[02:07:39.777 --> 02:07:42.619]  Global governance with the establishment of the G20.
[02:07:42.619 --> 02:07:46.302]  So it's going to be an inner ruling elite and then everyone else.
[02:07:46.302 --> 02:07:47.383]  And I got news for you.
[02:07:47.383 --> 02:07:48.724]  You're everyone else.
[02:07:48.724 --> 02:07:50.226]  Invisible Empire.
[02:07:50.226 --> 02:07:54.529]  Secure your copy today at InfoWars.com or PrisonPlanet.com.
[02:07:54.529 --> 02:07:58.252]  Or watch it online in the highest quality at PrisonPlanet.tv.
[02:08:04.048 --> 02:08:10.670]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[02:08:10.670 --> 02:08:14.211]  It's Alex Jones and the GCN Radio Network.
[02:08:14.211 --> 02:08:16.171]  We are going into financial bondage.
[02:08:16.171 --> 02:08:18.752]  We are under financial siege.
[02:08:18.752 --> 02:08:23.313]  A trillion dollars pumped into private banks, Europe being told they've got to give up their pension funds.
[02:08:24.333 --> 02:08:26.975]  The Germans on the verge of throwing out Merkel.
[02:08:26.975 --> 02:08:29.997]  She lost many seats in their government.
[02:08:29.997 --> 02:08:30.537]  Same thing.
[02:08:30.537 --> 02:08:32.098]  Gordon Brown steps down.
[02:08:32.098 --> 02:08:35.420]  Nicolas Sarkozy in trouble, saying no to the carbon tax.
[02:08:35.420 --> 02:08:44.906]  So we're having some victories against the bankers setting up their global tax, but they're going to hold us in financial hostages until we go along with it and continue to play games.
[02:08:44.906 --> 02:08:49.929]  As the real economy dies, they continue to have everyone addicted to their stock market.
[02:08:49.929 --> 02:08:52.891]  Is that a good assessment, Max Keiser of MaxKeiser.com?
[02:08:53.371 --> 02:09:08.722]  Well, all the professionals who work in the gaming industry, and we talked about this last time, and the online gaming industry are migrating into the finance business so that all of the techniques that get people hooked on games
[02:09:09.677 --> 02:09:12.819]  ...are being used to get people hooked on doing day trading.
[02:09:12.819 --> 02:09:30.828]  So, as I explained earlier in the show, when you see a Goldman Sachs or somebody like that pushing prices up 2 or 3 percent, the folks that are on the day trading, you know, addiction, kick in, and they are doing the dirty work for them.
[02:09:30.828 --> 02:09:36.191]  So they've basically created an army of what I call Manchurian candidates.
[02:09:36.191 --> 02:09:38.312]  These people, they just, when they hear the trigger word,
[02:09:38.812 --> 02:09:39.033]  We're good.
[02:09:46.460 --> 02:09:48.601]  And it's like that with terrorism.
[02:09:48.601 --> 02:09:51.101]  It's like that with the phony environmental movement.
[02:09:51.101 --> 02:09:55.082]  It's all these mind-controlled zombie groups that give the globalists power.
[02:09:55.082 --> 02:09:56.743]  But look at the controllers.
[02:09:56.743 --> 02:10:01.084]  They can't even plug this oil leak that's now millions and millions of gallons.
[02:10:01.084 --> 02:10:03.464]  They lied about that and said it was a few thousand gallons.
[02:10:03.464 --> 02:10:04.344]  They're not God.
[02:10:04.344 --> 02:10:09.206]  And that's what's even more dangerous is that I think they're going to lose control.
[02:10:09.206 --> 02:10:11.106]  I believe they're starting to lose control.
[02:10:11.106 --> 02:10:13.847]  Webster Tarpley, who I really respect, believes that as well.
[02:10:13.847 --> 02:10:15.127]  I mean, do you see them losing control?
[02:10:16.101 --> 02:10:22.185]  Wait a minute, the payout from the insurance company is way more than the money they're losing on that oil spill, Alex.
[02:10:22.185 --> 02:10:28.550]  The insurance is overwritten, just like these companies in America buy life insurance on employees.
[02:10:28.550 --> 02:10:33.313]  So when employees die, the life insurance company gets the money, not the family.
[02:10:33.313 --> 02:10:37.456]  No, that's what Walmart greeters are for, is they do actuaries that's come out.
[02:10:37.456 --> 02:10:43.440]  They know when they're going to die statistically, so they just hire a bunch of old people to stand there because they're putting three mil on each one of them.
[02:10:43.848 --> 02:10:44.228]  I don't know.
[02:11:02.782 --> 02:11:06.123]  Risk is socialized, profit privatized.
[02:11:06.123 --> 02:11:13.785]  We're going to take a few quick questions because we've got George Humphrey here in studio and Max Keiser has to go here in just a moment.
[02:11:13.785 --> 02:11:16.986]  But Charles in Louisiana, you're on the air with Max Keiser.
[02:11:16.986 --> 02:11:17.326]  Go ahead.
[02:11:17.326 --> 02:11:19.066]  How are you doing, sir?
[02:11:19.066 --> 02:11:22.627]  Yeah, I'm down here in Louisiana watching all this.
[02:11:22.627 --> 02:11:26.468]  They said in 72 hours they might be going to try something else.
[02:11:26.468 --> 02:11:28.148]  But they really haven't.
[02:11:28.148 --> 02:11:30.929]  It's another Katrina, and they laid back on it.
[02:11:31.417 --> 02:11:38.179]  What they want to do now is take human hair and animal hair and suck it up off the pieces to make mats out of it.
[02:11:38.179 --> 02:11:43.680]  But I think what's going to... the Bayou Boys, it's going to tear them up.
[02:11:43.680 --> 02:11:45.201]  It's going to finish the Bayou Boys.
[02:11:45.201 --> 02:11:46.721]  All the boats are docked right now.
[02:11:46.721 --> 02:11:51.462]  They can't buy no seafood.
[02:11:51.462 --> 02:11:52.803]  It's right now in Venice.
[02:11:52.803 --> 02:11:55.063]  It's ten miles off the shore, real heavy.
[02:11:55.063 --> 02:11:57.024]  And they hit the shore in Alabama now.
[02:11:58.237 --> 02:12:03.401]  When it hits here, it's just going to wipe Louisiana out.
