[00:00:03.622 --> 00:00:10.152]  Defending the Republic from enemies foreign and domestic, it's Alex Jones!
[00:54:53.786 --> 00:54:58.541]  Do you think you'll get any success getting this information from the TSA?
[00:54:58.541 --> 00:55:00.447]  And if you do, what's the time frame generally?
[00:55:01.918 --> 00:55:08.023]  These things can take a long time, unfortunately, a lot longer than they should.
[00:55:08.023 --> 00:55:18.631]  We hope to have the records within 20 days, although they may respond that it takes longer for some reason or whatnot.
[00:55:18.631 --> 00:55:27.779]  I'm hopeful that we'll get at least some good information from the FOA request that we sent in on the 29th of November.
[00:55:30.460 --> 00:55:33.041]  But, you know, we'll just have to wait and see it.
[00:55:33.041 --> 00:55:53.645]  It is troubling that there certainly appears to be, as you've already indicated, a TSA stand-down on the use of the full-body, naked-body scanners on the days that there was a great deal of attention drawn to opting out, even as the TSA was claiming
[00:55:54.085 --> 00:56:00.833]  That the use of these scanners is absolutely essential to protect the traveling public.
[00:56:00.833 --> 00:56:02.115]  You can't have it both ways.
[00:56:03.166 --> 00:56:03.727]  Amazing.
[00:56:03.727 --> 00:56:19.665]  In closing, we see Cass Sunstein at the White House, I'm sure you've seen it, being a civil libertarian, openly saying, shut down alternative media, fine or arrest people that question man-made global warming.
[00:56:19.665 --> 00:56:23.569]  We've got all these announcements by other czars that they want to restrict free speech.
[00:56:24.330 --> 00:56:29.771]  We see these moves by Jay Rockefeller and his words, we'd be better off never having the internet.
[00:56:29.771 --> 00:56:33.292]  He talked about shutting down Fox News in a bizarre statement two weeks ago.
[00:56:33.292 --> 00:56:46.375]  I mean, as the alternative media expands, I see a perfect storm of the old dinosaur media and the government really having an end for the alternative media.
[00:56:46.375 --> 00:56:51.756]  What's your take on their moves to start curtailing free speech?
[00:56:52.973 --> 00:56:56.357]  This is always a danger with government, Alex.
[00:56:56.357 --> 00:56:58.359]  I remember it.
[00:56:58.359 --> 00:57:03.744]  You're a lot younger than I am, but I remember I was working for the government during the Nixon era.
[00:57:03.744 --> 00:57:10.772]  Nixon tried this virtually every... The only one I can remember that didn't try anything like this was probably Reagan.
[00:57:11.272 --> 00:57:22.179]  But there's constant efforts, Republican or Democratic administrations alike, to control the media.
[00:57:22.179 --> 00:57:27.743]  And there are so many more ways to get ideas out in the public arena now.
[00:57:28.583 --> 00:57:36.568]  The good news is that those mechanisms are out there, so people do have the power and the ability to be much better informed.
[00:57:36.568 --> 00:57:42.831]  But on the other hand, it also provides a lot more mechanisms or vehicles for government to try and control.
[00:57:42.831 --> 00:57:44.052]  Amazing congressman!
[00:57:44.052 --> 00:57:49.235]  They're doing it through the... through the... what's... I'm drawing a blank.
[00:57:49.235 --> 00:57:50.016]  Hold on one moment!
[00:57:50.016 --> 00:57:50.596]  Hold on one moment!
[00:57:50.836 --> 00:57:55.019]  Hi folks, this is Alex Jones asking you for a minute of your time to tell you about soap.
[00:57:55.019 --> 00:58:01.424]  Not detergents, but good old-fashioned pure soap made by the Calvin Soap Company, a family-owned and operated American company.
[00:58:01.424 --> 00:58:08.810]  My family, staff, friends, and radio listeners are constantly telling me how much they love these products for bath, hair, laundry, and dishes.
[00:58:08.810 --> 00:58:13.694]  There is nothing like these factory-direct, big-money-saving, triple-concentrated soaps anywhere.
[00:58:13.694 --> 00:58:15.836]  Get a free, detailed catalog by calling 800-340-7091.
[00:58:18.618 --> 00:58:22.340]  Or see them online at FiveStarSoap.com or InfoWars.com.
[00:58:22.340 --> 00:58:26.581]  Let's talk to the owner of Five Star Soap, Marty Schachter, and see what he has to say.
[00:58:26.581 --> 00:58:33.364]  As founder and owner for over 63 years, people keep asking me, how's business?
[00:58:33.364 --> 00:58:37.266]  I'm happy to say our business is going down the drain.
[00:58:37.266 --> 00:58:38.426]  Call us at 1-800-340-7091.
[00:58:38.426 --> 00:58:43.048]  Visit our website, FiveStarSoap.com for buying a one to two month
[00:58:48.490 --> 00:58:49.571]  Soap sampler.
[00:58:49.571 --> 00:58:50.591]  Thank you.
[00:58:50.591 --> 00:58:51.752]  A very wealthy U.S.
[00:58:51.752 --> 00:58:58.696]  citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:58:58.696 --> 00:59:01.257]  He says it will change everything about our lives.
[00:59:01.257 --> 00:59:06.640]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[00:59:06.640 --> 00:59:09.682]  Now this man has made some outrageous predictions over the years.
[00:59:09.682 --> 00:59:11.743]  The crazy part is, he's usually right.
[00:59:11.983 --> 00:59:18.228]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[00:59:18.228 --> 00:59:21.610]  In fact, Barron's called his work a dire prophecy.
[00:59:21.610 --> 00:59:27.394]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[00:59:27.394 --> 00:59:29.035]  And it's a real eye-opener.
[00:59:29.035 --> 00:59:30.336]  I can't stress this enough.
[00:59:30.336 --> 00:59:33.018]  You should at least watch this free video online today.
[00:59:33.018 --> 00:59:37.241]  He explains everything you need to know, including simple steps you can take to protect yourself.
[00:59:37.241 --> 00:59:39.823]  You can find the video at www dot
[00:59:40.023 --> 00:59:41.844]  End of America 3.com.
[00:59:41.844 --> 00:59:44.425]  That's End of America, the number 3.com.
[00:59:44.425 --> 00:59:48.307]  Watch the free video at www.EndOfAmerica3.com.
[00:59:48.307 --> 00:59:51.769]  That's EndOfAmerica3.com.
[00:59:51.769 --> 00:59:53.290]  Coast to Coast.
[00:59:53.290 --> 00:59:55.351]  Direct from Austin.
[00:59:55.351 --> 00:59:58.553]  You're listening to the Alex Jones Broadcasting Network.
[01:00:05.714 --> 01:00:10.536]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:10.536 --> 01:00:12.117]  You want answers?
[01:00:12.117 --> 01:00:13.677]  Well, so does he.
[01:00:13.677 --> 01:00:17.859]  He's Alex Jones on the GCN Radio Network.
[01:00:17.859 --> 01:00:21.921]  And now, live from Austin, Texas, Alex Jones.
[01:00:23.642 --> 01:00:29.070]  Charlotte Isserby was the number two person in the Department of Education under Reagan.
[01:00:29.070 --> 01:00:33.095]  And what she discovered the bureaucracy was up to, even then, was amazing.
[01:00:33.095 --> 01:00:35.098]  The deliberate dumbing down of our children.
[01:00:35.098 --> 01:00:36.960]  She's coming up in the next segment.
[01:00:38.436 --> 01:00:40.598]  And by the way, her book is going out of print.
[01:00:40.598 --> 01:00:43.660]  We've got the last ones at InfoWars.com.
[01:00:43.660 --> 01:00:45.601]  Very powerful information.
[01:00:45.601 --> 01:00:48.904]  Finishing up with former Congressman Bob Barr.
[01:00:48.904 --> 01:00:53.827]  He heads up LibertyGuard.org and the National Opt-Out Movement.
[01:00:53.827 --> 01:01:01.053]  And what I like about what they're doing, finishing up with a congressman who's been gracious to join us today in his continued fight for liberty, is that
[01:01:01.960 --> 01:01:06.722]  This isn't just like the ACLU who you go throw yourself at the feet of and they might help you.
[01:01:06.722 --> 01:01:24.491]  This gives you a type of solidarity and a well-informed, moderate, legal opinion with a card, with your rights, letting the TSA know you're part of an organization, that you're part of a group of people
[01:01:25.031 --> 01:01:26.173]  Tell us about Liberty Guard.
[01:01:35.899 --> 01:01:59.586]  Liberty Guard is an organization that we formed earlier this year with a group of very, very good freedom lovers like you, Alex, to educate the American people with regard to much of what government is doing, not just the TSA, but other government agencies, the privacy invasions, and so forth.
[01:02:00.646 --> 01:02:05.709]  The evils of the growth of big government, the corresponding loss of freedom.
[01:02:05.709 --> 01:02:15.133]  And one of the projects that we've taken on, as we've discussed here a little bit today, is the Opt Out Alliance.
[01:02:15.133 --> 01:02:21.276]  This costs nothing for people to get their Opt Out Alliance, the Air Travelers' Rights Card.
[01:02:21.276 --> 01:02:28.279]  They can get that by going directly to libertyguard.www.libertyguard.org.
[01:02:29.099 --> 01:02:34.423]  They can get it by going to Bob Barr's website, my website, bobbarr.org.
[01:02:34.423 --> 01:02:35.623]  We have a link.
[01:02:35.623 --> 01:02:40.747]  Or they can go directly to optoutalliance.org.
[01:02:40.747 --> 01:02:58.899]  It's simply important for people to go to the Opt Out Alliance website simply to let us know, to sign up, get your free card so that you know what your rights are, but also to let other freedom-loving Americans know that you're on board to take a stand
[01:02:59.999 --> 01:03:01.540]  Absolutely.
[01:03:01.540 --> 01:03:03.421]  In closing, you got cut off by the break.
[01:03:03.421 --> 01:03:11.044]  You were getting into the move towards censorship of media that, from my research, I've never seen in this country be as intense.
[01:03:11.044 --> 01:03:13.645]  Finish up that statement in about one minute and we'll let you get back to work.
[01:03:15.262 --> 01:03:24.425]  Yeah, it isn't just government going after media and new media outlets, the alternative media, the internet and so forth.
[01:03:24.425 --> 01:03:33.468]  It's all of the above and the so-called net neutrality law or regulations that the FCC is pushing right now.
[01:03:34.649 --> 01:03:36.771]  Is part and parcel of that.
[01:03:36.771 --> 01:03:46.979]  The government, as you know, almost always tries to couch its steps to take away liberty as liberty enhancing.
[01:03:46.979 --> 01:03:52.264]  You know, sort of the Orwellian or bizarro world approach to government.
[01:03:52.264 --> 01:03:56.868]  But people need to watch out for this net neutrality law and the regulations as well.
[01:03:57.148 --> 01:04:05.034]  Yeah, I've read the new FCC regulations, and obviously you have, because you're accurately, from my view, addressing it.
[01:04:05.034 --> 01:04:11.979]  It claims, oh, we're going to protect the Internet, but when you read it, it's the FCC declaring regulation of the Internet.
[01:04:11.979 --> 01:04:17.223]  And when you get into the fine print of what they've said, they want to start taxing it
[01:04:17.583 --> 01:04:21.668]  Tracking it, make you have an ID, and that would be the end of the internet as we know it.
[01:04:21.668 --> 01:04:27.214]  Former Congressman Bob Barr of LibertyGuard.org, also BobBarr.org.
[01:04:27.214 --> 01:04:29.276]  Thank you for coming on the broadcast.
[01:04:29.276 --> 01:04:32.920]  We look forward to speaking to you as this story and other stories unfold.
[01:04:33.633 --> 01:04:34.193]  Absolutely.
[01:04:34.193 --> 01:04:35.654]  Thank you and your listeners, Alex.
[01:04:35.654 --> 01:04:36.495]  Thank you, Congressman.
[01:04:36.495 --> 01:04:38.336]  There goes Bob Barr, ladies and gentlemen.
[01:04:38.336 --> 01:04:49.563]  We're going to come back with Charlotte Iserby, an amazing lady who I haven't had on in several years, with her book, The Deliberate Dumbing Down of America, available at Infowars.com.
[01:04:49.563 --> 01:04:51.084]  We'll be right back, ladies and gentlemen.
[01:04:51.084 --> 01:04:51.744]  Stay with us.
[01:04:51.744 --> 01:04:53.065]  The transmission continues.
[01:04:53.065 --> 01:04:54.026]  Key Intel, straight ahead.
[01:05:03.018 --> 01:05:04.759]  Hi, this is Alex Jones.
[01:05:04.759 --> 01:05:10.484]  You've heard me talk about the delicious, easy-to-fix, and very storable foods from eFoodsDirect.com.
[01:05:10.484 --> 01:05:15.228]  I've told you for years that eFoodsDirect has the best storable food on the planet.
[01:05:15.228 --> 01:05:18.991]  Now it's that time of year again, and their holiday special is here.
[01:05:18.991 --> 01:05:25.917]  They have two holiday price packs for you to put into your reserves for a secure future or to share with others.
[01:05:25.917 --> 01:05:28.659]  The first is a six-month bulk supply in 10 cans.
[01:05:29.660 --> 01:05:37.205]  And the second is a five-week supply of quick and easy-to-fix meals, including delicious bakery items shipped in heavy tote bags.
[01:05:37.205 --> 01:05:44.270]  Now, for a limited time, when you order two or more of these special holiday packs, you'll get free shipping on your entire order.
[01:05:44.270 --> 01:05:48.492]  Call now, 800-409-5633, or visit them at efoodsdirect.com forward slash Alex.
[01:05:48.492 --> 01:05:50.874]  That's 800-409-5633, or efoodsdirect.com forward slash Alex.
[01:06:00.862 --> 01:06:10.965]  I am really excited about having our guest on, and of course, he's Dr. Joseph Marcola, and he's done so many amazing things.
[01:06:10.965 --> 01:06:26.930]  I don't even know, here with his bio, where to start, but he reaches millions of people every week with his website and his organizations, and so I know he didn't like to toot his own horn, but in a couple minutes, Dr. Marcola, before we launch into all this key information,
[01:06:27.990 --> 01:06:32.693]  What's most important for folks to know about you who may not know who you are?
[01:06:32.693 --> 01:06:39.137]  Well, I'm the founder of Mercola.com, which now currently is the third most visited health site in the world.
[01:06:39.137 --> 01:06:44.240]  We're right behind the National Institutes of Health and WebMD, and we just passed Mayo Clinic.
[01:06:44.240 --> 01:06:53.126]  So we're number three in the world, and it gives us a platform to really educate people about the fraud and deception that's occurring from the drug industry and the food industry.
[01:06:54.680 --> 01:07:00.506]  And you have made significant milestones in your mission to bring people practical solutions to their health problems.
[01:07:00.506 --> 01:07:12.076]  New York Times bestselling author, Dr. Mercola, was also involved in the 2009 Ultimate Wellness Game Changer by the Huffington Post, and has been featured in Time Magazine, LA Times, CNN, Fox News, you name it.
[01:07:12.076 --> 01:07:13.798]  We're honored to have you with us.
[01:07:13.798 --> 01:07:17.061]  Again, Mercola, M-E-R-C-O-L-A dot com.
[01:07:18.402 --> 01:07:26.429]  The reason you're the most respected of all the alternative health researchers, in my opinion, is because you just go off the real research, and there's so much to cover.
[01:07:26.429 --> 01:07:38.318]  But what can you say about, I mean, my view, I don't know if it's your view, but certainly from what I see on the ground, there is a collapse of confidence in the system.
[01:07:38.318 --> 01:07:45.544]  Everything we talked about last year, about the H1N1 lowering your immunity, being dangerous, that's now mainstream news, British Medical Journal.
[01:07:46.545 --> 01:07:59.447]  I mean, there is a collapse of confidence in this corrupt system, and the establishment is responding in a lot of strange ways, but it does look like the dam has broken.
[01:07:59.447 --> 01:08:00.268]  What's your view on that?
[01:08:01.249 --> 01:08:02.911]  I think we're making progress.
[01:08:02.911 --> 01:08:12.801]  There still is a large contingency of the public who is still fooled and deceived by the very effective marketing tactics that these industries employ.
[01:08:12.801 --> 01:08:18.747]  I mean, they literally generate many tens if not hundreds of billions of dollars in profit, and they're able to really
[01:08:19.507 --> 01:08:40.784]  Higher the most sophisticated and clever marketers on the planet so they it's a really sophisticated system It's really difficult to break out of that mold But once you yourself have an injury or if the system fails you then you're really seeking more more sound logical rational alternatives that really don't rely on expensive and toxic approaches that could literally kill you
[01:08:42.558 --> 01:08:51.981]  And I see the statistics and the numbers of 300,000 dying from drug interactions, hundreds of thousands from infections.
[01:08:51.981 --> 01:09:00.503]  I mean, boy, I tell you, this mainline healthcare is one of the biggest killers out there, rivaling even automobile accidents.
[01:09:00.503 --> 01:09:03.804]  On your radar screen, what do you see as the biggest threats out there?
[01:09:03.804 --> 01:09:05.465]  Is it sodium fluoride in the water?
[01:09:05.785 --> 01:09:09.728]  Bisphenol A, GMO, cell phone radiation.
[01:09:09.728 --> 01:09:11.290]  I mean, you cover it all.
[01:09:11.290 --> 01:09:16.995]  The stuff, as I said earlier, you were covering 10 years ago is now just all over the mainstream news.
[01:09:18.496 --> 01:09:19.437]  Well, it's a good question.
[01:09:19.437 --> 01:09:21.318]  I'm not sure if there's anyone that sticks out.
[01:09:21.318 --> 01:09:23.519]  It's really a combination of them.
[01:09:23.519 --> 01:09:32.244]  But I think probably it's just a concept and a belief that the traditional model is the approach for health care challenges.
[01:09:32.244 --> 01:09:34.645]  That is, relying on a drug.
[01:09:34.645 --> 01:09:37.647]  And we're bombarded on that, of course, from the media.
[01:09:37.647 --> 01:09:44.051]  They spend over $16 billion a year to do direct-to-consumer advertising on TV.
[01:09:44.051 --> 01:09:47.953]  And, you know, the United States is only one of two countries in the world that allows that, where it's even legal.
[01:09:48.653 --> 01:10:00.543]  So, they've really manipulated the public to believe that this is the approach, because these drugs are almost universally going to cause some type of side effect, if not death.
[01:10:00.543 --> 01:10:01.404]  I mean, it's routine.
[01:10:01.404 --> 01:10:04.227]  I mean, in London, it's just killed 80,000 people.
[01:10:04.227 --> 01:10:05.508]  Before that, Viagra killed 60,000.
[01:10:05.508 --> 01:10:09.611]  And these are the ones that we know that are really in the news.
[01:10:10.905 --> 01:10:11.545]  Well, I agree with you and
[01:10:36.946 --> 01:10:40.508]  When I watch these drug ads, it's absurdist.
[01:10:40.508 --> 01:10:43.771]  It's like they're openly admitting this drug is probably going to kill you.
[01:10:43.771 --> 01:10:45.111]  Oh, you're having trouble sleeping?
[01:10:45.111 --> 01:10:48.514]  Or you're having trouble, you know, needing to urinate a lot?
[01:10:48.514 --> 01:10:55.719]  And they'll tell you 10 seconds how great it is, but then they say it may not be right for you, causes heart attack, sudden death, brain damage.
[01:10:55.719 --> 01:10:58.761]  I mean, it's bizarre.
[01:10:58.761 --> 01:11:01.562]  And then ask your doctor about this drug.
[01:11:01.562 --> 01:11:06.646]  I mean, sometimes I'm pinching myself, wondering if I'm having a bad dream.
[01:11:07.346 --> 01:11:09.187]  It almost seems that way, just a minute.
[01:11:09.187 --> 01:11:10.267]  Like it really is.
[01:11:10.267 --> 01:11:13.688]  If you go to any other country in the world, you're not going to see that video except for Australia.
[01:11:13.688 --> 01:11:15.509]  There's only two countries in the world that allow that.
[01:11:15.509 --> 01:11:26.272]  Let's start... You know, it really, you know, you look at these and it's been on for 15 years, but prior to 1995, those ads did not exist in the media.
[01:11:26.272 --> 01:11:27.533]  It was illegal.
[01:11:27.533 --> 01:11:30.574]  But then they lobbied Congress and they were able to get permission to air those.
[01:11:31.741 --> 01:11:38.568]  Meanwhile, they're always waging war against alternative medicine or even vitamins and minerals.
[01:11:38.568 --> 01:11:43.053]  Now they're demonizing, you know, vitamin D. It just gets crazier and crazier.
[01:11:43.857 --> 01:12:03.344]  Well, it wasn't so much demonizing, but the Institute of Medicine came out with a report last week which really essentially ignored the stacks of new studies and research that promote, that establish vitamin D as a very useful approach in over 2,000 diseases!
[01:12:03.344 --> 01:12:11.686]  And they only focused on bone health, which we've known about for about 100 years, and they ignored all the rest of the research, and virtually no vitamin D experts were on the panel.
[01:12:11.686 --> 01:12:12.707]  It was really a travesty.
[01:12:13.707 --> 01:12:33.542]  Yeah, it's hard to nail a specific conspiracy, but there's actually lawsuits against this recommendation because it's really deceiving the public and not allowing them to fully utilize this incredible resource, which is about one of the least expensive vitamins you can possibly purchase, and one that has probably the most significant impact on your health.
[01:12:33.542 --> 01:12:37.385]  Sure, but I mean, my demon eyes, I was thinking of Dr. Dina Dell, who
[01:12:39.066 --> 01:12:49.934]  I mean, I listened to him and just almost everything he says is patently false and he was just flipping out and saying that, you know, it's bad to take most vitamins and that we don't need them.
[01:12:49.934 --> 01:12:54.177]  But then I look at all the studies about vitamin and mineral deficiency and what a big problem it is.
[01:12:55.538 --> 01:13:07.900]  Going through the articles that I see you posting and that your great researchers are putting together that link to all the mainline medical studies that are out there, it's not just bisphenol A we've got to worry about.
[01:13:07.900 --> 01:13:18.002]  You've been reporting on the other chemicals that are in the liners of the wrappers around hamburgers and other things that are causing serious problems.
[01:13:18.002 --> 01:13:22.883]  Can you go over what bisphenol A and these other chemicals are and what the studies show they're doing?
[01:13:23.789 --> 01:13:43.249]  Well, the article you're referring to we posted last week, a study that came out that showed that these wrappers, which are usually put in place to prevent the grease and oils in the fast food from leaking out, as they would if you used regular paper, there's these sticky coatings, and you see some of it, too, also on the microwavable popcorn.
[01:13:43.909 --> 01:13:52.012]  So the way they're able to do that is really similar to how they achieve a non-stick surface, which is they put a fluorinated chemical compound.
[01:13:52.012 --> 01:13:58.114]  And this fluorine compound actually dissociates and it migrates into the food.
[01:13:58.114 --> 01:14:01.235]  So you're actually eating these compounds when you do that.
[01:14:01.235 --> 01:14:03.596]  That's definitely not going to be... Fluorine?
[01:14:03.596 --> 01:14:05.596]  That sounds like fluoride.
[01:14:05.596 --> 01:14:05.916]  Yes.
[01:14:05.916 --> 01:14:07.097]  Well, it's a fluoride compound.
[01:14:07.097 --> 01:14:07.837]  There's no question.
[01:14:07.837 --> 01:14:09.738]  Well, they just love to give us fluoride.
[01:14:09.738 --> 01:14:10.638]  I guess because they love us.
[01:14:11.684 --> 01:14:12.945]  Well, it's a pretty useful chemical.
[01:14:12.945 --> 01:14:19.008]  It's a really interesting innovation to have a material that you can fry food with and not stick.
[01:14:19.008 --> 01:14:21.349]  But it does it at quite a price.
[01:14:21.349 --> 01:14:32.415]  Typically, when I'm lecturing, I tell people if they have any non-stick finishes to either find a relative or a neighbor they don't like and give it to them because the stuff is toxic in fact.
[01:14:32.415 --> 01:14:35.016]  But actually, it's not that toxic as long as you don't eat it.
[01:14:35.536 --> 01:14:42.301]  But the moment you heat it, you start to volatilize this fluoride and it goes into a gas and it can cause health problems.
[01:14:42.301 --> 01:14:47.524]  And it's so much so that if you're in a closed environment, you could actually kill pet birds.
[01:14:47.524 --> 01:14:49.346]  I mean, this stuff is really toxic.
[01:14:49.346 --> 01:14:51.927]  Oh, I'm sure it's an accident they're doing this.
[01:14:51.927 --> 01:14:58.772]  Also, they report on the bisphenol A is in most, or 40%, and they said, oh, 60% of the printer ink.
[01:14:58.772 --> 01:15:01.314]  So I guess I'm touching it right here, right now.
[01:15:01.314 --> 01:15:02.635]  I mean, this stuff is just everywhere.
[01:15:03.416 --> 01:15:10.502]  Well, it's sort of stealth too, and when you go to the grocery store and you get these receipts, it's on those receipts.
[01:15:10.502 --> 01:15:15.106]  So, you know, you want to really minimize your contact with those.
[01:15:15.106 --> 01:15:19.810]  Now the good news is, what, four states have passed laws that start restricting this, at least for children.
[01:15:19.810 --> 01:15:23.974]  They're pointing out that it's in the baby bottles, as again, you did a decade ago, plus.
[01:15:23.974 --> 01:15:29.399]  So we're starting to move in a good direction, but now we're finding out that this stuff is just everywhere.
[01:15:31.098 --> 01:15:32.139]  There's no question it is.
[01:15:32.139 --> 01:15:39.848]  And aside from the bisphenol A, you have the phthalates, which is a chemical that's added in the manufacturing of plastic to make it pliable.
[01:15:39.848 --> 01:15:43.513]  So any plastic that's flexible will have these phthalates in there.
[01:15:43.513 --> 01:15:48.519]  That's another chemical that's loaded with complications, and that also should be banned.
[01:16:02.259 --> 01:16:06.283]  Hundreds of nations have fallen to tyranny in the last century alone.
[01:16:06.283 --> 01:16:09.526]  This is our last chance to not relive history.
[01:16:09.526 --> 01:16:14.330]  As they're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[01:16:14.330 --> 01:16:20.736]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[01:16:20.736 --> 01:16:22.959]  I think it's incumbent upon all of us
[01:16:23.499 --> 01:16:23.799]  Tim Geithner?
[01:16:23.799 --> 01:16:24.319]  Bernanke?
[01:16:24.319 --> 01:16:24.980]  They're arsonists!
[01:16:24.980 --> 01:16:26.080]  They're asking for more matches!
[01:16:26.080 --> 01:16:28.502]  And the Congress is saying, who do we make the check out to?
[01:16:42.409 --> 01:16:46.771]  Today seems like nobody does care and right now in Washington D.C.
[01:16:46.771 --> 01:16:49.672]  we have seen a fall of the Republic.
[01:16:49.672 --> 01:16:58.796]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv
[01:17:01.049 --> 01:17:02.691]  Hello friends, this is Alex Jones.
[01:17:02.691 --> 01:17:06.074]  You've heard me talk about Calden 5 Star Soaps for years.
[01:17:06.074 --> 01:17:11.279]  This is an American made product of the highest quality and compares to nothing you will find in stores.
[01:17:11.279 --> 01:17:14.722]  You can buy factory direct, shipped via UPS right to your door.
[01:17:14.722 --> 01:17:16.724]  Check them out on the web at 5starsoap.com.
[01:17:17.685 --> 01:17:21.228]  Or call 800-340-7091.
[01:17:21.228 --> 01:17:22.349]  Take my word for it.
[01:17:22.349 --> 01:17:25.012]  Once you've used pure soap, you won't buy anything else.
[01:17:25.012 --> 01:17:31.537]  Since 1947, Calvin Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[01:17:31.537 --> 01:17:33.039]  Buy American and stay clean.
[01:17:33.039 --> 01:17:36.342]  As well as support InfoWars, visit 5StarsSoap.com today.
[01:17:36.342 --> 01:17:36.742]  Or call 1-800-340-7091.
[01:17:36.742 --> 01:17:38.083]  Well, Marty, what do you have to say?
[01:17:41.351 --> 01:17:49.298]  As founder and owner for over 63 years, satisfaction is guaranteed on W Dirtback!
[01:17:49.298 --> 01:17:54.403]  Call us at 1-800-340-7091 for a free catalog or visit our website 5starsoap.com.
[01:17:54.403 --> 01:17:54.823]  Thank you!
[01:18:00.589 --> 01:18:05.152]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[01:18:05.152 --> 01:18:06.053]  Number 1.
[01:18:06.053 --> 01:18:09.476]  New climate legislation could easily double or triple your electric bill.
[01:18:09.476 --> 01:18:10.336]  Number 2.
[01:18:10.336 --> 01:18:15.240]  Our new energy czar wants to control how much power your electric company allows you to have.
[01:18:15.240 --> 01:18:15.980]  It's true.
[01:18:15.980 --> 01:18:20.844]  Total government control of electricity in the name of smart grid technology is coming.
[01:18:20.844 --> 01:18:21.685]  Number 3.
[01:18:21.685 --> 01:18:25.267]  In some areas of the country, the power grid is dangerously overloaded.
[01:18:25.267 --> 01:18:28.970]  And now, new socialist legislation is only compounding the problem.
[01:18:29.170 --> 01:18:29.971]  Number 4.
[01:18:29.971 --> 01:18:32.714]  Dangerous weather is always a threat to local grids.
[01:18:32.714 --> 01:18:36.398]  Every year, thousands of families lose their power from weather-related outages.
[01:18:36.398 --> 01:18:37.198]  Number 5.
[01:18:37.198 --> 01:18:41.343]  A solar power generator provides powerful backup, insurance, and peace of mind.
[01:18:41.343 --> 01:18:46.108]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[01:18:46.388 --> 01:18:50.555]  You can get more information at www.mysolarbackup.com.
[01:18:50.555 --> 01:18:52.358]  That's mysolarbackup.com.
[01:18:52.358 --> 01:18:54.601]  Remember, the government doesn't own the sun.
[01:18:54.601 --> 01:18:56.945]  So go to mysolarbackup.com or call 1-877-327-0365.
[01:19:00.512 --> 01:19:04.333]  Diamond Gusset is proud to announce the anthem of the Patriot movement.
[01:19:04.333 --> 01:19:08.615]  They're offering a free CD, t-shirt, and bumper sticker with a qualifying purchase.
[01:19:08.615 --> 01:19:13.316]  Diamond Gusset offers great products at great prices while keeping Americans working.
[01:19:13.316 --> 01:19:19.258]  I'm looking for a factory where a man can feed his family.
[01:19:19.258 --> 01:19:22.539]  Not worried about them moving south.
[01:19:22.539 --> 01:19:26.441]  Closing the doors and shutting her down tomorrow.
[01:19:29.034 --> 01:19:34.581]  I'm looking for America.
[01:19:34.581 --> 01:19:36.222]  Wear American and be proud.
[01:19:36.222 --> 01:19:38.825]  Go to gusset.com forward slash America.
[01:19:38.825 --> 01:19:43.431]  The land I left free and the home of the brave.
[01:19:43.431 --> 01:19:47.395]  Seems like I just woke up one day and it was gone.
[01:19:55.006 --> 01:20:01.908]  Again, go to gusset.com forward slash America Today.
[01:20:01.908 --> 01:20:05.509]  Coast to coast, direct from Austin.
[01:20:05.509 --> 01:20:11.151]  You're listening to the Alex Jones Broadcasting Network.
[01:20:11.151 --> 01:20:16.213]  From the front lines of the information war, it's Alex Jones.
[01:20:22.085 --> 01:20:27.788]  So, Dr. Mercola, you get the same intel that I'm receiving.
[01:20:27.788 --> 01:20:31.089]  I mean, they admit in the media that thyroid dysfunction is off the charts.
[01:20:31.089 --> 01:20:37.512]  Perhaps you can talk about those numbers, but just women everywhere, talk show hosts, you name it, young women.
[01:20:37.512 --> 01:20:39.213]  I hear them talking about it.
[01:20:39.213 --> 01:20:40.453]  I see women all over the place.
[01:20:40.453 --> 01:20:42.554]  You can see their hair falling out.
[01:20:42.554 --> 01:20:48.597]  I mean, how much more obvious does this poisoned environment have to get?
[01:20:48.597 --> 01:20:50.158]  Please continue breaking that down.
[01:20:51.246 --> 01:20:54.669]  Well, the bulk of the people that experience it are women.
[01:20:54.669 --> 01:20:59.574]  My guess is it's certainly the majority of women, but perhaps 75-80% of women have some challenge with it.
[01:20:59.574 --> 01:21:08.163]  And if your listeners are interested in finding out if they have a problem, they can certainly go online, our website, or Google it and find out what the symptoms are.
[01:21:08.163 --> 01:21:09.484]  But there's a blood test you can take.
