[00:00:00.209 --> 00:00:01.629]  ...and cover us.
[01:29:30.752 --> 01:29:32.373]  Let's bring Paul Watson in for a second.
[01:29:32.373 --> 01:29:32.573]  Paul?
[01:29:33.661 --> 01:29:36.522]  Well, yeah, that's what we were talking about.
[01:29:36.522 --> 01:29:42.045]  The article states, and here are some of the headlines to be found on one of the best websites.
[01:29:42.045 --> 01:29:42.925]  We don't know which one it is.
[01:29:42.925 --> 01:29:44.846]  It could be prisonplanet.com.
[01:29:44.846 --> 01:29:51.249]  That was in reference to... But the headlines are all from mainstream publications.
[01:29:51.249 --> 01:29:59.012]  Screened audiences fake news promote Bush agendas from Hearst Publishing, which attacked us on the same basis that you're attacking us.
[01:29:59.452 --> 01:30:01.213]  Yeah, they're supposedly mainstream.
[01:30:01.213 --> 01:30:09.057]  The other one, lies revealed, pretext for war fabricated, dead wrong, London Guardian, one of the biggest newspapers in Britain.
[01:30:09.057 --> 01:30:12.578]  Al-Qaeda making Agent X advances, that's Reuters.
[01:30:12.578 --> 01:30:17.500]  And the problem we have is that you list these articles as if, oh, look at these kooky headlines.
[01:30:17.500 --> 01:30:18.501]  Who would believe these?
[01:30:18.501 --> 01:30:21.542]  And they're all from mainstream publications.
[01:30:21.542 --> 01:30:22.703]  Well, that's what I did in my articles.
[01:30:23.772 --> 01:30:25.233]  Quoted what was on the site.
[01:30:25.233 --> 01:30:30.738]  But you link to her, let me just say this professor, and then I'll shut up, or doctor, or whatever.
[01:30:30.738 --> 01:30:33.139]  Let me just say this, because this is important.
[01:30:33.139 --> 01:30:36.542]  On her website is Haratz and UPI.
[01:30:36.542 --> 01:30:44.008]  When she makes the claim that Israel created fake Al Qaeda groups to carry out terror attacks, that has been in all the major Jewish newspapers.
[01:30:44.008 --> 01:30:46.930]  Now is Professor Christensen now Jewish?
[01:30:46.930 --> 01:30:51.174]  Because she links to a socialist website, so you call her socialist.
[01:30:53.021 --> 01:30:54.662]  Well, first of all, let me back up a little bit.
[01:30:54.662 --> 01:30:57.484]  Do you believe what Professor Christensen believes because you linked to her?
[01:30:57.484 --> 01:31:04.968]  You guys are going to make my case for me if you're going to argue for skepticism about things that appear on the web.
[01:31:04.968 --> 01:31:05.728]  No, go ahead!
[01:31:05.728 --> 01:31:22.178]  What I said, you know, in the context of Jewish cabal controls the world event in that quote, that was, if you think the Bush administration planned the 9-11 attack to give it an excuse to wage war for global domination, that a Jewish cabal controls the world event
[01:31:22.665 --> 01:31:25.327]  And all of those, then you'll disagree with my assessment.
[01:31:25.327 --> 01:31:35.454]  That sentence refers back to my first paragraph, which is that I believe that this was a course quite worthy of listing in my course of the month.
[01:31:35.454 --> 01:31:43.940]  So, that, all of those things respond to different sites and findings that I found on those different sites.
[01:31:43.940 --> 01:31:52.366]  So, of those, if I recall correctly, the Nixon, Reagan, and Bush is going to practice dowel worship referred back to what InfoWars.
[01:31:53.001 --> 01:31:54.484]  The others were from other websites.
[01:31:54.484 --> 01:31:58.912]  So I'm not saying that the Jewish Cabal stuff was from yours.
[01:32:00.069 --> 01:32:02.670]  Subsequent reading of the piece would make that pretty clear.
[01:32:02.670 --> 01:32:03.611]  No, it wouldn't.
[01:32:03.611 --> 01:32:11.175]  I'd say you spend over a third of your time in the article talking about my website, associating it with other groups and other people.
[01:32:11.175 --> 01:32:18.639]  Well, then I must have a much greater appreciation for your readers' ability to read than you do, because... That's a psychological game.
[01:32:18.639 --> 01:32:20.780]  That's an ad hominem attack, and it doesn't work.
[01:32:20.780 --> 01:32:27.243]  No, it's not an ad hominem, but from each website, I list under a bullet point, from Renfrew.com, here's what I found.
[01:32:27.779 --> 01:32:33.884]  From libertythink.com, from counterfudge.org, I would think that would be pretty obvious.
[01:32:33.884 --> 01:32:34.524]  Let me stop you.
[01:32:34.524 --> 01:32:39.669]  Why didn't you link to Operation Northwoods that's listed on our site, the official U.S.
[01:32:39.669 --> 01:32:42.391]  government plan to carry out 9-11 style attacks?
[01:32:42.391 --> 01:32:43.452]  Let me ask you a question.
[01:32:43.452 --> 01:32:48.656]  For example, it was because there were more things to choose from than I could.
[01:32:48.656 --> 01:32:49.857]  I couldn't report on every
[01:32:50.497 --> 01:32:51.298]  Headline in that.
[01:32:51.298 --> 01:32:56.522]  What you're counting on people doing, Mr. Sanders, is not going and checking out the facts.
[01:32:56.522 --> 01:33:08.893]  You're counting on them reading all this ridiculous stuff about, I mean, you can go anywhere you want on the web and talk about aliens kidnapping a president and then add that in to the analysis and it's guilt by association.
[01:33:08.893 --> 01:33:09.994]  You don't have to say where that came from.
[01:33:09.994 --> 01:33:11.215]  That's what the professor did.
[01:33:11.215 --> 01:33:15.278]  The professor linked this as a daily reading website.
[01:33:16.665 --> 01:33:19.107]  Well, what's on these websites, and this is what I find.
[01:33:19.107 --> 01:33:28.315]  Oh yeah, and so you look at advertising, you look at forums, and if you can find anything connected to anything, though tentatively, you try to mix it all in together.
[01:33:28.315 --> 01:33:31.878]  It's all there in a syllabus, so I went to each one and reported on what was in the syllabus.
[01:33:31.878 --> 01:33:35.901]  There was nothing in the syllabus about Eisenhower and aliens.
[01:33:35.901 --> 01:33:42.647]  There was in the daily readings, and I went just on what was on there on April 4th when I wrote the article.
[01:33:44.485 --> 01:33:48.469]  There was a link to a website that had some advertising for something.
[01:33:48.469 --> 01:33:52.272]  I couldn't have found it other than going through the website.
[01:33:52.272 --> 01:33:54.935]  I can go to ABC News and read about flying saucers.
[01:33:54.935 --> 01:33:56.817]  They have that for a month on their main page.
[01:33:56.817 --> 01:34:00.220]  Does that mean that there's an article on ABC News about Pope Benedict XVI?
[01:34:00.220 --> 01:34:01.061]  But is it true?
[01:34:01.061 --> 01:34:04.183]  Maybe I should mix in an article about flying saucers and Pope Benedict XVI.
[01:34:07.119 --> 01:34:08.720]  I'm not sure exactly what you're arguing.
[01:34:08.720 --> 01:34:10.021]  Are you saying that everything is true?
[01:34:10.021 --> 01:34:20.528]  No, what I'm saying is because you go to a site and there's a banner for some advertisement about space aliens, then you can't look at everything on that site and say it's kooky.
[01:34:20.528 --> 01:34:22.650]  Well, it does call for skepticism.
[01:34:22.650 --> 01:34:33.978]  Okay, so if I go to a website and there's an ad for Battlestar Galactica on, say, a major news channel's website, then I can't believe anything on that news site because there's an ad for Battlestar Galactica.
[01:34:34.858 --> 01:34:40.801]  Well, Battle Star of the Galactic is pretty much a fictional thing that everyone knows, right?
[01:34:40.801 --> 01:34:43.002]  It's an ABC 2-hour special on UFOs.
[01:34:43.002 --> 01:34:47.825]  Oh, well, I don't... Does that mean everything ABC ever does is kooky?
[01:34:47.825 --> 01:34:49.026]  Let me get Paul to respond.
[01:34:49.026 --> 01:34:51.447]  Paul, I mean, there's so many points here that he brings up.
[01:34:51.447 --> 01:34:53.748]  What about Building 7?
[01:34:53.748 --> 01:34:57.210]  Mr. Sanders, I mean, Larry Silverstein says he blew up Building 7.
[01:34:57.210 --> 01:34:59.611]  Are you aware of that?
[01:34:59.611 --> 01:35:01.012]  Did he say he used tactical nukes?
[01:35:02.486 --> 01:35:04.328]  Uh, no, he didn't say he used tactical nukes.
[01:35:04.328 --> 01:35:05.449]  Prison Planet says... But now respond to me!
[01:35:05.449 --> 01:35:06.570]  He says he blew it up!
[01:35:06.570 --> 01:35:07.831]  Can you respond to that?
[01:35:07.831 --> 01:35:12.655]  Prison Planet, the quote that I use from Prison Planet, says probably tactical nukes.
[01:35:12.655 --> 01:35:19.641]  That's what a rescue worker said he was told at Ground Zero.
[01:35:19.641 --> 01:35:21.963]  Well, that was my response.
[01:35:21.963 --> 01:35:24.786]  I say tactical nukes, and, you know,
[01:35:25.703 --> 01:35:26.804]  That's pretty far out there.
[01:35:26.804 --> 01:35:29.768]  I felt that it was and you know maybe I'm confused over all the different buildings but
[01:35:40.416 --> 01:35:46.180]  If I recall correctly, they did bring down several of the buildings afterwards because they had sustained damage.
[01:35:46.180 --> 01:35:46.320]  No.
[01:35:46.320 --> 01:35:56.206]  On the day of 9-11 at 5-30, they gave the order to quote, full Building 7, gave the order, and watched it come down, and firefighters told the Associated Press, we're bringing Building 7 down.
[01:35:56.206 --> 01:36:01.630]  By the way, are you aware of the new official FEMA story is that the buildings were faulty is why they fell?
[01:36:01.630 --> 01:36:03.791]  Not the last three official stories of why it fell?
[01:36:05.854 --> 01:36:09.236]  I'm not keeping up with which is the official theme of the story or whatever.
[01:36:09.236 --> 01:36:17.802]  I'm just... Well, how do you call her basically... I mean, how do you imply she's a communist because she links to socialist websites?
[01:36:17.802 --> 01:36:19.984]  How do I imply she's a communist?
[01:36:19.984 --> 01:36:21.425]  Well, I mean, I can read the article here on air.
[01:36:21.425 --> 01:36:23.466]  It's all about commie this, commie that.
[01:36:23.466 --> 01:36:24.427]  Yes.
[01:36:24.427 --> 01:36:25.007]  Well, yeah.
[01:36:25.007 --> 01:36:25.808]  Quote me a quote.
[01:36:25.808 --> 01:36:27.489]  Give me a quote.
[01:36:27.489 --> 01:36:29.931]  Well, what I'll do during the break is I will read back into your article.
[01:36:29.931 --> 01:36:34.094]  You're saying in the article that you don't talk about how she links to all these commies.
[01:36:35.686 --> 01:36:41.167]  No, I say links to such as the Communist Front Group International Answer.
[01:36:41.167 --> 01:36:44.268]  And to the Marxist Professor!
[01:36:44.268 --> 01:36:48.389]  But she also links to AP, Reuters, conservative websites.
[01:36:48.389 --> 01:36:50.270]  You don't mention that, though.
[01:36:50.270 --> 01:36:59.952]  I mention Al Jazeera, Pravda, the other alternative media, the International Solidarity Movement for Palestine, Earth First, the Peace Desire for Public and Well-Being.
[01:36:59.952 --> 01:37:02.933]  These are the sort of things, when I read, they do
[01:37:04.537 --> 01:37:07.298]  They do make me sick, they do give me coughs.
[01:37:07.298 --> 01:37:12.380]  Did you link to that UPI article about Israel carrying out terror attacks against itself?
[01:37:12.380 --> 01:37:14.161]  Um, no I don't think I did.
[01:37:14.161 --> 01:37:16.782]  Are you aware, did you see it?
[01:37:16.782 --> 01:37:18.603]  I can't remember everything I saw that day.
[01:37:18.603 --> 01:37:23.344]  Are you aware of Operation, are you aware of Operation Gladio?
[01:37:23.344 --> 01:37:24.645]  Uh, no.
[01:37:24.645 --> 01:37:27.266]  Well that's, now it, Paul tell them about Gladio real fast.
[01:37:28.263 --> 01:37:29.203]  Well yeah, it's admitted.
[01:37:29.203 --> 01:37:31.204]  It's in the National Security Archive.
[01:37:31.204 --> 01:37:46.410]  It was called the Strategy of Tension with the CIA operation in the 70s in Spain, Italy and France to stage bombings such as train stations, soft targets to blame it on the then left to bolster the right-wing government.
[01:37:46.410 --> 01:37:52.072]  And we've exposed right-wing terrorism, left-wing terrorism, but that is admitted as taking place in the 70s.
[01:37:52.072 --> 01:37:56.114]  Fake terror attacks blamed on the left-wing.
[01:37:57.714 --> 01:37:58.915]  She's got a link to that.
[01:37:58.915 --> 01:38:01.296]  I guess you didn't click on that?
[01:38:01.296 --> 01:38:04.118]  Like I said, I already wrote 1,600 words on it.
[01:38:04.118 --> 01:38:07.520]  I can't go into everything and respond to it.
[01:38:07.520 --> 01:38:12.643]  I was giving information as to what this course entailed.
[01:38:12.643 --> 01:38:20.907]  Now, from an academic perspective, there is nothing other than this one perspective.
[01:38:20.907 --> 01:38:25.630]  Supposedly, an academic course, in your level, judged by the number, 495,
[01:38:27.663 --> 01:38:44.875]  Um, that, when she admits it directly in her syllabus that, um, sorry, I'm reading, this course is unscientific and is outside the scope of traditional political science.
[01:38:44.875 --> 01:38:47.296]  That's fair grounds for me to criticize as far as I'm concerned.
[01:38:47.296 --> 01:38:55.622]  Well, the course is saying Bill Clinton and George Bush aren't crime partners, you know, telling us there's a fake, I mean, that there is some type of left-right separation.
[01:38:55.622 --> 01:38:57.223]  Those are fake and unscientific.
[01:38:57.791 --> 01:38:58.811]  I mean, what does that mean?
[01:38:58.811 --> 01:39:13.496]  I mean, she's honest about the fact that she believes this is true, and that this is her view, but then if you watch my films, it's all documents, and the government admitting it, and their own documents, and where you can get them.
[01:39:13.496 --> 01:39:17.858]  And you trust the government documents so they admit something, but you don't trust the government on other things.
[01:39:19.202 --> 01:39:20.663]  That argument doesn't work.
[01:39:20.663 --> 01:39:21.083]  No, no, no.
[01:39:21.083 --> 01:39:23.043]  They put the spin on it that it's good that the U.S.
[01:39:23.043 --> 01:39:24.964]  government wanted to carry out terror attacks.
[01:39:24.964 --> 01:39:28.945]  They put the spin on things that it's good that they're arresting five-year-old children.
[01:39:28.945 --> 01:39:32.265]  They put the spin on things that it's good that our borders are wide open.
[01:39:32.265 --> 01:39:36.306]  They put the spin on things that it's good that our police wear black ski masks.
[01:39:36.306 --> 01:39:43.048]  Well, anyone with any skeptical frame of mind can think of these things and combat them internally without
[01:39:44.025 --> 01:39:48.847]  I'm believing the absolute worst about people.
[01:39:48.847 --> 01:39:57.510]  My underlying criticism of this whole thing is the immediate jump to the spiritual outlook.
[01:39:57.510 --> 01:39:59.330]  But it isn't an immediate jump, sir.
[01:39:59.330 --> 01:40:00.711]  We have official U.S.
[01:40:00.711 --> 01:40:07.573]  government plans that were actually carried out to execute terrorist attacks almost identical to 9-11.
[01:40:07.573 --> 01:40:10.894]  And you said from the 1970s, and these occurred how many times?
[01:40:10.894 --> 01:40:11.275]  Hundreds.
[01:40:13.723 --> 01:40:18.064]  Bombings, blowing up school buses, shooting people, and blaming it on their enemies.
[01:40:18.064 --> 01:40:21.145]  Are you aware of Hitler burning the Reichstag to blame it on his enemies?
[01:40:21.145 --> 01:40:22.386]  Oh, I was waiting for Hitler.
[01:40:22.386 --> 01:40:23.566]  That's great.
[01:40:23.566 --> 01:40:25.607]  Yes, I'm quite aware of that.
[01:40:25.607 --> 01:40:26.167]  That's great.
[01:40:26.167 --> 01:40:26.987]  What does that look like?
[01:40:26.987 --> 01:40:31.088]  I've seen that particular set of evidence used.
[01:40:34.036 --> 01:40:36.178]  Accused of the Bush Administration or whatever.
[01:40:36.178 --> 01:40:38.219]  Well that's in the encyclopedia.
[01:40:38.219 --> 01:40:39.621]  This is really the big one.
[01:40:39.621 --> 01:40:43.864]  You imply, by mixing it with space aliens, fake news.
[01:40:43.864 --> 01:40:45.525]  And that headline is Hearst.
[01:40:45.525 --> 01:40:57.435]  Now we know about the fake reporters, the payoffs, the hundreds of millions of dollars of fake newscasts, people being told take your ties off at meetings, spray painting over the made in China.
[01:40:57.435 --> 01:41:02.419]  I mean, all the fake news, sir, are you saying there's not propaganda placement?
[01:41:02.639 --> 01:41:07.522]  Because you are implying that it's mixed in with all this other stuff.
[01:41:07.522 --> 01:41:08.983]  I didn't do the mixing, sir.
[01:41:08.983 --> 01:41:11.864]  The mixing was in this woman's web.
[01:41:11.864 --> 01:41:13.886]  It's in her syllabus.
[01:41:13.886 --> 01:41:16.567]  If it wasn't linked in her syllabus, I wouldn't have found it.
[01:41:16.567 --> 01:41:19.349]  Don't blame me for the mixing.
[01:41:19.349 --> 01:41:22.891]  If you don't like the company that she put you in, don't blame me for it.
[01:41:22.891 --> 01:41:24.772]  I mean, can you answer us?
[01:41:24.772 --> 01:41:28.874]  Can you say, yes, I know the news is predominantly fake?
[01:41:28.874 --> 01:41:30.756]  I'm skeptical about every news report I hear.
[01:41:31.804 --> 01:41:33.066]  I check things out myself.
[01:41:33.066 --> 01:41:35.490]  I bet you think Bush is a conservative.
[01:41:35.490 --> 01:41:36.451]  Tell you what, stay there, sir.
[01:41:36.451 --> 01:41:37.513]  I appreciate it.
[01:41:37.513 --> 01:41:39.516]  John Sanders.
[01:41:39.516 --> 01:41:41.199]  He'll probably tell us Bush is conservative next.
[01:41:44.890 --> 01:41:46.591]  Hey folks, Alex Jones here.
[01:41:46.591 --> 01:41:49.814]  And the behavior of our police is a reflection of our government.
[01:41:49.814 --> 01:41:53.757]  One look in the mirror and we know our country is entering a high-tech police state.
[01:41:53.757 --> 01:41:58.341]  Here's just a sample from my documentary film, Police State 2 The Takeover.
[01:41:58.341 --> 01:42:02.264]  In downtown Seattle today, the First Amendment ended.
[01:42:02.264 --> 01:42:04.066]  A civil emergency was created by the police.
[01:42:04.666 --> 01:42:07.608]  Why have police attacked people on the streets indiscriminately?
[01:42:07.608 --> 01:42:12.472]  The medical bills are going to be enormous for me.
[01:42:12.472 --> 01:42:15.694]  You see them here with their hands cupped behind their backs.
[01:42:15.694 --> 01:42:19.056]  They are being led into the Sandpoint Brig.
[01:42:19.056 --> 01:42:25.181]  The neighbors in that area of Sandpoint Naval Air Station were shocked to hear that the old brig was being reopened.
[01:42:25.701 --> 01:42:29.883]  This information is absolutely vital for all freedom lovers in the United States.
[01:42:29.883 --> 01:42:31.643]  Order your video today.
[01:42:31.643 --> 01:42:32.704]  Call toll free at 888-253-3139.
[01:42:32.704 --> 01:42:35.025]  The number to order to take over again is 888-253-3139.
[01:42:35.025 --> 01:42:36.245]  Or go to my website, InfoWars.com.
[01:42:45.871 --> 01:42:57.356]  Now you can enjoy the most delicious, freshest, and healthiest drinking water anytime, even while traveling, during outdoor sporting activities, and in hospital filtration environments such as local or national emergencies.
[01:42:57.356 --> 01:43:00.858]  The revolutionary Berkey Light removes pathogenic bacteria.
[01:43:01.018 --> 01:43:05.621]  It consists of parasites and harmful or unwanted chemicals to below detectable levels.
[01:43:05.621 --> 01:43:09.784]  It also removes foul tastes and odors like that rotten egg smell of sulfide.
[01:43:09.784 --> 01:43:16.529]  And it reduces nitrates and unhealthy minerals like lead and mercury while leaving in the healthful and nutritional minerals your body needs.
[01:43:16.529 --> 01:43:22.253]  The Berkey Light is so powerful it can purify raw, untreated water from remote lake streams and stagnant ponds.
[01:43:22.253 --> 01:43:26.856]  The Berkey Light is transparent and glows in the dark with its rechargeable LED lighting system.
[01:43:27.096 --> 01:43:29.398]  So it can be used as a night light or camp light.
[01:43:29.398 --> 01:43:34.944]  Get the Berkey Light for only $259 by calling New Millennium at 888-803-4438.
[01:43:34.944 --> 01:43:41.390]  That's toll free, 888-803-4438 or order on the web at berkeywater.com.
[01:43:41.390 --> 01:43:42.672]  Not yet available in Iowa.
[01:43:45.020 --> 01:43:51.208]  Herbal Healer Academy is a global supplier of the finest natural medicine that you may need in these troubled times.
[01:43:51.208 --> 01:43:53.651]  We specialize in keeping you alive and healthy.
[01:43:53.651 --> 01:44:00.019]  We provide outstanding products like ECAC, colloidal silver 500 parts per million, olive leaf extract,
[01:44:00.399 --> 01:44:00.999]  I think so.
[01:44:22.967 --> 01:44:25.209]  Simply log on to HerbalHealer.com.
[01:44:25.209 --> 01:44:29.872]  Check out our online member testimonials and our hundreds of exceptional products.
[01:44:29.872 --> 01:44:33.134]  We have been working hard since 1988 to save the remnant.
[01:44:33.134 --> 01:44:46.044]  That's HerbalHealer.com, your website for safe, effective natural alternatives and education.
[01:44:46.044 --> 01:44:49.126]  The Genesis Communications Radio Network proudly presents
[01:44:51.877 --> 01:44:56.759]  Because there's a war on for your mind.
[01:44:56.759 --> 01:45:00.341]  Here's Larry Silverstein from the PBS documentary, America Rebuilding.
[01:45:00.341 --> 01:45:04.463]  And then they go on again to say, pull it means blow it up.
[01:45:04.463 --> 01:45:07.104]  That's in the second clip, but let's go ahead and play the first clip.
[01:45:07.104 --> 01:45:07.464]  Here it is.
[01:45:07.464 --> 01:45:11.086]  I remember getting a call from the fight upon the commander.
[01:45:11.086 --> 01:45:14.548]  Telling me that they were not sure they were going to be able to contain the fire.
[01:45:14.548 --> 01:45:17.149]  I said, you know, we've had such terrible loss of life.
[01:45:18.254 --> 01:45:21.536]  The smartest thing to do is pull.
[01:45:21.536 --> 01:45:23.458]  And they made that decision to pull.
[01:45:23.458 --> 01:45:27.180]  And we watched the building collapse.
[01:45:27.180 --> 01:45:31.744]  Doesn't matter if I got firefighters on video saying they were told that they blew it up.
[01:45:31.744 --> 01:45:33.165]  Just ignore that.
[01:45:33.165 --> 01:45:35.687]  Now, folks, you talk about being unscientific.
[01:45:35.687 --> 01:45:38.569]  In his own words, and we're about to go back to him, he does that.
[01:45:38.569 --> 01:45:41.211]  This is from his article.
[01:45:41.211 --> 01:45:45.414]  Academic Insanity at North Carolina, Wesleyan.
[01:45:45.414 --> 01:45:47.195]  That second paragraph reminds me of
[01:45:47.822 --> 01:45:51.084]  Brad Goodman character on an old episode of The Simpsons.
[01:45:51.084 --> 01:45:52.605]  Ooh, that's a good source.
[01:45:52.605 --> 01:46:03.032]  He was a feel-good self-help guru and charlatan who proudly told his audiences, I don't have any credentials or training, but I have a PhD in pain.
[01:46:03.032 --> 01:46:05.554]  So now he's implying she has a PhD in pain.
[01:46:05.554 --> 01:46:13.059]  By the same token, the course doesn't have any political science or scientific approach, but it has a PhD in kooky conspiracy mongering.
[01:46:13.059 --> 01:46:14.300]  Oh, and your source is The Simpsons.
[01:46:14.955 --> 01:46:19.967]  For the 9-11 Road to Tyranny class, Christensen lists the following websites.
[01:46:19.967 --> 01:46:23.535]  And then they go ahead and go into it.
[01:46:23.535 --> 01:46:25.239]  Just unbelievable!
[01:46:25.991 --> 01:46:28.674]  Everything in Road to Tyranny is documented.
[01:46:28.674 --> 01:46:35.500]  Everything is coming out of their fat mouths at CFR meetings going, we're going to use this attack for a new world order.
[01:46:35.500 --> 01:46:43.367]  PNAC says we need to be attacked by terrorists so we can take all their freedoms and get all the oil, and Saddam isn't a threat.
[01:46:43.367 --> 01:46:44.829]  That's Dick Cheney saying that!
[01:46:45.447 --> 01:46:48.768]  We need to use race-specific bio-weapons on people!
[01:46:48.768 --> 01:46:52.830]  That's the September 2000 Rebuilding America's Defenses.
[01:46:52.830 --> 01:46:57.271]  Forget Clark, forget O'Neill, oh, they're liberal shower grapes.
[01:46:57.271 --> 01:46:57.911]  No!
[01:46:57.911 --> 01:46:59.612]  We have them saying it!
[01:46:59.612 --> 01:47:04.834]  Your whole article, sir, is unbelievable, Mr. Sanders!
[01:47:04.834 --> 01:47:06.634]  Every paragraph is like that!
[01:47:06.634 --> 01:47:07.474]  It's a joke!
[01:47:07.474 --> 01:47:11.176]  You talk about not using evidence, you're now sourcing the Simpsons?
[01:47:11.176 --> 01:47:12.936]  Go ahead.
[01:47:12.936 --> 01:47:14.857]  I was quoting the Simpsons in order to make a
[01:47:15.618 --> 01:47:20.922]  Joke about what the professor says and saying that her course is outside scope.
[01:47:20.922 --> 01:47:26.707]  But you go to a website that has some alien thing as a sponsor and now you're connecting it to that tentatively.
[01:47:26.707 --> 01:47:29.590]  No, I didn't connect it to it tentatively.
[01:47:29.590 --> 01:47:35.815]  The site is in the woman's syllabus as one of the recommended daily readings.
[01:47:35.815 --> 01:47:38.817]  Whichever one it was, frankly, I think it was.
[01:47:38.817 --> 01:47:40.659]  Look, I commend her for being honest about her views.
[01:47:42.521 --> 01:47:44.823]  I'm glad she's honest about her views, sir.
[01:47:44.823 --> 01:47:48.226]  If she wants to be an activist, that's fine.
[01:47:48.226 --> 01:48:05.661]  If she's going to do this in the context of giving an academic perspective on 9-11, and she does it from one side of the spectrum, then I'm going to... Usually I get attacked for criticizing professors who do it from the other side of the spectrum.
[01:48:05.661 --> 01:48:09.524]  So, you know, it's been kind of refreshing to be called a communist.
[01:48:10.379 --> 01:48:11.920]  I will credit your readers for this.
[01:48:11.920 --> 01:48:15.022]  They can give out some good insults.
[01:48:15.022 --> 01:48:20.065]  The left gives out pretty bad, silly insults that third graders get out to.
[01:48:20.065 --> 01:48:24.168]  Well that's because they're controlled by the same foundations that control the controlled right-wing in this country.
[01:48:24.168 --> 01:48:27.350]  Paul Watson, any comments or questions for Mr. Sanders?
[01:48:28.593 --> 01:48:37.379]  Yeah, well, we were attacked in a similar vein by the BBC for believing in the New World Order, for believing government involvement in 9-11.
[01:48:37.379 --> 01:48:40.862]  They called us right-wing extremists.
[01:48:40.862 --> 01:48:48.988]  This article, when it mentions links to communist front groups ANSA and other Marxist groups, international solidarity movements, Palestine,
[01:48:49.748 --> 01:48:52.770]  Equates us with the extreme left wing.
[01:48:52.770 --> 01:48:54.991]  But it's the same attack foundation.
[01:48:54.991 --> 01:48:58.974]  So that proves that these labels are just direct to demonization.
[01:48:58.974 --> 01:49:01.255]  It's got nothing to do with the facts.
[01:49:01.255 --> 01:49:04.637]  It's all about left and right wingers.
[01:49:04.637 --> 01:49:07.339]  The labels are correct as far as the groups that are linked.
[01:49:07.339 --> 01:49:13.362]  But I'd say more of her links are to mainstream news and documents and you don't mention one of those.
[01:49:13.362 --> 01:49:17.985]  Well you can link to mainstream but then when you give groups like these that you mention
[01:49:18.965 --> 01:49:23.308]  It makes me question... Well, quite frankly, I think some of those groups have done great analysis.
[01:49:23.308 --> 01:49:26.770]  Counterpunch and Global Research and others.
[01:49:26.770 --> 01:49:27.650]  Well, there you have it.
[01:49:27.650 --> 01:49:32.113]  I don't agree with what they want this country to be, but I agree with their analysis.
[01:49:32.113 --> 01:49:34.874]  Stay there, please.
[01:49:34.874 --> 01:49:37.716]  Big Brother.
[01:49:43.024 --> 01:49:44.805]  Mainstream media.
[01:49:44.805 --> 01:49:46.546]  Government cover-ups.
[01:49:46.546 --> 01:49:48.147]  You want answers?
[01:49:48.147 --> 01:49:49.707]  Well, so does he.
[01:49:49.707 --> 01:49:53.889]  He's Alex Jones on the GCN Radio Network.
[01:49:53.889 --> 01:50:00.212]  And now, live from Austin, Texas, Alex Jones.
[01:50:00.212 --> 01:50:09.197]  Both the controlled left and the controlled right have their capital ships of media propaganda firing incessantly at us.
[01:50:09.197 --> 01:50:12.058]  Dozens and dozens of some of the biggest publications in the world
[01:50:13.064 --> 01:50:16.287]  They will not come on this broadcast and defend themselves.
[01:50:16.287 --> 01:50:24.793]  One of the editors, the Homeland Security Chief's cousin, will get up on national shows and attack me and then claim I won't debate him when he will not debate us.
[01:50:24.793 --> 01:50:28.476]  But Mr. Sanders, he will!
[01:50:28.476 --> 01:50:29.677]  So for that we commend him.
[01:50:29.677 --> 01:50:39.044]  He's been with the John Locke Foundation and of course now heads of the John William Pope Center for Higher Education.
[01:50:39.044 --> 01:50:40.465]  And we appreciate him
[01:50:42.341 --> 01:50:48.524]  Being there with us, he also writes the Wall Street Journal, National Review, the list goes on and on.
[01:50:48.524 --> 01:50:51.826]  And he's going to be with us for another 30 minutes, longer if he'd like.
[01:50:51.826 --> 01:50:56.268]  I appreciate him taking this licking and it keeps on ticking.
[01:50:56.268 --> 01:50:59.510]  But Paul, you had a couple more comments for him, I'll let him respond to that.
[01:50:59.510 --> 01:51:01.271]  Go ahead, Paul Watson.
[01:51:01.271 --> 01:51:06.674]  Yeah, one was you made reference to the joke, using the sentence as a source.
[01:51:06.674 --> 01:51:10.636]  So it's okay for Mr. Sanders to use that as a joke.
[01:51:11.269 --> 01:51:20.792]  But on her website, the professor has a photograph of what appears to be Spanish or Italian secret police.
[01:51:20.792 --> 01:51:29.455]  And, um, Mr. Sanders equates her with being a masked terrorist, that she's in fact one of those individuals in that photograph.
[01:51:29.455 --> 01:51:31.416]  Right, that was on her original website.
[01:51:31.416 --> 01:51:36.597]  Because she was joking, saying, here I am, I'm an evil terrorist.
[01:51:36.597 --> 01:51:38.998]  All I said was, seeing her dressed as a masked terrorist.
[01:51:40.253 --> 01:51:43.315]  But those are... It's on her website now.
[01:51:43.315 --> 01:51:44.576]  I think she may have changed it.
[01:51:44.576 --> 01:51:45.537]  I don't know.
[01:51:45.537 --> 01:51:48.820]  She had herself included on the left.
[01:51:48.820 --> 01:51:52.623]  It's a photo of Spanish Secret Police.
[01:51:52.623 --> 01:51:54.024]  How obvious is that?
[01:51:54.024 --> 01:51:55.845]  It's a joke.
[01:51:55.845 --> 01:51:57.146]  Well, it could be.
[01:51:57.146 --> 01:51:58.407]  I don't know.
[01:51:58.407 --> 01:52:01.250]  But she had it put up on the left.
[01:52:01.250 --> 01:52:04.432]  All I said was that she was dressed as a mass terrorist.
