[00:00:19.511 --> 00:00:20.192]  I'm Ed Griffin.
[00:56:30.679 --> 00:56:38.265]  We created Freedom Force International because our movement there is attempting to define that.
[00:56:38.345 --> 00:56:39.126]  We have defined it.
[00:56:39.166 --> 00:56:44.230]  We have the creed of freedom, which is, in our view, a very positive statement of what freedom is.
[00:56:45.091 --> 00:56:51.716]  And we have the commandments of freedom, the things that thou shalt not do, for example.
[00:56:52.076 --> 00:56:58.442]  Very simple things, but all of the great movements of history have always started with simple concepts.
[00:56:59.520 --> 00:57:12.666]  The freedom movement in America and in the world right now is in very serious need of some simple concepts, some simple principles, some ideas that you can believe in.
[00:57:13.729 --> 00:57:17.231]  You know, the old saying is, if you don't believe in something, you will fall for anything.
[00:57:17.792 --> 00:57:18.492]  It's very true.
[00:57:19.153 --> 00:57:28.259]  And so the first step toward reversing this drift toward global, collectivist, tyrannical government is to know what we believe in.
[00:57:28.719 --> 00:57:29.580]  What is freedom?
[00:57:30.340 --> 00:57:39.506]  And be able to define it, to be able to defend it, to be able to argue against the collectives and say, this system is better than that for this reason, this reason, and this reason.
[00:57:40.307 --> 00:57:43.509]  And then finally, the ultimate question is, well, who's going to do this?
[00:57:44.870 --> 00:57:50.473]  It's easy to become despondent, discouraged, and say, well, nobody cares.
[00:57:51.594 --> 00:57:53.215]  My neighbor's out cutting his grass.
[00:57:53.255 --> 00:57:54.216]  He's a good guy.
[00:57:54.256 --> 00:57:55.536]  We talk about baseball.
[00:57:55.556 --> 00:57:56.997]  We talk about the weather.
[00:57:57.077 --> 00:57:59.319]  We can talk about the latest movies.
[00:58:00.039 --> 00:58:02.541]  But he doesn't want to talk about politics.
[00:58:02.581 --> 00:58:04.142]  He doesn't care about the economy.
[00:58:04.582 --> 00:58:08.685]  He just doesn't want to become informed, and he certainly doesn't want to take any
[00:58:09.445 --> 00:58:09.825]  Thank you.
[00:58:28.737 --> 00:58:29.658]  We're good to go.
[00:58:48.141 --> 00:58:58.509]  If you can reach three percent of the people who really care and who really have the mindset and who are willing to make the sacrifices and the dedication to this task, it can be done.
[00:58:58.869 --> 00:59:03.813]  And the guy next door will continue to push his lawnmower and he'll go whichever way the system goes.
[00:59:04.193 --> 00:59:05.174]  It's always been that way.
[00:59:05.694 --> 00:59:09.077]  So we don't need to be discouraged by the fact that not everybody is taking an interest.
[00:59:09.597 --> 00:59:14.141]  Our job is to find that one, two, or three percent of the people who do care
[00:59:14.801 --> 00:59:19.705]  Get the message to them, join forces with them, and then we have to come to power.
[00:59:20.205 --> 00:59:38.558]  Coming to power means we have to get into politics, we have to get back into the media centers, we have to communicate this information to everybody we can, we have to let our voices be heard in the great power centers of society, the political parties, the labor unions, the church organizations, the media centers, and so forth.
[00:59:38.978 --> 00:59:41.180]  This is where we, the three percent or less,
[00:59:41.900 --> 00:59:42.641]  Must go to work.
[00:59:42.981 --> 00:59:44.622]  This is where we're going to find the battle.
[00:59:45.062 --> 00:59:46.803]  This is where we're going to engage the enemy.
[00:59:47.063 --> 00:59:50.565]  And this is where we're going to recapture all the respective countries of the world.
[00:59:51.806 --> 00:59:56.969]  There is this false competition between the left and the right perspective.
[00:59:57.009 --> 01:00:03.693]  We've got the masked raider with the black mask there in the wrestling ring.
[01:00:03.713 --> 01:00:05.314]  And then the guy comes in with the blue cape.
[01:00:05.694 --> 01:00:09.517]  And they go into this great phony wrestling match.
[01:00:10.097 --> 01:00:10.978]  And it's a great show.
[01:00:11.903 --> 01:00:17.407]  It's a great show, and they got cheerleaders, the commentators, you know, on the left and the right.
[01:00:19.793 --> 01:00:21.174]  The public enjoys the game.
[01:00:21.474 --> 01:00:22.855]  They like watching the match.
[01:00:23.035 --> 01:00:23.995]  It's exciting, isn't it?
[01:00:24.436 --> 01:00:26.056]  I mean, they throw each other out of the ring.
[01:00:26.096 --> 01:00:27.057]  They beat each other up.
[01:00:27.897 --> 01:00:28.238]  He's up.
[01:00:28.418 --> 01:00:28.938]  He's down.
[01:00:29.058 --> 01:00:29.618]  Oh, he's winning.
[01:00:29.658 --> 01:00:30.399]  No, he's losing.
[01:00:30.799 --> 01:00:33.240]  Well, he lost this match, but he'll be back next week.
[01:00:33.420 --> 01:00:35.341]  Stay tuned, folks, for the next match.
[01:00:35.642 --> 01:00:37.282]  A grudge match is coming back and so forth.
[01:00:37.563 --> 01:00:40.024]  This is American politics that we're talking about.
[01:00:40.524 --> 01:00:42.966]  Both of these professional wrestlers
[01:00:43.866 --> 01:00:53.213]  They beat each other up a little bit in the wrestling match and they go in the locker room and they pat each other on the back and go out and have a beer together and say, well, that was a pretty good show.
[01:00:53.413 --> 01:00:54.574]  What are we going to do next week?
[01:00:55.235 --> 01:00:56.736]  This is American politics.
[01:00:57.556 --> 01:01:03.301]  And we have our cheerleaders, you know, the news commentators and the talk show hosts on the left and on the right.
[01:01:03.641 --> 01:01:04.902]  And they frame the debate.
[01:01:05.482 --> 01:01:07.183]  They won't let the American people
[01:01:08.144 --> 01:01:08.584]  I think?
[01:01:24.614 --> 01:01:26.255]  They won't let us talk about those things.
[01:01:26.936 --> 01:01:28.177]  So that's the problem.
[01:01:28.237 --> 01:01:41.388]  As long as we depend on the phony wrestlers and depend upon their well-paid cheerleaders in the media to keep us focused on secondary issues, we're never going to get out of this mess.
[01:01:41.828 --> 01:01:47.633]  So the first thing is to recognize the problem, see who the opposition is, and then walk away from them.
[01:01:48.831 --> 01:01:55.614]  Well, I think the kind of show that Glenn Beck puts on is, first of all, it's very entertaining and he does a good job of it.
[01:01:56.815 --> 01:02:01.157]  I have a little trouble with his television persona.
[01:02:01.517 --> 01:02:10.061]  I don't really go for it very much, but a lot of people do because he seems to be so sincere and so emotional and so patriotic and he loves his country and so forth.
[01:02:10.641 --> 01:02:12.121]  And that sells pretty well.
[01:02:14.042 --> 01:02:15.443]  Am I questioning his sincerity?
[01:02:17.148 --> 01:02:18.109]  Yes, I am.
[01:02:18.129 --> 01:02:19.729]  Because I know it's a show.
[01:02:20.450 --> 01:02:32.076]  And I know that if he were really as concerned and patriotic as he presents himself to be, he would be exposing criminal activity on the right as well as on the left.
[01:02:33.197 --> 01:02:34.557]  Then I would know he was sincere.
[01:02:35.318 --> 01:02:46.284]  But because he is so well-defined, right down the middle, he attacks only those on the left and lets everybody on the right get off scot-free, I know that this is a phony wrestling match.
[01:02:47.608 --> 01:02:53.212]  We have to realize that the Fox News Network is part of the Rupert Murdoch empire.
[01:02:54.273 --> 01:03:03.399]  And like so many of the other great media centers, like ABC, CBS, NBC, they're all in the hands of members of the Council on Foreign Relations.
[01:03:04.540 --> 01:03:07.181]  Murdoch himself is a member of the Council on Foreign Relations.
[01:03:07.221 --> 01:03:08.082]  So what does that tell you?
[01:03:08.122 --> 01:03:09.843]  It tells you that there is an agenda.
[01:03:10.784 --> 01:03:11.925]  These people have an agenda.
[01:03:12.924 --> 01:03:14.164]  And they boast of it.
[01:03:14.724 --> 01:03:16.045]  It's not hard to find out what it is.
[01:03:16.105 --> 01:03:17.845]  The agenda is world government.
[01:03:18.605 --> 01:03:21.506]  The agenda is world government based on the model of collectivism.
[01:03:21.586 --> 01:03:38.050]  So we know that Murdoch would not allow a consistent program or movement within his network channel to exist unless it furthered, at least in his mind in some way, it furthered that agenda.
[01:03:39.269 --> 01:03:44.153]  So, we know that this is a rigged game to start, so how does that fit?
[01:03:44.573 --> 01:03:56.463]  So we've got the Fox Network over here, which represents the right wing of this, you know, right-left paradigm, and we've got other
[01:03:57.383 --> 01:04:03.926]  Other groups over on the other side, which I won't mention them because there's so many of them, but they represent the left wing of this paradigm.
[01:04:04.126 --> 01:04:09.928]  It depends on who you're listening to, which channel you're looking at, you get this cheerleader effect.
[01:04:10.008 --> 01:04:13.209]  These are the good guys on the right, and everybody on the left is bad.
[01:04:13.609 --> 01:04:18.151]  Or the other way around, everybody on the left is good, everybody on the right is bad.
[01:04:19.011 --> 01:04:20.572]  And this is no accident.
[01:04:21.252 --> 01:04:30.874]  The Fox Network fits the role of being the cheerleader for anything on the right, which means, currently at least, the Republican Party.
[01:04:31.989 --> 01:04:33.530]  And they do a great job of that.
[01:04:33.650 --> 01:04:41.154]  And when Glenn Beck draws the chart showing the lineage and the connection to the Communist Party and all of that, I have no doubt that that's true.
[01:04:41.975 --> 01:04:53.842]  But why doesn't he do the same thing for the Bush family, for example, showing its connection to the Nazis in Germany and the banking connection where they funded the rise of Adolf Hitler?
[01:04:54.322 --> 01:04:55.122]  Why doesn't he do that?
[01:04:55.222 --> 01:04:55.943]  He'll never do that!
[01:04:57.600 --> 01:04:59.840]  And he would ridicule anybody who would bring it up.
[01:05:00.421 --> 01:05:03.101]  He would call them a conspiracy theorist or something like that.
[01:05:03.161 --> 01:05:05.322]  That's the role he plays, and he plays it very well.
[01:05:06.562 --> 01:05:20.545]  So in order to drive this ping-pong ball or this tennis ball back and forth over the net, going from Republicans to Democrats, Democrats to Republicans, you've got to have people who are expert at criticizing the other side.
[01:05:20.565 --> 01:05:22.065]  I mean, that's part of the game.
[01:05:22.805 --> 01:05:31.969]  You can't have an open and objective analysis on the news, otherwise people would say, hmm, I guess both parties are lousy.
[01:05:32.410 --> 01:05:35.711]  You can't have that, because that's not how the game is played.
[01:05:35.751 --> 01:05:45.276]  So you've got to have people assigned to expose and oppose the left, and other people over on the left that oppose and expose people on the right.
[01:05:45.596 --> 01:05:49.018]  And so it's necessary always to have
[01:05:49.818 --> 01:05:54.582]  People who can voice serious opposition and criticism of the other side.
[01:05:55.583 --> 01:05:57.164]  And it depends on who's in office.
[01:05:57.584 --> 01:05:58.425]  Because they're all bad.
[01:05:58.825 --> 01:06:01.307]  It's always easy to find something to criticize.
[01:06:01.327 --> 01:06:02.989]  They all lie.
[01:06:03.949 --> 01:06:07.252]  They all make promises they don't intend to keep and, in fact, do not keep.
[01:06:07.812 --> 01:06:11.916]  They're all involved in all kinds of scams and swindles.
[01:06:12.676 --> 01:06:15.238]  And there's dishonesty involved.
[01:06:15.258 --> 01:06:16.519]  I mean, that's politics.
[01:06:17.000 --> 01:06:18.121]  They all are like that.
[01:06:19.082 --> 01:06:21.623]  Maybe I'll make a reservation for one percent.
[01:06:21.683 --> 01:06:22.103]  I don't know.
[01:06:22.163 --> 01:06:23.723]  Ron Paul probably isn't like that.
[01:06:23.823 --> 01:06:27.324]  But you just can't count on it being any other way.
[01:06:28.244 --> 01:06:31.405]  And so it's easy when one party is in power.
[01:06:31.645 --> 01:06:36.526]  They give him a little honeymoon time to let it be known that no, they're not going to change anything.
[01:06:36.546 --> 01:06:41.487]  And then the other side ramps up and says, oh, look what what they did, how bad they are.
[01:06:41.567 --> 01:06:44.727]  And and so the voters are thinking, oh, yeah, we got to get rid of him.
[01:06:44.747 --> 01:06:47.988]  And so they get all whipped up like they are now.
[01:06:49.380 --> 01:07:03.024]  People in the Republican Party calling for take back our country, restore the Constitution, get the CIA out of our bedrooms and off of our computers and so forth, all these good lines.
[01:07:03.604 --> 01:07:05.285]  They don't mean a word of it.
[01:07:05.965 --> 01:07:08.406]  They're just playing to the sentiments of the voters.
[01:07:08.906 --> 01:07:15.748]  And so all they want to do is bring now the next Republican candidate forward and people won't even look to
[01:07:17.023 --> 01:07:27.086]  Closely at the Republican candidate, because they'll be so filled with contempt and hatred for the Democrat, I mean, for Mr. Obama.
[01:07:27.466 --> 01:07:30.947]  They'll say, I don't care who we put in, anybody would be better than that.
[01:07:30.967 --> 01:07:32.908]  Of course, that's how Obama got in.
[01:07:32.948 --> 01:07:34.808]  They said, well, I don't care about Obama.
[01:07:34.828 --> 01:07:35.709]  I don't care what you say.
[01:07:36.109 --> 01:07:37.749]  Anybody would be better than Bush.
[01:07:38.249 --> 01:07:39.490]  And this goes back and forth.
[01:07:39.510 --> 01:07:40.110]  And Bush got in.
[01:07:40.130 --> 01:07:42.091]  Well, anybody would be better than Clinton.
[01:07:42.811 --> 01:07:46.352]  American politics is the politics of hatred.
[01:07:47.338 --> 01:07:49.562]  It's not who you love or who you like, it's who you hate.
[01:07:49.982 --> 01:07:51.324]  That's what it's all about today.
[01:07:51.965 --> 01:07:55.792]  And it's a strategy that seems to be working pretty well.
[01:07:57.062 --> 01:08:15.009]  It always comes as a shock when people realize that some of the greatest mass murders of history and greatest tyrants of history were actually supported and funded by very wealthy financiers and forces in the United States and in Great Britain.
[01:08:15.509 --> 01:08:17.710]  They sometimes go very closely hand-in-hand.
[01:08:19.488 --> 01:08:32.357]  Everybody knows about the rise of Hitler, but they don't realize that the Nazi Party was funded by many of the banking dynasties that still exist in the United States.
[01:08:32.417 --> 01:08:34.959]  They funded him, the large corporations.
[01:08:35.619 --> 01:08:38.241]  They went into partnership with some of the German corporations.
[01:08:38.281 --> 01:08:39.602]  They called it IG Farben.
[01:08:40.202 --> 01:08:41.003]  It was a cartel.
[01:08:42.023 --> 01:08:48.448]  And they put up tremendous amounts of money as investment into the Nazi war machine.
[01:08:49.560 --> 01:08:53.483]  They put money behind Adolf Hitler's political party, the Nazi party.
[01:08:54.223 --> 01:09:11.354]  They even sent one of their public relations experts, I believe his name was Ivy Lee, over to Germany to interview Hitler and analyze him and to groom him and to make suggestions of how to improve his public image.
[01:09:12.254 --> 01:09:16.017]  They were intensely interested in promoting the Nazi regime.
[01:09:17.451 --> 01:09:18.873]  That's a matter of record.
[01:09:19.453 --> 01:09:20.774]  It's not a question of opinion.
[01:09:21.755 --> 01:09:22.916]  You can like it or dislike it.
[01:09:22.976 --> 01:09:23.817]  It's a matter of record.
[01:09:23.857 --> 01:09:24.918]  But this always happens.
[01:09:26.340 --> 01:09:32.705]  When Mao Zedong came to power, he couldn't have come to power had it not been for very powerful forces inside the United States.
[01:09:34.127 --> 01:09:35.128]  At the end of World War II,
[01:09:38.030 --> 01:09:44.596]  You know, the Japanese had been driven out, but there was a large division in China.
[01:09:45.317 --> 01:09:57.748]  The Nationalist Chinese under Chiang Kai-shek held a large portion of the country, and another section was in the hands of the Communist forces, Chinese forces, under the leadership of Mao Zedong.
[01:09:58.983 --> 01:10:05.448]  And the Nationalist forces and the Communist forces were bitter enemies.
[01:10:06.068 --> 01:10:17.617]  Even though they had fought, more or less, together against the Japanese, they both knew that when the war was over, only one or the other would be able to survive.
[01:10:17.817 --> 01:10:20.079]  And so they were preparing to fight each other.
[01:10:22.164 --> 01:10:25.227]  That was not in the best interests of the people in Washington, D.C.
[01:10:25.268 --> 01:10:38.580]  They didn't want that to happen and they put pressure on the nationalist Chinese, Chiang Kai-shek's government, to accept the communists into their own government in key positions, what they call a coalition government.
[01:10:39.221 --> 01:10:41.602]  And they wanted them to go into very key positions.
[01:10:41.642 --> 01:10:44.662]  In other words, in control of the military, in particular.
[01:10:44.702 --> 01:10:46.183]  Well, that's the end of the game, you know.
[01:10:47.863 --> 01:10:49.503]  The Nationalists didn't want any part of that.
[01:10:50.283 --> 01:11:01.186]  So, General George Catlett Marshall, who was in charge of all of the military operations in the Asia Theater at that time, simply cut off the
[01:11:02.386 --> 01:11:02.466]  Yeah.
[01:11:09.616 --> 01:11:16.079]  The military equipment that was left behind by the Japanese was delivered to the Communist Chinese.
[01:11:16.839 --> 01:11:29.544]  And with those two acts, there was no question that Mao Zedong's forces, which was now, by this time, much better equipped than the Nationalist forces, that they would be victorious.
[01:11:29.604 --> 01:11:30.824]  And that is how it came to be.
[01:11:31.485 --> 01:11:34.606]  And George Marshall even boasted afterwards, he said, with a stroke
[01:11:37.188 --> 01:11:42.692]  So that all came out of the United States.
[01:11:43.112 --> 01:11:51.098]  That was the decision of the so-called capitalist forces in America that the Chinese communists would now take over China.
[01:11:51.658 --> 01:12:00.723]  So all of these things are contrary to the conventional knowledge of what happened in history, but as I said before, none of it is really difficult to find.
[01:12:01.223 --> 01:12:08.147]  It's a matter of recordable, it has been recorded history, and it's not even a question of opinion anymore.
[01:12:08.727 --> 01:12:09.748]  So the bottom line is what?
[01:12:10.088 --> 01:12:18.293]  The bottom line is that some of the most brutal and totalitarian regimes of history have been funded by people of great wealth.
[01:12:19.033 --> 01:12:23.234]  People who we used to think of as capitalists and sometimes still call them capitalists.
[01:12:23.274 --> 01:12:23.494]  Why?
[01:12:24.074 --> 01:12:25.194]  Because they have great wealth.
[01:12:25.954 --> 01:12:30.895]  And what we don't realize is just having great wealth is not the real issue here.
[01:12:31.316 --> 01:12:33.196]  It's what you do with that wealth.
[01:12:33.836 --> 01:12:35.556]  And how did you acquire that wealth?
[01:12:36.237 --> 01:12:47.679]  A free enterprise capitalist would be one who acquires his wealth through competition and free enterprise and producing products and services at a better quality and a lower cost.
[01:12:48.579 --> 01:13:05.175]  A monopoly capitalist would be one who acquires his wealth by purchasing the loyalty of politicians and the passing of certain laws to throw the weight of government in his favor and to put obstacles in the way of his competition.
[01:13:05.755 --> 01:13:10.318]  So there are two kinds of capitalists, if you're going to use that word, and we have to be very clear.
[01:13:10.658 --> 01:13:17.121]  The capitalists we're talking about that have supported the totalitarian regimes are not free enterprise capitalists.
[01:13:17.141 --> 01:13:20.943]  They're monopoly capitalists, and they believe in the concept of collectivism.
[01:13:22.444 --> 01:13:24.725]  The issue of bank bailouts is a very simple one.
[01:13:24.745 --> 01:13:31.429]  You can make it complicated, but at its core it's a very simple issue, and that is that the banks
[01:13:32.725 --> 01:13:33.245]  We're good to go.
[01:13:53.652 --> 01:14:03.296]  To third world countries or large corporations and these countries and corporations were no longer able to continue paying interest on these loans.
[01:14:04.943 --> 01:14:08.384]  The bank was coming to the point where they had to write these loans off as bad loans.
[01:14:09.085 --> 01:14:10.685]  That would have destroyed the banks.
[01:14:11.206 --> 01:14:11.986]  They would have gone under.
[01:14:12.706 --> 01:14:13.907]  They were going out of business.
[01:14:14.727 --> 01:14:18.749]  So, they went to their friends in Washington and they said, look, we need to save America.
[01:14:19.169 --> 01:14:20.710]  They didn't say we need to save the banks.
[01:14:20.870 --> 01:14:22.651]  They said, we need to save America.
[01:14:22.671 --> 01:14:25.512]  If the banks fold, well then, who knows what will happen.
[01:14:25.552 --> 01:14:26.572]  America will go down.
[01:14:27.333 --> 01:14:30.234]  And so their friends in Congress voted these
[01:14:31.294 --> 01:14:40.079]  Billions and finally trillions of dollars to make all of this happen, to bail out General Motors and Ford and various countries and the banks themselves.
[01:14:41.219 --> 01:14:48.043]  And it was offered to the American people as a great move on behalf of America.
[01:14:48.083 --> 01:14:51.045]  This is how we were going to save America, by saving the banks.
[01:14:52.358 --> 01:14:58.066]  It almost worked, except for the fact that by this time enough people were aware of the game.
[01:14:58.807 --> 01:15:09.202]  They knew that the Federal Reserve System was creating money out of nothing, and they knew that that would result in their having to pay the bill, either in the form of taxes or through inflation.
[01:15:10.600 --> 01:15:23.470]  Ultimately in the form of inflation because the politicians are not willing to increase taxes as much as they should in order to pay for these expenditures, so they always keep the taxes as low as possible.
[01:15:24.010 --> 01:15:30.675]  But they collect it through inflation because by pumping this new money into the economy it waters down the purchasing power of all the money that's there.
[01:15:31.236 --> 01:15:32.737]  So when the voters realized
[01:15:33.197 --> 01:15:34.898]  That they were going to pay these bills.
[01:15:35.038 --> 01:15:37.800]  It wasn't the government paying these bills or bailing out the banks.
[01:15:38.121 --> 01:15:41.243]  It was the citizens, the consumers that were bailing out the banks.
[01:15:41.423 --> 01:15:43.425]  When they realized that, they got angry.
[01:15:43.745 --> 01:15:45.146]  And there was a great movement against it.
[01:15:45.166 --> 01:15:53.632]  A lot of anger, and especially when they found out that some of these executives were, you know, getting million-dollar bonuses for bankrupting their banks and so forth.
[01:15:54.112 --> 01:15:55.533]  There was a lot of heat.
[01:15:56.534 --> 01:16:02.519]  And, by the way, I think that the whole issue of bonuses, as important as it is, was a side issue.
[01:16:03.320 --> 01:16:08.584]  I think that that was one of those tricks that the media uses to distract the public attention from the real issue.
[01:16:09.284 --> 01:16:16.590]  The real issue was the fact that the Federal Reserve and Congress was creating all of this money out of nothing to bail out the banks.
[01:16:17.231 --> 01:16:18.212]  That was the real issue.
[01:16:18.232 --> 01:16:19.613]  It was going to bankrupt America.
[01:16:20.033 --> 01:16:20.674]  It was going to drive
[01:16:21.394 --> 01:16:21.915]  We're good to go.
[01:16:40.897 --> 01:16:41.758]  So there we have it.
[01:16:42.058 --> 01:16:42.859]  What can you say?
[01:16:43.499 --> 01:16:50.926]  Even though the people are upset about it, it didn't make any difference because the people do not control their government.
[01:16:51.286 --> 01:16:52.968]  They think they do, but they don't.
[01:16:53.749 --> 01:16:59.834]  Their politicians are beholden to the banking fraternity, to the Federal Reserve, to the banking cartel.
[01:17:00.355 --> 01:17:02.096]  That's where the power resides today.
[01:17:02.597 --> 01:17:03.517]  And if you need to
[01:17:04.457 --> 01:17:05.317]  Have any proof of that?
[01:17:05.377 --> 01:17:12.940]  All you have to do is just take a look at the recent history of the bailout of the banks against the will of the majority of the American people.
[01:17:13.621 --> 01:17:16.262]  Against the anger of the majority of the American people.
[01:17:16.622 --> 01:17:19.003]  And nevertheless, Congress went right ahead and did it.
[01:17:19.243 --> 01:17:21.344]  The President of the United States endorsed it.
[01:17:21.404 --> 01:17:22.884]  Everybody was for it at the top.
[01:17:23.484 --> 01:17:25.985]  But at the bottom, the people did not want it.
[01:17:26.045 --> 01:17:27.186]  So how is that possible?
[01:17:27.526 --> 01:17:30.267]  If the people control their own government, could that happen?
[01:17:30.767 --> 01:17:30.907]  No.
[01:17:31.468 --> 01:17:32.388]  It's proof positive.
[01:17:32.908 --> 01:17:36.531]  The people of the United States have lost control of their own government.
[01:17:37.412 --> 01:17:42.336]  The anger over the bailout of the banks has been a strong fuel for the Tea Party movement.
[01:17:43.096 --> 01:17:47.420]  But the question is, will the Tea Party movement be able to do anything about it?
[01:17:48.040 --> 01:17:56.047]  And the answer is, no, not unless they replace those people in Washington that made it possible.
[01:17:56.807 --> 01:17:59.730]  A Tea Party movement has no value unless it
[01:18:00.470 --> 01:18:00.791]  Yes.
[01:18:17.651 --> 01:18:29.719]  There's an attempt to have it become a mouthpiece for the Republican Party and make it look like everything that's happening in the economy and the bailing out of the banks is all the result of the Democrats, and it's not.
[01:18:30.139 --> 01:18:32.641]  They certainly play a major role in it.
[01:18:33.041 --> 01:18:37.284]  But it's all been going on for decades, and the Republicans have played a major role in that.
[01:18:37.644 --> 01:18:43.829]  And some of the very Republicans who are standing up today and saying, we should, you know, we should just put an end to this bail out of the banks.
[01:18:44.049 --> 01:18:47.491]  They're the ones that voted for it in the beginning, but nobody's checking their voting record.
[01:18:48.312 --> 01:18:54.517]  So yes, the anger of the American people over the bailouts is fuel for the Tea Party movement, and that's good.
[01:18:54.938 --> 01:19:04.747]  But now the rest of the story is, will the Tea Party movement be able to remain independent of the political influence of the Republican Party?
[01:19:05.968 --> 01:19:12.834]  Yes, the film, What in the World Are They Spraying?, I think is going to be a very important film, and it's going to shock a lot of people.
[01:19:14.052 --> 01:19:15.193]  They are spraying something.
[01:19:15.313 --> 01:19:23.620]  I think everyone's innate intelligence tells them what they see in the sky, those crisscrossing and these white trails that go to horizon to horizon.
[01:19:24.000 --> 01:19:28.424]  That's not just ice crystals forming at the back end of a jet engine.
[01:19:29.064 --> 01:19:34.529]  It's true that jet engine does produce ice crystals at high altitudes where the temperature is cold.
[01:19:34.989 --> 01:19:38.531]  But those ice crystals are absorbed into the atmosphere very soon.
[01:19:38.571 --> 01:19:41.954]  You can see them trailing along right behind an airplane as it flies across the sky.
[01:19:41.974 --> 01:19:45.336]  There's a little trail of white smoke and it just follows the plane and disappears.
[01:19:46.016 --> 01:19:56.764]  That's totally different from these billowing fumes of smoke that go from horizon to horizon and spread out and by the mid-afternoon the sky is milky white.
[01:19:57.344 --> 01:19:58.425]  So what are they spraying?
[01:19:58.765 --> 01:20:00.326]  We know now what they are spraying.
[01:20:01.146 --> 01:20:08.710]  And it's a result of a new industry, relatively new industry, springing up called geoengineering.
[01:20:09.330 --> 01:20:25.639]  There's a group of scientists and political figures and corporations who are planning to make a great deal of money and achieve other goals as well, other agendas as well, in changing the nature of our planet.
[01:20:26.792 --> 01:20:30.554]  They say they're doing this because they want to stop global warming.
[01:20:30.714 --> 01:20:32.495]  That's their main excuse.
[01:20:33.616 --> 01:20:40.319]  I should go on record right now by saying I think that global warming is a total myth, but that's not the issue right now.
[01:20:40.479 --> 01:20:50.985]  Even if it were true, they claim that they're trying to stop global warming, but what they're really doing is creating something far more devastating than anything global warming could do.
[01:20:51.665 --> 01:20:53.526]  They claim that they want to control the weather,
[01:20:54.326 --> 01:20:57.087]  They claim they want to improve crops.
[01:20:57.608 --> 01:21:03.031]  They claim that they want to change the nature of the soil and the water for the betterment of mankind.
[01:21:03.151 --> 01:21:05.372]  Always, of course, for the betterment of mankind.
[01:21:05.392 --> 01:21:07.333]  They're always doing it for us, you understand.
[01:21:07.733 --> 01:21:08.814]  It's a big industry.
[01:21:09.794 --> 01:21:12.835]  And they say that it's just in the talking stage right now.
[01:21:12.875 --> 01:21:17.797]  They say we're talking about spraying aluminum and barium into the atmosphere.
[01:21:18.297 --> 01:21:22.418]  And they say we need to do studies to see if there are toxic effects and so forth.
[01:21:22.458 --> 01:21:25.259]  And they're saying all the right things as though they're deliberating it.
[01:21:25.679 --> 01:21:30.661]  But the evidence is abundant now that this has been going on for over a decade.
[01:21:30.761 --> 01:21:31.781]  It's been going on.
[01:21:31.821 --> 01:21:33.302]  It's going on right now as we speak.
[01:21:34.002 --> 01:21:42.307]  And we now have the proof that not only is it going on, but the effect of it is devastating to the planet.
[01:21:42.807 --> 01:21:44.348]  It's devastating to plant life.
[01:21:44.448 --> 01:21:45.708]  It's destroying crops.
[01:21:46.309 --> 01:21:48.090]  It's devastating to wildlife.
[01:21:48.230 --> 01:21:49.971]  And it's devastating to human health.
[01:21:50.571 --> 01:21:54.433]  People are becoming very sick because they're breathing in these toxic substances.
[01:21:56.394 --> 01:21:58.175]  We now know what they're spraying.
[01:21:58.555 --> 01:21:59.496]  We can identify it.
[01:22:00.356 --> 01:22:08.320]  There have been many laboratory tests taken of not only the soil and the water, but from the rainwater and from the snow.
[01:22:08.760 --> 01:22:09.981]  Now this comes from the sky.
[01:22:10.021 --> 01:22:11.562]  You can't say it came up out of the ground.
[01:22:12.162 --> 01:22:21.207]  And these tests have been taken from atmosphere and rainwater and snow in areas that are hundreds of miles away from industrial centers.
[01:22:21.427 --> 01:22:24.989]  So you can't say it's being blown there from a smokestack or something like that.
[01:22:25.569 --> 01:22:30.673]  And what they're finding is an alarming high level of toxic substances.
[01:22:30.973 --> 01:22:32.714]  Aluminum and barium in particular.
[01:22:33.015 --> 01:22:39.400]  The very chemicals that the scientists are saying, I wonder what would happen if we were to spray aluminum and barium into the sky?
[01:22:39.680 --> 01:22:40.080]  I wonder.
[01:22:40.901 --> 01:22:44.644]  That's what they're finding coming out of the sky right now in huge quantities.
[01:22:44.864 --> 01:22:52.089]  On Mount Shasta, for example, you should find no aluminum whatsoever in snow up there because it came from the sky.
[01:22:52.730 --> 01:22:53.911]  There's no aluminum in the sky.
[01:22:55.014 --> 01:22:59.798]  In an area like Mount Shasta, pristine Northern California wilderness.
[01:23:01.239 --> 01:23:17.793]  There's a requirement by government that if aluminum levels reach, I think it's 1,000 parts per billion, that requires direct intervention on the part of the EPA, because it's considered to be extremely dangerous and toxic.
[01:23:17.813 --> 01:23:19.635]  1,000 parts per billion.
[01:23:20.765 --> 01:23:28.667]  Now there should be no parts per billion in that snow, but when they tested they found 60,000 parts per billion.
[01:23:28.807 --> 01:23:40.350]  So in other words, it's 60 times higher than the highest allowable on the snow on Mount Shasta.
[01:23:41.269 --> 01:23:42.109]  Extremely toxic.
[01:23:42.369 --> 01:23:43.610]  Hikers are drinking that stuff.
[01:23:43.730 --> 01:23:46.451]  They're going to kill themselves, or they'll lose their minds, or something like that.
